1 Month Anomaly (%) Rainfall,3 Months Anomaly (%) Rainfall,C,Cereals and tubers,Exchange rate (USD/LCU),FCS,Fatality,Lat,Lon,NDVI Anomaly,Population,Rainfall (mm),Ramadan,gamma,rCSI,h,r2,val_loss,train_loss
61,36,100,76,31,16,36,,0,,,51,36,0.001,6,1,0.9424704207729415,0.0014921901055167848,0.0017284604505681854
61,36,100,76,31,16,36,,0,,,51,36,0.001,6,2,0.9379149393049544,0.0015665184842412825,0.0018585355642253246
61,36,100,76,31,16,36,,0,,,51,36,0.001,6,3,0.9346038473869848,0.00169970152447373,0.0019504112446432713
61,36,100,76,31,16,36,,0,,,51,36,0.001,6,4,0.9299566147777814,0.0018675265837889954,0.00208134829640684
61,36,100,76,31,16,36,,0,,,51,36,0.001,6,5,0.9244309025557973,0.0020671026269901017,0.002237534399476183
61,36,100,76,31,16,36,,0,,,51,36,0.001,6,6,0.9199832500280365,0.002301126086707759,0.0023608875395543165
61,36,100,76,31,16,36,,0,,,51,36,0.001,6,7,0.9131598721874129,0.0027091717815294026,0.002553343755547718
61,36,100,76,31,16,36,,0,,,51,36,0.001,6,8,0.9054215493538267,0.003034815245157783,0.002771435794612728
61,36,100,76,31,16,36,,0,,,51,36,0.001,6,9,0.8961692760067224,0.0035441734147824543,0.0030323547228889008
61,36,100,76,31,16,36,,0,,,51,36,0.001,6,10,0.8889535499549739,0.00386620767050141,0.0032323355416363723
61,36,100,76,31,16,36,,0,,,51,36,0.001,6,11,0.8816551167024281,0.004354797540181449,0.003433522486305694
61,36,100,76,31,16,36,,0,,,51,36,0.001,6,12,0.8752731645951808,0.004805401296498651,0.0036071986438142634
61,36,100,76,31,16,36,,0,,,51,36,0.001,6,13,0.8687541152598329,0.005155766941562033,0.0037841884580580155
61,36,100,76,31,16,36,,0,,,51,36,0.001,6,14,0.8614828457394056,0.005663837372024945,0.00398202656026034
61,36,100,76,31,16,36,,0,,,51,36,0.001,6,15,0.8553472500086527,0.006174904540202048,0.004147168857097853
61,36,100,76,31,16,36,,0,,,51,36,0.001,6,16,0.8514195353165439,0.00666624838263808,0.004249335683209523
61,36,100,76,31,16,36,,0,,,51,36,0.001,6,17,0.8475036680852509,0.0072339545894560525,0.004351502725088055
61,36,100,76,31,16,36,,0,,,51,36,0.001,6,18,0.8455590288176825,0.007270816647299175,0.004398115447566394
61,36,100,76,31,16,36,,0,,,51,36,0.001,6,19,0.8427566953643398,0.00750580475602332,0.004469316966921265
61,36,100,76,31,16,36,,0,,,51,36,0.001,6,20,0.841353818210298,0.007357961600933304,0.004500820151509495
61,36,100,76,31,16,36,,0,,,51,36,0.001,6,21,0.8399413302085663,0.007387186580254266,0.004531901828372689
61,36,100,76,31,16,36,,0,,,51,36,0.001,6,22,0.8386314889923233,0.007504241762117838,0.004559585167925564
61,36,100,76,31,16,36,,0,,,51,36,0.001,6,23,0.8365854749497464,0.007707196239860491,0.004607173366914618
61,36,100,76,31,16,36,,0,,,51,36,0.001,6,24,0.8356491963997578,0.007904765067356996,0.004622966393224242
