Split,Split 1,Split 1,Split 2,Split 2,Split 3,Split 3,Split 4,Split 4,Split 5,Split 5,Split 6,Split 6,Split 7,Split 7,Split 8,Split 8,Split 9,Split 9,Split 10,Split 10
Info,training points,features,training points,features,training points,features,training points,features,training points,features,training points,features,training points,features,training points,features,training points,features,training points,features
1,10420,16,11000,17,11620,21,12220,29,12840,25,13440,17,14060,30,14680,25,15280,30,15900,24
2,10400,28,10980,17,11600,22,12200,29,12820,22,13420,23,14040,29,14660,18,15260,29,15880,28
3,10380,17,10960,17,11580,19,12180,23,12800,29,13400,23,14020,16,14640,24,15240,23,15860,22
4,10360,23,10940,23,11560,30,12160,29,12780,29,13380,23,14000,17,14620,18,15220,17,15840,30
5,10340,23,10920,23,11540,18,12140,23,12760,22,13360,24,13980,23,14600,18,15200,18,15820,16
6,10320,28,10900,18,11520,22,12120,22,12740,22,13340,23,13960,23,14580,17,15180,23,15800,18
7,10300,24,10880,18,11500,23,12100,23,12720,22,13320,23,13940,17,14560,24,15160,23,15780,17
8,10280,24,10860,22,11480,23,12080,23,12700,22,13300,22,13920,17,14540,23,15140,18,15760,22
9,10260,16,10840,30,11460,30,12060,22,12680,22,13280,23,13900,23,14520,18,15120,18,15740,17
10,10240,28,10820,29,11440,22,12040,22,12660,21,13260,23,13880,30,14500,30,15100,18,15720,17
11,10220,24,10800,18,11420,29,12020,22,12640,29,13240,22,13860,18,14480,17,15080,23,15700,18
12,10200,23,10780,25,11400,30,12000,22,12620,29,13220,23,13840,18,14460,17,15060,25,15680,17
13,10180,23,10760,24,11380,29,11980,22,12600,29,13200,16,13820,17,14440,18,15040,25,15660,17
14,10160,23,10740,26,11360,23,11960,17,12580,22,13180,18,13800,25,14420,17,15020,17,15640,18
15,10140,23,10720,24,11340,22,11940,22,12560,29,13160,17,13780,17,14400,17,15000,18,15620,17
16,10120,23,10700,26,11320,22,11920,23,12540,28,13140,17,13760,18,14380,18,14980,23,15600,22
17,10100,23,10680,23,11300,17,11900,17,12520,28,13120,23,13740,17,14360,17,14960,18,15580,17
18,10080,23,10660,31,11280,21,11880,17,12500,21,13100,18,13720,17,14340,17,14940,18,15560,18
19,10060,24,10640,23,11260,29,11860,21,12480,21,13080,17,13700,18,14320,17,14920,18,15540,17
20,10040,23,10620,30,11240,22,11840,22,12460,21,13060,21,13680,17,14300,18,14900,17,15520,17
21,10020,24,10600,24,11220,22,11820,23,12440,21,13040,16,13660,17,14280,17,14880,18,15500,17
22,10000,25,10580,24,11200,23,11800,16,12420,21,13020,16,13640,18,14260,18,14860,17,15480,17
23,9980,25,10560,25,11180,16,11780,17,12400,21,13000,23,13620,16,14240,17,14840,18,15460,17
24,9960,24,10540,23,11160,30,11760,16,12380,21,12980,21,13600,16,14220,17,14820,17,15440,17
25,9940,23,10520,25,11140,30,11740,16,12360,21,12960,16,13580,16,14200,17,14800,17,15420,23
26,9920,23,10500,23,11120,23,11720,23,12340,21,12940,16,13560,16,14180,17,14780,17,15400,17
27,9900,16,10480,25,11100,21,11700,22,12320,21,12920,16,13540,17,14160,18,14760,17,15380,17
28,9880,23,10460,25,11080,24,11680,23,12300,16,12900,16,13520,16,14140,18,14740,17,15360,17
29,9860,29,10440,24,11060,17,11660,16,12280,16,12880,16,13500,18,14120,18,14720,24,15340,17
30,9840,24,10420,25,11040,29,11640,17,12260,16,12860,16,13480,16,14100,17,14700,26,15320,17
