split,h,1 Month Anomaly Rainfalls (%),Day,FCG,Fatalities,Month,NDVI Anomaly,Rainfalls (mm),Ramadan,Year,colsample_bytree,gamma,learning_rate,max_depth,min_child_weight,n_estimators,rCSI,reg_alpha,reg_lambda,subsample,attempt,r2_train,r2_val,shape_train,shape_val,r2_difference,loss_to_minimize
2,17,0,1,1,0,1,0,0,1,1,0.6000000000000001,0.34,0.28200000000000003,3,3.6,62,1,0.97,0.55,0.95,376,0.770648328845065,0.7704131883819589,"(8540, 23)","(2140, 23)",0.00023514046310602052,0.06897009967065472
2,18,1,1,1,1,1,1,1,1,1,0.75,0.445,0.168,3,7.7,70,1,0.8250000000000001,0.445,0.75,539,0.7739078540710385,0.7670806784322001,"(8520, 31)","(2140, 31)",0.00682717563883839,0.07260666672587532
2,19,0,1,1,0,1,0,0,1,1,0.65,0.95,0.264,3,5.2,65,1,0.905,0.06,0.8,216,0.7624480485400511,0.761606751542683,"(8500, 23)","(2140, 23)",0.0008412969973681238,0.07185449333614237
2,20,0,1,1,1,1,1,1,1,1,0.75,0.85,0.16399999999999998,3,6.5,70,1,0.515,0.595,0.8,174,0.7478211737699856,0.7474071763711068,"(8480, 30)","(2140, 30)",0.00041399739887881815,0.0759434460482195
2,21,1,1,1,0,1,0,0,1,1,0.8,0.54,0.191,3,4.9,69,1,0.655,0.9,0.8,319,0.7449905195134318,0.7436982748508078,"(8480, 24)","(2120, 24)",0.0012922446626240092,0.07740741540980728
2,22,1,1,1,0,1,0,0,1,1,0.65,0.9,0.289,3,6.5,64,1,0.36,0.41,0.8,510,0.7368481168107037,0.7359680041809538,"(8460, 24)","(2120, 24)",0.0008801126297499627,0.07956164379761385
2,23,1,1,1,0,1,1,0,1,1,0.95,0.775,0.265,3,5.7,63,1,0.78,0.625,0.8500000000000001,462,0.7280032798646732,0.7281821787599263,"(8440, 25)","(2120, 25)",0.00017889889525313232,0.08172424526727523
2,24,0,1,1,0,1,0,0,1,1,0.65,0.555,0.251,3,5.5,65,1,0.135,0.715,1.0,274,0.7201736342620799,0.7192066616624124,"(8420, 23)","(2120, 23)",0.0009669725996674928,0.08462479054114326
2,25,1,1,1,0,1,1,0,1,1,0.8,0.8200000000000001,0.208,3,8.5,67,1,0.705,0.41,0.8500000000000001,573,0.715847996565854,0.7121486322287274,"(8400, 25)","(2120, 25)",0.0036993643371265868,0.08783515606623242
2,26,0,1,1,0,1,0,0,1,1,0.65,0.03,0.257,3,9.6,64,1,0.14,0.645,0.7000000000000001,176,0.7017518257207801,0.7001403678005378,"(8400, 23)","(2100, 23)",0.0016114579202421984,0.09060247282793554
2,27,0,1,1,0,1,1,1,1,1,0.8500000000000001,0.185,0.139,3,7.0,75,1,0.965,0.62,0.65,298,0.6936975702881325,0.6908048397315225,"(8380, 25)","(2100, 25)",0.0028927305566099908,0.09391564030318723
2,28,1,1,1,0,1,0,1,1,1,0.65,0.555,0.261,3,1.9,63,1,0.605,0.74,0.65,433,0.6905079142865385,0.69096229699863,"(8360, 25)","(2100, 25)",0.0004543827120915278,0.09316569361250253
2,29,1,1,1,0,1,0,0,1,1,0.65,0.37,0.252,3,5.300000000000002,64,1,0.48,0.705,0.9,498,0.6797578396016626,0.6781399346607051,"(8340, 24)","(2100, 24)",0.001617904940957482,0.09720518157817146
2,30,0,1,1,0,1,1,1,1,1,0.8500000000000001,0.7000000000000001,0.263,3,2.4000000000000004,62,1,0.625,0.02,0.8500000000000001,591,0.6723906750370474,0.6719006287068836,"(8320, 25)","(2100, 25)",0.0004900463301638068,0.09862582992000044
3,1,0,1,1,1,1,0,0,1,1,0.95,0.665,0.064,3,7.5,145,0,0.615,0.61,0.75,174,0.9854914512031157,0.984416850752146,"(9280, 21)","(2340, 21)",0.0010746004509695206,0.005104784954743968
3,2,0,1,1,1,1,0,1,1,1,1.0,0.52,0.177,3,7.9,81,0,0.17500000000000002,0.705,0.8500000000000001,600,0.9725951527613196,0.9694829031734696,"(9280, 22)","(2320, 22)",0.0031122495878499468,0.010400028883099122
3,3,1,1,1,0,1,1,1,1,1,0.9,0.77,0.251,3,1.7000000000000002,67,0,0.86,0.8150000000000001,0.7000000000000001,531,0.9583773803542784,0.9535896660182368,"(9260, 19)","(2320, 19)",0.0047877143360415255,0.015838185928945567
3,4,0,1,1,1,1,1,1,1,1,0.95,0.8,0.187,3,9.9,73,1,0.675,0.295,0.9,533,0.9464493316271028,0.9392868772028397,"(9240, 30)","(2320, 30)",0.00716245442426322,0.02107891860885339
3,5,1,1,1,0,1,1,0,1,1,1.0,0.34,0.20199999999999999,3,4.0,71,0,0.105,0.15,0.75,255,0.9331669476887888,0.9237774936422458,"(9220, 18)","(2320, 18)",0.0093894540465429,0.026622533525943414
3,6,0,1,1,1,1,1,0,1,1,1.0,0.445,0.271,3,5.9,65,0,0.295,0.96,0.7000000000000001,576,0.9190737795286474,0.9081195663217192,"(9200, 22)","(2320, 22)",0.010954213206928244,0.03194581538625554
3,7,0,1,1,1,1,1,1,1,1,0.95,0.6900000000000001,0.19899999999999998,3,6.6000000000000005,70,0,0.875,0.91,1.0,443,0.9079970835197848,0.8925938086078489,"(9200, 23)","(2300, 23)",0.015403274911935829,0.03838316738241967
3,8,0,1,1,1,1,1,1,1,1,0.7000000000000001,0.035,0.247,3,5.9,65,0,0.375,0.79,1.0,529,0.8920082591027859,0.8753302817049421,"(9180, 23)","(2300, 23)",0.016677977397843824,0.0440721064476549
