1 Month Anomaly (%) Rainfall,3 Months Anomaly (%) Rainfall,Cereals and tubers,Exchange rate (USD/LCU),FCS,Fatality,Lat,Lon,NDVI Anomaly,Population,Rainfall (mm),Ramadan,colsample_bytree,gamma,learning_rate,max_depth,min_child_weight,n_estimators,rCSI,subsample,h,r2_train,r2_val,val_loss,train_loss
61,61,1,61,61,41,,,41,,21,41,0.37,0.24,0.37,8,3.0,35,41,0.18,1,0.9970163872150056,0.976016721145053,2.321731824244013,0.352826393919577
61,61,1,61,61,41,,,41,,21,41,0.37,0.24,0.37,8,3.0,35,41,0.18,2,0.9958682304088369,0.965634522830382,3.326793741697902,0.48728152323133034
61,61,1,61,61,41,,,41,,21,41,0.37,0.24,0.37,8,3.0,35,41,0.18,3,0.9951764854546505,0.934492626578605,6.341524631179321,0.5673886701382265
61,61,1,61,61,41,,,41,,21,41,0.37,0.24,0.37,8,3.0,35,41,0.18,4,0.9923861517783336,0.8710830792845164,12.47996653497364,0.8932815625386308
61,61,1,61,61,41,,,41,,21,41,0.37,0.24,0.37,8,3.0,35,41,0.18,5,0.9920496534979718,0.835811071889768,15.89451808852262,0.9302610597236659
61,61,1,61,61,41,,,41,,21,41,0.37,0.24,0.37,8,3.0,35,41,0.18,6,0.9921144283082596,0.804016103058902,18.97247049994785,0.9200613055443534
61,61,1,61,61,41,,,41,,21,41,0.37,0.24,0.37,8,3.0,35,41,0.18,7,0.9905684236669436,0.8044532439085141,18.9301525238129,1.0971331710724257
61,61,1,61,61,41,,,41,,21,41,0.37,0.24,0.37,8,3.0,35,41,0.18,8,0.9902359525304593,0.7686941959475119,22.391852659055317,1.13225599042686
61,61,1,61,61,41,,,41,,21,41,0.37,0.24,0.37,8,3.0,35,41,0.18,9,0.9885754317575712,0.773570381146367,21.919807346754137,1.3204485581326855
61,61,1,61,61,41,,,41,,21,41,0.37,0.24,0.37,8,3.0,35,41,0.18,10,0.988743614543245,0.6236893689729082,36.42922942859951,1.2964294879772178
61,61,1,61,61,41,,,41,,21,41,0.37,0.24,0.37,8,3.0,35,41,0.18,11,0.9887337829599808,0.7289916782066488,26.23530540373959,1.2929112074905655
61,61,1,61,61,41,,,41,,21,41,0.37,0.24,0.37,8,3.0,35,41,0.18,12,0.9895158948607586,0.7639081571944519,22.855171229975102,1.1987725309819524
61,61,1,61,61,41,,,41,,21,41,0.37,0.24,0.37,8,3.0,35,41,0.18,13,0.9897396961872696,0.7123256047434932,27.848685850117356,1.1689529652392623
61,61,1,61,61,41,,,41,,21,41,0.37,0.24,0.37,8,3.0,35,41,0.18,14,0.9892639853644932,0.631037597654832,35.717874801660074,1.2187874843969002
61,61,1,61,61,41,,,41,,21,41,0.37,0.24,0.37,8,3.0,35,41,0.18,15,0.9883432610836463,0.6431996121452364,34.54051551479743,1.318571477705517
