complexity_measure,k,l,loss
squared difference,3,23,40.12124813988261
squared difference,4,26,32.57028670128485
squared difference,4,5,25.040994667184815
squared difference,9,10,28.804900999021893
squared difference,6,17,25.379197354515487
squared difference,6,18,21.72309584706267
squared difference,2,22,27.283720159199564
squared difference,3,24,32.14435318540004
squared difference,7,21,20.97697625745853
squared difference,8,11,29.746914042482757
squared difference,2,13,34.72612067569992
squared difference,5,16,24.21565176506851
squared difference,7,22,21.84504135692299
squared difference,9,27,43.49763054653559
squared difference,4,6,32.27716172994872
squared difference,2,11,33.039285287340654
squared difference,8,9,30.613237392845807
squared difference,4,23,28.146789648893975
squared difference,6,19,21.86326022456257
squared difference,4,20,24.51161319737699
squared difference,7,21,20.97697625745853
squared difference,7,21,20.97697625745853
squared difference,1,21,66.31359811429508
squared difference,7,3,34.78021491692991
squared difference,7,8,32.00061817526932
squared difference,7,21,20.97697625745853
squared difference,7,14,26.89808922535694
squared difference,5,25,32.53425934378688
squared difference,1,28,103.49730659015916
squared difference,3,4,30.31060913781468
squared difference,7,15,30.0729451824334
squared difference,7,12,28.66492928014141
squared difference,9,29,47.980252873759135
squared difference,7,7,34.56292716630775
squared difference,8,21,19.033512993979
squared difference,8,21,19.033512993979
squared difference,8,26,28.502874543942976
squared difference,8,5,29.495754657948556
squared difference,8,10,33.47263209043058
squared difference,8,21,19.033512993979
squared difference,8,24,23.445311109264225
squared difference,8,18,23.190176978814304
squared difference,3,17,23.646100501348567
squared difference,6,13,28.45334759943175
squared difference,5,16,24.21565176506851
squared difference,8,27,37.61608086428668
squared difference,2,9,35.35084560497293
squared difference,9,6,30.642076686845694
squared difference,1,19,58.755008484176564
squared difference,8,23,22.554694868768575
squared difference,3,22,28.5502973487978
squared difference,6,20,20.548714183674743
squared difference,4,21,23.648134871130413
squared difference,2,8,37.69094877303076
squared difference,8,3,34.30112144245788
squared difference,5,14,33.401768141253974
squared difference,9,25,30.104077248372544
squared difference,8,29,45.42966530775243
squared difference,1,28,103.49730659015916
squared difference,4,11,30.038648652578384
squared difference,6,15,26.234946403486926
squared difference,8,4,30.84719621561537
squared difference,2,21,22.11456385035028
squared difference,3,12,29.886634982747918
squared difference,8,7,33.00923922320243
squared difference,8,21,19.033512993979
squared difference,8,21,19.033512993979
squared difference,8,21,19.033512993979
squared difference,8,5,29.495754657948556
squared difference,5,26,27.81350005748119
squared difference,8,10,33.47263209043058
squared difference,9,21,20.840457279111817
squared difference,8,17,21.253195939460827
squared difference,1,13,45.00777018495899
squared difference,4,24,26.82404534717244
squared difference,8,16,23.141485522858332
squared difference,6,21,19.30613565329281
squared difference,8,18,23.190176978814304
squared difference,2,27,71.81486493353277
squared difference,5,9,33.24708667593839
squared difference,3,6,29.41708533935852
squared difference,8,20,20.71439717645071
squared difference,9,19,19.693404368639346
squared difference,1,23,85.37465831942319
squared difference,8,3,34.30112144245788
squared difference,8,21,19.033512993979
squared difference,4,11,30.038648652578384
squared difference,6,8,28.40265666423437
squared difference,8,22,21.94560391460337
squared difference,3,14,29.684309617584052
squared difference,5,29,25.52980075713731
squared difference,2,28,54.1194999531107
squared difference,7,21,20.97697625745853
squared difference,8,26,28.502874543942976
squared difference,9,25,30.104077248372544
squared difference,8,12,29.643046878784507
squared difference,1,4,25.212588715586676
squared difference,4,15,29.770872575813446
squared difference,8,21,19.033512993979
squared difference,6,5,29.255892930797046
squared difference,8,7,33.00923922320243
squared difference,3,18,21.409331431482343
squared difference,7,10,33.36453491710205
squared difference,2,21,22.11456385035028
squared difference,5,17,23.954342734701516
squared difference,8,24,23.445311109264225
squared difference,9,16,21.21672111673198
squared difference,8,21,19.033512993979
squared difference,1,27,93.58204139891944
squared difference,8,13,30.374609274434444
squared difference,4,19,27.98944893616621
squared difference,8,9,30.613237392845807
squared difference,6,6,32.07820426706285
squared difference,7,20,20.688298390122625
squared difference,2,23,33.38778930659732
squared difference,8,21,19.033512993979
squared difference,3,21,22.3188333572034
squared difference,5,3,33.409021335977855
squared difference,8,22,21.94560391460337
squared difference,9,14,25.460419526745344
squared difference,1,12,40.39887844015902
squared difference,8,11,29.746914042482757
squared difference,4,8,29.261016965451294
squared difference,6,28,23.15744320635601
squared difference,8,29,45.42966530775243
squared difference,7,25,23.148346792786285
squared difference,3,4,30.31060913781468
squared difference,8,15,26.905509994882312
squared difference,2,26,43.69429662697659
squared difference,5,7,31.544936129604366
squared difference,8,21,19.033512993979
squared difference,8,5,29.495754657948556
squared difference,9,10,28.804900999021893
squared difference,1,17,26.84518097003234
squared difference,4,18,24.86472161862243
squared difference,8,24,23.445311109264225
squared difference,6,27,23.82111339196807
squared difference,7,16,23.35425333613233
squared difference,3,13,34.10945090678919
squared difference,8,21,19.033512993979
squared difference,8,21,19.033512993979
squared difference,2,9,35.35084560497293
squared difference,5,23,26.55332521891732
squared difference,8,21,19.033512993979
squared difference,9,19,19.693404368639346
squared difference,8,21,19.033512993979
squared difference,8,21,19.033512993979
squared difference,8,21,19.033512993979
squared difference,8,6,33.27590356393591
squared difference,8,21,19.033512993979
