complexity_measure,k,l,loss
squared difference,6,9,76.4354479927913
squared difference,1,22,142.14574922015274
squared difference,2,8,93.75231024964528
squared difference,6,24,94.36983476297796
squared difference,4,9,80.38138030701292
squared difference,9,3,77.60078641994139
squared difference,6,25,93.02244998806931
squared difference,7,29,105.64009715303052
squared difference,2,24,126.35515469335103
squared difference,3,7,85.1442572421836
squared difference,8,5,74.6594120181212
squared difference,3,7,85.1442572421836
squared difference,6,9,76.4354479927913
squared difference,9,28,101.66318027230504
squared difference,2,9,95.48634127340624
squared difference,3,16,81.82681872425208
squared difference,7,18,92.19573668118967
squared difference,1,7,84.33821692123404
squared difference,7,8,83.66052137139592
squared difference,1,27,89.88667208674464
squared difference,8,5,74.6594120181212
squared difference,8,5,74.6594120181212
squared difference,8,5,74.6594120181212
squared difference,5,19,91.37463287676526
squared difference,8,14,82.62176426997132
squared difference,8,10,77.44964089956044
squared difference,8,5,74.6594120181212
squared difference,8,6,73.20890705994002
squared difference,4,6,79.90687469981766
squared difference,5,11,77.86996067248977
squared difference,8,20,91.97110030200874
squared difference,8,6,73.20890705994002
squared difference,8,6,73.20890705994002
squared difference,4,15,91.59713830052966
squared difference,9,23,96.19374197557163
squared difference,5,6,76.28808931409158
squared difference,1,21,80.90098710199328
squared difference,2,12,88.82461090684423
squared difference,6,4,74.67454796386089
squared difference,8,6,73.20890705994002
squared difference,4,17,76.95917943414072
squared difference,9,26,92.22224960386932
squared difference,3,13,82.34723545601288
squared difference,8,22,90.98740172045093
squared difference,6,3,75.52036257068734
squared difference,7,25,94.25186010345404
squared difference,2,6,74.22965768666421
squared difference,8,29,101.97260392400933
squared difference,3,16,81.82681872425208
squared difference,1,24,114.73705588550904
squared difference,9,18,92.07185058340129
squared difference,7,28,113.2108282633351
squared difference,6,27,107.50795449537479
squared difference,5,6,76.28808931409158
squared difference,8,12,80.20737611573033
squared difference,2,8,93.75231024964528
squared difference,8,14,82.62176426997132
squared difference,4,10,76.28044394301997
squared difference,3,19,106.35497439512885
squared difference,1,21,80.90098710199328
squared difference,8,11,76.70816563325303
squared difference,7,20,91.85322654020611
squared difference,8,15,83.95988572897063
squared difference,5,4,76.14018955338406
squared difference,9,23,96.19374197557163
squared difference,8,6,73.20890705994002
squared difference,8,6,73.20890705994002
squared difference,8,6,73.20890705994002
squared difference,8,13,77.83559238463171
squared difference,8,9,80.03650745150783
squared difference,8,17,87.84089443952655
squared difference,8,6,73.20890705994002
squared difference,4,7,86.10430046286713
squared difference,2,26,118.26572571142465
squared difference,6,22,88.88403187902595
squared difference,8,3,75.16145384569656
squared difference,1,6,65.69705175457511
squared difference,1,25,104.4841375199489
squared difference,1,29,103.30641868114594
squared difference,1,24,114.73705588550904
squared difference,1,6,65.69705175457511
squared difference,1,16,110.69863506677946
squared difference,1,28,96.18141677124231
squared difference,1,18,132.8315240872645
squared difference,1,6,65.69705175457511
squared difference,1,27,89.88667208674464
squared difference,1,8,100.03458725691335
squared difference,1,14,134.30865895006738
squared difference,1,19,129.42420578853543
squared difference,1,10,81.48009429940343
squared difference,1,6,65.69705175457511
squared difference,3,11,85.05503260552088
squared difference,1,20,146.78159539959486
squared difference,7,15,80.15472985542736
squared difference,5,9,78.73020917537366
squared difference,9,12,79.79715037450104
squared difference,1,23,149.00468814188255
squared difference,6,21,83.43446509202043
squared difference,4,5,76.23492312507094
squared difference,2,6,74.22965768666421
squared difference,1,7,84.33821692123404
squared difference,3,4,81.91221579961069
squared difference,1,13,73.14954190327087
squared difference,7,17,84.00583727907292
squared difference,5,26,94.25451277565473
squared difference,9,6,72.18699639921202
squared difference,1,25,104.4841375199489
squared difference,6,3,75.52036257068734
squared difference,4,22,90.61773121902105
squared difference,2,29,120.26917366022728
squared difference,1,6,65.69705175457511
squared difference,1,24,114.73705588550904
squared difference,3,16,81.82681872425208
squared difference,7,18,92.19573668118967
squared difference,1,28,96.18141677124231
squared difference,5,6,76.28808931409158
squared difference,9,27,99.78610289783069
squared difference,1,14,134.30865895006738
squared difference,6,19,94.65962271744384
squared difference,4,8,85.16675964600064
squared difference,1,11,70.78700385008779
squared difference,2,6,74.22965768666421
squared difference,1,10,81.48009429940343
squared difference,3,20,100.11309178262219
squared difference,1,12,128.53411590503262
squared difference,5,21,89.94915429084197
squared difference,7,4,75.74919507401493
squared difference,9,5,74.74229596431688
squared difference,1,15,136.59910840289174
squared difference,4,7,86.10430046286713
squared difference,6,9,76.4354479927913
squared difference,1,23,149.00468814188255
squared difference,2,6,74.22965768666421
squared difference,1,22,142.14574922015274
squared difference,3,17,83.74569771826623
squared difference,1,13,73.14954190327087
squared difference,7,6,74.22503327971532
squared difference,9,26,92.22224960386932
squared difference,5,25,88.88168421232115
squared difference,1,29,103.30641868114594
squared difference,6,16,81.3452525223927
squared difference,1,3,72.7639322192383
squared difference,2,6,74.22965768666421
squared difference,1,18,132.8315240872645
squared difference,4,28,111.36738025144571
squared difference,1,6,65.69705175457511
squared difference,1,6,65.69705175457511
squared difference,1,6,65.69705175457511
squared difference,1,6,65.69705175457511
squared difference,1,24,114.73705588550904
