complexity_measure,k,l,loss
squared difference,8,3,38.64986298960076
squared difference,4,3,38.21673588657027
squared difference,8,3,38.64986298960076
squared difference,7,13,43.18525485856645
squared difference,5,8,42.52522183225428
squared difference,7,11,43.177800997622874
squared difference,8,24,42.234482184371075
squared difference,6,20,58.60857780780359
squared difference,4,5,45.12778405194566
squared difference,3,27,34.159113902576756
squared difference,6,3,39.61392934910069
squared difference,9,23,46.17642306811617
squared difference,8,29,38.236325687511396
squared difference,1,7,28.514676399346715
squared difference,3,23,54.922457673679446
squared difference,9,6,39.873619062224776
squared difference,9,25,38.31501879706977
squared difference,6,21,56.56137994071306
squared difference,2,5,44.83446294710985
squared difference,7,24,41.588306286938746
squared difference,1,27,60.647694913242425
squared difference,1,7,28.514676399346715
squared difference,1,7,28.514676399346715
squared difference,1,7,28.514676399346715
squared difference,1,18,65.22612745471862
squared difference,1,7,28.514676399346715
squared difference,1,22,61.165554690658325
squared difference,5,19,63.439806223537154
squared difference,2,15,47.86178106999733
squared difference,1,28,36.100412327026696
squared difference,4,26,41.560228811453165
squared difference,1,9,52.439589999284
squared difference,1,16,55.607392466677254
squared difference,5,14,43.8172618761506
squared difference,2,7,37.43073264251378
squared difference,3,10,45.40627018996537
squared difference,7,17,51.36163978562826
squared difference,8,4,41.09544025654521
squared difference,4,13,50.69316650804242
squared difference,1,12,67.17209450245167
squared difference,5,8,42.52522183225428
squared difference,6,7,39.498502094868456
squared difference,1,11,58.44988706230515
squared difference,8,20,52.36861292794549
squared difference,3,29,34.24155399364154
squared difference,9,3,39.89749240482505
squared difference,7,6,40.41208736687826
squared difference,4,7,44.31197170402073
squared difference,6,25,36.21074496442491
squared difference,1,19,69.8693760208286
squared difference,2,21,64.9372175859642
squared difference,9,26,38.86213904352764
squared difference,8,18,51.44839077400193
squared difference,3,14,53.159704409296516
squared difference,1,24,68.0582156386563
squared difference,7,22,50.933236644459875
squared difference,5,23,49.28939610263717
squared difference,1,15,61.13507905178915
squared difference,6,5,40.706109994939006
squared difference,4,28,39.36426372653133
squared difference,1,9,52.439589999284
squared difference,9,27,38.620802807414556
squared difference,2,7,37.43073264251378
squared difference,1,16,55.607392466677254
squared difference,3,4,42.41912030392678
squared difference,1,7,28.514676399346715
squared difference,1,7,28.514676399346715
squared difference,1,7,28.514676399346715
squared difference,1,17,64.97589418513222
squared difference,1,10,62.71993970050653
squared difference,1,7,28.514676399346715
squared difference,8,8,40.019424815916594
squared difference,7,12,46.91453941798045
squared difference,5,20,56.29783628701398
squared difference,1,13,56.45048550020076
squared difference,1,29,58.20476868742239
squared difference,4,7,44.31197170402073
squared difference,6,3,39.61392934910069
squared difference,2,11,61.780412030711155
squared difference,1,7,28.514676399346715
squared difference,9,6,39.873619062224776
squared difference,8,25,38.74940997367432
squared difference,3,21,62.37566508786845
squared difference,7,18,53.02918580405708
squared difference,5,5,43.74064924459929
squared difference,1,19,69.8693760208286
squared difference,1,7,28.514676399346715
squared difference,4,26,41.560228811453165
squared difference,1,22,61.165554690658325
squared difference,2,24,52.18364064519744
squared difference,6,23,46.976280035506534
squared difference,1,15,61.13507905178915
squared difference,9,14,44.77576045443859
squared difference,1,28,36.100412327026696
squared difference,3,27,34.159113902576756
squared difference,8,9,40.19834542712505
squared difference,5,4,40.61024242982628
squared difference,7,16,49.1451493653496
squared difference,1,10,62.71993970050653
squared difference,6,7,39.498502094868456
squared difference,2,13,56.47264676807951
squared difference,1,17,64.97589418513222
squared difference,4,12,48.461787850528445
squared difference,9,20,52.212851988325305
squared difference,1,8,60.544311116137294
squared difference,3,7,39.0552247310488
squared difference,8,29,38.236325687511396
squared difference,7,6,40.41208736687826
squared difference,1,11,58.44988706230515
squared difference,5,7,40.463034228362126
squared difference,1,7,28.514676399346715
squared difference,4,3,38.21673588657027
squared difference,6,25,36.21074496442491
squared difference,1,22,61.165554690658325
squared difference,2,21,64.9372175859642
squared difference,9,18,52.082252089807845
squared difference,1,5,36.03670152111432
squared difference,3,19,61.26177584873319
squared difference,1,26,59.39572252002116
squared difference,8,24,42.234482184371075
squared difference,1,23,72.24535041183356
squared difference,5,15,47.220348714926935
squared difference,7,7,40.987258032577415
squared difference,4,28,39.36426372653133
squared difference,6,9,41.60526282912019
squared difference,2,27,43.017580454447646
squared difference,1,14,55.96228017540198
squared difference,1,16,55.607392466677254
squared difference,9,10,42.338305241070394
squared difference,3,12,50.264456140923045
squared difference,8,4,41.09544025654521
squared difference,1,13,56.45048550020076
squared difference,5,17,50.73991948867612
squared difference,7,7,40.987258032577415
squared difference,1,20,67.83440680390386
squared difference,1,11,58.44988706230515
squared difference,4,29,41.40964630051627
squared difference,6,7,39.498502094868456
squared difference,2,6,44.84732288796943
squared difference,9,8,41.17368445721144
squared difference,1,7,28.514676399346715
squared difference,1,3,35.40081747844799
squared difference,1,25,62.850024223205594
squared difference,3,18,53.826265083119985
squared difference,8,21,54.31729875967343
squared difference,1,7,28.514676399346715
squared difference,1,7,28.514676399346715
squared difference,1,19,69.8693760208286
squared difference,1,7,28.514676399346715
squared difference,1,7,28.514676399346715
