complexity_measure,k,l,loss
squared difference,3,14,6.055665730949161
squared difference,4,3,8.761273293006136
squared difference,3,7,6.017848716391932
squared difference,2,22,9.264575384079869
squared difference,8,17,7.1460502136490875
squared difference,8,24,6.524577953761526
squared difference,8,18,6.986870190009498
squared difference,2,24,5.218893676710631
squared difference,8,9,8.955553204401888
squared difference,2,19,10.522604536696514
squared difference,4,17,7.00901929458223
squared difference,6,9,10.185216027314043
squared difference,7,6,8.554275014092083
squared difference,2,21,10.775251827233928
squared difference,6,10,6.424333371571039
squared difference,9,8,10.274246325411548
squared difference,9,11,7.725427915288345
squared difference,5,4,7.165396158874645
squared difference,9,24,6.791917631853401
squared difference,9,11,7.725427915288345
squared difference,3,7,6.017848716391932
squared difference,1,15,14.036795287026388
squared difference,3,7,6.017848716391932
squared difference,2,20,13.38543638296297
squared difference,3,12,5.537757877476024
squared difference,1,12,21.383455039400772
squared difference,7,12,8.522158459035309
squared difference,5,25,4.419713606386831
squared difference,5,25,4.419713606386831
squared difference,5,25,4.419713606386831
squared difference,5,25,4.419713606386831
squared difference,5,23,3.8835593453511863
squared difference,5,23,3.8835593453511863
squared difference,5,23,3.8835593453511863
squared difference,4,23,5.240858010896749
squared difference,5,23,3.8835593453511863
squared difference,5,13,9.091881789747678
squared difference,5,28,9.879591233941168
squared difference,7,27,8.218030641348802
squared difference,6,16,5.795281749908287
squared difference,8,29,8.55361232263264
squared difference,4,3,8.761273293006136
squared difference,5,26,5.021615353980945
squared difference,8,5,7.918317599816825
squared difference,1,14,16.984448372373777
squared difference,6,22,8.553837167889784
squared difference,4,23,5.240858010896749
squared difference,5,18,6.467553407545883
squared difference,7,19,7.937641926055903
squared difference,2,21,10.775251827233928
squared difference,5,10,7.426823004684366
squared difference,1,17,13.629285635448264
squared difference,9,8,10.274246325411548
squared difference,3,23,4.928309663042191
squared difference,8,6,8.504431079479987
squared difference,6,4,7.736899596006016
squared difference,2,9,9.658586995026074
squared difference,5,20,8.338296140691432
squared difference,7,5,7.283402978222159
squared difference,9,15,7.404361183150392
squared difference,3,23,4.928309663042191
squared difference,5,24,5.020546519700542
squared difference,4,13,7.002263211415404
squared difference,1,28,16.545424730192774
squared difference,5,11,7.352138090959208
squared difference,5,23,3.8835593453511863
squared difference,5,23,3.8835593453511863
squared difference,5,23,3.8835593453511863
squared difference,5,26,5.021615353980945
squared difference,5,16,6.820410493232159
squared difference,5,27,5.124840546231791
squared difference,6,29,10.482911993425676
squared difference,2,3,7.719406644202991
squared difference,8,22,6.6985124998970305
squared difference,5,23,3.8835593453511863
squared difference,9,7,8.594498913165419
squared difference,3,18,6.908452316984412
squared difference,7,23,4.924739392860304
squared difference,5,21,6.442445735828518
squared difference,5,14,8.754153440384293
squared difference,4,10,5.899608486703994
squared difference,1,6,14.669660101540215
squared difference,5,17,4.975609152606297
squared difference,8,8,11.11992983091219
squared difference,5,23,3.8835593453511863
squared difference,2,4,8.375581395874415
squared difference,6,19,7.901422670582012
squared difference,9,9,8.530673536855184
squared difference,7,12,8.522158459035309
squared difference,3,15,4.659514076590145
squared difference,5,20,8.338296140691432
squared difference,4,23,5.240858010896749
squared difference,1,24,24.417907592523704
squared difference,5,11,7.352138090959208
squared difference,8,13,7.668978971091548
squared difference,2,27,6.827770778756818
squared difference,5,28,9.879591233941168
squared difference,6,5,7.624994380526876
squared difference,3,3,7.647826857219177
squared difference,5,16,6.820410493232159
squared difference,5,23,3.8835593453511863
squared difference,9,14,8.343602254851367
squared difference,7,29,11.585495014447387
squared difference,5,26,5.021615353980945
squared difference,4,25,3.7573392971826904
squared difference,4,25,3.7573392971826904
squared difference,4,25,3.7573392971826904
squared difference,4,25,3.7573392971826904
squared difference,4,25,3.7573392971826904
squared difference,4,25,3.7573392971826904
squared difference,4,25,3.7573392971826904
squared difference,4,25,3.7573392971826904
squared difference,4,25,3.7573392971826904
squared difference,4,25,3.7573392971826904
squared difference,4,25,3.7573392971826904
squared difference,4,7,7.6023903922829765
squared difference,4,18,7.775405940947287
squared difference,4,22,5.381278685963942
squared difference,4,25,3.7573392971826904
squared difference,4,21,6.444943675973739
squared difference,4,6,8.478506548127958
squared difference,4,8,8.412790630334014
squared difference,4,10,5.899608486703994
squared difference,1,4,8.874706656763848
squared difference,4,19,6.272818195038114
squared difference,2,17,11.321672464848234
squared difference,8,15,7.613908862804432
squared difference,4,25,3.7573392971826904
squared difference,6,9,10.185216027314043
squared difference,9,12,6.724410371492353
squared difference,4,28,7.845595447007198
squared difference,3,20,9.629606590585267
squared difference,7,13,5.698241192004528
squared difference,1,24,24.417907592523704
squared difference,4,11,6.777236796242646
squared difference,8,5,7.918317599816825
squared difference,2,27,6.827770778756818
squared difference,6,3,9.683945228059056
squared difference,4,16,4.1177312350751505
squared difference,9,29,6.159707440722053
squared difference,3,26,6.100814404690482
squared difference,7,25,4.999560094557837
squared difference,4,18,7.775405940947287
squared difference,1,14,16.984448372373777
squared difference,4,7,7.6023903922829765
squared difference,4,25,3.7573392971826904
squared difference,4,25,3.7573392971826904
squared difference,4,25,3.7573392971826904
squared difference,4,25,3.7573392971826904
squared difference,4,22,5.381278685963942
