complexity_measure,k,l,loss
squared difference,8,14,10.472247282838135
squared difference,7,8,5.21417407458275
squared difference,2,5,6.66872921127553
squared difference,6,29,10.922905941581552
squared difference,8,4,5.078795274521092
squared difference,5,22,5.734989655945896
squared difference,9,12,7.239958964146524
squared difference,2,21,9.589173767794408
squared difference,7,19,6.140130484575974
squared difference,2,3,6.435000631137761
squared difference,2,24,11.403125460277169
squared difference,8,27,6.3566360888980356
squared difference,7,19,6.140130484575974
squared difference,3,15,6.401640335702475
squared difference,9,9,6.279534532221604
squared difference,3,15,6.401640335702475
squared difference,4,5,6.505384538428877
squared difference,3,15,6.401640335702475
squared difference,5,13,13.300443638436255
squared difference,4,14,7.463360241462607
squared difference,7,8,5.21417407458275
squared difference,1,8,11.59113187927876
squared difference,8,4,5.078795274521092
squared difference,8,18,7.4348864583825405
squared difference,8,26,5.591292309289984
squared difference,8,4,5.078795274521092
squared difference,8,4,5.078795274521092
squared difference,1,4,12.500589699707497
squared difference,6,20,5.010359877756034
squared difference,6,7,5.582006099824684
squared difference,6,20,5.010359877756034
squared difference,6,20,5.010359877756034
squared difference,6,20,5.010359877756034
squared difference,6,20,5.010359877756034
squared difference,6,6,6.905397243122576
squared difference,6,17,10.55866305891839
squared difference,6,11,5.079800007265642
squared difference,9,28,8.769107115110382
squared difference,5,23,9.925571886774017
squared difference,6,16,11.153562144202182
squared difference,1,10,13.753636158916285
squared difference,4,25,10.336343862105062
squared difference,2,20,7.761101795840461
squared difference,6,29,10.922905941581552
squared difference,9,22,8.323478190890574
squared difference,7,3,5.353220576796275
squared difference,5,21,5.964091942764184
squared difference,6,12,12.987636316901336
squared difference,3,24,9.347845235242692
squared difference,2,20,7.761101795840461
squared difference,4,27,10.010880494413279
squared difference,6,9,8.235715117411477
squared difference,7,13,8.342504169166867
squared difference,3,5,8.400238830889123
squared difference,9,19,7.927553055386103
squared difference,1,14,15.994645466995289
squared difference,5,18,11.773790805295206
squared difference,2,7,6.899159856553439
squared difference,6,20,5.010359877756034
squared difference,4,26,11.997839756412693
squared difference,6,23,8.663395380927508
squared difference,7,6,5.489057863519768
squared difference,3,25,16.01012900291553
squared difference,1,28,6.776297507729477
squared difference,6,17,10.55866305891839
squared difference,6,20,5.010359877756034
squared difference,6,20,5.010359877756034
squared difference,6,20,5.010359877756034
squared difference,6,11,5.079800007265642
squared difference,6,16,11.153562144202182
squared difference,6,20,5.010359877756034
squared difference,8,10,5.3621766057751445
squared difference,9,8,6.24579442008178
squared difference,5,29,11.842191979781433
squared difference,6,20,5.010359877756034
squared difference,6,15,11.453949238283455
squared difference,2,21,9.589173767794408
squared difference,4,27,10.010880494413279
squared difference,6,20,5.010359877756034
squared difference,7,3,5.353220576796275
squared difference,1,12,18.29540078163357
squared difference,3,5,8.400238830889123
squared difference,8,9,4.775475494217619
squared difference,8,9,4.775475494217619
squared difference,8,9,4.775475494217619
squared difference,8,9,4.775475494217619
squared difference,8,9,4.775475494217619
squared difference,8,9,4.775475494217619
squared difference,8,9,4.775475494217619
squared difference,8,9,4.775475494217619
squared difference,8,9,4.775475494217619
squared difference,8,22,7.1156574880911165
squared difference,8,24,9.827173657322174
squared difference,8,9,4.775475494217619
squared difference,8,18,7.4348864583825405
squared difference,8,13,8.66818890697543
squared difference,8,19,6.812344620762012
squared difference,8,9,4.775475494217619
squared difference,8,26,5.591292309289984
squared difference,9,14,9.814128466486709
squared difference,5,7,6.933419009775611
squared difference,8,23,9.468289039166562
squared difference,2,6,11.929488418747368
squared difference,4,17,11.8634463434214
squared difference,7,25,5.253267552865821
squared difference,8,16,9.306293497047323
squared difference,1,9,13.546001878552355
squared difference,8,29,8.610176650127025
squared difference,3,28,11.859656803447528
squared difference,9,4,5.150480700916501
squared difference,5,10,6.061508441061416
squared difference,8,15,10.153165055873089
squared difference,8,11,6.0355887883542545
squared difference,2,8,6.862279961691786
squared difference,4,21,11.168337868573067
squared difference,7,9,5.176165105295369
squared difference,1,3,5.525978299668432
squared difference,3,12,4.689059255522759
squared difference,3,12,4.689059255522759
squared difference,3,12,4.689059255522759
squared difference,3,12,4.689059255522759
squared difference,3,12,4.689059255522759
squared difference,3,12,4.689059255522759
squared difference,3,12,4.689059255522759
squared difference,3,12,4.689059255522759
squared difference,3,12,4.689059255522759
squared difference,3,12,4.689059255522759
squared difference,3,12,4.689059255522759
squared difference,3,22,9.343764699174548
squared difference,3,12,4.689059255522759
squared difference,3,27,13.6495276881666
squared difference,3,19,10.264221203097923
squared difference,3,24,9.347845235242692
squared difference,3,13,11.281390276939904
squared difference,3,5,8.400238830889123
squared difference,3,14,16.26282293964077
squared difference,9,18,9.02534652634346
squared difference,5,12,11.769816358154268
squared difference,3,6,7.103825477747616
squared difference,2,7,6.899159856553439
squared difference,4,26,11.997839756412693
squared difference,3,25,16.01012900291553
squared difference,7,23,7.528539643498951
squared difference,1,17,17.231672746873723
squared difference,3,28,11.859656803447528
squared difference,3,12,4.689059255522759
squared difference,3,12,4.689059255522759
squared difference,3,12,4.689059255522759
squared difference,3,16,4.975097461229098
squared difference,3,12,4.689059255522759
