date,cmname,unit,category,price,currency,country,admname,adm1id,mktname,mktid,cmid,ptid,umid,catid,sn,default
#date,#item+name,#item+unit,#item+type,#value,#currency,#country+name,#adm1+name,#adm1+code,#name+market,,#item+code,,,#item+type+code,#meta+id,
2018-01-15,Maize - Wholesale,90 KG,cereals and tubers,17500.0,XAF,Cameroon,Adamaoua,815,Batoua Godolé,2257,51,14,17,1,2257_51_14_17,
2018-02-15,Maize - Wholesale,90 KG,cereals and tubers,17500.0,XAF,Cameroon,Adamaoua,815,Batoua Godolé,2257,51,14,17,1,2257_51_14_17,
2018-05-15,Maize - Wholesale,90 KG,cereals and tubers,15000.0,XAF,Cameroon,Adamaoua,815,Batoua Godolé,2257,51,14,17,1,2257_51_14_17,
2018-06-15,Maize - Wholesale,90 KG,cereals and tubers,15000.0,XAF,Cameroon,Adamaoua,815,Batoua Godolé,2257,51,14,17,1,2257_51_14_17,
2018-08-15,Maize - Wholesale,90 KG,cereals and tubers,12000.0,XAF,Cameroon,Adamaoua,815,Batoua Godolé,2257,51,14,17,1,2257_51_14_17,
2020-03-15,Maize - Wholesale,90 KG,cereals and tubers,15000.0,XAF,Cameroon,Adamaoua,815,Batoua Godolé,2257,51,14,17,1,2257_51_14_17,
2020-04-15,Maize - Wholesale,90 KG,cereals and tubers,15000.0,XAF,Cameroon,Adamaoua,815,Batoua Godolé,2257,51,14,17,1,2257_51_14_17,
2020-05-15,Maize - Wholesale,90 KG,cereals and tubers,18000.0,XAF,Cameroon,Adamaoua,815,Batoua Godolé,2257,51,14,17,1,2257_51_14_17,
2020-06-15,Maize - Wholesale,90 KG,cereals and tubers,18000.0,XAF,Cameroon,Adamaoua,815,Batoua Godolé,2257,51,14,17,1,2257_51_14_17,
2020-07-15,Maize - Wholesale,90 KG,cereals and tubers,19500.0,XAF,Cameroon,Adamaoua,815,Batoua Godolé,2257,51,14,17,1,2257_51_14_17,
2020-08-15,Maize - Wholesale,90 KG,cereals and tubers,20000.0,XAF,Cameroon,Adamaoua,815,Batoua Godolé,2257,51,14,17,1,2257_51_14_17,
2020-09-15,Maize - Wholesale,90 KG,cereals and tubers,12000.0,XAF,Cameroon,Adamaoua,815,Batoua Godolé,2257,51,14,17,1,2257_51_14_17,
2020-10-15,Maize - Wholesale,90 KG,cereals and tubers,9000.0,XAF,Cameroon,Adamaoua,815,Batoua Godolé,2257,51,14,17,1,2257_51_14_17,
2020-09-15,Maize - Retail,KG,cereals and tubers,150.0,XAF,Cameroon,Adamaoua,815,Batoua Godolé,2257,51,15,5,1,2257_51_15_5,
2020-10-15,Maize - Retail,KG,cereals and tubers,100.0,XAF,Cameroon,Adamaoua,815,Batoua Godolé,2257,51,15,5,1,2257_51_15_5,
2020-09-15,Oil (palm) - Retail,L,oil and fats,1200.0,XAF,Cameroon,Adamaoua,815,Batoua Godolé,2257,62,15,15,6,2257_62_15_15,
2020-10-15,Oil (palm) - Retail,L,oil and fats,1200.0,XAF,Cameroon,Adamaoua,815,Batoua Godolé,2257,62,15,15,6,2257_62_15_15,
2018-01-15,Cassava - Wholesale,90 KG,cereals and tubers,22000.0,XAF,Cameroon,Adamaoua,815,Batoua Godolé,2257,68,14,17,1,2257_68_14_17,
2018-02-15,Cassava - Wholesale,90 KG,cereals and tubers,22000.0,XAF,Cameroon,Adamaoua,815,Batoua Godolé,2257,68,14,17,1,2257_68_14_17,
2018-06-15,Cassava - Wholesale,90 KG,cereals and tubers,22000.0,XAF,Cameroon,Adamaoua,815,Batoua Godolé,2257,68,14,17,1,2257_68_14_17,
2020-09-15,Potatoes - Retail,KG,cereals and tubers,566.67,XAF,Cameroon,Adamaoua,815,Batoua Godolé,2257,83,15,5,1,2257_83_15_5,
2020-10-15,Potatoes - Retail,KG,cereals and tubers,840.0,XAF,Cameroon,Adamaoua,815,Batoua Godolé,2257,83,15,5,1,2257_83_15_5,
2020-09-15,Eggs - Retail,30 pcs,"meat, fish and eggs",100.0,XAF,Cameroon,Adamaoua,815,Batoua Godolé,2257,92,15,69,2,2257_92_15_69,
2020-10-15,Eggs - Retail,30 pcs,"meat, fish and eggs",100.0,XAF,Cameroon,Adamaoua,815,Batoua Godolé,2257,92,15,69,2,2257_92_15_69,
