AdminStrata,Adamawa Central,Adamawa North,Adamawa South,Borno Central,Borno North,Borno South,Yobe East,Yobe North,Yobe South
Indicator,rCSI,rCSI,rCSI,rCSI,rCSI,rCSI,rCSI,rCSI,rCSI
2019-05-31,32.62739907346128,32.46410782302957,16.735197368421048,35.7892982163694,27.42366412213741,46.97318007662833,36.74809561334382,25.757130255807105,37.09746672391583
2019-06-30,25.304465493910676,14.60342979635583,11.430625449317036,34.0358104896213,21.358504534517856,16.056910569105685,25.824468085106357,25.89385474860334,20.66315327184891
2019-07-31,23.49689011748444,17.823500247892905,19.11005164878823,29.921397379912673,30.3057881325082,25.06887052341597,30.833110099115967,32.56977356503421,22.94420793188437
2019-08-31,8.201554543017952,10.863095238095234,30.722891566265073,57.2507552870091,50.21359223300973,38.492185105730904,45.64102564102562,30.079316656497852,19.05545112781955
2019-09-30,9.023850504057037,6.618665189698138,7.519070105339629,23.883967344102835,22.3079750091878,13.83040935672514,17.217391304347817,19.606211869107035,7.20145852324521
2019-10-31,4.339772426567871,10.680500457735725,12.927756653992393,22.805728975394782,25.721237400069512,15.927123126652946,22.18767665347653,10.211670480549195,7.118807118807116
2019-11-30,7.9764453961456026,10.285391353489679,5.383360522022837,23.23393681221158,12.54844067171065,12.403543869677039,12.077847738981113,14.249507181075742,13.495072024260798
2019-12-31,4.723534315087521,4.008221993833503,7.664562669071232,12.758404677385675,14.045648357160768,7.283582089552233,4.986876640419945,6.799859796705219,7.159062263675319
2020-01-31,2.606105733432613,7.114135477884316,10.575139146567713,15.398230088495572,15.778159931212382,8.682634730538918,4.148148148148148,7.178729689807973,6.776989755713153
2020-02-29,10.903426791277251,8.737530099759198,11.028037383177576,9.510600356647508,14.607508532423205,14.198250728862964,14.218307643913178,11.133200795228621,10.820413436692492
