AdminStrata,Adamawa Central,Adamawa North,Adamawa South,Borno Central,Borno North,Borno South,Yobe East,Yobe North,Yobe South
Indicator,rCSI,rCSI,rCSI,rCSI,rCSI,rCSI,rCSI,rCSI,rCSI
2019-05-25,30.58085014100403,30.919692525732074,18.243575992915915,44.97655257406863,35.75766161998303,44.4672536358789,40.865797904319706,33.67110571715389,39.489135080794476
2019-05-26,30.656168447423266,31.268117628074183,17.77658458451672,44.296415884750864,34.86139143208962,46.09389590115987,39.09966601566664,32.14235411899424,39.84692156662472
2019-05-27,30.713610218126195,31.52490125353231,17.335623003744605,43.157529841357366,33.62546462082944,46.8937124961486,37.63173523053475,30.75808101801643,39.65702375171949
2019-05-28,30.752911168166996,31.694158780554986,16.91989270209191,41.68115428501175,32.15296838155163,47.00254725586603,36.435896871802285,29.512410714277753,39.02314967102664
2019-05-29,30.773807012599857,31.78000558759076,16.52859513105098,39.988549056837684,30.546989909605387,46.55624401533321,35.48604226234751,28.399467507835507,38.049007359494006
2019-05-30,30.776033466478957,31.786557053088185,16.160931742114148,38.20097399795882,28.910616400339883,45.690646609571104,34.75606272504866,27.413375698746986,36.838304852069456
2019-05-31,30.759326244858485,31.71792855549581,15.816103986773765,36.439688949498766,27.346935049104275,44.54159887360068,34.21984958278401,26.5482595870695,35.49475018370083
2019-06-01,30.723421062792625,31.57823547326215,15.493313316522158,34.8259537525812,25.959033051247754,43.244944642442945,33.851294158431806,25.798243472860324,34.122051389335994
2019-06-02,30.668053635335557,31.371593184835792,15.19176118285168,33.48102824832974,24.849997602119473,41.93652775111889,33.62428777487032,25.157451656176775,32.82391650392279
2019-06-03,30.59295967754147,31.102117068665258,14.910649037254661,32.526172277868056,24.12291589706863,40.75219203464951,33.5127217549778,24.620008437076148,31.704053562409065
2019-06-04,30.497874904464553,30.7739225031991,14.64917833122344,32.047240186296975,23.845792097266695,39.795669285613535,33.490487421632494,24.180038115615734,30.84229297653325
2019-06-05,30.38253503115897,30.391124866885864,14.406550516250366,31.988464334626112,23.946298227174445,39.042243126820715,33.53147609771266,23.83166499185283,30.222954665196028
