AdminStrata,Al-Hasakeh,Al-Hasakeh,Aleppo,Aleppo,Ar-Raqqa,Ar-Raqqa,As-Sweida,As-Sweida,Damascus,Damascus,Dar'a,Dar'a,Deir-ez-Zor,Deir-ez-Zor,Hama,Hama,Homs,Homs,Lattakia,Lattakia,Rural Damascus,Rural Damascus,Tartous,Tartous
2020-02-28,0.2976683819648094,135.5091847587714,0.3199092677419356,111.69892861968621,0.23775983504398826,130.1493616581987,0.18812566348973606,111.18819529397388,0.23632818181818183,113.31560778227093,0.2796595322580645,109.13917539929757,0.16540787668621698,114.66294040256498,0.3325284936950147,113.1005955213885,0.17663194501466276,113.08895185084883,0.5757594038123167,109.02845905370908,0.15582493929618768,113.01066270377508,0.5509828494134897,109.52078752445622
2020-02-29,0.29947343592375364,135.47399273689783,0.32116556451612915,111.52027157300749,0.23861488372434017,130.12788998278458,0.1888153297653959,111.29730729199994,0.23730014662756602,113.43853090515657,0.28224379354838713,109.42029147628729,0.16565101480938418,114.64060833942278,0.3335129925219941,112.94611125487164,0.17661245586510263,112.97038426254565,0.5754336217008799,108.96638366275319,0.15610351202346043,113.10392682334506,0.5509997024926686,109.45288374858355
2020-03-01,0.3014241129032258,135.44907791959452,0.3225006158064516,111.3444695214504,0.23958932258064516,130.1388208206396,0.1895518235483871,111.41464258059592,0.23830470967741937,113.57091767706912,0.28495131903225807,109.70534513435211,0.16589549838709675,114.61807095222774,0.3345243032258065,112.78945192698934,0.17658543258064513,112.84694388940079,0.5751144161290322,108.9014279880308,0.15640366903225808,113.20598340145317,0.5510466138709676,109.38439106364827
2020-03-02,0.30352041290322573,135.43444030686143,0.32391442161290324,111.17152246501502,0.2406831516129032,130.18215417176376,0.1903351448387097,111.54020115976185,0.23934187096774195,113.71276809800858,0.28778210870967746,109.99433637349203,0.16614132741935478,114.59532824097991,0.33556242580645157,112.63061753774157,0.17655087516129028,112.7186307314143,0.5748017870967742,108.83359202954188,0.15672541032258067,113.31683243809941,0.5511235835483871,109.31530946965042
2020-03-03,0.30579817096774187,135.4396064708952,0.3254352583870968,111.0036754215698,0.2418976664516129,130.25499181256703,0.19117522548387098,111.67576529732052,0.24042096774193553,113.86509242608709,0.29077445129032264,110.29679167137316,0.16640941129032258,114.58021739354946,0.3366710448387097,112.47604551326047,0.17653035548387094,112.5928663544264,0.574496059032258,108.76346218694249,0.15707316096774193,113.43792458453451,0.5512344329032257,109.24646925473446
2020-03-04,0.30825738709677414,135.4645764116958,0.3270631261290322,110.84092839111482,0.2432328670967742,130.3573337430494,0.19207206548387099,111.82133499327195,0.24154200000000003,114.02789066130462,0.2939283467741936,110.61271102799545,0.16669974999999998,114.57273840993642,0.3378501603225807,112.325735853546,0.17652387354838706,112.46965075843707,0.5741972319354838,108.69103846023253,0.15744692096774196,113.56925984075856,0.5513791619354839,109.17787041890043
2020-03-05,0.31089806129032255,135.50935012926314,0.3287980248387097,110.68328137365008,0.24468875354838712,130.4891799632109,0.1930256648387097,111.97691024761608,0.2427049677419355,114.20116280366118,0.2972437951612903,110.94209444335895,0.16701234354838707,114.57289129014079,0.33909977225806454,112.17968855859819,0.17653142935483865,112.34898394344638,0.5739053058064516,108.61632084941209,0.15784669032258067,113.71083820677147,0.5515577706451613,109.10951296214829
2020-03-06,0.313720193548387,135.57392762359734,0.33063995451612904,110.53073436917552,0.24626532580645158,130.6505304730515,0.19403602354838712,112.14249106035295,0.24390987096774194,114.3849088531568,0.3007207964516128,111.28494191746364,0.16734719193548384,114.58067603416254,0.3404198806451613,112.03790362841703,0.17655302290322578,112.23086590945427,0.5736202806451612,108.53930935448112,0.15827246903225806,113.86265968257331,0.5517702590322581,109.04139688447808
2020-03-07,0.3167237838709677,135.65830889469837,0.33258891516129035,110.38328737769119,0.24796258387096776,130.84138527257124,0.19510314161290324,112.31807743148258,0.24515670967741937,114.57912880979141,0.3043593506451612,111.6412534503095,0.16770429516129032,114.59609264200171,0.34181048548387094,111.90038106300251,0.17658865419354833,112.11529665646076,0.5733421564516129,108.46000397543963,0.15872425709677418,114.024724268164,0.5520166270967741,108.97352218588978
2020-03-08,0.3199088322580646,135.7624939425662,0.33464490677419356,110.2409403991971,0.2497805277419355,131.06174436177008,0.19622701903225806,112.50366936100494,0.24644548387096776,114.7838226735651,0.30815945774193537,112.01102904189653,0.1680836532258064,114.61914111365824,0.3432715867741935,111.76712086235466,0.17663832322580642,112.00227618446583,0.5730709332258065,108.37840471228763,0.159202054516129,114.19703196354361,0.5522968748387097,108.90588886638339
