AdminStrata,Adamawa Central,Adamawa North,Adamawa South,Borno Central,Borno North,Borno South,Yobe East,Yobe North,Yobe South
Indicator,FCS,FCS,FCS,FCS,FCS,FCS,FCS,FCS,FCS
2019-01-18,20.52893995230869,24.211448598130826,25.176304654442877,51.41164856860807,26.732837055417708,33.63584798638682,18.930785123966935,42.31797919762256,28.553326293558587
2019-01-19,19.219934994582875,24.182808716707004,24.496999647017287,50.17821782178216,27.2428694900605,29.994209612043985,18.832540940306387,43.361753958587066,27.707484452069465
2019-01-20,21.632653061224485,22.21878862793571,23.68890474491616,51.6907257267154,25.455194573366647,29.45067587000285,20.11963023382272,46.144081244049495,27.947220419640914
2019-01-21,23.286774334351808,23.48217153870863,28.37495475931958,53.92293871032139,26.60818713450293,27.40998838559812,22.304050499736967,47.88996561425443,28.426842684268408
2019-01-22,18.85964912280701,23.60182905381637,31.312292358803987,50.93259855871129,27.03972661255873,29.25067709900691,19.44687045123726,45.32679738562091,28.6690223792697
2019-01-23,19.914874551971323,24.181276877274215,34.93044822256569,50.90200902009019,27.50424448217317,29.823529411764692,19.200919804541527,44.21421740516415,30.736126840317077
2019-01-24,18.89880952380952,24.430176565008,34.49039881831609,48.045665634674904,26.98875468554769,28.95488292404339,18.838127467569077,45.04476690336522,32.482955795029675
2019-01-25,22.274017024726387,24.18176040673655,33.144073811213616,47.868290826037295,26.98875468554769,28.708946772366915,20.45951859956235,43.76124775044989,31.776692846529368
2019-01-26,22.46536839991969,23.953415171545462,31.57538877620012,47.551522026848154,26.75474814203137,29.309376754632222,22.017866526537038,45.24085896691813,32.647603373791384
2019-01-27,23.653344917463073,24.94172494172492,32.62312259867271,45.33839089638649,25.080981027302162,28.269288054810826,25.014925373134307,43.64082133006434,27.629513343799033
2019-01-28,23.73583260680034,24.208754208754183,34.07407407407406,45.436022819885885,23.542805100182143,25.33013205282111,23.86503067484661,43.035659859798834,26.763668430335073
2019-01-29,22.683264177040108,22.314647377938503,34.72594863932541,44.54862625381592,28.096527948781077,29.017264276228403,23.97775596990513,38.722741433021795,22.97794117647057
2019-01-30,21.755472031837268,21.771347918136893,36.5499254843517,44.35854575846215,28.1198782486537,33.02005012531326,24.12688240948413,37.39470517448855,24.675324675324653
2019-01-31,21.38200782268578,20.57352450816937,35.49204052098406,45.589129993916025,27.184246265278393,32.04621465491029,26.11544461778471,38.151116199198604,26.009164302858373
2019-02-01,22.288010150137442,20.646847435478584,34.960798289379895,44.84685031785781,27.486157253599107,30.90002931691584,25.36363636363636,38.21497651284883,26.9891788669637
2019-02-02,22.630600867231045,20.69737683941137,36.72839506172839,45.223520682619174,29.363538295577122,30.418470418470392,27.345132743362818,37.797212353101905,26.351771286513337
2019-02-03,25.667447306791555,20.866277071158454,39.692522711390616,44.04490106544901,34.72125838538051,31.394621638524065,31.538929440389282,37.415166715845366,26.214890771288434
2019-02-04,24.396654719235343,21.162243869667435,41.355463347164594,44.61422373137143,38.023071703234564,31.46349106863051,33.5759493670886,37.89349808767283,26.15930774351007
2019-02-05,24.205784732100504,19.069923051187672,40.68454481298517,44.55730164814104,41.32250056420672,30.290587492103587,34.09375,38.19691577698695,29.080118694362003
2019-02-06,25.759803921568608,20.127688172042987,41.08070661586421,43.829541072117244,41.64255508568884,27.895906061567747,32.996845425867505,38.21958456973293,29.96238105775613
2019-02-07,28.57491459248412,22.566809633784214,41.038062283737005,40.06975392365821,45.741461305663655,31.1104120792702,35.87199999999999,39.55978584176085,31.85557586837292
2019-02-08,28.19745699326849,23.155044008124555,41.440169431697846,41.13785557986871,44.57039220131489,31.85185185185184,36.67226890756302,40.860215053763426,33.50156212448928
2019-02-09,28.992566008715702,24.83660130718952,43.75698844576964,42.03252032520325,43.97062307510068,32.353923205342234,35.81395348837209,41.85022026431717,34.858714678669635
2019-02-10,29.05067808708064,31.02511880515951,39.99999999999999,38.72811059907835,43.58974358974358,36.54495243939858,35.84010840108401,40.25301897642322,34.594073717176535
2019-02-11,28.84934756820876,33.53679213292638,44.113475177304956,39.20507557380108,45.29256489221292,36.91316354710032,37.3663101604278,41.431792559188274,34.19054616703401
2019-02-12,28.97062335801288,34.510869565217355,43.94973070017952,40.40066777963271,46.474568871425426,35.546507986219844,35.68410789730257,41.92286193404136,31.92465588022214
2019-02-13,31.0995752713544,30.48222456881378,44.315713251267184,40.626144269498354,48.18120955143939,37.68574138476129,36.83206106870228,43.001686340640795,31.98645052020321
2019-02-14,31.335084786243108,31.399437412095608,43.042537851478,42.71564919863137,51.359786000891646,35.08715300193672,41.42581888246626,38.14262023217246,31.963249516440968
2019-02-15,30.285175583313674,31.42153413089371,43.43397599126955,43.3853886196374,53.593289503513915,38.414634146341456,41.345525800130616,37.964989059080956,32.2277227722772
2019-02-16,33.54080221300136,33.18245125348187,44.04462036703849,40.51027900146843,56.348676895708216,40.057361376673015,42.83854166666665,38.27909542195255,30.129870129870092
2019-02-17,33.77437325905291,31.797556719022662,41.221374045801525,38.795045045045036,56.85663401602847,39.09348441926343,45.60952074622064,37.42077707357397,29.771784232365114
2019-02-18,34.942363112391895,31.664364640883967,41.15549215406561,38.26521176253004,57.432730480811614,39.8553004089336,44.917109790428505,38.247451088454106,28.50444225074035
2019-02-19,36.26620139581254,32.679971489664986,40.99197665937271,39.464560862865945,57.885304659498175,41.82898646417958,46.12913588178604,38.98876404494379,29.37436419125125
2019-02-20,35.20569620253161,33.17655571635309,42.86803966437833,39.34065934065933,58.217460679279654,43.629476584022036,45.880820579615744,38.98937697387308,31.090174966352592
2019-02-21,34.88372093023253,33.58070500927641,40.45124899274778,36.5735880747428,59.85297604932414,45.298534143725405,44.280316042597036,36.92490353220538,32.34388126575186
2019-02-22,36.34549600912197,35.98409542743537,41.487603305785115,36.70804794520549,59.20039731810277,45.59879108424632,46.5175027066041,35.08114856429461,33.05666857469946
2019-02-23,35.63388625592414,36.188436830835116,38.12500000000001,36.236702127659576,58.89417062797095,45.330739299610904,47.268060139347256,35.94499520307003,30.535499398315263
2019-02-24,37.302649183837275,32.36914600550962,40.623750499800074,42.97426120114394,55.93220338983049,50.2891933028919,44.834123222748794,38.85714285714283,25.671406003159532
2019-02-25,35.168033871394506,32.060027285129586,44.57879887142281,41.89291101055807,55.93220338983049,49.83408748114628,42.99935773924211,39.016393442622935,25.702709546720676
2019-02-26,34.753481783546135,31.511469920210242,46.218434485473416,40.99563273244,55.55151788386273,50.164420052417206,42.31634553628772,37.8738243539989,25.273311068885825
2019-02-27,34.33892969569776,30.9629125552909,47.85807009952402,40.09835445432193,55.17083237789497,50.494752623688136,41.63333333333333,36.73125526537486,24.84391259105097
2019-02-28,33.31623493203381,31.249999999999982,44.896299308662044,39.851529965598424,55.59041003809097,50.72919645410347,41.22161816437478,34.53608247422678,26.67694680030839
2019-03-01,33.714133900106226,32.105606258148605,46.484210526315785,40.44965048176839,54.877484974572354,49.60235640648008,42.19312602291325,36.30918425556187,27.602905569007238
2019-03-02,35.45683151718353,32.844281427142356,44.73913043478261,40.46730806989987,56.21963070942661,46.78071539657852,42.42728184553661,37.52948113207545,25.6452955870108
2019-03-03,36.03929679420885,37.604716103009594,43.04878048780488,42.56140350877194,59.37711577522005,48.7445887445887,39.70185579555825,33.26771653543305,24.355735219807965
2019-03-04,35.29711808212187,36.99011124845485,42.530120481927696,41.930294906166225,60.233789148654616,49.42932396839329,40.89105889533107,33.314716559620194,25.827160493827144
2019-03-05,34.156273861033306,36.52657601977747,39.230769230769226,40.45594354984621,57.72717223082026,48.93253629376598,36.64921465968585,33.13888888888887,26.045816733067713
2019-03-06,35.93631539044728,36.99633699633696,39.00398406374501,43.745583038869256,55.4299645390071,45.21232306411321,36.03603603603601,30.34387895460796,27.96323173681663
2019-03-07,35.31164638688845,36.51960784313722,36.75999999999999,42.95325779036827,51.53333333333334,45.86926286509036,36.24242424242422,29.76910390324352,27.56704517999516
2019-03-08,38.714499252615816,39.63907902924701,33.890400310921095,42.501324854266045,48.18385650224217,44.10183875530407,35.548780487804855,32.86180631120781,28.376109378747877
2019-03-09,39.713639788997696,37.96296296296294,35.570209464701314,42.327949438202246,48.60400186133084,46.516220028208714,37.72036474164131,32.639827073763826,26.714356191415863
2019-03-10,34.755643760853346,34.0412242348532,38.228527607361954,41.63356933172165,46.166868198307114,45.982520439808255,37.32540861812775,31.91897070900627,23.96498698840785
2019-03-11,36.072492552135024,34.34877214796391,39.380022962112506,43.491897543126,47.7403846153846,48.01951779563714,37.525532535745505,34.62395543175485,26.40529050543221
2019-03-12,37.00967906265915,32.799999999999976,38.86883273164861,42.44090159428258,46.34517766497458,45.95654797827397,36.59916617033946,33.51744186046509,27.024413826444274
2019-03-13,39.04528763769886,33.836953100409175,41.04787033546928,44.88646365076571,44.87974212744852,41.164542294322096,35.336400230017226,34.03337169159951,32.0814479638009
2019-03-14,37.57649938800486,32.34924623115576,36.94243232939381,46.42112578179291,44.29835651074587,41.08683151236339,31.660798122065703,31.836384439359247,32.76018099547511
2019-03-15,36.45780697321877,32.09599999999997,37.58727695888285,45.601726929303844,43.08100929614871,41.62749706227964,32.496902106567504,28.9928486293206,33.76865671641791
2019-03-16,35.55093555093553,32.90682414698161,38.28526274199921,44.339096486335755,41.27247579529735,40.4197901049475,32.15214564369308,29.140914709517897,34.66602824994014
2019-03-17,32.59762308998299,30.231848688224517,40.160058202982896,44.531385845939845,41.643903650360045,40.01096190737184,29.45521698984301,30.176991150442447,34.67954345917471
2019-03-18,31.63814180929093,30.03030303030302,41.60057678442681,45.31649889097422,41.489361702127646,35.62945368171018,32.538528642047076,28.3161720169594,36.86477174849267
2019-03-19,28.246913580246893,28.74886398061192,39.1320338359691,46.28196500672948,40.10416666666665,36.20146904512063,32.61060650454144,30.966767371601186,36.298482293423255
2019-03-20,28.59248341930728,29.310344827586192,39.305504248245285,48.12119160460393,39.711984378813746,35.80832016850971,29.518248175182453,31.987028301886767,37.60116206681885
2019-03-21,28.471506913986754,28.41693108351368,38.78275397966383,47.412347585089755,38.409005607759376,34.958991436365714,28.851225304717783,31.00273241719014,37.41442322676062
2019-03-22,28.350530408666234,27.523517339441174,38.26000371108238,46.70350356557559,37.10602683670501,34.10966270422172,28.184202434253116,30.018436532493507,37.22768438670238
2019-03-23,28.22955390334571,26.630103595368663,37.73725344250093,45.99465954606141,35.80304806565064,33.260333972077724,27.517179563788446,29.034140647796878,37.040945546644146
2019-03-24,27.169051878354193,28.653790717786087,37.45963401506997,41.95666447800393,35.641193119965145,33.19999999999997,27.38693467336681,23.623147889292685,38.822090890564475
2019-03-25,26.4612596284549,28.571428571428555,35.810332625619246,41.99967110672587,35.65346956151553,32.573726541554926,26.948143950127502,25.492957746478854,41.130329847144
2019-03-26,26.454033771106925,29.858816461399805,31.076265146115464,44.201163188504964,35.743215876873215,30.46979865771809,24.680974477958216,25.702811244979898,43.17492416582405
2019-03-27,26.774708970554656,28.784711854284854,30.25568181818181,42.83078987087037,35.313467492260045,27.24832214765098,24.64929859719437,25.122161540672593,41.518737672583825
2019-03-28,24.193927983054824,28.736629083550138,28.125000000000004,43.14189189189189,34.519851359280246,28.781793842034784,24.15824915824914,26.924185644277863,42.76716781796017
2019-03-29,25.202255454768306,29.78723404255318,28.758169934640524,44.12577747062889,35.527375201288244,28.396406207459822,24.92762015055007,27.764565992865617,43.61992852638217
2019-03-30,24.437781109445247,30.43207957724587,29.72972972972973,43.159203980099505,36.4820173625465,28.272397432319263,25.014872099940487,29.060360920970737,43.24324324324325
2019-03-31,23.374028856825728,27.895355673133434,29.087048832271762,42.55952380952381,35.242290748898675,27.353789666928908,22.225230102869507,27.572136403380924,43.139604553624906
2019-04-01,24.92368076755341,26.37875693025969,28.631138975966557,40.67909454061251,31.506058857472578,24.633039765145426,23.00621789672883,28.199942213233147,43.757527097551176
2019-04-02,28.999790312434463,27.414147343704123,27.902240325865574,42.60551678298437,30.781010719754963,24.702144559173927,24.999999999999982,28.529669687225944,42.66826923076922
2019-04-03,28.47486269539501,24.670377966598288,28.878116343490305,42.573602381739995,29.781267526640487,24.741447891805873,21.924844552581764,29.38920035408673,43.08125502815767
2019-04-04,28.705281090289603,27.49061507363556,28.97845726198748,42.54563075432078,30.21165012174563,27.33034063902824,20.453347390616752,33.227022325311665,39.520958083832326
2019-04-05,29.742289818335433,27.3956834532374,30.58501539514197,43.513983251698534,30.171325518485123,27.209981417573644,20.13492475350284,32.51063829787232,40.01584786053881
2019-04-06,28.41483979763911,27.030129124820647,28.033472803347273,39.7219149944699,30.189682680375814,28.65803251584456,20.58823529411764,32.55681818181817,38.27940015785319
2019-04-07,28.00166181969255,29.829059829059812,30.984928145811423,39.4724446537918,31.976846167339055,30.105777054515837,21.92168985059247,32.05594405594404,38.00887516882115
2019-04-08,26.13803230543318,28.66874822594379,30.984928145811423,39.28738865447727,32.70384751147193,32.56552819698171,22.553081305023287,30.027777777777768,35.68991660348749
2019-04-09,27.198862482226282,32.14086081609836,27.915804002760517,38.73548791967367,34.19255718675315,32.462391132224845,20.196534781484345,32.01202843083651,37.52588966296366
2019-04-10,29.36064556176288,33.817775293460016,27.876106194690262,39.913751796837566,32.549085985104945,33.133784487246196,18.534367477935266,31.402520783051738,40.266512166859776
