id,year,month,day,admin1_code,admin2_code,event,interaction,fatalities,latitude,longitude,iso3,active_adm_id
119082,2021,10,10,3407,,Battles,13,0,13.8874,45.774,YEM,1
122931,2021,9,30,3407,,Battles,13,0,13.8874,45.774,YEM,1
123026,2021,9,29,3407,,Battles,13,0,13.8874,45.774,YEM,1
123031,2021,9,29,3407,,Battles,13,0,13.8828,45.8686,YEM,1
124058,2021,9,27,3407,,Riots,50,0,13.1287,45.3807,YEM,1
125514,2021,9,25,3407,,Explosions/Remote violence,33,10,13.35,45.6253,YEM,1
126559,2021,9,23,3407,,Battles,11,0,13.8874,45.774,YEM,1
128653,2021,9,18,3407,,Battles,23,1,13.9284,46.0825,YEM,1
128734,2021,9,17,3407,,Strategic developments,13,0,13.8874,45.774,YEM,1
128735,2021,9,17,3407,,Explosions/Remote violence,13,0,13.8828,45.8686,YEM,1
129617,2021,9,16,3407,,Battles,13,0,13.8874,45.774,YEM,1
129640,2021,9,16,3407,,Explosions/Remote violence,11,0,13.8828,45.8686,YEM,1
129781,2021,9,15,3407,,Strategic developments,10,0,13.8828,45.8686,YEM,1
129782,2021,9,15,3407,,Explosions/Remote violence,10,0,13.8828,45.8686,YEM,1
129783,2021,9,15,3407,,Battles,13,0,13.8828,45.8686,YEM,1
130657,2021,9,14,3407,,Protests,60,0,13.8828,45.8686,YEM,1
131845,2021,9,13,3407,,Protests,60,0,13.8828,45.8686,YEM,1
131846,2021,9,13,3407,,Battles,23,2,13.1287,45.3807,YEM,1
131977,2021,9,12,3407,,Protests,60,0,13.8828,45.8686,YEM,1
134548,2021,9,5,3407,,Battles,23,0,13.1287,45.3807,YEM,1
136273,2021,9,3,3407,,Battles,23,0,13.223,45.3056,YEM,1
137277,2021,9,1,3407,,Battles,13,2,13.8004,45.8862,YEM,1
137405,2021,8,31,3407,,Battles,13,1,13.434,46.1663,YEM,1
137406,2021,8,31,3407,,Strategic developments,13,0,13.8874,45.774,YEM,1
137407,2021,8,31,3407,,Protests,60,0,13.1287,45.3807,YEM,1
139278,2021,8,28,3407,,Strategic developments,11,0,13.8828,45.8686,YEM,1
139396,2021,8,27,3407,,Protests,60,0,13.9284,46.0825,YEM,1
141220,2021,8,22,3407,,Riots,50,0,13.8828,45.8686,YEM,1
142344,2021,8,21,3407,,Battles,11,0,13.35,45.6253,YEM,1
