id,year,month,day,admin1_code,admin2_code,event,interaction,fatalities,latitude,longitude,iso3,active_adm_id
1421038,2022,4,14,900712,0,Strategic developments,27,0,13.0705,-3.2152,BFA,1
1421040,2022,4,13,900712,0,Battles,12,0,12.3767,-4.1559,BFA,1
1421048,2022,4,13,900712,0,Violence against civilians,27,0,12.478,-3.9926,BFA,1
1421059,2022,4,12,900712,0,Strategic developments,27,0,13.2395,-2.7283,BFA,1
1421092,2022,4,7,900712,0,Strategic developments,27,0,12.4087,-3.811,BFA,1
1421401,2022,4,6,900712,0,Battles,12,2,13.2367,-3.1658,BFA,1
1421429,2022,4,2,900712,0,Explosions/Remote violence,12,0,13.5721,-3.1459,BFA,1
1421461,2022,3,28,900712,0,Strategic developments,27,0,12.35,-3.9833,BFA,1
1421808,2022,3,26,900712,0,Violence against civilians,27,0,12.8166,-3.2,BFA,1
1421840,2022,3,23,900712,0,Strategic developments,27,0,12.5584,-3.2735,BFA,1
1421857,2022,3,22,900712,0,Strategic developments,27,0,12.6564,-3.739,BFA,1
1421861,2022,3,21,900712,0,Battles,12,0,12.0928,-3.6677,BFA,1
1421871,2022,3,20,900712,0,Strategic developments,27,0,12.8431,-2.9725,BFA,1
1421873,2022,3,20,900712,0,Strategic developments,20,0,12.7772,-3.8072,BFA,1
1422221,2022,3,18,900712,0,Strategic developments,12,0,12.6025,-3.1137,BFA,1
1422227,2022,3,18,900712,0,Battles,24,4,12.5851,-3.3002,BFA,1
1422256,2022,3,16,900712,0,Strategic developments,27,0,13.3799,-3.2008,BFA,1
1422656,2022,3,11,900712,0,Strategic developments,27,0,12.443,-3.6987,BFA,1
1422669,2022,3,10,900712,0,Violence against civilians,37,2,12.8166,-3.2,BFA,1
1422688,2022,3,8,900712,0,Explosions/Remote violence,12,0,13.3799,-3.2008,BFA,1
1422690,2022,3,8,900712,0,Violence against civilians,27,3,12.6564,-3.739,BFA,1
1422691,2022,3,8,900712,0,Explosions/Remote violence,12,0,13.2714,-3.1014,BFA,1
1422705,2022,3,6,900712,0,Explosions/Remote violence,12,0,13.1691,-3.8899,BFA,1
1422718,2022,3,5,900712,0,Strategic developments,27,0,13.1271,-2.8146,BFA,1
1422719,2022,3,5,900712,0,Strategic developments,27,0,12.6338,-3.713,BFA,1
1422720,2022,3,5,900712,0,Strategic developments,27,0,12.9104,-3.0073,BFA,1
1422721,2022,3,5,900712,0,Strategic developments,27,0,13.0705,-3.2152,BFA,1
1422722,2022,3,5,900712,0,Strategic developments,27,0,13.1219,-2.8231,BFA,1
1422723,2022,3,5,900712,0,Strategic developments,27,0,12.8997,-2.9413,BFA,1
1423082,2022,3,3,900712,0,Strategic developments,27,0,12.4634,-3.4608,BFA,1
1423083,2022,3,3,900712,0,Explosions/Remote violence,12,0,13.3799,-3.2008,BFA,1
1423088,2022,3,2,900712,0,Battles,24,1,12.7772,-3.8072,BFA,1
1423105,2022,2,28,900712,0,Battles,12,12,13.3799,-3.2008,BFA,1
1423123,2022,2,25,900712,0,Strategic developments,27,0,12.7119,-3.2038,BFA,1
1423124,2022,2,25,900712,0,Violence against civilians,27,0,12.63,-3.2245,BFA,1
1423130,2022,2,25,900712,0,Strategic developments,27,0,13.5721,-3.1459,BFA,1
1423138,2022,2,24,900712,0,Strategic developments,27,0,12.8833,-3.15,BFA,1
1423146,2022,2,24,900712,0,Violence against civilians,37,7,13.0421,-4.0185,BFA,1
1423501,2022,2,23,900712,0,Violence against civilians,37,1,12.429,-3.5186,BFA,1
1423502,2022,2,23,900712,0,Strategic developments,27,0,12.6,-3.6833,BFA,1
1423542,2022,2,20,900712,0,Explosions/Remote violence,12,1,13.3721,-3.1947,BFA,1
1423544,2022,2,20,900712,0,Strategic developments,27,0,12.8166,-3.2,BFA,1
1423564,2022,2,19,900712,0,Strategic developments,27,0,12.775,-3.2078,BFA,1
1423566,2022,2,19,900712,0,Strategic developments,27,0,12.8166,-3.2,BFA,1
1423577,2022,2,18,900712,0,Explosions/Remote violence,12,0,13.5721,-3.1459,BFA,1
1423972,2022,2,16,900712,0,Strategic developments,27,0,12.7815,-3.1181,BFA,1
1423983,2022,2,16,900712,0,Strategic developments,27,0,12.8997,-3.8906,BFA,1
1424000,2022,2,15,900712,0,Violence against civilians,27,1,12.7772,-3.8072,BFA,1
1424036,2022,2,12,900712,0,Strategic developments,27,0,12.7815,-3.1181,BFA,1
1424434,2022,2,9,900712,0,Battles,12,1,12.6564,-3.739,BFA,1
1424439,2022,2,9,900712,0,Violence against civilians,27,0,12.443,-3.6987,BFA,1
1424440,2022,2,9,900712,0,Strategic developments,12,0,13.3799,-3.2008,BFA,1
