Split,,Split 1,Split 1,Split 2,Split 2,Split 3,Split 3,Split 4,Split 4
Type,,mse_model,mse_naive,mse_model,mse_naive,mse_model,mse_naive,mse_model,mse_naive
Country,Prediction horizon,,,,,,,,
Nigeria,1,14.112240033987723,5.21130601836415,0.6178604667015569,0.585405469339375,0.08249779894316239,0.5627982382754712,4.631703695492068,7.102110201594361
Nigeria,2,8.845597709121881,5.023658110830447,9.046949211245877,4.030265947416674,1.855904079249438,1.8737447854496072,1.8940713236732096,4.877015535184236
Nigeria,3,50.34708389833104,46.50129456854193,46.49044667344051,15.364841369399334,3.4784638703045085,6.051915931123468,2.4871431466890317,5.393873625562043
Nigeria,4,155.56137564406882,160.68016825435348,97.21985069277069,32.53944913213301,9.83236314408457,17.985500396954514,3.0389857564881493,5.371798829931564
Nigeria,5,224.12906837826722,229.74711658024316,141.58481147292716,46.82817649709924,15.49049432930115,22.526566697193218,2.5616471782995704,7.29393237879297
Nigeria,6,204.42572073870997,210.50385088003748,388.8925317404265,196.880034243785,16.997848011772977,30.176999938091814,4.087190138490701,7.082006657192298
Nigeria,7,191.52623638435452,234.11331019105168,410.0682465367584,194.67928720868153,21.702097328113766,32.476859976600494,6.997365966889812,8.54130606629817
Nigeria,8,155.4870358248347,208.40690939163653,470.33437348789556,222.0284936477165,35.22328320181827,43.1457229778735,8.153586230645553,7.490909072538158
Nigeria,9,157.92527695621587,214.94320707013057,602.3438393299862,307.0483958147422,50.0202541388448,46.88251726057147,12.66496790886931,6.5432358790704255
Nigeria,10,217.68620098590438,271.31914021085583,558.7674271569621,267.07795921439026,68.79237239010591,58.02934407296462,15.063552587518274,7.146362241686611
Nigeria,11,181.19287778420576,241.34488232416354,522.4114166051461,233.28535467680362,120.89350251880747,81.99075671127848,12.365333410113529,4.614375201159082
Nigeria,12,187.98043872911512,236.02108504092044,535.5882264953815,239.84205780813704,130.35658958645485,79.26299887182238,14.364432402324995,5.479213078674917
Nigeria,13,168.78857633435885,206.4398566902299,531.6643040092962,229.79425723978406,148.65674799471253,84.1560056505323,13.867716552647492,6.7513699537490135
Nigeria,14,144.97695239703992,143.7011680487879,541.5454795028721,235.101446397155,182.72682708792794,103.03852440394091,14.70614692822084,7.790235931814685
Nigeria,15,146.7069215794831,139.81841044052283,465.9142966951825,187.6638519771776,197.40375290758138,110.12519610602425,15.866582644784899,10.776828828095242
Nigeria,16,136.9205830992818,120.77409862557442,482.0236180845762,202.86246532559093,214.60456924654514,123.39922567497074,15.838035494100241,7.453315272354556
Nigeria,17,134.76751279463713,107.41721643486471,460.0729543374802,189.13575190489576,186.18520600627323,104.50006610129594,18.84519448256197,6.185726026615556
Nigeria,18,120.5654674316872,88.12339790109377,477.1018032322044,190.49955415062712,185.59421100665904,95.88707349266467,26.2789191389993,9.704134227943593
Nigeria,19,126.88293378488004,82.8248110001617,460.2857445651651,161.20554675656743,189.47825562353978,110.41226699691043,19.462083475562,30.983295978942973
Nigeria,20,145.37218970309445,95.9899029349333,511.12582031836837,187.7770893392927,226.16605103709813,129.7793443069024,20.00040911853552,47.274448023867
Nigeria,21,170.24007109719997,108.44905153811702,529.6218825977647,203.69876961972477,231.4507415151153,133.2187963417345,35.44506501014057,60.88032516212014
Nigeria,22,172.89473026495568,104.74284602214512,494.037083824381,186.73414862272668,271.83897179605714,167.4989987343482,36.08524763966955,79.74725619579614
Nigeria,23,167.40772243945676,100.55733665518692,419.943426012237,129.00060037933252,265.37704710916637,154.12200381506494,60.63743130231074,97.79828271901438
Nigeria,24,143.5159957783864,71.24291704638027,346.1734658465388,83.66143151592502,315.22792974195323,159.6131503629368,51.05758320806282,106.95471096698446
Nigeria,25,121.29017434282389,58.35642191099987,293.73979607621146,45.8790027905319,295.59951734938,170.79930981934874,60.13207773641861,112.52115056240291
Nigeria,26,118.21618025161371,48.561666830673225,287.6473770953816,38.542213539886525,297.5869308293104,171.44403769676333,75.66212700395887,122.02946003137065
Nigeria,27,113.65230216420339,42.329026023038004,226.85708226278868,18.567179657068703,287.57057557263676,161.42000970951972,65.82657777405787,145.57189664274247
Nigeria,28,137.99502467616773,29.882921849940146,240.33598412765934,20.743143362009473,320.4471400575483,191.3828764582215,102.42509137738439,180.20515809468552
Nigeria,29,96.3919785088579,18.216493063721202,242.69178350385573,20.532168345427575,326.3253357614399,204.43643009195853,97.97764315487444,181.68676954969843
Nigeria,30,74.8505569938328,20.363313286907886,230.02245636831807,18.788871244617916,323.9798447397946,208.9740519730667,102.91608828500294,187.22885774722124
