Split,Split 1,Split 1,Split 2,Split 2,Split 3,Split 3,Split 4,Split 4,Split 5,Split 5,Split 6,Split 6,Split 7,Split 7,Split 8,Split 8,Split 9,Split 9,Split 10,Split 10
Info,training points,features,training points,features,training points,features,training points,features,training points,features,training points,features,training points,features,training points,features,training points,features,training points,features
1,10420,18,11000,22,11620,24,12220,21,12840,20,13440,18,14060,19,14680,22,15280,24,15900,20
2,10400,19,10980,20,11600,23,12200,24,12820,21,13420,23,14040,22,14660,20,15260,18,15880,19
3,10380,18,10960,21,11580,21,12180,23,12800,25,13400,19,14020,22,14640,19,15240,20,15860,22
4,10360,18,10940,19,11560,24,12160,20,12780,20,13380,21,14000,24,14620,21,15220,22,15840,18
5,10340,20,10920,21,11540,20,12140,21,12760,20,13360,23,13980,21,14600,19,15200,19,15820,20
6,10320,20,10900,20,11520,17,12120,17,12740,21,13340,24,13960,24,14580,16,15180,20,15800,19
7,10300,19,10880,18,11500,24,12100,20,12720,23,13320,24,13940,17,14560,20,15160,22,15780,20
8,10280,20,10860,19,11480,17,12080,16,12700,21,13300,24,13920,18,14540,21,15140,17,15760,21
9,10260,19,10840,19,11460,17,12060,25,12680,19,13280,20,13900,24,14520,21,15120,19,15740,20
10,10240,21,10820,19,11440,22,12040,19,12660,19,13260,22,13880,20,14500,19,15100,20,15720,23
11,10220,25,10800,20,11420,23,12020,24,12640,20,13240,21,13860,21,14480,21,15080,20,15700,23
12,10200,19,10780,17,11400,17,12000,17,12620,21,13220,21,13840,24,14460,20,15060,17,15680,23
13,10180,18,10760,16,11380,18,11980,17,12600,19,13200,22,13820,21,14440,19,15040,21,15660,17
14,10160,24,10740,21,11360,17,11960,18,12580,23,13180,17,13800,23,14420,23,15020,16,15640,17
15,10140,22,10720,18,11340,20,11940,20,12560,22,13160,19,13780,20,14400,22,15000,20,15620,22
16,10120,23,10700,21,11320,22,11920,24,12540,20,13140,20,13760,23,14380,19,14980,20,15600,20
17,10100,25,10680,18,11300,21,11900,19,12520,22,13120,23,13740,18,14360,20,14960,25,15580,23
18,10080,20,10660,20,11280,22,11880,24,12500,20,13100,21,13720,21,14340,21,14940,24,15560,22
19,10060,23,10640,24,11260,21,11860,21,12480,17,13080,19,13700,22,14320,19,14920,18,15540,22
20,10040,20,10620,20,11240,21,11840,20,12460,20,13060,21,13680,18,14300,23,14900,17,15520,19
21,10020,22,10600,19,11220,22,11820,23,12440,19,13040,19,13660,24,14280,22,14880,20,15500,25
22,10000,20,10580,20,11200,20,11800,24,12420,20,13020,23,13640,20,14260,20,14860,23,15480,19
23,9980,20,10560,17,11180,16,11780,18,12400,20,13000,22,13620,24,14240,21,14840,18,15460,20
24,9960,17,10540,21,11160,22,11760,21,12380,16,12980,19,13600,22,14220,17,14820,20,15440,20
25,9940,19,10520,20,11140,20,11740,21,12360,21,12960,24,13580,20,14200,18,14800,24,15420,24
26,9920,20,10500,22,11120,19,11720,20,12340,20,12940,19,13560,20,14180,23,14780,17,15400,24
27,9900,20,10480,21,11100,24,11700,21,12320,20,12920,20,13540,23,14160,21,14760,22,15380,19
28,9880,16,10460,16,11080,23,11680,20,12300,20,12900,17,13520,25,14140,21,14740,25,15360,20
29,9860,23,10440,19,11060,24,11660,25,12280,22,12880,21,13500,22,14120,19,14720,22,15340,19
30,9840,17,10420,21,11040,20,11640,23,12260,20,12860,24,13480,18,14100,20,14700,20,15320,19
