AdminStrata,Agadez,Agadez,Agadez,Agadez,Agadez,Diffa,Diffa,Diffa,Diffa,Diffa,Dosso,Dosso,Dosso,Dosso,Dosso,Dosso,Maradi,Maradi,Maradi,Maradi,Maradi,Maradi,Niamey,Niamey,Niamey,Niamey,Niamey,Tahoua,Tahoua,Tahoua,Tahoua,Tahoua,Tillaberi,Tillaberi,Tillaberi,Tillaberi,Tillaberi,Tillaberi,Zinder,Zinder,Zinder,Zinder,Zinder,Zinder
Food Group,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers
Commodity,Maize (KG),Millet (KG),Rice (imported) (KG),Sorghum (KG),Sorghum (local) (KG),Maize (KG),Millet (KG),Rice (imported) (KG),Rice (local) (KG),Sorghum (KG),Maize (KG),Millet (KG),Rice (imported) (KG),Rice (local) (KG),Sorghum (KG),Sorghum (local) (KG),Maize (KG),Millet (KG),Rice (imported) (KG),Rice (local) (KG),Sorghum (KG),Sorghum (local) (KG),Maize (KG),Millet (KG),Rice (imported) (KG),Sorghum (KG),Sorghum (local) (KG),Maize (KG),Millet (KG),Rice (imported) (KG),Rice (local) (KG),Sorghum (KG),Maize (KG),Millet (KG),Rice (imported) (KG),Rice (local) (KG),Sorghum (KG),Sorghum (local) (KG),Maize (KG),Millet (KG),Rice (imported) (KG),Rice (local) (KG),Sorghum (KG),Sorghum (local) (KG)
2019-06-30,0.38407499999999994,0.375527,0.8199748,0.36734999999999995,0.343067,0.3882666666666667,0.34639999999999993,0.881525,,0.332175,0.30315714285714285,0.33699624999999994,0.74889125,,0.3218666666666667,0.3347,0.29003999999999996,0.26532681818181825,0.7564150000000001,,0.25019,0.26776,0.30792,0.3442058333333334,0.7737281666666668,0.34206,0.317965,0.35294,0.3361083333333334,0.7670166666666667,,0.30024999999999996,0.33652727272727273,0.40164384615384624,0.7501474166666666,,0.36259166666666665,0.30123,0.33742500000000003,0.3048695454545454,0.7653762727272728,,0.27747,0.284495
2019-07-31,0.38407499999999994,0.364507,0.8166278,0.351025,0.343067,0.37989999999999996,0.34140000000000004,0.86355,,0.325075,0.30265714285714285,0.33009125,0.753074875,,0.30848333333333333,0.30123,0.29439,0.2820629090909091,0.7643362727272727,,0.25337,0.251025,0.32466,0.3751441666666666,0.7447281666666666,0.37823999999999997,0.284495,0.34335454545454547,0.33973,0.7530818181818181,,0.29711818181818184,0.34113076923076924,0.3883621428571429,0.7243713571428572,,0.3430692307692308,0.292862,0.2912,0.28211916666666664,0.7541807500000001,,0.25543636363636363,0.26776
2019-08-31,0.38825000000000004,0.377187,0.8166278,0.3849,0.343067,0.3704,0.3698,0.863525,,0.3391333333333333,0.2978833333333334,0.3181992857142858,0.753074875,,0.3096,0.30123,0.2870125,0.2703660909090909,0.7576453636363637,,0.22959999999999997,0.24265699999999998,0.32264,0.36649950000000003,0.7447281666666666,0.37552,0.276127,0.35461,0.32216249999999996,0.765690909090909,,0.29746249999999996,0.33880769230769225,0.39181687499999995,0.7271285,,0.3405625,0.284495,0.31237777777777775,0.3087608333333333,0.7478974166666666,,0.2768,0.26776
2019-09-30,0.3774,0.37186700000000006,0.8166278,0.37734999999999996,0.343067,0.3782,0.32635,0.84425,,0.332625,0.3046,0.30649957142857137,0.7459098571428571,,0.32902,0.317965,0.2977,0.25133881818181814,0.7588635454545454,,0.2468375,0.251025,0.32366,0.36481616666666666,0.7447281666666666,0.37283999999999995,0.276127,0.36056363636363636,0.3201916666666667,0.7670166666666667,,0.28476666666666667,0.3389384615384615,0.3875382142857143,0.7256999285714285,,0.3479538461538461,0.276127,0.32018888888888886,0.29062475,0.7584974166666667,,0.2737,0.276127
2019-10-31,0.366525,0.371207,0.8166278,0.37022499999999997,0.343067,0.3933,0.331775,0.85725,,0.32425000000000004,0.2794857142857143,0.28157875,0.753074875,,0.29538333333333333,0.317965,0.2954777777777778,0.24509927272727275,0.7646453636363636,,0.2565285714285714,0.23429000000000003,0.32402,0.3617495,0.7447281666666666,0.35882,0.292862,0.3528090909090909,0.30011666666666664,0.7705000000000001,,0.26944999999999997,0.3286384615384615,0.37079535714285716,0.7232999285714287,,0.3405666666666667,0.276127,0.32913333333333333,0.27934416666666667,0.75823075,,0.26944545454545454,0.26776
2019-11-30,0.36692500000000006,0.362167,0.8166278,0.36482499999999995,0.343067,0.38326666666666664,0.33347499999999997,0.8514,,0.32845,0.2804142857142857,0.279486875,0.7614423749999999,,0.31362,0.292862,0.29973999999999995,0.266845,0.773599909090909,,0.24892500000000006,0.259392,0.32265999999999995,0.36677200000000004,0.7391498333333333,0.35578,0.26776,0.35523636363636363,0.30695,0.7809583333333333,,0.2725083333333333,0.32828333333333326,0.36207857142857147,0.7258142142857142,,0.32498181818181815,0.276127,0.3387888888888889,0.28235409090909086,0.7669035454545454,,0.25523,0.26776
2019-12-31,0.392025,0.3685,0.8166278,0.356875,0.3347,0.36260000000000003,0.34347500000000003,0.8221250000000001,,0.33345,0.28258571428571433,0.28638687500000004,0.7614423749999999,,0.3173,0.3347,0.29989,0.2717268181818182,0.7649453636363636,,0.2532777777777778,0.271944,0.32299999999999995,0.36259949999999996,0.7391498333333333,0.3585,0.276127,0.3617727272727273,0.310575,0.7836000000000002,,0.2782727272727273,0.33442500000000003,0.36614285714285716,0.737771357142857,,0.3252333333333333,0.26776,0.33359999999999995,0.28981181818181817,0.7741971818181818,,0.25570000000000004,0.251025
2020-01-31,0.399125,0.39060700000000004,0.8166278,0.36774999999999997,0.3347,0.3866,0.36315,0.842175,,0.33555,0.2895285714285714,0.30352024999999994,0.7614423749999999,,0.34685,0.317965,0.30457,0.30624500000000004,0.7673726363636363,,0.27222222222222225,0.26776,0.32298,0.36454416666666667,0.7419389999999999,0.37854,0.26776,0.366,0.3497636363636364,0.806309090909091,,0.30441,0.32255833333333334,0.36069999999999997,0.738146076923077,,0.33330833333333326,0.26776,0.33555,0.31816633333333333,0.7904376666666666,,0.2792625,0.251025
