1 Month Anomaly (%) Rainfall,3 Months Anomaly (%) Rainfall,Cereals and tubers,Exchange rate (USD/LCU),FCS,Fatality,Lat,Lon,NDVI Anomaly,Population,Rainfall (mm),Ramadan,colsample_bytree,gamma,learning_rate,max_depth,min_child_weight,n_estimators,rCSI,subsample,h,r2,val_loss,train_loss
61,11,81,31,71,21,0,0,1,0,1,41,0.63,0.03,0.42,19,9.0,85,21,0.63,1,0.9999463920704394,0.7049494,0.0059336177
61,11,81,31,71,21,0,0,1,0,1,41,0.63,0.03,0.42,19,9.0,85,21,0.63,2,0.9999431912071458,1.8827606,0.006266147
61,11,81,31,71,21,0,0,1,0,1,41,0.63,0.03,0.42,19,9.0,85,21,0.63,3,0.9999413316891606,3.3092768,0.0064492966
61,11,81,31,71,21,0,0,1,0,1,41,0.63,0.03,0.42,19,9.0,85,21,0.63,4,0.9999405593354928,5.277794,0.006512293
61,11,81,31,71,21,0,0,1,0,1,41,0.63,0.03,0.42,19,9.0,85,21,0.63,5,0.9999424176287878,7.399247,0.006287782
61,11,81,31,71,21,0,0,1,0,1,41,0.63,0.03,0.42,19,9.0,85,21,0.63,6,0.9999352485865521,9.107902,0.007047512
61,11,81,31,71,21,0,0,1,0,1,41,0.63,0.03,0.42,19,9.0,85,21,0.63,7,0.999941120473011,12.878631,0.0063880845
61,11,81,31,71,21,0,0,1,0,1,41,0.63,0.03,0.42,19,9.0,85,21,0.63,8,0.999934862101975,13.92099,0.007045584
61,11,81,31,71,21,0,0,1,0,1,41,0.63,0.03,0.42,19,9.0,85,21,0.63,9,0.999929481720617,14.717487,0.0076049874
61,11,81,31,71,21,0,0,1,0,1,41,0.63,0.03,0.42,19,9.0,85,21,0.63,10,0.999934438129036,15.91631,0.0070513543
61,11,81,31,71,21,0,0,1,0,1,41,0.63,0.03,0.42,19,9.0,85,21,0.63,11,0.9999381413041633,14.883623,0.0066367616
61,11,81,31,71,21,0,0,1,0,1,41,0.63,0.03,0.42,19,9.0,85,21,0.63,12,0.9999334669937141,15.0475,0.007122183
61,11,81,31,71,21,0,0,1,0,1,41,0.63,0.03,0.42,19,9.0,85,21,0.63,13,0.9999233266820251,19.37283,0.008191143
61,11,81,31,71,21,0,0,1,0,1,41,0.63,0.03,0.42,19,9.0,85,21,0.63,14,0.9999374320518299,18.814436,0.0066714017
61,11,81,31,71,21,0,0,1,0,1,41,0.63,0.03,0.42,19,9.0,85,21,0.63,15,0.9999344014907917,22.057907,0.0069815554
61,11,81,31,71,21,0,0,1,0,1,41,0.63,0.03,0.42,19,9.0,85,21,0.63,16,0.9999343020821544,22.459263,0.0069782906
61,11,81,31,71,21,0,0,1,0,1,41,0.63,0.03,0.42,19,9.0,85,21,0.63,17,0.9999348503370764,22.530592,0.0069058137
61,11,81,31,71,21,0,0,1,0,1,41,0.63,0.03,0.42,19,9.0,85,21,0.63,18,0.9999269532265511,25.128815,0.007725758
61,11,81,31,71,21,0,0,1,0,1,41,0.63,0.03,0.42,19,9.0,85,21,0.63,19,0.999927888083586,26.81283,0.00760943
61,11,81,31,71,21,0,0,1,0,1,41,0.63,0.03,0.42,19,9.0,85,21,0.63,20,0.9999315110874382,27.81046,0.0072103404
61,11,81,31,71,21,0,0,1,0,1,41,0.63,0.03,0.42,19,9.0,85,21,0.63,21,0.9999260428807453,29.36909,0.007770152
61,11,81,31,71,21,0,0,1,0,1,41,0.63,0.03,0.42,19,9.0,85,21,0.63,22,0.9999165220545397,27.642328,0.00875518
61,11,81,31,71,21,0,0,1,0,1,41,0.63,0.03,0.42,19,9.0,85,21,0.63,23,0.9999143691046565,33.027153,0.008968747
61,11,81,31,71,21,0,0,1,0,1,41,0.63,0.03,0.42,19,9.0,85,21,0.63,24,0.9999293380137828,24.684141,0.007393992
61,11,81,31,71,21,0,0,1,0,1,41,0.63,0.03,0.42,19,9.0,85,21,0.63,25,0.9999178755251644,31.184067,0.008589169
61,11,81,31,71,21,0,0,1,0,1,41,0.63,0.03,0.42,19,9.0,85,21,0.63,26,0.9999097928942354,36.648457,0.0094328495
61,11,81,31,71,21,0,0,1,0,1,41,0.63,0.03,0.42,19,9.0,85,21,0.63,27,0.9999214492089167,33.31316,0.008214475
61,11,81,31,71,21,0,0,1,0,1,41,0.63,0.03,0.42,19,9.0,85,21,0.63,28,0.9999322616500317,35.133156,0.0070857783
61,11,81,31,71,21,0,0,1,0,1,41,0.63,0.03,0.42,19,9.0,85,21,0.63,29,0.9998994287171586,38.254524,0.01052537
61,11,81,31,71,21,0,0,1,0,1,41,0.63,0.03,0.42,19,9.0,85,21,0.63,30,0.9999219892421033,34.681538,0.0081702415
91,1,81,31,1,31,0,0,81,0,11,1,0.68,0.46,0.26,7,5.0,90,71,0.41000000000000003,1,0.9979781700473964,0.95591253,0.2360511
91,1,81,31,1,31,0,0,81,0,11,1,0.68,0.46,0.26,7,5.0,90,71,0.41000000000000003,2,0.9954156461770873,2.1155348,0.53569305
91,1,81,31,1,31,0,0,81,0,11,1,0.68,0.46,0.26,7,5.0,90,71,0.41000000000000003,3,0.9915213672310963,3.476132,0.99175525
91,1,81,31,1,31,0,0,81,0,11,1,0.68,0.46,0.26,7,5.0,90,71,0.41000000000000003,4,0.9869911660842289,4.9618163,1.5233651
91,1,81,31,1,31,0,0,81,0,11,1,0.68,0.46,0.26,7,5.0,90,71,0.41000000000000003,5,0.9830641552589945,7.2953725,1.9855679
91,1,81,31,1,31,0,0,81,0,11,1,0.68,0.46,0.26,7,5.0,90,71,0.41000000000000003,6,0.9797473812270204,8.956955,2.3773167
91,1,81,31,1,31,0,0,81,0,11,1,0.68,0.46,0.26,7,5.0,90,71,0.41000000000000003,7,0.9762316514193194,10.515472,2.7935457
91,1,81,31,1,31,0,0,81,0,11,1,0.68,0.46,0.26,7,5.0,90,71,0.41000000000000003,8,0.9738311719653507,11.527991,3.079854
91,1,81,31,1,31,0,0,81,0,11,1,0.68,0.46,0.26,7,5.0,90,71,0.41000000000000003,9,0.9717152700986255,13.121754,3.333785
91,1,81,31,1,31,0,0,81,0,11,1,0.68,0.46,0.26,7,5.0,90,71,0.41000000000000003,10,0.9724843088145223,16.19801,3.2483318
91,1,81,31,1,31,0,0,81,0,11,1,0.68,0.46,0.26,7,5.0,90,71,0.41000000000000003,11,0.9714842835045555,17.11398,3.3721614
91,1,81,31,1,31,0,0,81,0,11,1,0.68,0.46,0.26,7,5.0,90,71,0.41000000000000003,12,0.9698221714845427,19.198273,3.5751657
91,1,81,31,1,31,0,0,81,0,11,1,0.68,0.46,0.26,7,5.0,90,71,0.41000000000000003,13,0.9692904808192293,20.11761,3.6449733
91,1,81,31,1,31,0,0,81,0,11,1,0.68,0.46,0.26,7,5.0,90,71,0.41000000000000003,14,0.9692722994025008,20.68416,3.654136
91,1,81,31,1,31,0,0,81,0,11,1,0.68,0.46,0.26,7,5.0,90,71,0.41000000000000003,15,0.9707702149448247,21.572136,3.4827952
91,1,81,31,1,31,0,0,81,0,11,1,0.68,0.46,0.26,7,5.0,90,71,0.41000000000000003,16,0.9698744467153854,23.35058,3.596641
91,1,81,31,1,31,0,0,81,0,11,1,0.68,0.46,0.26,7,5.0,90,71,0.41000000000000003,17,0.972096427902425,25.049068,3.3381026
91,1,81,31,1,31,0,0,81,0,11,1,0.68,0.46,0.26,7,5.0,90,71,0.41000000000000003,18,0.9713533689443433,25.22619,3.4339693
91,1,81,31,1,31,0,0,81,0,11,1,0.68,0.46,0.26,7,5.0,90,71,0.41000000000000003,19,0.9705076490322442,25.341818,3.542605
91,1,81,31,1,31,0,0,81,0,11,1,0.68,0.46,0.26,7,5.0,90,71,0.41000000000000003,20,0.9706735125168675,26.580608,3.530027
91,1,81,31,1,31,0,0,81,0,11,1,0.68,0.46,0.26,7,5.0,90,71,0.41000000000000003,21,0.9699122189412246,27.639748,3.6293156
