alpha,beta,bxcx,damped_factor,gamma,s,season,stationary,loss
0.20126312744898187,0.7496926466942119,False,0.10513884212455084,0.46905860393232235,105,additive,False,40.72649973075438
0.18900238495698124,0.12015031580111887,True,0.4545114732795171,0.9315068342994658,123,additive,False,95.78310072321597
0.6110031234798479,0.26545904597973435,False,0.6654599838264154,0.13230647129434325,160,multiplicative,False,47.05185757443349
0.0613127806669767,0.3718871760430737,True,0.8027177790178995,0.2593293352181926,172,additive,True,47.330968475753686
0.5627953145616766,0.7236793562031929,True,0.7448879158736059,0.8018201054292117,201,additive,True,909.6263887597219
0.25465103100740666,0.26161052191608253,False,0.7157251273595537,0.41682501951220335,161,additive,False,30.600563544001602
0.5278289550053265,0.450509109893421,True,0.8690775979470421,0.8937975321780389,171,additive,False,15.725677389190343
0.3851113067143771,0.692602731635358,True,0.3588311636170573,0.6924795509242886,58,additive,False,24.269585681345617
0.3829203158247892,0.7141198140697096,True,0.3389661662819514,0.7326355102297553,47,additive,False,23.99901927893968
0.40652136201032124,0.6364148398876721,True,0.29656816878109205,0.7527112372782252,47,additive,False,22.888734478174296
0.7060000438715384,0.6290195673845101,True,0.2169169947785291,0.9848595532000403,150,additive,False,226.52253878753513
0.4544192798941252,0.8344637862222757,True,0.3517443439910137,0.8106023909989983,76,additive,False,183.47570181833734
0.31482173258371926,0.611169016584115,True,0.5493710453020606,0.9878666663786653,127,additive,False,110.29627242617534
0.6719750001039758,0.8170653840699418,True,0.2528870678197742,0.8111394578155255,182,additive,False,54.9663559999741
0.47243639557748307,0.4349332140196066,True,0.0699898979591965,0.6664258621418241,217,additive,False,23.474191738770596
0.3256970510091177,0.14809737741209245,True,0.44364608996167476,0.3639609908427507,163,additive,False,31.780657332944326
0.7629095976820582,0.6512325317977993,True,0.1683140014862533,0.9988110479264348,10,additive,False,54.1098981083897
0.41369679174953655,0.447212093126364,True,0.5339602887107049,0.7730032328178682,7,additive,False,35.16863356096516
0.5791717714863392,0.32068764147127515,True,0.27167425711905535,0.9432430697853972,14,multiplicative,False,49.589263448332304
0.27601981788197694,0.9873326678451335,True,0.0037156733295327093,0.8495285805565319,190,additive,False,80.5006062166285
0.6755248756767044,0.054526796833719526,True,0.9146049044603248,0.3518867429164723,164,additive,False,43.589044338976414
0.7808067103598637,0.563472263761628,False,0.6296955346405781,0.5617968742368211,171,additive,False,8.605631800522584
0.9010370069404307,0.5729328035869332,False,0.778265630457001,0.03498082091896548,171,multiplicative,False,21.500961162201268
0.7548442423274923,0.49821149725802844,False,0.998757657822072,0.5201706481474297,41,additive,True,31152.14266613471
0.7991169870609588,0.4124826076850458,False,0.653981461189901,0.3929233643077378,171,additive,False,11.98228270050201
0.7824284986783028,0.5383811790540554,False,0.8053183681755265,0.4828677709952249,207,additive,False,53.010037919593394
0.6361206667956738,0.09561323806756578,False,0.5063192106333967,0.37220707271837483,67,additive,False,23.82126600289311
0.9681630928649767,0.3296631851031472,False,0.41427566181030573,0.3106601090284228,134,additive,False,35.05282114868764
0.86391884011093,0.4143943686320617,False,0.5834938395437775,0.40364235930449865,171,additive,True,920.64224227602
0.9580118490701985,0.8580999791155977,False,0.9189745399062588,0.2784784103415592,102,additive,False,188.39557178371214
0.9329413082498242,0.9891589842269886,False,0.4710985487707496,0.2097895676032701,18,additive,True,3835.609929675035
0.7199952187196201,0.0005223528302940039,False,0.5358435148605517,0.4462781063162336,97,multiplicative,False,43.823145371094434
0.5634184137444208,0.495429352937084,False,0.7127637151628523,0.5181093168666809,198,additive,False,22.82348020196559
0.6013060872161966,0.23332838237942682,False,0.7636170047816838,0.482530781152404,21,additive,True,66.98404156676524
0.8686645153823855,0.5481544080874908,False,0.4077370585023008,0.01949871486806587,197,additive,False,43.29712227767559
0.8018669103656401,0.7556972964385704,False,0.6109952642329715,0.6213696800347329,144,multiplicative,False,22.532886413738765
0.9196773662913557,0.2753242044313322,False,0.8294072162832935,0.39014639611285207,33,additive,False,487.5424059249963
0.9966000360109245,0.4061822875641732,False,0.49949096579005076,0.31923022480638513,87,additive,True,861.3598147700794
0.8336975471338584,0.46527772699727543,False,0.6585740332369854,0.08699682891604593,110,additive,False,30.45947835015092
0.5468346553267194,0.57619993862508,True,0.9801874261547787,0.24526256861533124,111,additive,False,50.09910101899664
0.49933751663991893,0.34831948817517533,True,0.9560323189542398,0.9183206755264512,234,additive,False,2584.8192556994363
0.000161915049212924,0.6569779540594264,True,0.7404004695783915,0.7699948298276972,157,additive,False,70.32545590587976
0.3528797160213967,0.7223387885328155,True,0.8330900541379544,0.2743267516370722,171,additive,False,32.635803183232305
0.4417547107649869,0.5885010942357056,True,0.6982613497305659,0.5627176293656155,171,additive,False,23.875903457129564
0.650788989799867,0.3016862980088151,False,0.44879622674715897,0.34557329608049225,145,additive,False,23.338822901986703
