alpha,beta,bxcx,damped_factor,gamma,s,season,stationary,loss
0.5915308356262835,0.5050841196755101,False,0.08654380474127886,0.8197767835165409,93,additive,False,15.67199051773828
0.962962479766251,0.8138979033049416,False,0.7685187582262377,0.7238103651475828,27,additive,False,56995.28322000848
0.8395509893237977,0.7849651071438029,True,0.8152517327491934,0.5764890442896324,141,additive,True,253012511.53011504
0.35149962412383035,0.4738579563157771,True,0.15576666323683236,0.3532468673191473,154,additive,True,336176055.3023627
0.42609281115110154,0.2553190201663219,False,0.92337701221982,0.739699289627478,125,multiplicative,True,191393.82856432258
0.28019304455943167,0.03701378835860058,False,0.005369826901984756,0.11832559650649158,135,multiplicative,True,267583.83770396234
0.8376207772035978,0.23263524989412107,True,0.1809400776270035,0.901452709154095,235,multiplicative,True,250444010.29343483
0.4950399906871749,0.7383989729905415,True,0.47108155348979763,0.8970562836546653,11,additive,True,339206689.77591485
0.6956234166774485,0.5157051049563958,False,0.08460053006533139,0.2881697581315084,205,additive,False,67.91871444929556
0.11320288809776453,0.8124762202264534,True,0.5243714393297099,0.6991266108220056,47,multiplicative,False,259.8676075294932
0.5855001934107468,0.6371227293207437,True,0.41533214898514165,0.3562534512963486,192,multiplicative,False,100.74715841030518
0.7772685929065423,0.4072171189064869,False,0.5048158391855547,0.7565797520363662,40,multiplicative,False,85.84082037797624
0.8410675594665092,0.6318565342152015,True,0.5536180239109844,0.931243336615578,48,multiplicative,True,295870119.27898353
0.28797338763907615,0.28370347523287803,False,0.8445229943211072,0.4043408543783314,139,multiplicative,False,101.48485761412003
0.6514563508389571,0.5604013986125971,False,0.008597069498444423,0.24107631704264426,93,additive,False,30.16886994469445
0.7018761134057849,0.3839067624528031,False,0.329981127068271,0.2163423289678169,144,additive,False,58.05145237248872
0.45016417873357445,0.5283551845906014,False,0.2639696090356163,0.1766128335531969,182,additive,False,12.027720274864157
0.4017585358254068,0.6981770502824174,False,0.30282986840352466,0.15782921162865365,64,additive,False,153.60054447681082
0.5104977237403201,0.36603343755292006,False,0.23102467619741318,0.008522309156185348,80,additive,False,60.022302771556944
0.4631771928028475,0.43291163455566145,False,0.10323504934004801,0.9802561428990331,115,additive,False,25.01041438487492
0.3581551632691765,0.3150737518817074,False,0.27738197370558626,0.8075032966623114,182,additive,False,17.04462847543674
0.21434768268637533,0.897089935909736,False,0.08274174628599743,0.819655248836105,201,additive,False,113.49661230235677
0.3501969700449986,0.31683517723953375,False,0.6465677411062052,0.4213893218748055,101,additive,False,68.00462301493707
0.45531062978197645,0.46052801490300976,False,0.13944792792027821,0.3129195404506372,19,additive,False,35.04410022048537
0.7799353788153235,0.7610258874132968,False,0.0414465698825439,0.19533299142380484,133,additive,True,325893.5367218516
0.388387800630566,0.027838402609827784,False,0.16612235944832765,0.5471622913156704,118,additive,False,28.80975974142562
0.6311709835707395,0.5872289649655126,False,0.3824630220232419,0.06935734615341942,43,additive,True,148372.40097784004
0.5218058440853477,0.6806456070404426,False,0.26130074119729413,0.858590628488556,191,additive,False,80.02438119160989
0.30536689230547753,0.5229555112903552,True,0.12600829079847636,0.2767145143663056,206,additive,True,261832094.11393514
0.9075293815324983,0.09417793769962418,False,0.4483009197483346,0.761795229257697,14,additive,False,48.912930742491604
0.7643020944158739,0.3499937220528163,True,0.05816899254774874,0.15434570809442474,173,additive,False,31.93884465291075
0.22350131209377316,0.4335667479886973,False,0.20329563571073025,0.37481074644539947,3,multiplicative,True,230747.16903573947
0.4462609996081178,0.7970975214479492,False,0.3294340313074988,0.44981623141477106,82,multiplicative,False,73.18662020705588
