alpha,beta,bxcx,damped_factor,gamma,s,season,stationary,loss
0.5738918855019668,0.4499489938026671,False,0.254723320011387,0.526563719298634,212,additive,True,333755.3421148526
0.09948109754897394,0.0659994897903596,True,0.698525187139708,0.06391297906798245,108,additive,False,89.9466737956214
0.23756088658497224,0.3533037134393068,True,0.5186596254203899,0.5122830879018432,25,additive,False,46.00591599519809
0.8648880140073828,0.7756547225869381,False,0.31506870936190534,0.2655535401679742,128,additive,False,26.869396301822253
0.1607972695962011,0.7562810401002026,True,0.23990403685214376,0.5819240340497325,80,multiplicative,False,25.17009436586655
0.784202250741827,0.41730445592566157,False,0.2606453346132784,0.11815736786906476,10,additive,False,37.34131919143062
0.2625366987542799,0.7332896932239462,False,0.5909098110825362,0.36461054082530825,152,additive,True,400460.1525686745
0.4051641241266218,0.7468889091583786,True,0.42017327729191273,0.8085476265833647,75,additive,False,83.37294936591455
0.9950684577072542,0.9571294363222593,True,0.17327745853398158,0.36076292934774473,128,multiplicative,False,28.147025173406245
0.97815758185299,0.6435123020963245,True,0.3100781207955652,0.662674350200154,80,multiplicative,False,90.59316126436694
0.8782049941653488,0.8575440651287359,True,0.3440996836262896,0.41950957445453707,147,additive,False,84.09674881945156
0.44512878722629373,0.8433647391244171,True,0.20099632552196928,0.2435563395864883,31,multiplicative,False,24.997531429796634
0.3875966698976905,0.8212134745780403,True,0.2187963869778704,0.19896179426731908,95,multiplicative,False,50.80798439374214
0.006836585138695894,0.9534912864851741,True,0.120055404732416,0.004017382342416886,31,multiplicative,False,40.58093423953406
0.38476780598995786,0.6718956757143546,True,0.11443780061084233,0.6095575667977355,13,multiplicative,False,38.33362416290233
0.32728895271782754,0.9095387461082993,True,0.24064669553831472,0.2875351231370605,22,multiplicative,False,34.235358235690214
0.05753180764564575,0.9075663913679598,True,0.7685585733666787,0.47655804162754684,81,multiplicative,False,40.76252794257658
0.5821470618619374,0.48143868812971385,True,0.39337898214662487,0.1374051405426786,178,multiplicative,False,80.01591313676325
0.20972723233174942,0.797674480653718,True,0.2629323743928901,0.20175482443700093,54,multiplicative,False,69.17745290113145
0.6691143073640002,0.5593886197225111,True,0.4522668746723723,0.0439924208349014,118,multiplicative,False,61.70212189488354
0.05815753490514494,0.8703126748381746,True,0.3462230917443133,0.08990570092394601,84,multiplicative,False,88.76751662657568
0.29192010686624115,0.17981541011490954,False,0.06934437255674777,0.9919204725690547,129,multiplicative,False,97.4537183931177
0.08833338721986472,0.7015893781553741,True,0.6092761402944508,0.16006835148722326,158,additive,False,29.980381563132408
0.22718906155870744,0.8447254434274605,False,0.5190637146821213,0.3940308914980083,16,multiplicative,False,44.679510487606784
0.6321807757383453,0.773380103029822,False,0.18417325594876982,0.31177822401199695,115,multiplicative,False,83.0586383576183
0.2742693436453483,0.6012029285792737,True,0.04172249373676423,0.49515130963031634,161,additive,False,27.888397793755118
