1 Month Anomaly (%) Rainfall,3 Months Anomaly (%) Rainfall,Cereals and tubers,Exchange rate (USD/LCU),FCS,Fatality,Lat,Lon,NDVI Anomaly,Population,Rainfall (mm),Ramadan,colsample_bytree,gamma,learning_rate,max_depth,min_child_weight,n_estimators,rCSI,subsample,h,r2,val_loss,train_loss
13,9,11,21,7,9,0,0,11,0,1,7,0.52,0.31,0.48,18,1.0,70,19,0.4,1,0.9996536320856115,2.6100774,0.041977514
13,9,11,21,7,9,0,0,11,0,1,7,0.52,0.31,0.48,18,1.0,70,19,0.4,2,0.9996251141368698,4.3117194,0.045527123
13,9,11,21,7,9,0,0,11,0,1,7,0.52,0.31,0.48,18,1.0,70,19,0.4,3,0.9996266902371923,8.810676,0.04543159
13,9,11,21,7,9,0,0,11,0,1,7,0.52,0.31,0.48,18,1.0,70,19,0.4,4,0.9996320052675822,11.922831,0.044874374
13,9,11,21,7,9,0,0,11,0,1,7,0.52,0.31,0.48,18,1.0,70,19,0.4,5,0.9996144195947088,12.1023655,0.047091886
13,9,11,21,7,9,0,0,11,0,1,7,0.52,0.31,0.48,18,1.0,70,19,0.4,6,0.9996063972231237,16.40183,0.04816029
13,9,11,21,7,9,0,0,11,0,1,7,0.52,0.31,0.48,18,1.0,70,19,0.4,7,0.9996140014996322,18.582603,0.04731464
13,9,11,21,7,9,0,0,11,0,1,7,0.52,0.31,0.48,18,1.0,70,19,0.4,8,0.999637069156888,24.399796,0.04456394
13,9,11,21,7,9,0,0,11,0,1,7,0.52,0.31,0.48,18,1.0,70,19,0.4,9,0.9996237183094434,28.249973,0.04627457
13,9,11,21,7,9,0,0,11,0,1,7,0.52,0.31,0.48,18,1.0,70,19,0.4,10,0.999617020901072,28.861322,0.047159996
13,9,11,21,7,9,0,0,11,0,1,7,0.52,0.31,0.48,18,1.0,70,19,0.4,11,0.9996293254511244,30.053785,0.045697685
13,9,11,21,7,9,0,0,11,0,1,7,0.52,0.31,0.48,18,1.0,70,19,0.4,12,0.9996099746194246,34.582558,0.048136767
13,9,11,21,7,9,0,0,11,0,1,7,0.52,0.31,0.48,18,1.0,70,19,0.4,13,0.999627369484417,29.679596,0.046039134
13,9,11,21,7,9,0,0,11,0,1,7,0.52,0.31,0.48,18,1.0,70,19,0.4,14,0.9996375938615316,36.52803,0.044819046
13,9,11,21,7,9,0,0,11,0,1,7,0.52,0.31,0.48,18,1.0,70,19,0.4,15,0.999610391091448,37.357635,0.048220277
13,9,11,21,7,9,0,0,11,0,1,7,0.52,0.31,0.48,18,1.0,70,19,0.4,16,0.9995931316341756,37.607265,0.050380398
13,9,11,21,7,9,0,0,11,0,1,7,0.52,0.31,0.48,18,1.0,70,19,0.4,17,0.9996352312029626,41.325474,0.04519442
13,9,11,21,7,9,0,0,11,0,1,7,0.52,0.31,0.48,18,1.0,70,19,0.4,18,0.9996128864883668,46.06434,0.04798374
