AdminStrata,Bamako,Bamako,Bamako,Bamako,Bamako,Bamako,Bamako,Bamako,Bamako,Bamako,Bamako,Bamako,Bamako,Bamako,Kayes,Kayes,Kayes,Kayes,Kayes,Kayes,Kayes,Kayes,Kayes,Kayes,Kayes,Kayes,Kayes,Kayes,Kidal,Kidal,Kidal,Kidal,Kidal,Kidal,Kidal,Kidal,Kidal,Kidal,Kidal,Kidal,Kidal,Kidal,Koulikoro,Koulikoro,Koulikoro,Koulikoro,Koulikoro,Koulikoro,Koulikoro,Koulikoro,Koulikoro,Koulikoro,Koulikoro,Koulikoro,Koulikoro,Koulikoro,Mopti,Mopti,Mopti,Mopti,Mopti,Mopti,Mopti,Mopti,Mopti,Mopti,Mopti,Mopti,Mopti,Mopti,Segou,Segou,Segou,Segou,Segou,Segou,Segou,Segou,Segou,Segou,Segou,Segou,Segou,Segou,Sikasso,Sikasso,Sikasso,Sikasso,Sikasso,Sikasso,Sikasso,Sikasso,Sikasso,Sikasso,Sikasso,Sikasso,Sikasso,Sikasso,Tombouctou-Taoudeni,Tombouctou-Taoudeni,Tombouctou-Taoudeni,Tombouctou-Taoudeni,Tombouctou-Taoudeni,Tombouctou-Taoudeni,Tombouctou-Taoudeni,Tombouctou-Taoudeni,Tombouctou-Taoudeni,Tombouctou-Taoudeni,Tombouctou-Taoudeni,Tombouctou-Taoudeni,Tombouctou-Taoudeni,Tombouctou-Taoudeni
Indicator,1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Code,FCG,Fatalities,Lat,Lon,NDVI,NDVI Anomaly,Population,Price cereals and tubers,Rainfalls (mm),Ramadan,rCSI,1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Code,FCG,Fatalities,Lat,Lon,NDVI,NDVI Anomaly,Population,Price cereals and tubers,Rainfalls (mm),Ramadan,rCSI,1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Code,FCG,Fatalities,Lat,Lon,NDVI,NDVI Anomaly,Population,Price cereals and tubers,Rainfalls (mm),Ramadan,rCSI,1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Code,FCG,Fatalities,Lat,Lon,NDVI,NDVI Anomaly,Population,Price cereals and tubers,Rainfalls (mm),Ramadan,rCSI,1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Code,FCG,Fatalities,Lat,Lon,NDVI,NDVI Anomaly,Population,Price cereals and tubers,Rainfalls (mm),Ramadan,rCSI,1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Code,FCG,Fatalities,Lat,Lon,NDVI,NDVI Anomaly,Population,Price cereals and tubers,Rainfalls (mm),Ramadan,rCSI,1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Code,FCG,Fatalities,Lat,Lon,NDVI,NDVI Anomaly,Population,Price cereals and tubers,Rainfalls (mm),Ramadan,rCSI,1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Code,FCG,Fatalities,Lat,Lon,NDVI,NDVI Anomaly,Population,Price cereals and tubers,Rainfalls (mm),Ramadan,rCSI
2020-06-25,97.02153853626221,95.7684726612654,23,58.9357798165137,4.0,12.609212547637313,-7.980041294199702,0.2197603773809524,97.80274408042392,2781741,0.17740787079208414,183.62270000000004,31.0,33.0642201834862,95.93214460466714,94.97149085541515,25,57.90983606557378,5.0,13.876871631485093,-10.229539887636488,0.2592849676190476,101.57605142895443,2380144,0.23913565807621626,113.96200000000002,31.0,33.9344262295082,101.87694721787031,102.00215099235857,26,42.55319148936171,7.0,19.47395811929273,1.1071079234476982,0.1095913504761905,101.99082515249547,66535,0.9313792572585772,2.3183,31.0,60.63829787234044,99.28886373426882,99.51278483831314,27,57.44388456252863,4.0,13.623264670475061,-7.644289116366853,0.25380294571428563,101.48400676525469,4036499,0.1744251539297769,109.07360000000004,31.0,25.423728813559322,110.1316783570045,105.93962741604686,28,42.82136894824708,102.0,14.690778789008636,-3.55388494879152,0.17446442905844156,103.42714935977672,2330137,0.1690101446836467,47.7967,0.0,38.52253756260434,113.7102757859933,105.51039470399569,29,47.3187183811129,36.0,13.812658488252833,-5.700589968316099,0.21118670503246756,102.33287664337247,2709545,0.11735058126511723,67.08300000000001,0.0,35.682967959527765,101.76010927600309,106.25598801417448,30,53.873659117997576,1.0,11.428011844884656,-6.5467238792565645,0.3876844675,97.11003337649339,3284796,0.1721977837101542,214.77360000000004,31.0,25.42709574890741,103.04178529776794,105.41657928635004,31,40.50091631032378,14.0,20.06128074033313,-3.5965640525756286,0.10795543133116883,100.59106203715616,763824,0.3199241889379297,2.9866000000000006,0.0,47.15943799633478
2020-06-26,97.16581866166392,95.74730410356374,23,58.80597014925368,4.0,12.609212547637313,-7.980041294199702,0.22060013940476195,97.80459789538601,2781741,0.1773823503190685,188.3227,31.0,32.499999999999964,96.16994684514714,95.10002150720815,25,57.90983606557378,5.0,13.876871631485093,-10.229539887636488,0.2600998080952381,101.51053436550748,2380144,0.2391166869100797,117.37430000000003,31.0,33.9344262295082,101.91983097578958,102.06440515426192,26,35.76751117734724,7.0,19.47395811929273,1.1071079234476982,0.10953410666666667,101.9939586705248,66535,0.9305107826866365,2.4197,31.0,55.73770491803279,99.36040434243944,99.50478097315529,27,57.44388456252863,4.0,13.623264670475061,-7.644289116366853,0.2544582330952381,101.41519097895157,4036499,0.17455898638621695,112.21570000000004,31.0,25.423728813559322,111.6930147411988,107.0272867692823,28,43.90243902439024,98.0,14.690778789008636,-3.55388494879152,0.17460082016233766,103.44462582869764,2330137,0.16908324518501933,48.8076,0.0,39.49507916131793,114.97089677610235,106.24844775861008,29,45.95155709342554,36.0,13.812658488252833,-5.700589968316099,0.21162127691558444,102.27902470399306,2709545,0.117481203018903,67.8388,0.0,34.01384083044977,101.22318114119946,105.72204489469071,30,53.873659117997576,1.0,11.428011844884656,-6.5467238792565645,0.38935491392857147,97.05308424877396,3284796,0.17232358726443875,218.64400000000003,31.0,25.42709574890741,103.30615242756409,105.66939913480392,31,36.98559670781895,11.0,20.06128074033313,-3.5965640525756286,0.10791507425324676,100.58040289329992,763824,0.32181630060019034,3.1442000000000005,0.0,47.42798353909467
2020-06-27,97.29587452520279,95.73308414471713,23,58.88554216867463,4.0,12.609212547637313,-7.980041294199702,0.22146152833333332,97.80603151374184,2781741,0.17735682984605278,193.0227,31.0,32.34186746987948,96.40363996499248,95.2238725668462,25,57.90983606557378,5.0,13.876871631485093,-10.229539887636488,0.2609472501190476,101.44408322184148,2380144,0.2390977157439431,120.78660000000002,31.0,33.9344262295082,101.9599904817362,102.12590839965671,26,30.486486486486488,7.0,19.47395811929273,1.1071079234476982,0.10947735642857144,101.99763197219492,66535,0.9296423081146956,2.5211,31.0,53.405405405405425,99.41544982425249,99.49609210091988,27,57.44388456252863,1.0,13.623264670475061,-7.644289116366853,0.2551307124999999,101.34436773603895,4036499,0.17469281884265708,115.35780000000004,31.0,25.423728813559322,113.20180126349692,108.06762050430555,28,43.62244897959183,98.0,14.690778789008636,-3.55388494879152,0.17476519035714286,103.46341927748017,2330137,0.16915634568639198,49.81849999999999,0.0,39.24319727891157,116.09143960306255,106.89852547735212,29,45.57491289198599,36.0,13.812658488252833,-5.700589968316099,0.21210011857142855,102.22842706729824,2709545,0.11761182477268882,68.59460000000001,0.0,33.554006968641055,100.70999838704269,105.21664104469829,30,53.873659117997576,1.0,11.428011844884656,-6.5467238792565645,0.3910435576190476,96.99592467452105,3284796,0.1724493908187233,222.5144,31.0,25.42709574890741,103.5674203493552,105.91818970856926,31,35.84980237154149,11.0,20.06128074033313,-3.5965640525756286,0.10787578607142856,100.56964497753779,763824,0.3237084122624511,3.3018000000000005,0.0,46.16600790513832
2020-06-28,97.41170612687885,95.72581278472558,23,58.88554216867463,4.0,12.609212547637313,-7.980041294199702,0.22234454416666669,97.80704493549149,2781741,0.1773313093730371,197.72270000000003,31.0,32.34186746987948,96.63322396420328,95.34304403432928,25,57.90983606557378,5.0,13.876871631485093,-10.229539887636488,0.2618272936904762,101.37669799795643,2380144,0.23907874457780656,124.19890000000004,31.0,33.9344262295082,101.99742573571008,102.18666072854292,26,27.657572906867372,7.0,19.47395811929273,1.1071079234476982,0.10942109976190477,102.00184505750576,66535,0.9287738335427548,2.6225,31.0,48.73000940733776,99.45400017970805,99.48671822160685,27,57.44388456252863,1.0,13.623264670475061,-7.644289116366853,0.25582038392857137,101.27153703651688,4036499,0.1748266512990972,118.4999,31.0,25.423728813559322,114.6580379238989,109.06062862111669,28,43.1960049937578,98.0,14.690778789008636,-3.55388494879152,0.17495753964285712,103.4835297061243,2330137,0.16922944618776462,50.82939999999999,0.0,41.40657511444027,117.07190426687401,107.46062786022186,29,45.76627011896424,36.0,13.812658488252833,-5.700589968316099,0.21262323,102.18108373328798,2709545,0.1177424465264746,69.35040000000001,0.0,33.694891532540176,100.22056101353279,104.73977646419742,30,53.873659117997576,1.0,11.428011844884656,-6.5467238792565645,0.3927503985714286,96.93855465373457,3284796,0.1725751943730078,226.38480000000004,31.0,25.42709574890741,103.82558906314135,106.16295100764614,31,34.679245283018844,11.0,20.06128074033313,-3.5965640525756286,0.10783756678571428,100.55878828986972,763824,0.32560052392471184,3.4594000000000005,0.0,44.981132075471656
2020-06-29,97.51331346669201,95.72549002358902,23,58.51063829787228,4.0,12.609212547637313,-7.980041294199702,0.22324918690476184,97.8076381606349,2781741,0.17730578890002138,202.4227,31.0,31.724924012158016,96.85869884277952,95.45753590965737,25,57.90983606557378,5.0,13.876871631485093,-10.229539887636488,0.2627399388095237,101.30837869385236,2380144,0.23905977341166995,127.61120000000004,31.0,33.9344262295082,102.03213673771128,102.24666214092056,26,27.657572906867372,7.0,19.47395811929273,1.1071079234476982,0.10936533666666667,102.00659792645743,66535,0.9279053589708144,2.7238999999999995,31.0,48.73000940733776,99.47605540880606,99.47665933521627,27,57.44388456252863,1.0,13.623264670475061,-7.644289116366853,0.2565272473809523,101.1966988803853,4036499,0.17496048375553727,121.64200000000002,31.0,25.423728813559322,115.90416587672267,109.8779056414444,28,41.441441441441434,98.0,14.690778789008636,-3.55388494879152,0.1751831842857143,103.51020266802831,2330137,0.16922944618776462,50.12629999999999,0.0,40.11154011154011,117.86714668294235,107.9130463870993,29,45.72135785007066,36.0,13.812658488252833,-5.700589968316099,0.21318471607142855,102.13741553647628,2709545,0.1177424465264746,68.42290000000001,0.0,34.05233380480901,99.75486902066984,104.29145115318796,30,53.873659117997576,1.0,11.428011844884656,-6.5467238792565645,0.3944754367857143,96.88097418641459,3284796,0.17270099792729232,230.25520000000003,31.0,25.42709574890741,104.08252706901101,106.40593131803527,31,33.4230769230769,11.0,20.06128074033313,-3.5965640525756286,0.10780111642857143,100.54861647954776,763824,0.32560052392471184,3.5807,0.0,43.923076923076884
2020-06-30,97.60069654464232,95.7321158613075,23,57.92730085073468,4.0,12.609212547637313,-7.980041294199702,0.224175456547619,97.8078111891721,2781741,0.17728026842700567,207.1227,31.0,32.17324052590871,97.08006460072114,95.56734819283051,25,56.22009569377989,5.0,13.876871631485093,-10.229539887636488,0.2636851854761905,101.23912530952927,2380144,0.23904080224553345,131.0235,31.0,32.5358851674641,102.06412348773972,102.30591263678959,26,27.657572906867372,7.0,19.47395811929273,1.1071079234476982,0.10931006714285713,102.01189057904983,66535,0.9270368843988736,2.8252999999999995,31.0,48.73000940733776,99.48161551154655,99.46591544174808,27,54.48473282442754,1.0,13.623264670475061,-7.644289116366853,0.2572513028571428,101.11985326764432,4036499,0.17509431621197738,124.78410000000002,31.0,23.330152671755748,116.94018512196821,110.51945156528869,28,41.10671936758892,96.0,14.690778789008636,-3.55388494879152,0.1754421242857143,103.54343816319208,2330137,0.16922944618776462,49.4232,0.0,40.535792709705746,118.47716685126768,108.25578105798442,29,45.5647955647955,36.0,13.812658488252833,-5.700589968316099,0.21378457678571428,102.09742247686322,2709545,0.1177424465264746,67.4954,0.0,33.88773388773382,99.31292240845377,103.87166511166994,30,52.70935960591131,1.0,11.428011844884656,-6.5467238792565645,0.3962186722619048,96.82318327256112,3284796,0.17282680148157686,234.12560000000005,31.0,25.779967159277486,104.33823436696414,106.64713063973669,31,31.866825208085604,11.0,20.06128074033313,-3.5965640525756286,0.107766435,100.53912954657187,763824,0.32560052392471184,3.702,0.0,42.68727705112959
2020-07-01,97.6894153312571,95.73627746423736,23,55.711500974658826,4.0,12.609212547637313,-7.980041294199702,0.22514919964285712,97.80529759615452,2781741,0.17725238775548605,212.4227,31.0,30.214424951267024,97.27679624141821,95.66199571857183,25,56.532356532356516,5.0,13.876871631485093,-10.229539887636488,0.2647398382142857,101.17102127504215,2380144,0.2390892208102184,134.3633,31.0,35.16483516483516,102.08064476542036,102.35314065141606,26,27.657572906867372,7.0,19.47395811929273,1.1071079234476982,0.1092549269047619,102.01768434472929,66535,0.9255992181928732,3.0362,31.0,48.73000940733776,99.48431824226722,99.45093071775752,27,49.539951573849926,1.0,13.623264670475061,-7.644289116366853,0.2580414238095238,101.04060727390558,4036499,0.17528931578170706,129.32350000000002,31.0,24.40677966101697,117.79143301906991,111.04992925082152,28,40.59139784946235,112.0,14.690778789008636,-3.55388494879152,0.17580690571428573,103.58254142748713,2330137,0.16976663018134025,51.0021,0.0,38.79928315412185,118.93351518594541,108.52407457715496,29,46.01184256356662,36.0,13.812658488252833,-5.700589968316099,0.2145376857142857,102.05930779280378,2709545,0.1179513983537501,69.67930000000001,0.0,33.01985370950882,98.93069238119736,103.50042398576763,30,49.29460580912861,1.0,11.428011844884656,-6.5467238792565645,0.3980297498809524,96.76710988538255,3284796,0.17309642550865553,243.23850000000004,31.0,25.975103734439827,104.5673926677397,106.85943617024463,31,31.866825208085604,11.0,20.06128074033313,-3.5965640525756286,0.10773482142857144,100.53047860870274,763824,0.3260156336212749,3.9686,0.0,42.68727705112959
2020-07-02,97.77946982653631,95.73797483237841,23,55.131172839506114,4.0,12.609212547637313,-7.980041294199702,0.2261704161904762,97.80009738158212,2781741,0.17722450708396634,217.7227,31.0,29.89969135802465,97.44889376487059,95.74147848688145,25,55.118110236220424,3.0,13.876871631485093,-10.229539887636488,0.2659038970238096,101.10406659039108,2380144,0.2391376393749035,137.70309999999998,31.0,32.366348943224175,102.08170057075321,102.38834618479977,26,27.657572906867372,7.0,19.47395811929273,1.1071079234476982,0.10919991595238096,102.02397922349579,66535,0.9241615519868728,3.2471,31.0,48.73000940733776,99.4841636009682,99.4317051632445,27,47.89569990850873,1.0,13.623264670475061,-7.644289116366853,0.2588976102380952,100.95896089916909,4036499,0.17548431535143671,133.8629,31.0,23.833485818847226,118.45790956802784,111.46933869804306,28,37.793103448275865,121.0,14.690778789008636,-3.55388494879152,0.17627752857142856,103.62751246091341,2330137,0.17030381417491586,52.581,0.0,35.95402298850574,119.23619168697556,108.71792694461088,29,45.013947001394605,36.0,13.812658488252833,-5.700589968316099,0.2154440428571429,102.02307148429806,2709545,0.11816035018102562,71.86320000000002,0.0,32.949790794979016,98.60817893890064,103.17772777548099,30,49.598930481283425,1.0,11.428011844884656,-6.5467238792565645,0.3999086696428571,96.7127540248789,3284796,0.1733660495357342,252.35140000000007,31.0,25.668449197860962,104.77000197133745,107.04284790955921,31,32.45412844036695,11.0,20.06128074033313,-3.5965640525756286,0.10770627571428573,100.52266366594044,763824,0.3264307433178379,4.2352,0.0,43.46330275229356
2020-07-03,97.87086003048002,95.73720796573076,23,53.68852459016386,4.0,12.609212547637313,-7.980041294199702,0.2272391061904762,97.79221054545494,2781741,0.17719662641244668,223.0227,31.0,28.87481371087925,97.59635717107841,95.8057964977593,25,54.09695409695408,3.0,13.876871631485093,-10.229539887636488,0.26717736190476193,101.03826125557602,2380144,0.2391860579395885,141.04289999999997,31.0,29.77262977262977,102.0672909037382,102.41152923694086,26,27.657572906867372,7.0,19.47395811929273,1.1071079234476982,0.1091450342857143,102.03077521534935,66535,0.9227238857808724,3.458,31.0,48.73000940733776,99.48115158764936,99.40823877820908,27,46.061127851915636,1.0,13.623264670475061,-7.644289116366853,0.2598198621428571,100.87491414343485,4036499,0.17567931492116634,138.40230000000003,31.0,25.096857511838145,118.93961476884195,111.77767990695318,28,33.47889374090248,96.0,14.690778789008636,-3.55388494879152,0.17685399285714287,103.67835126347092,2330137,0.1708409981684915,54.1599,0.0,35.32265890344493,119.38519635435814,108.83733816035219,29,43.40579710144918,36.0,13.812658488252833,-5.700589968316099,0.21650364821428567,101.988713551346,2709545,0.1183693020083011,74.04710000000001,0.0,34.96376811594196,98.34538208156364,102.90357648081014,30,47.13896457765669,1.0,11.428011844884656,-6.5467238792565645,0.40185543154761894,96.66011569105018,3284796,0.17363567356281287,261.46430000000004,31.0,27.247956403269768,104.9460622777575,107.19736585768032,31,31.941309255078988,11.0,20.06128074033313,-3.5965640525756286,0.10768079785714288,100.51568471828493,763824,0.3268458530144009,4.5018,0.0,42.77652370203158
