AdminStrata,Bamako,Bamako,Bamako,Bamako,Bamako,Bamako,Bamako,Bamako,Bamako,Bamako,Bamako,Bamako,Bamako,Bamako,Kayes,Kayes,Kayes,Kayes,Kayes,Kayes,Kayes,Kayes,Kayes,Kayes,Kayes,Kayes,Kayes,Kayes,Koulikoro,Koulikoro,Koulikoro,Koulikoro,Koulikoro,Koulikoro,Koulikoro,Koulikoro,Koulikoro,Koulikoro,Koulikoro,Koulikoro,Koulikoro,Koulikoro,Mopti,Mopti,Mopti,Mopti,Mopti,Mopti,Mopti,Mopti,Mopti,Mopti,Mopti,Mopti,Mopti,Mopti,Segou,Segou,Segou,Segou,Segou,Segou,Segou,Segou,Segou,Segou,Segou,Segou,Segou,Segou,Sikasso,Sikasso,Sikasso,Sikasso,Sikasso,Sikasso,Sikasso,Sikasso,Sikasso,Sikasso,Sikasso,Sikasso,Sikasso,Sikasso,Tombouctou-Taoudeni,Tombouctou-Taoudeni,Tombouctou-Taoudeni,Tombouctou-Taoudeni,Tombouctou-Taoudeni,Tombouctou-Taoudeni,Tombouctou-Taoudeni,Tombouctou-Taoudeni,Tombouctou-Taoudeni,Tombouctou-Taoudeni,Tombouctou-Taoudeni,Tombouctou-Taoudeni,Tombouctou-Taoudeni,Tombouctou-Taoudeni
Indicator,1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Code,FCG,Fatalities,Lat,Lon,NDVI,NDVI Anomaly,Population,Price cereals and tubers,Rainfalls (mm),Ramadan,rCSI,1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Code,FCG,Fatalities,Lat,Lon,NDVI,NDVI Anomaly,Population,Price cereals and tubers,Rainfalls (mm),Ramadan,rCSI,1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Code,FCG,Fatalities,Lat,Lon,NDVI,NDVI Anomaly,Population,Price cereals and tubers,Rainfalls (mm),Ramadan,rCSI,1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Code,FCG,Fatalities,Lat,Lon,NDVI,NDVI Anomaly,Population,Price cereals and tubers,Rainfalls (mm),Ramadan,rCSI,1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Code,FCG,Fatalities,Lat,Lon,NDVI,NDVI Anomaly,Population,Price cereals and tubers,Rainfalls (mm),Ramadan,rCSI,1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Code,FCG,Fatalities,Lat,Lon,NDVI,NDVI Anomaly,Population,Price cereals and tubers,Rainfalls (mm),Ramadan,rCSI,1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Code,FCG,Fatalities,Lat,Lon,NDVI,NDVI Anomaly,Population,Price cereals and tubers,Rainfalls (mm),Ramadan,rCSI
2018-01-10,100.0,45.7889252048695,23,,,12.609212547637313,-7.980041294199702,,,2781741,,0.0,,,100.0,75.1512752361025,25,,,13.876871631485093,-10.229539887636488,,,2380144,,0.0,,,100.0,54.475157452764215,27,,,13.623264670475061,-7.644289116366853,,,4036499,,0.0,,,100.0,72.7407607229566,28,,,14.690778789008636,-3.55388494879152,,,2330137,,0.0,,,100.01,56.069445751387995,29,,,13.812658488252833,-5.700589968316099,,,2709545,,0.0,,,100.299820107935,43.5560880852532,30,,,11.428011844884656,-6.5467238792565645,,,3284796,,0.0,,,100.70787637088699,99.1589327146172,31,,,20.06128074033313,-3.5965640525756286,,,763824,,0.0,,
2018-01-11,,,23,,,12.609212547637313,-7.980041294199702,,,2781741,,,,,,,25,,,13.876871631485093,-10.229539887636488,,,2380144,,,,,,,27,,,13.623264670475061,-7.644289116366853,,,4036499,,,,,,,28,,,14.690778789008636,-3.55388494879152,,,2330137,,,,,,,29,,,13.812658488252833,-5.700589968316099,,,2709545,,,,,,,30,,,11.428011844884656,-6.5467238792565645,,,3284796,,,,,,,31,,,20.06128074033313,-3.5965640525756286,,,763824,,,,
2018-01-12,,,23,,,12.609212547637313,-7.980041294199702,,,2781741,,,,,,,25,,,13.876871631485093,-10.229539887636488,,,2380144,,,,,,,27,,,13.623264670475061,-7.644289116366853,,,4036499,,,,,,,28,,,14.690778789008636,-3.55388494879152,,,2330137,,,,,,,29,,,13.812658488252833,-5.700589968316099,,,2709545,,,,,,,30,,,11.428011844884656,-6.5467238792565645,,,3284796,,,,,,,31,,,20.06128074033313,-3.5965640525756286,,,763824,,,,
2018-01-13,,,23,,,12.609212547637313,-7.980041294199702,,,2781741,,,,,,,25,,,13.876871631485093,-10.229539887636488,,,2380144,,,,,,,27,,,13.623264670475061,-7.644289116366853,,,4036499,,,,,,,28,,,14.690778789008636,-3.55388494879152,,,2330137,,,,,,,29,,,13.812658488252833,-5.700589968316099,,,2709545,,,,,,,30,,,11.428011844884656,-6.5467238792565645,,,3284796,,,,,,,31,,,20.06128074033313,-3.5965640525756286,,,763824,,,,
2018-01-14,,,23,,,12.609212547637313,-7.980041294199702,,,2781741,,,,,,,25,,,13.876871631485093,-10.229539887636488,,,2380144,,,,,,,27,,,13.623264670475061,-7.644289116366853,,,4036499,,,,,,,28,,,14.690778789008636,-3.55388494879152,,,2330137,,,,,,,29,,,13.812658488252833,-5.700589968316099,,,2709545,,,,,,,30,,,11.428011844884656,-6.5467238792565645,,,3284796,,,,,,,31,,,20.06128074033313,-3.5965640525756286,,,763824,,,,
2018-01-15,,,23,,,12.609212547637313,-7.980041294199702,,,2781741,,,,,,,25,,,13.876871631485093,-10.229539887636488,,,2380144,,,,,,,27,,,13.623264670475061,-7.644289116366853,,,4036499,,,,,,,28,,,14.690778789008636,-3.55388494879152,,,2330137,,,,,,,29,,,13.812658488252833,-5.700589968316099,,,2709545,,,,,,,30,,,11.428011844884656,-6.5467238792565645,,,3284796,,,,,,,31,,,20.06128074033313,-3.5965640525756286,,,763824,,,,
2018-01-16,,,23,,,12.609212547637313,-7.980041294199702,,,2781741,,,,,,,25,,,13.876871631485093,-10.229539887636488,,,2380144,,,,,,,27,,,13.623264670475061,-7.644289116366853,,,4036499,,,,,,,28,,,14.690778789008636,-3.55388494879152,,,2330137,,,,,,,29,,,13.812658488252833,-5.700589968316099,,,2709545,,,,,,,30,,,11.428011844884656,-6.5467238792565645,,,3284796,,,,,,,31,,,20.06128074033313,-3.5965640525756286,,,763824,,,,
2018-01-17,,,23,,,12.609212547637313,-7.980041294199702,,,2781741,,,,,,,25,,,13.876871631485093,-10.229539887636488,,,2380144,,,,,,,27,,,13.623264670475061,-7.644289116366853,,,4036499,,,,,,,28,,,14.690778789008636,-3.55388494879152,,,2330137,,,,,,,29,,,13.812658488252833,-5.700589968316099,,,2709545,,,,,,,30,,,11.428011844884656,-6.5467238792565645,,,3284796,,,,,,,31,,,20.06128074033313,-3.5965640525756286,,,763824,,,,
2018-01-18,,,23,,,12.609212547637313,-7.980041294199702,,,2781741,,,,,,,25,,,13.876871631485093,-10.229539887636488,,,2380144,,,,,,,27,,,13.623264670475061,-7.644289116366853,,,4036499,,,,,,,28,,,14.690778789008636,-3.55388494879152,,,2330137,,,,,,,29,,,13.812658488252833,-5.700589968316099,,,2709545,,,,,,,30,,,11.428011844884656,-6.5467238792565645,,,3284796,,,,,,,31,,,20.06128074033313,-3.5965640525756286,,,763824,,,,
2018-01-19,,,23,,,12.609212547637313,-7.980041294199702,,,2781741,,,,,,,25,,,13.876871631485093,-10.229539887636488,,,2380144,,,,,,,27,,,13.623264670475061,-7.644289116366853,,,4036499,,,,,,,28,,,14.690778789008636,-3.55388494879152,,,2330137,,,,,,,29,,,13.812658488252833,-5.700589968316099,,,2709545,,,,,,,30,,,11.428011844884656,-6.5467238792565645,,,3284796,,,,,,,31,,,20.06128074033313,-3.5965640525756286,,,763824,,,,
2018-01-20,100.0,57.357576865092,23,,,12.609212547637313,-7.980041294199702,0.2033444,88.6611951100354,2781741,,0.0,,,100.0,61.253288686917,25,,,13.876871631485093,-10.229539887636488,0.257954,90.8859099304147,2380144,,0.0,,,100.0,71.3087631218622,27,,,13.623264670475061,-7.644289116366853,0.2489968,93.2337748108956,4036499,,0.0,,,100.0,88.7665386256935,28,,,14.690778789008636,-3.55388494879152,0.1916718,92.73319729342494,2330137,,0.0,,,100.0,76.1819558185947,29,,,13.812658488252833,-5.700589968316099,0.2275792,95.8765172663197,2709545,,0.0,,,100.07,54.2752455857734,30,,,11.428011844884656,-6.5467238792565645,0.3210031,93.8628621912418,3284796,,0.0,,,100.239568776203,100.394360642808,31,,,20.06128074033313,-3.5965640525756286,0.1069795,99.05569297559248,763824,,0.0,,
2018-01-21,,,23,,,12.609212547637313,-7.980041294199702,,,2781741,,,,,,,25,,,13.876871631485093,-10.229539887636488,,,2380144,,,,,,,27,,,13.623264670475061,-7.644289116366853,,,4036499,,,,,,,28,,,14.690778789008636,-3.55388494879152,,,2330137,,,,,,,29,,,13.812658488252833,-5.700589968316099,,,2709545,,,,,,,30,,,11.428011844884656,-6.5467238792565645,,,3284796,,,,,,,31,,,20.06128074033313,-3.5965640525756286,,,763824,,,,
2018-01-22,,,23,,,12.609212547637313,-7.980041294199702,,,2781741,,,,,,,25,,,13.876871631485093,-10.229539887636488,,,2380144,,,,,,,27,,,13.623264670475061,-7.644289116366853,,,4036499,,,,,,,28,,,14.690778789008636,-3.55388494879152,,,2330137,,,,,,,29,,,13.812658488252833,-5.700589968316099,,,2709545,,,,,,,30,,,11.428011844884656,-6.5467238792565645,,,3284796,,,,,,,31,,,20.06128074033313,-3.5965640525756286,,,763824,,,,
2018-01-23,,,23,,,12.609212547637313,-7.980041294199702,,,2781741,,,,,,,25,,,13.876871631485093,-10.229539887636488,,,2380144,,,,,,,27,,,13.623264670475061,-7.644289116366853,,,4036499,,,,,,,28,,,14.690778789008636,-3.55388494879152,,,2330137,,,,,,,29,,,13.812658488252833,-5.700589968316099,,,2709545,,,,,,,30,,,11.428011844884656,-6.5467238792565645,,,3284796,,,,,,,31,,,20.06128074033313,-3.5965640525756286,,,763824,,,,
2018-01-24,,,23,,,12.609212547637313,-7.980041294199702,,,2781741,,,,,,,25,,,13.876871631485093,-10.229539887636488,,,2380144,,,,,,,27,,,13.623264670475061,-7.644289116366853,,,4036499,,,,,,,28,,,14.690778789008636,-3.55388494879152,,,2330137,,,,,,,29,,,13.812658488252833,-5.700589968316099,,,2709545,,,,,,,30,,,11.428011844884656,-6.5467238792565645,,,3284796,,,,,,,31,,,20.06128074033313,-3.5965640525756286,,,763824,,,,
