batch_size,lags,epoch,val_loss,train_loss
128,22,119,0.012395312078297138,0.0006361869247548544
128,48,119,0.01149431150406599,0.0005684250145745666
128,117,199,0.010975874029099941,0.0015858719125390053
128,27,115,0.012251440435647964,0.0007112231040890846
128,43,128,0.014959340915083885,0.0006104015974906852
128,64,123,0.01095923874527216,0.0006522708625163672
128,33,118,0.012887184508144855,0.000635549627680568
128,92,149,0.009635287337005138,0.0007963628012997409
128,42,118,0.013984467834234238,0.0006315094571974542
128,36,118,0.013142675161361694,0.0005951268652572829
128,48,127,0.012296464294195175,0.0005360670982194156
128,32,114,0.013439666479825974,0.000607412077084768
128,94,110,0.009612321853637695,0.0010808493435868751
128,119,216,0.013953863643109798,0.0011247870279476047
128,38,121,0.011183178052306175,0.0006530235828497773
128,75,110,0.013762407936155796,0.0008027823749072259
128,62,105,0.011692903004586697,0.0006707952732474289
128,65,106,0.012579190544784069,0.0007676652737129002
128,30,127,0.014374464750289917,0.000590395561813723
128,69,107,0.012194045819342136,0.0007623327714908454
128,94,114,0.010456669144332409,0.0010966461526391946
128,118,170,0.012048252858221531,0.00137825938872993
128,92,119,0.01397419162094593,0.000966682266133527
128,106,113,0.01116950809955597,0.0014547899019706882
128,13,128,0.009382754564285278,0.0008133406189676279
128,112,172,0.009503420442342758,0.0023166513939698536
128,2,161,0.006114096846431494,0.0027205572769963657
128,63,109,0.011014538817107677,0.0006757616462116992
128,13,122,0.012824950739741325,0.0009948086160688828
128,2,166,0.006586318835616112,0.002776429007720688
128,10,123,0.011422616429626942,0.000970676401557511
128,5,133,0.009421582333743572,0.0017521717230833712
128,2,211,0.008225579746067524,0.0022307183256075865
128,80,140,0.011493216268718243,0.0005164418867705306
128,2,171,0.0058247665874660015,0.0026998015605183183
128,2,174,0.006219243165105581,0.0027047134270432632
128,110,131,0.010134534910321236,0.0022718307163034166
128,115,142,0.011220244690775871,0.0018083780538290738
128,16,128,0.013202858157455921,0.000726885702491741
128,108,124,0.01261034794151783,0.0016322676325216889
128,55,123,0.011930909939110279,0.0006216137557320537
128,31,124,0.011907482519745827,0.0006291911312804897
128,68,105,0.011703706346452236,0.0007096781571186623
128,7,131,0.009317095391452312,0.0011846654056430314
128,82,110,0.013928725384175777,0.0008526434454446038
128,4,141,0.007953655906021595,0.001904857866836926
128,111,135,0.010266103781759739,0.002595694859822591
128,49,120,0.01641823910176754,0.0005847520484844697
128,46,120,0.012931941077113152,0.0005948171900594039
128,45,115,0.014008929021656513,0.0005943816461324416
128,95,195,0.011584808118641376,0.0005826196774388804
128,23,120,0.011930764652788639,0.0007074312600042962
128,78,107,0.014969409443438053,0.000851904797869233
128,53,117,0.011074041947722435,0.0006312087100620071
128,20,121,0.013965234160423279,0.00070950457653434
128,107,148,0.01132728811353445,0.0013340139590824645
128,26,118,0.013268128968775272,0.0006562488924988269
128,74,110,0.010959992185235023,0.0007677184490941811
128,86,113,0.013440815731883049,0.0008173947434081265
128,73,109,0.011090091429650784,0.0007636849521518205
128,39,121,0.013380691409111023,0.0005563200768839536
128,93,114,0.011500985361635685,0.0010057323715753025
128,114,164,0.010946613736450672,0.002120894454419613
128,104,121,0.010357317514717579,0.002012187712945235
128,11,119,0.012996512465178967,0.0008953094683036958
128,2,221,0.006474032532423735,0.0024269956821386797
128,2,184,0.006335755344480276,0.002513652614088378
128,87,147,0.00953355710953474,0.0008167254774727755
128,8,131,0.0105073731392622,0.001140191820763416
128,14,129,0.010221023112535477,0.0007915240084047167
128,3,144,0.006800469476729631,0.002424647083930802
128,102,119,0.010061045177280903,0.00272591695189476
128,59,129,0.016262346878647804,0.0005175292154040787
128,97,108,0.010175216011703014,0.0012646932216982046
128,79,107,0.01260801125317812,0.0007691428851614003
128,51,124,0.01376465242356062,0.0005673567631582946
128,66,145,0.013646159321069717,0.00047752486364581177
128,109,123,0.010533152148127556,0.0022206441809733708
128,1,250,0.004890988115221262,0.003620018074074867
128,47,123,0.012582589872181416,0.0006288195084336968
128,1,247,0.004882259294390678,0.003480119643540218
128,1,250,0.004565943498164415,0.0034820682278181286
128,1,250,0.004486940335482359,0.003641057613937334
128,1,250,0.004859641194343567,0.0034728737403478087
128,1,250,0.004616833757609129,0.003526614031529632
128,81,110,0.018850501626729965,0.0007792702832914612
128,1,250,0.0046356902457773685,0.003589084487536858
128,83,133,0.01245896890759468,0.0007218310235104725
128,17,124,0.017104117199778557,0.000908554978047808
128,21,124,0.012963359244167805,0.0006452907691709697
128,60,128,0.011558542028069496,0.0005880350396118796
128,103,119,0.011074014939367771,0.0014424182596572098
128,70,110,0.011489087715744972,0.0009501568275398132
128,52,111,0.013335623778402805,0.0006174976893294699
128,61,106,0.010988245718181133,0.0007614691702959438
128,105,179,0.012345194816589355,0.001021380215469334
128,67,122,0.0110628055408597,0.000634171132153521
