Split,Split 1,Split 1,Split 2,Split 2,Split 3,Split 3,Split 4,Split 4,Split 5,Split 5,Split 6,Split 6,Split 7,Split 7,Split 8,Split 8,Split 9,Split 9,Split 10,Split 10
Info,training points,features,training points,features,training points,features,training points,features,training points,features,training points,features,training points,features,training points,features,training points,features,training points,features
1,10420,18,11000,21,11620,19,12220,26,12840,24,13440,19,14060,27,14680,32,15280,18,15900,18
2,10400,24,10980,19,11600,30,12200,26,12820,24,13420,31,14040,19,14660,30,15260,24,15880,31
3,10380,19,10960,19,11580,21,12180,19,12800,30,13400,25,14020,25,14640,19,15240,24,15860,33
4,10360,30,10940,19,11560,21,12160,24,12780,26,13380,26,14000,31,14620,26,15220,20,15840,27
5,10340,18,10920,18,11540,21,12140,31,12760,23,13360,20,13980,24,14600,31,15200,27,15820,24
6,10320,23,10900,18,11520,25,12120,24,12740,31,13340,25,13960,24,14580,26,15180,24,15800,26
7,10300,18,10880,24,11500,27,12100,26,12720,26,13320,25,13940,25,14560,30,15160,32,15780,26
8,10280,18,10860,32,11480,27,12080,24,12700,23,13300,18,13920,27,14540,25,15140,19,15760,21
9,10260,18,10840,31,11460,33,12060,24,12680,31,13280,20,13900,25,14520,25,15120,20,15740,19
10,10240,26,10820,32,11440,32,12040,32,12660,24,13260,20,13880,20,14500,20,15100,20,15720,21
11,10220,30,10800,20,11420,32,12020,26,12640,24,13240,32,13860,24,14480,27,15080,19,15700,25
12,10200,18,10780,30,11400,21,12000,25,12620,26,13220,24,13840,27,14460,19,15060,20,15680,20
13,10180,31,10760,25,11380,32,11980,25,12600,31,13200,20,13820,20,14440,26,15040,19,15660,24
14,10160,26,10740,20,11360,19,11960,31,12580,26,13180,20,13800,20,14420,26,15020,21,15640,20
15,10140,18,10720,25,11340,26,11940,25,12560,30,13160,18,13780,27,14400,19,15000,21,15620,25
16,10120,18,10700,32,11320,32,11920,23,12540,23,13140,18,13760,25,14380,31,14980,27,15600,20
17,10100,18,10680,31,11300,30,11900,24,12520,23,13120,23,13740,27,14360,19,14960,19,15580,19
18,10080,26,10660,31,11280,31,11880,18,12500,23,13100,18,13720,18,14340,19,14940,19,15560,20
19,10060,19,10640,31,11260,32,11860,26,12480,23,13080,26,13700,32,14320,26,14920,19,15540,20
20,10040,19,10620,20,11240,19,11840,18,12460,18,13060,18,13680,18,14300,20,14900,21,15520,20
21,10020,26,10600,33,11220,19,11820,26,12440,23,13040,19,13660,19,14280,19,14880,20,15500,19
22,10000,25,10580,20,11200,21,11800,23,12420,25,13020,23,13640,18,14260,19,14860,19,15480,19
23,9980,26,10560,32,11180,19,11780,24,12400,23,13000,24,13620,20,14240,20,14840,20,15460,20
24,9960,26,10540,31,11160,31,11760,25,12380,23,12980,18,13600,20,14220,19,14820,19,15440,20
25,9940,26,10520,23,11140,20,11740,24,12360,24,12960,19,13580,18,14200,19,14800,20,15420,19
26,9920,24,10500,26,11120,24,11720,24,12340,30,12940,25,13560,18,14180,20,14780,19,15400,20
27,9900,24,10480,31,11100,25,11700,18,12320,23,12920,18,13540,18,14160,19,14760,19,15380,20
28,9880,26,10460,26,11080,19,11680,18,12300,23,12900,18,13520,19,14140,19,14740,19,15360,20
29,9860,25,10440,26,11060,20,11660,23,12280,23,12880,23,13500,18,14120,19,14720,20,15340,25
30,9840,19,10420,27,11040,31,11640,19,12260,18,12860,25,13480,18,14100,20,14700,19,15320,20
