Split,,Split 1,Split 1,Split 10,Split 10,Split 2,Split 2,Split 3,Split 3,Split 4,Split 4,Split 5,Split 5,Split 6,Split 6,Split 7,Split 7,Split 8,Split 8,Split 9,Split 9
Type,,mse_model,mse_naive,mse_model,mse_naive,mse_model,mse_naive,mse_model,mse_naive,mse_model,mse_naive,mse_model,mse_naive,mse_model,mse_naive,mse_model,mse_naive,mse_model,mse_naive,mse_model,mse_naive
Country,AdminStrata,,,,,,,,,,,,,,,,,,,,
Yemen,Abyan,42.45510269166975,4.922155269333328,23.722338941073296,2.596294448000009,24.07695990473127,1.684033752666667,4.878631990956301,5.79697053633333,5.655418926662227,4.175584415999996,29.05577531081004,17.76509441333335,2.447412663672146,3.8405135483333455,23.260971240967464,46.82845601833334,29.01350898752097,44.55790401166669,0.7629526519713505,2.8985690526666676
Yemen,Aden,1.6798781506985372,2.4569927286666724,13.066433231685657,32.17564816566664,4.355035671996609,5.184038776666667,9.9295246962181,5.4826462383333325,2.469946907006679,11.437862768333325,4.433764708962834,6.6645597053333345,2.1966499978989584,1.6282461936666643,7.838702051348937,7.273919183000001,2.10913613066034,17.523471242333333,22.66252172339538,25.670935506666662
Yemen,Al Bayda,46.64796158389585,55.6231024903333,2.648932504815521,2.2967273650000006,8.956332906874978,6.040451076333338,22.222677052936923,25.045917907333337,5.957757498786664,43.53135386066668,88.13642996277596,55.36528698333333,11.560480119336777,6.564782074666676,36.24009118946421,6.401659931000001,7.344349491564092,6.163460958333335,7.437791499837327,5.561421470999992
Yemen,Al Dhale'e,41.91061894847619,42.68095542733334,6.961022742866202,5.162300602999998,3.1712814769354387,15.453605342999994,4.917815138219532,2.3024654526666626,30.434397804304194,88.45986654633334,20.055045435581185,29.20808611200002,3.0123960841082256,11.551643294666672,6.004191983375259,3.045780589333332,25.33419756207439,17.157256102333307,8.213600994786045,5.4421651806666524
Yemen,Al Hudaydah,15.779776967375273,9.791294713999998,2.2698014267143045,7.866424788000012,4.995169012355565,9.435207943666674,5.171968206510941,2.6922839929999984,1.9376791591264388,2.866903570333333,9.955009131685609,14.471344136333338,3.71732157027317,2.17752996866667,9.737513413071007,2.6792399656666643,13.743177157691635,4.062846636666654,4.746846998938626,4.184184138333325
Yemen,Al Jawf,6.224879973199513,16.617082165000003,2.065580350631755,3.3400319286666633,30.46443788067987,76.55837378933332,28.876028308073526,4.487249558333338,8.257967927955237,93.52402627566666,97.03243221159083,71.60650659566666,11.13805095111828,10.489926652666679,37.96909310586192,19.075109720333344,3.0685531675843527,7.338583197,3.1250822056567924,3.184497876333326
Yemen,Al Maharah,11.704743878033051,9.758363800333335,3.667241221171883,5.564978257333332,6.038296986321307,18.68458769366666,4.907764585696525,2.997183777666666,2.4531409946099396,47.122834289,96.7523509094864,73.95290620266665,20.476752220957625,25.85228751533334,3.8842998980367516,6.416273113333332,2.005284889767911,0.9830074050000004,13.174134492661862,4.846297276666671
Yemen,Al Mahwit,6.9060027355047815,5.9311859543333245,26.801188473326643,22.494486888666707,5.9056372815541955,5.075300744999994,2.290504415704604,4.486387302333343,2.1227199940993513,4.373480567666667,3.0512664721331886,3.066417076666664,8.058513069349978,16.97012339700002,7.1588813423540865,5.0493416859999956,28.61102933143511,24.43446574899999,16.583125066362363,33.81299374733335
Yemen,Amanat Al Asimah,6.785675346363666,5.754784655333333,9.055440711411638,5.071275303333338,30.221703492873093,26.686103176999968,8.231099757185685,41.61378890999999,2.222925723713244,1.1451406879999984,3.1625848888891332,2.9255605103333346,18.32083308244156,52.05490845433333,14.768072913661541,54.57412832433333,2.7281992443170853,2.638624234999997,0.9703024334565131,2.7874949703333396
Yemen,Amran,15.346382120180838,17.122132234666665,6.595284581135237,2.7976126026666583,19.741978715467223,5.720667139666664,66.96682672403571,49.11319001066667,2.340259008953733,111.98667522600003,37.58535899024235,48.02063581466668,12.705435951180183,6.4541653829999905,10.273256292256999,47.92622976000002,27.973774153400594,37.670847411333334,5.171808003981036,3.963387535666662
Yemen,Dhamar,5.4384590931540515,24.003583719333314,6.41951352171441,14.684593350666683,6.098321974980524,5.377755908666663,4.957654332396772,6.251041738000003,8.45990137730785,33.1642737583333,12.402007900883635,20.231192954999997,27.907328576246403,32.776631042333356,2.5296774994099933,15.441040092666649,1.1131050315042406,1.2082467566666668,7.117025287834813,6.138819648333333
Yemen,Hajjah,16.437315420121177,4.842007422000001,16.98910028081519,37.20455881133333,1.4704498399694805,7.10332173,3.488316818694649,4.617786798333338,3.742967604018245,3.840325387666669,16.05141946570423,9.570490483999983,6.839690907159087,2.9473431650000004,26.882953836147472,8.581480388666678,4.634814433990082,7.456721025333334,16.661886178689237,14.221024356999996
Yemen,Ibb,3.230827697697615,14.332342093333306,4.912801417309012,6.548419001999999,13.620693678429298,6.874914219333339,63.38192677951626,65.62903716700002,20.16180542467043,238.39454547599988,30.216375848138803,60.01854955666669,2.8114146795364365,6.138703142999998,20.100946328094203,8.43979253366668,29.5511219023606,3.8140043469999965,22.175209390453347,3.1817651573333356
Yemen,Lahj,3.484428674575607,4.555273586666663,39.197757156201895,45.01425376500002,63.66033931139145,51.941809881999966,16.276362623309776,0.9860111016666686,7.235850333753954,75.33518610066672,82.6437129297694,43.5149306423333,3.0490339699678177,0.8084568880000036,2.2524331198164464,2.271763158999993,62.62316196556644,63.65612613266665,0.8179707500324714,55.8045075076667
Yemen,Marib,18.489458785548752,6.153297788666667,1.1439639978501892,4.2594913126666665,19.968287693000498,41.51063075333332,2.140507842489631,4.659636538000011,45.11805036213894,69.72843983733334,2.4769187950615232,14.703293091666664,16.93931060359652,44.57569544499996,3.4837330086470146,9.48453419033333,3.923953120438598,2.1991737229999986,26.781814312943393,43.45955882199998
Yemen,Raymah,79.75759638857103,25.81686920599999,13.413286677753893,6.170574442333328,8.256243100447998,9.826174079333335,17.7016376440991,9.250146989999998,21.253219153218122,10.995460262333346,22.718833436002345,3.0333781090000023,15.282097746439936,1.403072325999996,16.894212003439215,13.626039896333323,23.03939866453659,38.10955024600003,13.452337220034059,44.4982638766667
Yemen,Sa'ada,65.83897302950497,65.76361486166671,6.715262611343556,2.019507509666659,26.093941745365182,74.65053576199998,4.824796617726788,3.60111386866667,23.021003040306685,50.004383567,17.86471793796168,63.617063776666654,11.409324587589278,21.49456494499999,16.623313065014326,8.455596650000006,42.83313377661383,46.49622965733334,3.851590711012004,4.534820784000003
Yemen,Sana'a,12.34919717351787,10.686532293999994,15.195038023115059,17.07331808033334,5.132659711493884,5.401822036666668,35.24378593167573,29.886840299666666,2.6144931287517843,5.409960338,35.037494179317605,11.124161797666671,21.197536010995695,83.40023473633333,9.785284771446243,5.6439877163333305,18.57019533888814,16.845441294000025,8.395985534621735,4.398879685666672
Yemen,Shabwah,15.536859544282171,27.671451829666694,7.505927529605839,4.444201837666667,1.3191371927096358,2.0801839356666663,0.7499200389366913,1.2182905906666668,5.2381100857931,12.151239950999996,50.13543625352759,28.705234426333323,16.321710051543324,10.98732346533332,8.00731099785054,3.244700456666672,4.767076122257225,1.3357405279999992,7.071685614870036,3.9921516739999983
Yemen,Taizz,26.13101898387554,18.50103891466666,8.455589551231247,5.278926737333331,16.655049802005657,25.193359481666654,1.48840526857776,1.4573348320000001,36.46700498602481,76.02020506233337,42.646254369397795,107.08803269866661,19.20068025523894,25.07956218499998,3.1510942250298504,3.435664708666668,5.1200891456842905,6.426532832666658,9.463379331314774,8.733890331333344
