split,h,1 Month Anomaly Rainfalls (%),Code,Day,FCG,Fatalities,Month,NDVI Anomaly,Population,Rainfalls (mm),Ramadan,Year,colsample_bytree,gamma,learning_rate,max_depth,min_child_weight,n_estimators,rCSI,reg_alpha,reg_lambda,subsample,attempt,r2_train,r2_val,shape_train,shape_val,r2_difference,loss_to_minimize
1,1,0,1,1,1,0,1,0,1,0,1,1,1.0,0.6,0.111,3,9.8,142,0,0.1,0.5650000000000001,0.7000000000000001,601,0.9859757499888688,0.9835691437877754,"(8320, 18)","(2100, 18)",0.002406606201093564,0.0058918993441048105
1,2,1,1,1,1,1,1,0,1,0,1,1,0.95,0.46,0.256,3,3.8,82,0,0.14,0.14,0.65,319,0.9733190348097408,0.9688642634362474,"(8320, 24)","(2080, 24)",0.004454771373493482,0.011122629518523164
1,3,1,1,1,1,0,1,0,1,0,1,1,1.0,0.81,0.281,3,8.6,72,0,0.59,0.245,0.8,419,0.9612177143422992,0.9549268164841752,"(8300, 19)","(2080, 19)",0.006290897858123867,0.016038314197996985
1,4,0,1,1,1,1,1,0,1,0,1,1,0.9,0.515,0.243,3,7.300000000000002,81,1,0.34,0.75,0.8500000000000001,560,0.9508084824957324,0.9409348457908544,"(8280, 30)","(2080, 30)",0.009873636704878177,0.021669000944694983
1,5,0,1,1,1,0,1,0,1,0,1,1,1.0,0.3,0.273,3,5.4,76,0,0.67,0.76,0.6000000000000001,211,0.9394308739284843,0.9269615301054932,"(8260, 18)","(2080, 18)",0.012469343822991252,0.02689927849754854
1,6,0,1,1,1,1,1,0,1,0,1,1,1.0,0.035,0.226,3,3.3000000000000003,79,0,0.5,0.355,0.8500000000000001,348,0.9287539680622924,0.9120062368343188,"(8240, 23)","(2080, 23)",0.016747731227973683,0.03309722144089386
1,7,0,1,1,1,0,1,0,1,0,1,1,0.8500000000000001,0.225,0.267,3,7.300000000000002,74,0,0.77,0.525,0.8,432,0.9156576987675492,0.898619716652366,"(8240, 18)","(2060, 18)",0.017037982115183148,0.03722927785036347
1,8,0,1,1,1,0,1,0,1,0,1,1,1.0,0.34500000000000003,0.247,3,9.5,72,0,0.67,0.08,0.6000000000000001,489,0.90390761587788,0.8842397686608994,"(8220, 18)","(2060, 18)",0.019667847216980668,0.04259520828852245
1,9,0,1,1,1,0,1,0,1,0,1,1,1.0,0.735,0.16399999999999998,3,8.4,91,0,0.955,0.915,0.6000000000000001,277,0.8988312225827453,0.8722299031798703,"(8200, 18)","(2060, 18)",0.026601319402875023,0.048971556807188926
1,10,0,1,1,1,0,1,0,1,1,1,1,0.7000000000000001,0.56,0.185,3,5.5,85,1,0.775,0.19,0.65,534,0.8899505879541573,0.8628976014066507,"(8180, 26)","(2060, 26)",0.02705298654750654,0.0519519141970074
1,11,0,1,1,1,1,1,0,1,0,1,1,1.0,0.3,0.27699999999999997,3,7.7,72,1,0.255,0.1,0.9,401,0.8810647316047051,0.8537455603565665,"(8160, 30)","(2060, 30)",0.02731917124813865,0.05480400039228552
1,12,0,1,1,1,0,1,0,1,0,1,1,0.95,0.17500000000000002,0.2,3,2.7,77,0,0.07,0.395,0.6000000000000001,413,0.8665301674268333,0.8402217344279383,"(8160, 18)","(2040, 18)",0.02630843299889496,0.058456852871176475
1,13,0,1,1,1,1,1,0,1,1,1,1,0.7000000000000001,0.335,0.25,3,7.800000000000002,70,1,0.835,0.305,0.75,446,0.859823721513322,0.8311809172068876,"(8140, 31)","(2040, 31)",0.0286428043064344,0.06210284656050748
1,14,0,1,1,1,0,1,0,1,1,1,1,0.7000000000000001,0.035,0.258,3,8.8,74,1,0.38,0.45,0.7000000000000001,594,0.8549211818664193,0.822932967808927,"(8120, 26)","(2040, 26)",0.031988214057492304,0.06591539528031881
1,15,0,1,1,1,0,1,0,1,0,1,1,0.75,0.165,0.09300000000000001,3,4.0,123,0,0.375,0.61,0.9,416,0.8498130868144733,0.8193452942406689,"(8100, 18)","(2040, 18)",0.030467792573804383,0.06638352875732108
1,16,0,1,1,1,0,1,0,1,0,1,1,0.6000000000000001,0.055,0.231,3,7.800000000000002,80,0,0.925,0.32,0.8,269,0.8392420767242699,0.8088668218388435,"(8080, 18)","(2040, 18)",0.03037525488542636,0.06949005540251749
1,17,0,1,1,1,0,1,0,1,0,1,1,0.7000000000000001,0.735,0.207,3,3.7,87,0,0.48,0.61,0.75,457,0.8428210698745499,0.8042473444774736,"(8080, 18)","(2020, 18)",0.03857372539707626,0.07415528681558843
1,18,1,1,1,1,0,1,0,1,0,1,1,0.75,0.535,0.28400000000000003,3,4.6000000000000005,67,1,0.165,0.545,0.6000000000000001,399,0.8188063630488357,0.7930461760387608,"(8060, 26)","(2020, 26)",0.025760187010074875,0.0723902219924017
1,19,1,1,1,1,0,1,0,1,0,1,1,0.65,0.795,0.124,3,7.4,89,0,0.515,0.12,0.7000000000000001,595,0.8092493037745198,0.7829351067515785,"(8040, 19)","(2020, 19)",0.026314197022941244,0.07564514678370292
1,20,1,1,1,1,0,1,0,1,0,1,1,0.8,0.98,0.276,3,1.5,65,0,0.385,0.97,0.75,414,0.7984295120923046,0.7742458767984042,"(8020, 19)","(2020, 19)",0.02418363529390044,0.07739969107803893
1,21,1,1,1,1,0,1,0,1,0,1,1,0.65,0.78,0.293,3,9.7,66,1,0.96,0.36,1.0,423,0.802784189275797,0.7779722997506385,"(8000, 26)","(2020, 26)",0.024811889525158448,0.07653306588487181
