AdminStrata,Boucle-Du-Mouhoun,Boucle-Du-Mouhoun,Cascades,Cascades,Centre,Centre,Centre-Est,Centre-Est,Centre-Nord,Centre-Nord,Centre-Ouest,Centre-Ouest,Centre-Sud,Centre-Sud,Est,Est,Hauts-Bassins,Hauts-Bassins,Nord,Nord,Plateau-Central,Plateau-Central,Sahel,Sahel,Sud-Ouest,Sud-Ouest
Food Group,Cereals and tubers,Pulses and nuts,Cereals and tubers,Pulses and nuts,Cereals and tubers,Pulses and nuts,Cereals and tubers,Pulses and nuts,Cereals and tubers,Pulses and nuts,Cereals and tubers,Pulses and nuts,Cereals and tubers,Pulses and nuts,Cereals and tubers,Pulses and nuts,Cereals and tubers,Pulses and nuts,Cereals and tubers,Pulses and nuts,Cereals and tubers,Pulses and nuts,Cereals and tubers,Pulses and nuts,Cereals and tubers,Pulses and nuts
2020-01-19,0.04810826888023433,0.1727300700624901,0.28241678813876275,0.4371804582465443,0.5173282332510565,0.5600941380149841,0.16773259327730192,0.20316769010197958,0.283011117482734,0.1291692590688999,0.17744905723409765,0.17105797062244582,0.2737923316550414,0.4676975410501249,0.20306139838289303,0.48804467820076575,0.09305318474150295,0.31516848360248984,0.2920409780837891,0.12249100549138359,0.2186572207172571,0.1130231016852864,0.5247010175699668,0.5358292531176477,0.23627585207746865,0.35642600156896787
2020-01-20,0.04837513389399286,0.17469973219358,0.2822226902237227,0.4405618524630076,0.5191948091020214,0.5629006952146487,0.16732101577763064,0.20660318662590632,0.28282589097150096,0.13158132027664374,0.1774043519789527,0.17253225850082382,0.2757151978562376,0.47190737684962175,0.20474604789177533,0.49746427637519935,0.09393180924230406,0.31780597109133124,0.29195242134011284,0.12519612086455426,0.21876362832295698,0.11596491465360949,0.5255813168995874,0.5376011036870746,0.23632583992015865,0.35880650309735806
2020-01-21,0.048641998907751394,0.17666939432466994,0.28202859230868266,0.443943246679471,0.5210613849529865,0.5657072524143133,0.1669094382779594,0.21003868314983307,0.28264066446026787,0.13399338148438758,0.17735964672380775,0.17400654637920182,0.27763806405743374,0.47611721264911866,0.20643069740065764,0.5068838745496329,0.09481043374310516,0.32044345858017265,0.2918638645964366,0.1279012362377249,0.21887003592865684,0.11890672762193258,0.5264616162292081,0.5393729542565013,0.23637582776284866,0.3611870046257483
2020-01-22,0.04890886392150993,0.17863905645575984,0.2818344943936426,0.4473246408959343,0.5229279608039515,0.5685138096139778,0.16649786077828813,0.2134741796737598,0.2824554379490348,0.13640544269213142,0.1773149414686628,0.17548083425757982,0.2795609302586299,0.48032704844861557,0.20811534690953998,0.5163034727240665,0.09568905824390626,0.3230809460690141,0.2917753078527604,0.13060635161089557,0.2189764435343567,0.12184854059025567,0.5273419155588287,0.5411448048259281,0.23642581560553863,0.3635675061541385
2020-01-23,0.049175728935268455,0.18060871858684974,0.28164039647860256,0.4507060351123977,0.5247945366549166,0.5713203668136424,0.16608628327861688,0.21690967619768656,0.2822702114378018,0.13881750389987527,0.17727023621351787,0.17695512213595782,0.281483796459826,0.4845368842481124,0.20979999641842229,0.5257230708985,0.09656768274470737,0.3257184335578555,0.29168675110908415,0.1333114669840662,0.21908285114005657,0.12479035355857877,0.5282222148884493,0.5429166553953548,0.23647580344822863,0.3659480076825288
2020-01-24,0.04944259394902699,0.18257838071793966,0.2814462985635625,0.4540874293288611,0.5266611125058815,0.5741269240133071,0.1656747057789456,0.2203451727216133,0.28208498492656875,0.1412295651076191,0.17722553095837293,0.17842941001433582,0.28340666266102216,0.48874672004760933,0.2114846459273046,0.5351426690729336,0.09744630724550847,0.3283559210466969,0.2915981943654079,0.13601658235723688,0.21918925874575643,0.12773216652690186,0.52910251421807,0.5446885059647816,0.23652579129091864,0.36832850921091903
2020-01-25,0.049709458962785516,0.18454804284902956,0.28125220064852247,0.4574688235453244,0.5285276883568466,0.5769334812129717,0.16526312827927434,0.22378066924554005,0.2818997584153357,0.14364162631536298,0.17718082570322796,0.17990369789271382,0.2853295288622183,0.4929565558471062,0.21316929543618693,0.5445622672473672,0.09832493174630956,0.3309934085355383,0.2915096376217317,0.13872169773040752,0.21929566635145628,0.13067397949522494,0.5299828135476906,0.5464603565342083,0.23657577913360864,0.37070901073930923
2020-01-26,0.050110677640543284,0.1857568912814152,0.2806118487535702,0.4608840317039524,0.5295647541782784,0.5780831552465692,0.16482288345724277,0.22663456596423512,0.28263631871602757,0.14530978079548487,0.17730651755951504,0.18097221846511627,0.2869455825109469,0.4957462060756885,0.21370457339551976,0.5491384207536475,0.09872504617767588,0.3329095319248676,0.2918632524634716,0.14029404604106296,0.21990579941563662,0.13271972299618526,0.530867608746387,0.5471636865312327,0.23647575117809158,0.371926312657236
2020-01-27,0.05051189631830105,0.18696573971380087,0.279971496858618,0.4642992398625804,0.5306018199997101,0.5792328292801667,0.16438263863521121,0.2294884626829302,0.2833728790167195,0.1469779352756068,0.17743220941580212,0.1820407390375187,0.2885616361596755,0.4985358563042707,0.2142398513548526,0.5537145742599279,0.09912516060904222,0.3348256553141969,0.2922168673052115,0.1418663943517184,0.22051593247981696,0.13476546649714558,0.5317524039450835,0.5478670165282571,0.23637572322257455,0.3731436145751629
2020-01-28,0.05091311499605882,0.1881745881461865,0.2793311449636658,0.46771444802120843,0.5316388858211419,0.5803825033137643,0.16394239381317965,0.23234235940162526,0.2841094393174114,0.14864608975572868,0.1775579012720892,0.1831092596099211,0.2901776898084041,0.501325506532853,0.21477512931418544,0.5582907277662083,0.09952527504040856,0.3367417787035261,0.2925704821469514,0.14343874266237386,0.2211260655439973,0.1368112099981059,0.53263719914378,0.5485703465252815,0.23627569526705752,0.37436091649308967
