Split,Split 1,Split 1,Split 2,Split 2,Split 3,Split 3
Info,training points,features,training points,features,training points,features
1,3735,20,4005,18,4284,18
2,3726,18,3996,21,4275,19
3,3717,23,3987,21,4266,22
4,3708,20,3978,18,4257,24
5,3699,23,3969,25,4248,23
6,3690,24,3960,21,4239,22
7,3681,24,3951,25,4230,23
8,3672,20,3942,18,4221,22
9,3663,19,3933,21,4212,22
10,3654,25,3924,20,4203,22
11,3645,26,3915,25,4194,22
12,3636,25,3906,26,4185,23
13,3627,24,3897,25,4176,23
14,3618,26,3888,26,4167,23
15,3609,25,3879,19,4158,22
16,3600,25,3870,24,4149,24
17,3591,22,3861,22,4140,25
18,3582,22,3852,22,4131,25
19,3573,24,3843,20,4122,24
20,3564,23,3834,20,4113,20
21,3555,24,3825,22,4104,24
22,3546,20,3816,19,4095,20
23,3537,22,3807,20,4086,21
24,3528,20,3798,20,4077,19
25,3519,20,3789,24,4068,20
26,3510,20,3780,19,4059,20
27,3501,20,3771,19,4050,19
28,3492,21,3762,18,4041,19
29,3483,19,3753,23,4032,19
30,3474,20,3744,23,4023,19
