Country,Cameroon,Cameroon,Cameroon,Cameroon,Cameroon,Cameroon
Split,Split 1,Split 1,Split 2,Split 2,Split 3,Split 3
Type,r2_model,r2_naive,r2_model,r2_naive,r2_model,r2_naive
Prediction horizon,,,,,,
1,0.9997059944710158,0.9999758501752699,0.9986145330378396,0.9992742405938385,0.9992213622431192,0.9992058088769074
2,0.9985859294306824,0.9995796821751795,0.9982605408497859,0.9988073465125953,0.9981619458351872,0.9988297073143758
3,0.9978673169065568,0.9988392519652836,0.997706880132872,0.998234142646867,0.9921558488605355,0.9955095737334078
4,0.9965852520915531,0.9987480040960183,0.9953545353560269,0.9961534301848987,0.9850320864572178,0.9943450429200652
5,0.9947624874801062,0.9985512512023429,0.9945899149903575,0.9934786784699464,0.9738482884668769,0.9910981041516429
6,0.992690055061657,0.9967861281751833,0.992898510838028,0.9927820180551246,0.9581637167541832,0.9891821253128297
7,0.9831434919916684,0.9869005601810565,0.9883130333074754,0.9850227377811964,0.9401064131654762,0.9868997230136873
8,0.9879900315291147,0.9889342401018343,0.9873599553384561,0.9852304875250951,0.9149167466317694,0.9807372315848246
9,0.988329992956123,0.9842309961151565,0.9836347403769498,0.9854514074818727,0.8901791798849439,0.9766419944885043
10,0.9918276063313608,0.9850640810628519,0.9822021734175903,0.9853418156248658,0.8784033492218959,0.9781128068326589
11,0.9918832675940569,0.9873977165096856,0.9826293537053415,0.9866347502105264,0.8574640542129274,0.9751722750161596
12,0.9899226609546375,0.9857088861522665,0.9799297116653672,0.9877308116306176,0.8275599533952187,0.9658991440889598
13,0.9849926369404903,0.9853084067019099,0.9716519825227863,0.979592980382648,0.811202437628147,0.9606402923535677
14,0.9829879132603966,0.9767812386601381,0.9626072251476663,0.9740853930987236,0.7926973941087049,0.9505100877822168
15,0.9792448734118322,0.9747774961945418,0.9416598615944688,0.9585710622969853,0.7698190520995684,0.9418854710031812
16,0.981546139752429,0.9662014267012247,0.9267972715115672,0.946111493758721,0.7176241994299296,0.9223870125114471
17,0.9856961017571418,0.9727953373357405,0.8896539215952147,0.9185589632758997,0.7130306487418772,0.9248710196869259
18,0.9833696649763424,0.9617838613457234,0.8827513792299022,0.9209076332814977,0.7040613610415665,0.9289995003067643
19,0.9839551415058752,0.9594786802470305,0.829788378878347,0.9008627406731673,0.6861666554636264,0.9231935527531316
20,0.9811489280874132,0.9543392615732732,0.7893228150134836,0.8817242247343662,0.6560077696302415,0.9251315927316687
21,0.9742269282696079,0.9457922857267487,0.762965841704825,0.875065131023548,0.6394191847490458,0.9223953206329554
22,0.9767795386696515,0.9538657990022308,0.7521725829258568,0.8711740450164643,0.6164780794002613,0.9112092846920137
23,0.9659080167992329,0.9370751381797777,0.7702519267336672,0.8732123891499459,0.5521881760269762,0.8981847362484002
24,0.9512607647749212,0.9311296219079708,0.7496155873004999,0.8484307609410935,0.4750715522776139,0.8960984145214743
25,0.9446204643512002,0.939478528517463,0.7685917183217451,0.8524782102740698,0.3627393734853763,0.8500840032099579
26,0.9195519080623487,0.9223224560330847,0.7174365239994075,0.7954479006617362,0.2991748619680865,0.8377441756532941
27,0.8854482375004116,0.8911393072433119,0.74953705429377,0.8072178647476631,0.2992944682912375,0.8411985815426899
28,0.8814846826264312,0.8954798598520267,0.7585511536489343,0.8021841837778481,0.3412495275247597,0.8432452001560775
29,0.8780681516924504,0.8855687310228308,0.724227692616435,0.7598128299985629,0.3148635533517302,0.8139934786539208
30,0.8626066965750163,0.8675939144553515,0.7008317293940967,0.7436226801924462,0.3903796279627586,0.822082459817099
