,Abyan,Aden,Al Bayda,Al Dhale'e,Al Hudaydah,Al Jawf,Al Maharah,Al Mahwit,Amanat Al Asimah,Amran,Dhamar,Hadramaut,Hajjah,Ibb,Lahj,Marib,Raymah,Sa'ada,Sana'a,Shabwah,Taizz
2018-02-26,2344.6146970519685,3128.1174480558784,2497.387246609293,3289.239691622495,2333.256491864442,3056.1358457153074,2179.411333711856,2068.9817180744735,2749.676461445412,2486.1853111369737,2423.0298668822506,3423.9434031488568,1729.4391483887466,2346.4013532053164,1982.97773694368,3655.7984994851813,1895.1686595372528,2397.7442105802384,2609.622724122682,2683.487035788053,2178.052928785728
2018-02-27,2349.831548613194,3128.1948948631325,2499.5377232852284,3287.6036546375826,2334.4048457888503,3056.712967248045,2177.480240515745,2068.7704165407613,2747.791895666776,2486.532018563926,2424.1901055279513,3441.184773517069,1723.2763088638062,2346.2414764353616,1986.4821118432058,3653.6064062606856,1897.5083934724435,2400.7812855563798,2607.6019547413566,2684.7993092677634,2177.9199305796124
2018-02-28,2355.464285714286,3128.2738095238096,2501.8571428571427,3285.8333333333335,2335.6428571428573,3057.3333333333335,2175.3928571428573,2069.3333333333335,2744.7976190476193,2486.904761904762,2425.440476190476,3457.714285714286,1719.0,2346.654761904762,1990.2619047619048,3646.7261904761904,1900.0357142857142,2409.440476190476,2605.4166666666665,2686.214285714286,2177.7738095238096
2018-03-01,2361.512908355241,3128.3541920379107,2504.3455053250373,3283.9287277097465,2336.970525926463,3057.9969439711736,2173.149183593193,2070.670468452188,2740.6936315879393,2487.3035411594824,2426.780978869828,3473.531939740507,1716.6102217973284,2347.641209613518,1994.3171156997767,3635.157852131695,1902.7506219770662,2423.7217824825293,2603.0668598986144,2687.7319651276202,2177.6145656183207
2018-03-02,2367.97741653606,3128.4360424054357,2507.002810688911,3281.889837766822,2338.3878521396678,3058.7037991615634,2170.7492198667496,2072.781821897325,2735.4799332877383,2487.728356328086,2428.2116135660062,3488.6377355957293,1716.1069742557897,2349.200819561631,1998.6477446568217,3618.901391227199,1905.653116546498,2443.6252044325356,2600.5525344371986,2689.3523475077673,2177.442198863145
2018-03-03,2374.857810256744,3128.519360626385,2509.8290589487647,3279.716663504562,2339.8948357824725,3059.453898904506,2168.19296596353,2075.6673936687453,2729.156524147014,2488.179207410575,2429.732380279011,3503.031673279956,1717.4902573753861,2351.3335917490995,2003.2537916330396,3597.956807762703,1908.743197994011,2469.1507420404982,2597.8736902824203,2691.075432854727,2177.256709258284
2018-03-04,2382.1540895172916,3128.604146700757,2512.824250104597,3277.409204922963,2341.491476854874,3060.2472431999977,2165.4804218835325,2079.327183766447,2721.723404165767,2488.6560944069465,2431.3432790088405,3516.713752793187,1720.760071156116,2354.0395261759236,2008.13525662843,3572.3241017382047,1912.0208663196047,2500.2983953064154,2595.0303274342773,2692.9012211684976,2177.058096803735
2018-03-05,2389.8662543177034,3128.6904006285545,2515.98838415641,3274.9674620220294,2343.1777753568754,3061.0838320480416,2162.611587626758,2083.761192190434,2713.1805733439996,2489.1590173172035,2433.044309755497,3529.6839741354206,1725.9164155979804,2357.3186228421037,2013.2921396429945,3542.0032731537076,1915.4861215232788,2537.0681642302893,2592.0224458927723,2694.829712449082,2176.846361499501
2018-03-06,2397.9943046579797,3128.7781224097757,2519.3214611042017,3272.391434801758,2344.953731288476,3061.963665448636,2159.5864631932063,2088.9694189407023,2703.528031681709,2489.6879761413434,2434.8354725189806,3541.9423373066593,1732.9592907009787,2361.170881747641,2018.7244406767315,3506.99432200921,1919.1389636050337,2579.4600488121177,2588.850045657904,2696.8609066964773,2176.621503345581
2018-03-07,2406.538240538119,3128.867312044418,2522.823480947974,3269.6811232621467,2346.8193446496757,3062.8867434017816,2156.4050485828784,2094.9518640172523,2692.765779178896,2490.242970879368,2436.716767299288,3553.4888423069006,1741.8886964651113,2365.596302892533,2024.4321597296407,3467.2972483047115,1922.9793925648687,2627.474049051901,2585.5131267296715,2698.9948039106857,2176.383522341972
2018-03-08,2415.4980619581224,3128.957969532486,2526.4944436877245,3266.836527403199,2348.7746154404736,3063.8530659074772,2153.0673437957716,2101.7085274200854,2680.8938158355613,2490.8240015312754,2438.6881940964226,3564.3234891361444,1752.704632890377,2370.5948862767814,2030.415296801723,3422.9120520402116,1927.0074084027835,2681.1101649496395,2582.011689108076,2701.2314040917045,2176.132418488677
2018-03-09,2424.8737689179916,3129.050094873978,2530.334349323456,3263.8576472249156,2350.8195436608703,3064.862632965726,2149.5733488318874,2109.239409149202,2667.912141651705,2491.4310680970693,2440.749752910384,3574.4462777943927,1765.4070999767778,2376.1666319003853,2036.673851892979,3373.8387332157135,1931.22301111878,2740.368396505334,2578.3457327931183,2703.5707072395376,2175.868191785697
2018-03-10,2434.665361417724,3129.1436880688943,2534.3431978551666,3260.744482727294,2352.9541293108664,3065.915444576525,2145.9230636912275,2117.5445092046016,2653.8207566273263,2492.064170576746,2442.9014437411706,3583.8572082816468,1779.9960977243124,2382.311539763346,2043.2078250034076,3320.077291831215,1935.6262007128576,2805.2487437189848,2574.5152577847966,2706.012713354183,2175.59084223303
2018-03-11,2444.8728394573213,3129.2387491172335,2538.520989282856,3257.497033910335,2355.1783723904623,3067.0115007398745,2142.1164883737883,2126.623827586283,2638.619660762425,2492.7233089703072,2445.1432665887833,3592.556280597901,1796.4716261329806,2389.0296098656613,2050.0172161330083,3261.627727886715,1940.216977185014,2875.751206590588,2570.520264083112,2708.557422435639,2175.3003698306757
2018-03-12,2455.496203036781,3129.3352780189957,2542.867723606526,3254.11530077404,2357.4922728996553,3068.150801455774,2138.153622879572,2136.4773642942478,2622.3088540570016,2493.4084832777507,2447.4752214532223,3600.54349474316,1814.8336852027828,2396.320842207334,2057.102025281783,3198.490041382214,1944.9953405352524,2951.875785120148,2566.3607516880634,2711.2048344839086,2174.9967745786353
2018-03-13,2466.5354521561067,3129.4332747741837,2547.3834008261756,3250.599283318408,2359.895830838448,3069.333346724226,2134.0344672085807,2147.1051193284957,2604.8883365110573,2494.1196934990808,2449.897308334488,3607.8188507174227,1835.0822749337194,2404.1852367883625,2064.4622524497304,3130.664232317714,1949.9612907635708,3033.622479307664,2562.0367205996536,2713.9549494989897,2174.680056476908
2018-03-14,2477.9905868152955,3129.5327393827943,2552.0680209418038,3246.9489815434367,2362.3890462068393,3070.5591365452283,2129.7590213608105,2158.507092689025,2586.3581081245893,2494.8569396342928,2452.4095272325776,3614.382348520688,1857.2173953257904,2412.622793608746,2072.097897636851,3058.1503006932126,1955.1148278699698,3120.9912891531344,2557.5481708178777,2716.8077674808833,2174.3502155254946
2018-03-15,2489.8616070143494,3129.63367184483,2556.921583953412,3243.16439544913,2364.97191900483,3071.828170918782,2125.327285336263,2170.6832843758375,2566.7181688976,2495.6202216833904,2455.011878147495,3620.233988152957,1881.2390463789945,2421.6335126684853,2080.0089608431445,2980.948246508711,1960.4559518544495,3213.9822146565607,2552.8951023427403,2719.763288429589,2174.007251724394
2018-03-16,2501.86173183874,3129.73942122102,2561.9075752509298,3239.3510666161446,2367.624934977518,3073.1441145007066,2120.882267660635,2183.483158393764,2546.2187552997357,2496.421984718771,2457.652093778878,3625.4080015949066,1906.7915234059528,2431.1321104471563,2088.090100446402,2899.9346370830067,1965.9684994559454,3311.393155337486,2548.1053383369517,2722.8001975555026,2173.653323658894
2018-03-17,2512.2702758013206,3129.8700818757607,2566.80690717393,3236.1422445284365,2370.231008595497,3074.528955225923,2117.2820194880965,2196.0034987717822,2526.361286148879,2497.3368991748334,2460.016570324567,3630.1097807306014,1931.7405982823777,2440.6068858222025,2095.709266713379,2820.368876328892,1971.5554911080767,3406.0115083131845,2543.3458177767848,2725.790606120999,2173.301382840711
2018-03-18,2520.80045798756,3130.029002869781,2571.5830651123433,3233.643470766664,2372.7706256038655,3075.986357750252,2114.6695493443467,2208.0937695147227,2507.3959979146784,2498.3774101239787,2462.053040484203,3634.3735575407154,1955.73056632089,2449.9725552731993,2102.7611180218637,2743.1275315651633,1977.2007635497782,3496.635173103198,2538.6443638249516,2728.7131993364737,2172.9535878551314
2018-03-19,2527.452278397463,3130.2161842030846,2576.2360490661704,3231.8547453308283,2375.2437860026234,3077.5163220736918,2113.0448572293844,2219.7539706225866,2489.322890597133,2499.5435175662064,2463.7615042577845,3638.199332025249,1978.7614275214885,2459.2291188001454,2109.245654371858,2668.2106027918226,1982.9043167810512,3583.264149707529,2534.000976481453,2731.567977201929,2172.609938702156
2018-03-20,2532.225737031027,3130.4316258756685,2580.765859035409,3230.776068220928,2377.6504897917707,3079.1188481962445,2112.4079431432087,2230.9841020953745,2472.1419641962434,2500.835221501515,2465.141961645312,3641.587104184203,2000.833181884173,2468.376576403042,2115.1628757633616,2595.618090008868,1988.6661508018951,3665.8984381261753,2529.4156557462884,2734.3549397173606,2172.270435381783
2018-03-21,2535.120833888253,3130.675327887534,2585.1724950200614,3230.4074394369636,2379.9907369713073,3080.7939361179097,2112.75880708582,2241.784163933085,2455.853218712008,2502.252521929907,2466.194412646787,3644.5368740175777,2021.9458294089452,2477.4149280818892,2120.512782196375,2525.349993216301,1994.4862656123103,3744.538038359141,2524.8884016194575,2737.074086882772,2171.9350778940143
2018-03-22,2536.1375689691404,3130.947290238682,2589.455957020126,3230.7488589789364,2382.2645275412337,3082.541585838686,2114.09744905722,2252.154156135718,2440.4566541444296,2503.7954188513795,2466.918857262207,3647.0486415253727,2042.0993700958034,2486.3441738366855,2125.295373670898,2457.40631241412,2000.3646612122955,3819.1829504064203,2520.419214100961,2739.7254186981622,2171.603866238849
2018-03-23,2535.275942273689,3131.247512929109,2593.6162450356037,3231.8003268468447,2384.4718615015495,3084.3617973585738,2116.423869057405,2262.0940787032746,2425.952270493506,2505.463912265935,2467.3152954915745,3649.1224067075887,2061.2938039447486,2495.1643136674334,2129.51065018693,2391.7870476023263,2006.3013376018519,3889.833174268018,2516.008093190799,2742.3089351635304,2171.276800416288
2018-03-24,2532.5359538018993,3131.5759959588186,2597.6533590664926,3233.5618430406876,2386.612738852253,3086.2545706775736,2119.7380670863786,2271.6039316357533,2412.340067759238,2507.2580021735725,2467.3837273348854,3650.758169564224,2079.5291309557797,2503.87534757413,2133.158611744471,2328.492198780919,2012.2962947809792,3956.488709943929,2511.6550388889686,2744.8246362788777,2170.9538804263293
2018-03-25,2527.917603553774,3131.932739327811,2601.5672991127976,3236.0334075604687,2388.687159593349,3088.2199057956873,2124.04004314414,2280.683714933156,2399.620045941625,2509.1776885742925,2467.1241527921466,3651.95593009528,2096.8053511289,2512.4772755567783,2136.239258343522,2267.5217659499,2018.3495327496778,4019.1495574341616,2507.3600511954755,2747.272522044205,2170.6351062689746
2018-03-26,2521.420891529308,3132.3177430360824,2605.3580651745133,3239.2150204061854,2390.6951237248322,3090.2578027129107,2129.3297972306887,2289.333428595481,2387.7922050406687,2511.2229714680934,2466.53657186335,3652.7156883007556,2113.122464464104,2520.9700976153763,2138.7525899840816,2208.8757491092656,2024.4610515079464,4077.815716738707,2503.123130110315,2749.6525924595085,2170.320477944224
2018-03-27,2513.045817728503,3132.7310070836365,2609.0256572516414,3243.1066815778377,2392.636631246706,3092.3682614292475,2135.6073293460236,2297.5530726227294,2376.856545056367,2513.3938508549777,2465.6209845485027,3653.0374441806525,2128.480470961395,2529.353813749924,2140.6986066661507,2152.55414825902,2030.6308510557876,4132.487187857571,2498.9442756334893,2751.9648475247936,2170.009995452077
2018-03-28,2502.792382151361,3133.172531470472,2612.5700753441834,3247.7083910754263,2394.51168215897,3094.5512819446967,2142.8726394901464,2305.342647014901,2366.813065988721,2515.6903267349444,2464.3773908476005,3652.92119773497,2142.879370620774,2537.6284239604233,2142.0773083897307,2098.556963399161,2036.8589313931984,4183.163970790752,2494.8234877649966,2754.2092872400553,2169.703658792533
2018-03-29,2490.66058479788,3133.642316196589,2615.991319452138,3253.0201488989514,2396.320276461622,3096.8068642592566,2151.125727663056,2312.7021517719954,2357.6617678377297,2518.1123991079917,2462.8057907606444,3652.366948963708,2156.319163442239,2545.793928246871,2142.8886951548184,2046.884194529688,2043.14529252018,4229.846065538246,2490.7607665048376,2756.385911605296,2169.4014679655934
2018-03-30,2476.6504256680623,3134.140361261987,2619.289389575505,3259.0419550484125,2398.062414154664,3099.135008372929,2160.3665938647528,2319.6315868940123,2349.402650603394,2520.6600679741214,2460.906184287635,3651.3746978668655,2168.799849425791,2553.85032660927,2143.132766961416,1997.5358416506028,2049.489934436733,4272.533472100061,2486.756111853014,2758.494720620516,2169.1034229712573
2018-03-31,2460.7619047619046,3134.6666666666665,2622.464285714286,3265.7738095238096,2399.7380952380954,3101.535714285714,2170.595238095238,2326.1309523809523,2342.035714285714,2523.3333333333335,2458.6785714285716,3649.9444444444434,2180.3214285714284,2561.7976190476193,2142.809523809524,1950.5119047619048,2055.8928571428573,4311.226190476191,2482.809523809524,2760.535714285714,2168.809523809524
2018-04-01,2442.995022079409,3135.2212324106276,2625.516007868478,3273.215712325141,2401.3473197119156,3104.00898199761,2181.8116603545095,2332.200248232816,2335.560958884689,2526.132195185626,2456.1229521834534,3648.0761886964415,2190.8839008791533,2569.635805561917,2141.9189656991402,1905.812383863593,2062.354060638552,4345.924220666636,2478.921002374367,2762.5088926008916,2168.5197704803945
2018-04-02,2423.3497776205754,3135.8040584938703,2628.444556038084,3281.367663452411,2402.890087576127,3106.5548115086194,2194.015860642569,2337.839474449602,2329.978384400321,2529.0566535310027,2453.2393265522833,3645.7699306228615,2200.4872663489646,2577.3648861521674,2140.4610926302666,1863.437278955668,2068.873544923818,4376.6275626714005,2475.090547547545,2764.4142555660474,2168.234162983868
2018-04-03,2401.8261713854026,3136.4151449163937,2631.2499302231026,3290.229662905617,2404.3663988307258,3109.1732028187394,2207.2078389594153,2343.0486310313113,2325.287990832607,2532.1067083694616,2450.027694535058,3643.025670223701,2209.131524980863,2584.9848608183665,2138.4359046029012,1823.3865900381304,2075.451309998653,4403.336216490477,2471.318159329058,2766.251803181182,2167.952701319946
2018-04-04,2378.4242033738924,3137.0544916781987,2633.9321304235345,3299.8017106847574,2405.776253475714,3111.864155927972,2221.3875953050483,2347.827717977943,2321.489778181549,2535.282359701,2446.488056131779,3639.84340749896,2216.816676774847,2592.495729560517,2135.8434016170454,1785.6603171109793,2082.087355863061,4426.050182123875,2467.6038377189043,2768.0215354462944,2167.6753854886265
2018-04-05,2353.1438735860443,3137.7220987792853,2636.491156639379,3310.0838067898344,2407.1196515110937,3114.6276708363175,2236.5551296794692,2352.176735289498,2318.5837464471465,2538.583607525624,2442.6204113424474,3636.223142448639,2223.5427217309184,2599.897492378617,2132.6835836727005,1750.2584601742155,2088.78168251704,4444.769459571588,2463.9475827170836,2769.7234523613865,2167.402215489913
2018-04-06,2325.985182021857,3138.4179662196525,2638.927008870636,3321.0759512208474,2408.3965929368615,3117.4637475437726,2252.7104420826777,2356.0956829659763,2316.569895629399,2542.010451843328,2438.424760167061,3632.1648750727395,2229.309659849077,2607.1901492726665,2128.9564507698633,1717.1810192278379,2095.534289960589,4459.494048833616,2460.349394323598,2771.3575539264566,2167.1331913238005
2018-04-07,2296.948128681332,3139.142093999303,2641.2396871173055,3332.7781439777978,2409.6070777530194,3120.3723860503424,2269.853532514672,2359.5845610073775,2315.4482257283066,2545.562892654114,2433.9011026056214,3627.6686053712597,2234.1174911293215,2614.373700242667,2124.6620029085357,1686.427994271848,2102.345178193709,4470.2239499099605,2456.8092725384454,2772.923840141505,2166.868312990292
2018-04-08,2266.032713564468,3139.8944821182336,2643.4291913793886,3345.1903850606836,2410.7511059595663,3123.3535863560232,2287.984400975455,2362.6433694137013,2315.2187367438705,2549.240929957983,2429.0494386581267,3622.734333344202,2237.9662155716524,2621.4481452886175,2119.800240088718,1657.9993853062444,2109.2143472164016,4476.959162800623,2453.327217361628,2774.422311006534,2166.607580489388
2018-04-09,2233.2389366712664,3140.6751305764456,2645.495521656884,3358.312674469505,2411.828677556503,3126.4073484608152,2307.103047465025,2365.272108184948,2315.8814286760894,2553.0445637549333,2423.869768324579,3617.3620589915627,2240.8558331760705,2628.4134844105183,2114.371162310409,1631.8951923310278,2116.141797028662,4479.699687505601,2449.903228793144,2775.8529665215415,2166.3509938210873
2018-04-10,2198.566798001726,3141.4840393739382,2647.4386779497927,3372.1450122042625,2412.8397925438294,3129.5336723647197,2327.209471983382,2367.4707773211185,2317.436301524964,2556.973794044966,2418.3620916049776,3611.551782313344,2242.7863439425746,2635.2697176083684,2108.3747695736106,1608.1154153461982,2123.1275276304946,4478.445524024898,2446.537306832995,2777.2158066865254,2166.0985529853897
2018-04-11,2162.0162975558464,3142.3212085107134,2649.258660258113,3386.6873982649568,2413.7844509215447,3132.732558067736,2348.3036745305267,2369.2393768222114,2319.8833552904944,2561.0286208280804,2412.526408499323,3605.303503309545,2243.7577478711664,2642.0168448821705,2101.8110618783207,1586.6600543517554,2130.1715390218997,4473.19667235851,2443.2294514811792,2778.5108315014904,2165.8502579822957
2018-04-12,2123.5874353336308,3143.1866379867693,2650.9554685818475,3401.9398326515866,2414.662652689649,3136.004005569865,2370.3856551064578,2370.5779066882274,2323.222589972679,2565.209044104277,2406.3627190076136,3598.617221980168,2243.770044961844,2648.654866231922,2094.6800392245405,1567.5291093476997,2137.2738312028737,4463.953132506438,2439.979662737697,2779.7380409664333,2165.6061088118054
