,Abyan,Aden,Al Bayda,Al Dhale'e,Al Hudaydah,Al Jawf,Al Maharah,Al Mahwit,Amanat Al Asimah,Amran,Dhamar,Hadramaut,Hajjah,Ibb,Lahj,Marib,Raymah,Sa'ada,Sana'a,Shabwah,Taizz
,Market Price,Market Price,Market Price,Market Price,Market Price,Market Price,Market Price,Market Price,Market Price,Market Price,Market Price,Market Price,Market Price,Market Price,Market Price,Market Price,Market Price,Market Price,Market Price,Market Price,Market Price
2018-01-31,2354.9523809523807,3126.6190476190477,2500.7738095238096,3284.6428571428573,2334.8690476190477,3056.309523809524,2174.7619047619046,2346.2261904761904,2409.1666666666665,2486.309523809524,2424.5,2725.805555555556,2551.845238095238,2551.7380952380954,1988.5357142857142,2067.2619047619046,1900.1785714285713,4292.142857142857,2604.4166666666665,2685.4166666666665,2176.904761904762
2018-02-01,2349.3562084771406,3126.6583302372824,2498.5317709042756,3286.4982124607113,2333.686308373884,3055.7622869759352,2176.8943561620035,2325.885212459129,2436.134582741606,2485.9792974754905,2423.3168062082223,2761.5552383696763,2496.632601380813,2536.6760002448855,1984.8792206867433,2186.9609980974205,1897.6410465336678,4149.004925012162,2606.673383312785,2684.0586630092603,2177.1129577904967
2018-02-02,2344.1759215417637,3126.699080708939,2496.4586751807215,3288.2192834592292,2332.5932265583197,3055.258294694899,2178.870517385325,2306.31845276835,2461.992787976025,2485.675107055341,2422.2237444332704,2796.593063012802,2443.306495327522,2522.1870674910306,1981.498145106945,2301.971968872936,1895.2911085168446,4011.4891085394206,2608.765581265539,2682.803362318665,2177.308030826544
2018-02-03,2339.411520146251,3126.7412990340213,2494.5545223531476,3289.80607013841,2331.5898021723538,3054.797546966413,2180.6903884318695,2287.5259114038536,2486.7412823699196,2485.3969525490766,2421.220814675145,2830.91902948493,2391.8669199353644,2508.2712969765325,1978.39248754632,2412.294817088451,1893.128757378101,3879.595407724636,2610.6932605249303,2681.6507645948827,2177.489981012904
2018-02-04,2335.0630042906037,3126.784985212527,2492.8193124215522,3291.258572498253,2330.676035215987,3054.3800437904783,2182.3539693016364,2269.50758836564,2510.380065923294,2485.144833956695,2420.3080169338455,2864.5331377860616,2342.313875204342,2494.9286887013905,1975.5622480048678,2517.929542743965,1891.1539931174393,3753.323822567808,2612.4564210909584,2680.600869837913,2177.65880834958
2018-02-05,2331.1303739748187,3126.8301392444578,2491.2530453859367,3292.5767905387593,2329.851925689219,3054.0057851670945,2183.861259994626,2252.2634836537095,2532.909138636145,2484.9187512781978,2419.4853512093723,2897.435387916197,2294.6473611344527,2482.1592426656043,1973.0074264825894,2618.8761458394797,1889.366815734858,3632.6743530689337,2614.0550629636236,2679.6536780477545,2177.8145128365672
2018-02-06,2327.6136291988983,3126.87676112981,2489.8557212463006,3293.7607242599283,2329.1174735920504,3053.67477109626,2185.2122605108384,2235.7935972680616,2554.328500508474,2484.7187045135847,2418.7528175017246,2929.6257798753363,2248.867377725697,2469.9629588691737,1970.7280229794826,2715.134626374993,1887.7672252303566,3517.646999228014,2615.489186142925,2678.8091892244083,2177.9570944738684
2018-02-07,2324.512769962843,3126.9248508685873,2488.627340002645,3294.8103736617604,2328.472678924481,3053.387001577979,2186.406970850274,2220.0979292086963,2574.638151540281,2484.5446936628555,2418.1104158109038,2961.104313663479,2204.9739249780764,2458.3398373121,1968.7240374955495,2806.7049843505074,1886.3552216039361,3408.24176104505,2616.7587906288645,2678.0674033678742,2178.0865532614844
2018-02-08,2321.8277962666507,3126.974408460788,2487.567901654967,3295.725738744254,2327.9175416865096,3053.1424766122477,2187.4453910129314,2205.176479475614,2593.8380917315667,2484.396718726011,2417.558146136908,2991.870989280624,2162.9670028915893,2447.2898779943803,1966.9954700307883,2893.5872197660196,1885.1308048555966,3304.458638520041,2617.8638764214393,2677.4283204781523,2178.2028891994114
2018-02-09,2319.558708110324,3127.025433906412,2486.6774062032705,3296.5068195074105,2327.452061878137,3052.9411961990672,2188.3275209988115,2191.029248068813,2611.928321082329,2484.2747797030497,2417.0960084797384,3021.925806726774,2122.846611466236,2436.813080916018,1965.5423205852012,2975.781332621532,1884.0939749853364,3206.297631652987,2618.8044435206516,2676.8919405552433,2178.306102287654
2018-02-10,2317.7055054938596,3127.077927205462,2485.9558536475533,3297.1536159512316,2327.0762394993644,3052.783160338439,2189.0533608079154,2177.656234988297,2628.9088395925696,2484.1788765939723,2416.724002839396,3051.268766001928,2084.612750702018,2426.9094460770116,1964.3645891587876,3053.2873229170445,1883.244731993158,3113.7587404438896,2619.5804919265,2676.458263599147,2178.3961925262097
2018-02-11,2316.2681884172603,3127.1318883579333,2485.4032439878147,3297.6661280757144,2326.7900745501893,3052.6683690303607,2189.6229104402414,2165.057440234062,2644.779647262288,2484.1090093987796,2416.442129215878,3079.8998671060835,2048.2654205989334,2417.578973477361,1963.4622757515456,3126.105190652556,1882.5830758790598,3026.8419648927475,2620.1920216389854,2676.1272896098612,2178.4731599150778
2018-02-12,2315.246756880526,3127.1873173638305,2485.0195772240563,3298.0443558808597,2326.593567030614,3052.5968222748324,2190.0361698957895,2153.2328638061103,2659.5407440914846,2484.0651781174715,2416.2503876091873,3107.819110039244,2013.8046211569822,2408.8216631170667,1962.8353803634773,3194.2349358280676,1882.1090066430418,2945.5473049995594,2620.639032658107,2675.899018587389,2178.53700445426
2018-02-13,2314.6412108836544,3127.24421422315,2484.804853356277,3298.288299366669,2326.4867169406375,3052.568520071857,2190.293139174561,2142.1825057044407,2673.192130080159,2484.047382750046,2416.1487780193224,3135.026494801407,1981.2303523761652,2400.6375149961277,1962.4839029945822,3257.676558443577,1881.8225242851047,2869.8747607643286,2620.921524983866,2675.7734505317285,2178.5877261437568
2018-02-14,2314.451550426648,3127.3025789358935,2484.759072384478,3298.397958533141,2326.4695242802595,3052.5834624214317,2190.3938182765555,2131.9063659290546,2685.733805228312,2484.0556232965064,2416.1373004462844,3161.522021392575,1950.542614256483,2393.026529114545,1962.4078436448597,3316.430058499088,1881.7236288052484,2799.8243321870505,2621.039498616263,2675.7505854428805,2178.625324983566
2018-02-15,2314.677775509505,3127.3624115020607,2484.882234308657,3298.3733333802747,2326.5419890494804,3052.641649323557,2190.338207201772,2122.4044444799515,2697.1657695359413,2484.0898997568493,2416.2159548900704,3187.305689812746,1921.741406797934,2385.988705472318,1962.6072023143101,3370.4954359945978,1881.812320203472,2735.3960192677287,2620.992953555295,2675.8304233208437,2178.6498009736883
2018-02-16,2315.3198861322257,3127.423711921653,2485.174339128818,3298.2144239080703,2326.7041112483007,3052.7430807782343,2190.126305950211,2113.6767413571306,2707.4880230030494,2484.150212131077,2416.3847413506837,3212.37750006192,1894.8267300005198,2379.524044069447,1963.0819790029327,3419.872690930109,1882.0885984797767,2676.5898220063627,2620.7818898009646,2676.01296416562,2178.6611541141237
2018-02-17,2316.3778822948116,3127.4864801946687,2485.635386844958,3297.9212301165308,2326.95589087672,3052.887756785463,2189.758114521874,2105.723256560593,2716.700565629635,2484.236560419188,2416.6436598281234,3236.737452140098,1869.7985838642392,2373.632544905933,1963.8321737107294,3464.561823305617,1882.552463634162,2623.405740402952,2620.406307353271,2676.2982079772087,2178.659384404874
2018-02-18,2317.851763997261,3127.550716321108,2486.2653774570767,3297.4937520056533,2327.2973279347384,3053.0756773452413,2189.233632916759,2098.5439900903375,2724.803397415699,2484.3489446211834,2416.992710322388,3260.3855460472787,1846.6569683890925,2368.314207981774,1964.857786437699,3504.562833121127,1883.2039156666274,2575.843774457496,2619.8662062122144,2676.6861547556096,2178.6444918459374
2018-02-19,2319.7415312395756,3127.6164203009707,2487.0643109651755,3296.931989575439,2327.728422422355,3053.306842457571,2188.5528611348664,2092.1389419463644,2731.7965183612405,2484.4873647370637,2417.43189283348,3283.321781783464,1825.4018835750799,2363.5690332969702,1966.158817183841,3539.8757203766345,1884.0429545771735,2533.9039241699948,2619.1615863777947,2677.1768045008216,2178.616476437314
2018-02-20,2322.0471840217524,3127.683592134257,2488.032187369253,3296.2359428258865,2328.249174339571,3053.5812521224516,2187.715799176197,2086.5081121286753,2737.67992846626,2484.6518207668273,2417.961207361398,3305.5461593486507,1806.0333294222019,2359.397020851524,1967.7352659491557,3570.5004850721416,1885.0695803658004,2497.5861895404487,2618.292447850011,2677.770157212846,2178.5753381790037
2018-02-21,2324.768722343795,3127.752231820968,2489.169006669311,3295.4056117569976,2328.8595836863856,3053.898906339883,2186.7224470407505,2081.651500637268,2742.453627730757,2484.842312710474,2418.5806539061414,3327.0586787428438,1788.5513059304576,2355.7981706454334,1969.5871327336447,3596.4371272076505,1886.2837930325074,2466.8905705688594,2617.2587906288636,2678.466212891684,2178.521077071008
2018-02-22,2327.906146205701,3127.8223393611033,2490.4747688653483,3294.4409963687717,2329.559650462799,3054.259805109866,2185.572804728526,2077.5691074721435,2746.1176161547323,2485.0588405680064,2419.2902324677116,3347.8593399660394,1772.9558130998478,2352.7724826786975,1971.714417537306,3617.6856467831567,1887.6855925772954,2441.8170672552246,2616.0606147143544,2679.264971537333,2178.4536931133243
2018-02-23,2331.459455607471,3127.8939147546603,2491.9494739573647,3293.342096661208,2330.3493746688105,3054.6639484324005,2184.2668722395238,2074.2609326333004,2748.671893738186,2485.301404339422,2420.0899430461077,3367.9481430182377,1759.2468509303706,2350.319956951319,1974.11712036014,3634.246043798663,1889.2749790001642,2422.3656795995453,2614.6979201064805,2680.1664331497946,2178.3731863059547
2018-02-24,2335.4286505491064,3127.9669580016425,2493.5931219453614,3292.108912634307,2331.2287563044224,3055.1113363074846,2182.804649573746,2071.7269761207417,2750.1164604811165,2485.5700040247216,2420.979785641329,3387.32508789944,1747.4244194220287,2348.440593463295,1976.7952412021464,3646.118318254169,1891.0519523011126,2408.53640760182,2613.170706805244,2681.170597729068,2178.2795566488994
2018-02-25,2339.8137310306047,3128.041469102049,2495.405712829338,3290.7414442880704,2332.1977953696323,3055.6019687351204,2181.186136731189,2069.9672379344656,2750.4513163835254,2485.864639623906,2421.9597602533768,3405.9901746096475,1737.48851857482,2347.1343922146284,1979.7487800633269,3653.302470149675,1893.0165124801424,2400.3292512620515,2611.478974810645,2682.277465275155,2178.172804142156
