"Year","Month","Dekad","NDVI Anomaly"
2019,1,1,103.830649283002
2019,1,2,105.288501249095
2019,1,3,107.68061667728
2019,2,1,109.428009796215
2019,2,2,111.012908614441
2019,2,3,112.540214322581
2019,3,1,114.72314334998
2019,3,2,114.77142765342
2019,3,3,113.898440707179
2019,4,1,112.287473258563
2019,4,2,108.226097618646
2019,4,3,106.254844174542
2019,5,1,104.651139160697
2019,5,2,103.278378443262
2019,5,3,101.495393570296
2019,6,1,101.094396707085
2019,6,2,100.861557556253
2019,6,3,100.738712454789
2019,7,1,100.475136829566
2019,7,2,100.402738641484
2019,7,3,100.382751179657
2019,8,1,100.274785092442
2019,8,2,100.291051108843
2019,8,3,100.231778533386
2019,9,1,100.10841673006
2019,9,2,99.8682463162752
2019,9,3,99.9820340506599
2019,10,1,100.294934835594
2019,10,2,100.677229181132
2019,10,3,101.784537783301
2019,11,1,102.42775606173
2019,11,2,103.09598149302
2019,11,3,104.446371675813
2019,12,1,105.083151452674
2019,12,2,105.765286705866
2019,12,3,106.329272615594
2020,1,1,106.609221615955
2020,1,2,106.264054893885
2020,1,3,104.530848121358
2020,2,1,103.083558603404
2020,2,2,101.327631974019
2020,2,3,99.7175821508563
2020,3,1,97.6118040161572
2020,3,2,97.5576109298595
2020,3,3,97.8263198745293
2020,4,1,98.8066297231024
2020,4,2,101.317836152569
2020,4,3,102.531595384232
2020,5,1,104.122042836012
2020,5,2,102.037407904862
2020,5,3,104.785856543485
2020,6,1,104.394313755914
2020,6,2,104.008852156153
2020,6,3,103.688990360942
2020,7,1,103.058472935653
2020,7,2,102.803209786486
2020,7,3,102.423021590819
2020,8,1,101.144908508961
2020,8,2,100.587425748813
2020,8,3,100.291797993669
2020,9,1,100.35747707502
2020,9,2,100.955912495586
2020,9,3,101.189150331005
2020,10,1,101.337888468602
2020,10,2,101.48450821852
2020,10,3,101.911265402195
2020,11,1,102.070760588447
2020,11,2,102.168953648226
2020,11,3,102.231133299974
2020,12,1,102.166961017034
2020,12,2,102.32326449417
2020,12,3,102.843746748214
2021,1,1,105.187680804251
2021,1,2,106.337121081136
2021,1,3,106.010778545562
2021,2,1,104.171633263535
2021,2,2,101.572788111941
2021,2,3,98.6504118148741
2021,3,1,94.1771868095309
2021,3,2,93.7367104304505
2021,3,3,94.3478719505642
2021,4,1,95.520295514983
2021,4,2,98.7364766614893
2021,4,3,100.807691683175
2021,5,1,102.762436193127
2021,5,2,104.21707602753
2021,5,3,104.801609792744
2021,6,1,104.297573360467
2021,6,2,103.557993749041
2021,6,3,102.70893524281
2021,7,1,101.323505911122
2021,7,2,100.744255580015
2021,7,3,100.347221287311
2021,8,1,100.075391111957
2021,8,2,100.191364455183
2021,8,3,100.318809111908
2021,9,1,100.275561160688
2021,9,2,99.976977276917
2021,9,3,100.024987810097
2021,10,1,100.223184872547
2021,10,2,100.605772158236
2021,10,3,101.777510305741
2021,11,1,102.471340400914
2021,11,2,103.287967626775
2021,11,3,105.341370889184
2021,12,1,106.428205978806
2021,12,2,107.231533544036
2021,12,3,107.845707346793