AdminStrata,Abyan,Aden,Al Bayda,Al Dhale'e,Al Hudaydah,Al Jawf,Al Maharah,Al Mahwit,Amanat Al Asimah,Amran,Dhamar,Hadramaut,Hajjah,Ibb,Lahj,Marib,Raymah,Sa'ada,Sana'a,Shabwah,Taizz
Indicator,FCS,FCS,FCS,FCS,FCS,FCS,FCS,FCS,FCS,FCS,FCS,FCS,FCS,FCS,FCS,FCS,FCS,FCS,FCS,FCS,FCS
2020-01-03,47.333610166331134,28.739975554332773,51.452827175636514,50.36126791134517,23.638453624645376,48.81424699739144,28.39180149150632,31.32157065813479,32.930643159306214,36.15356050046786,42.89028963978618,28.031974985075358,22.163869983227485,37.87757844602619,41.07827659834055,39.59407173087765,64.08939901726937,27.90338006866851,33.67349379193922,44.15735702951963,32.88108689303525
2020-01-04,47.41506494816884,28.9190949125173,51.66253018190998,51.51349198317188,23.744885929905955,48.39064487170333,28.05426175444431,30.93476312346127,33.009190592830194,35.90873451583633,42.76933650208184,28.30273481813244,21.457004625346173,37.33999563998576,40.87487915122616,38.897811938872096,63.822031483935966,27.572104621344735,33.53728326897754,44.68314744865393,32.31227147248186
2020-01-05,47.20211846861916,28.643231416221475,52.00745913276018,51.81372377470517,23.83789056094724,47.863058858459006,27.675203477200224,30.57447978027227,33.07222357760663,35.25294983866307,42.627474786509154,28.470397617433466,21.307751103100095,37.27093675252518,40.00875548022801,39.20190509927013,63.67815294045125,27.02434922746353,33.65304866777459,45.26800680760554,33.84093376423931
2020-01-06,46.74426138923472,28.746528792754805,52.088851236479066,51.29897265533171,23.95529698554421,47.807308692807304,27.75973759350738,30.563947055133262,33.17015579112107,35.03491496798301,42.587088062691365,28.92823898283963,21.599037798969796,37.10995359138522,41.36109815715784,38.919631849816355,63.391790743115145,26.649362166137443,34.226145581522644,45.538545773863035,34.4970532659812
2020-01-07,46.712017325179275,28.546185331751012,52.490366780360084,50.86430757116739,24.05476079164194,47.841442667416025,27.64720581171907,30.723344831479988,33.183553326238375,34.88860258728495,42.440234854037776,29.381684248783987,21.83224274309087,37.32712398610503,42.550166306213555,39.1666005083411,63.12898371302941,26.200689952836047,33.867659025939254,46.24681638564649,35.44709231350615
2020-01-08,46.83539923372339,28.80629963197624,53.21487552751516,50.71713065919085,24.209375111539288,48.429932556463314,27.14722832286119,30.477463470328715,33.121038197538645,34.57137859697941,42.34472871477525,29.787653277465754,22.16620139404137,37.37781404267679,42.19845611045915,39.59796314196501,62.77456773194531,25.937600990441457,35.50881230955961,46.79860214833835,36.331495817548586
2020-01-09,46.90477350755656,29.129410697746877,53.751390602457406,50.597768894289494,24.368818991950697,49.40444258644036,26.97572728094745,30.432717971427806,33.15714948404959,33.87161670805778,42.2883657004756,30.119442335529023,22.955571226741277,37.49343790791379,43.16627367533688,40.07798171903091,62.34373596394417,25.8511561802245,37.43571353572617,47.31702476623447,36.55801738409781
2020-01-10,46.944567823450264,28.938016784427674,53.97834288570623,50.7404028975498,24.5693617825467,49.171336967447495,26.944358299155216,30.18421938665065,33.04135702847046,32.91309291536042,42.32467685075239,30.434377796942023,23.924462709799847,37.24269440032761,44.00928766899209,40.04597173083275,62.00855544541591,25.530437980123523,39.00466076710862,47.5995244000937,37.75285223517406
2020-01-11,47.07452001803833,28.73725142294797,53.884772498974044,51.37170478028778,24.76709610522158,49.07565989816578,26.813336720673863,30.00285338453843,33.130172073423395,32.69929726534188,42.25286003312109,30.51746746230974,24.351006953897823,37.29147871309747,42.87197947982202,40.474746935958294,61.59322345526433,25.151584514374086,41.046470522117936,47.54518284733929,37.896548178456364
2020-01-12,47.286751366455206,28.618802522386527,54.33034191357862,51.35114794588427,24.995843123305505,49.1920759505029,26.89472698956239,30.10233871540947,33.18076059251467,32.46418361725348,42.1471523927596,30.344578923179487,25.296974312559545,36.933600729396815,44.558497671637596,40.719183445490124,61.173275755669735,24.865167289322677,41.39338666448416,47.393674542656576,37.537072669662365
2020-01-13,47.0460573837024,29.85972459989206,54.04753271061227,51.51255918302907,25.678136940283917,50.164824092668134,27.49007304166582,29.757075289094747,33.0064629147983,31.524052087074523,42.47170690073328,28.72787641387535,27.588348509132395,34.90175858233686,44.541974943947466,41.087156033712674,60.62373478688623,24.15041169882803,40.91059922883608,47.46171208659292,38.81886879126533
