Split,Split 1,Split 1,Split 2,Split 2,Split 3,Split 3
Info,training points,features,training points,features,training points,features
1,2121,26,2331,17,2548,26
2,2114,25,2324,24,2541,16
3,2107,25,2317,16,2534,17
4,2100,17,2310,18,2527,17
5,2093,24,2303,16,2520,16
6,2086,23,2296,17,2513,16
7,2079,24,2289,17,2506,16
8,2072,25,2282,17,2499,16
9,2065,25,2275,19,2492,16
10,2058,25,2268,20,2485,24
11,2051,24,2261,17,2478,16
12,2044,24,2254,17,2471,16
13,2037,24,2247,17,2464,16
14,2030,26,2240,17,2457,16
15,2023,26,2233,16,2450,16
16,2016,26,2226,16,2443,16
17,2009,26,2219,16,2436,16
18,2002,26,2212,16,2429,16
19,1995,25,2205,16,2422,16
20,1988,26,2198,16,2415,16
21,1981,26,2191,16,2408,16
22,1974,26,2184,16,2401,16
23,1967,25,2177,16,2394,16
24,1960,26,2170,16,2387,16
25,1953,24,2163,16,2380,16
26,1946,27,2156,16,2373,16
27,1939,26,2149,16,2366,16
28,1932,25,2142,16,2359,16
29,1925,27,2135,16,2352,16
30,1918,20,2128,16,2345,16
