n,loss
264,64.13459633543233
106,64.35973114606259
186,35.198323383457904
92,97.32084578927322
13,54.52021941132519
149,68.29662344993449
143,70.0111219586928
182,47.86266476928147
108,60.57184742083473
9,49.93362646062511
201,23.166643731440775
60,39.37333571949496
326,94.87591977076022
144,69.4330411743636
268,64.31138823631579
110,58.55736606118185
9,49.93362646062511
246,35.448796051297705
359,143.09867893106605
22,55.40596230929862
201,23.166643731440775
208,42.203742685113994
319,79.54802574524662
159,80.49131847627557
313,70.4257301587341
201,23.166643731440775
312,68.6196865412658
201,23.166643731440775
54,45.35142372844709
113,60.313629061821835
353,123.90392669613733
201,23.166643731440775
160,82.4403552156733
48,60.81317068566211
25,63.08995515120814
228,54.95989023750989
42,63.346407250572916
253,52.66147636854392
175,64.99432085250784
363,150.00803102352026
69,66.96553128772548
56,41.620069757779945
230,49.93836634408618
121,53.53868589032472
238,34.3810267989091
142,70.68356561307542
84,97.01733854348159
81,92.94455536586763
210,47.88014949982002
270,63.421521124499776
14,58.18052791651931
245,34.27940020576778
293,55.19527980853855
219,69.58836361031996
158,79.17996884101375
31,81.85341485020516
150,69.17421480434119
341,127.3545693028072
300,56.3925733510805
201,23.166643731440775
227,57.79508607016012
309,67.46596568572512
282,49.47640083803466
18,53.491258710911204
64,49.53594824881562
255,56.1748013127588
201,23.166643731440775
305,62.24964691563679
316,74.56500019278117
138,69.59815537127822
66,54.42955471464748
133,65.00015813590437
123,53.922903858328404
91,98.15997439898074
202,25.833095756582974
201,23.166643731440775
199,18.236290166617422
285,53.11614851638611
211,51.2312234461107
8,42.66932827590386
332,115.66884550314974
180,55.64791282525223
20,52.042421007360836
45,62.91954917770136
203,29.404332466758984
169,77.56650207193285
284,51.57603752111704
88,98.12332806618083
214,63.251428122657025
177,61.85035751567039
240,33.130274812994976
167,81.24282317274697
290,55.648508568260546
199,18.236290166617422
199,18.236290166617422
256,58.39852711980503
348,124.74732970115046
90,98.57921640939752
199,18.236290166617422
199,18.236290166617422
196,14.29031659874382
251,47.23769909003289
191,19.71802959583349
118,55.77031832080517
28,75.37294103694654
27,71.8953631979621
181,51.58735440543082
134,65.93999702557765
289,55.73316646378178
247,36.805464853825065
279,50.50741749400718
224,63.86947090321157
196,14.29031659874382
17,55.029938460094456
236,36.80559107013577
82,94.4407447948178
362,149.76573501297904
187,32.284266542318186
99,84.1196378093947
32,80.2342788572014
29,77.74777536715288
80,90.5959003794025
161,83.03299380437996
196,14.29031659874382
296,54.79700759621185
345,125.78680574241564
41,63.6516431460833
