Split,Split 1,Split 1,Split 2,Split 2,Split 3,Split 3,Split 4,Split 4,Split 5,Split 5
Info,training points,features,training points,features,training points,features,training points,features,training points,features
1,4485,17,4875,21,5278,21,5668,20,6071,22
2,4472,19,4862,21,5265,17,5655,21,6058,23
3,4459,21,4849,24,5252,20,5642,22,6045,22
4,4446,21,4836,17,5239,20,5629,18,6032,20
5,4433,19,4823,19,5226,22,5616,17,6019,19
6,4420,20,4810,22,5213,18,5603,25,6006,22
7,4407,18,4797,20,5200,17,5590,20,5993,22
8,4394,19,4784,20,5187,19,5577,17,5980,22
9,4381,21,4771,22,5174,21,5564,22,5967,17
10,4368,20,4758,21,5161,20,5551,22,5954,23
11,4355,18,4745,16,5148,17,5538,18,5941,23
12,4342,21,4732,24,5135,21,5525,21,5928,21
13,4329,22,4719,23,5122,17,5512,22,5915,17
14,4316,24,4706,24,5109,23,5499,21,5902,20
15,4303,21,4693,24,5096,24,5486,21,5889,23
16,4290,21,4680,21,5083,21,5473,20,5876,21
17,4277,23,4667,22,5070,18,5460,21,5863,23
18,4264,22,4654,19,5057,20,5447,17,5850,23
19,4251,19,4641,18,5044,23,5434,22,5837,16
20,4238,21,4628,22,5031,19,5421,22,5824,17
21,4225,20,4615,20,5018,17,5408,24,5811,17
22,4212,23,4602,20,5005,19,5395,21,5798,19
23,4199,18,4589,17,4992,18,5382,22,5785,23
24,4186,24,4576,20,4979,25,5369,21,5772,22
25,4173,21,4563,24,4966,20,5356,17,5759,24
26,4160,16,4550,24,4953,25,5343,17,5746,25
27,4147,22,4537,24,4940,18,5330,19,5733,17
28,4134,19,4524,20,4927,21,5317,24,5720,23
29,4121,20,4511,25,4914,23,5304,22,5707,18
30,4108,23,4498,21,4901,18,5291,20,5694,17
