,Adamawa Central,Adamawa North,Adamawa South,Borno Central,Borno North,Borno South,Yobe East,Yobe North,Yobe South
,FCS,FCS,FCS,FCS,FCS,FCS,FCS,FCS,FCS
2019-01-20,20.460509336038683,23.537681980924514,24.45406968212544,51.09353070570188,26.476967039614948,31.026911156144553,19.294318766032013,43.941271466753044,28.069343721756322
2019-01-21,21.37978746338639,23.29458962778378,25.52028638375101,51.93062741960631,26.43541706597669,28.951624622548323,20.418740557955356,45.798600272296994,28.027182518659597
2019-01-22,21.259692172794434,23.10092974015357,27.792050621013242,52.18208766524935,26.367702773476097,28.703780451535962,20.623517061598978,46.453614747974946,28.347695161059672
2019-01-23,20.687099336376715,23.755092489933073,31.539231780229752,51.91918209637428,27.050719409744943,28.828064965456576,20.317280251838582,45.81032680167983,29.277330634618394
2019-01-24,19.224444399529286,24.071094165366194,33.577713133228585,49.960091071158786,27.177575260093196,29.343029811605003,19.161972574449287,44.861927231383426,30.62936833820548
2019-01-25,20.362567033502412,24.26440461633959,34.188306950698454,48.938655160267466,27.160584617756182,29.162453036058338,19.499521957224317,44.34007735299309,31.665258493958703
2019-01-26,21.212731649485196,24.188450714430004,33.06995380190993,47.82182616252012,26.91075250437558,28.99106881701418,20.438504197889486,44.68229120691109,32.30241733845014
2019-01-27,22.79757678070305,24.358966840002314,32.447528395362134,46.91940124975732,26.27482795162707,28.762537193936662,22.497436833077895,44.21430934914412,30.684603188039926
2019-01-28,23.284848641394365,24.367964774008197,32.75752848298229,46.10864524770685,25.12617808983855,27.636265620754727,23.63260752483931,43.97244671892711,29.013595049308492
2019-01-29,23.357480567101174,23.821708842805876,33.80771510402405,45.107679990029446,25.573438025421783,27.53889479462012,24.28590400596201,41.799740874295,25.79037431686822
2019-01-30,22.724856271892573,22.76491650160987,35.11664939925037,44.78106494405466,26.5864037658723,29.122482151454264,23.989889684745282,39.717702155769736,24.805644760710095
2019-01-31,21.94024801052105,21.553173268081597,35.58930488155371,44.83210066873138,27.800217487571047,31.361176352150654,24.74002766572465,38.08952093556966,24.55414338488453
2019-02-01,21.808496668220158,20.997239953928297,35.66758809823854,44.93150869007868,27.596760589177055,31.988764699046467,25.201987796968393,37.920265962178675,25.891222615048907
2019-02-02,22.10020628001808,20.63924959435312,35.72707795736411,45.21983366479768,28.011313938151535,31.121571463432176,26.27473790826129,38.05443502171646,26.4500381521118
2019-02-03,23.52868610805334,20.73683378201615,37.12723868749962,44.70509068864201,30.523651311518908,30.90437379130344,28.082566182462813,37.809118527265376,26.51861364158849
2019-02-04,24.231567631085976,20.90863259341243,39.25879370676119,44.62754849314655,34.03595612806406,31.092194375208333,30.820003850280226,37.70195905220671,26.241989933770615
2019-02-05,24.7566289193758,20.36614799733787,40.57751029051345,44.40547548165384,38.02227688427393,31.049566733086063,33.06954293582595,37.83519352683505,27.15143906972017
2019-02-06,24.787414457634814,20.119951697632715,41.040238258671316,44.33368881720992,40.3293757843767,29.88332820743396,33.55551493098535,38.103332811464234,28.400602498542735
2019-02-07,26.18016774871774,20.588140285671642,40.93443790419545,42.81886554797217,42.902172318519725,29.76563521098052,34.32086514195582,38.6587620628269,30.299358540163684
2019-02-08,27.510725169107065,21.949847271317267,41.18631277709968,41.6790501918814,43.984802864222445,30.286056664229942,35.180371444476826,39.546528488419064,31.77317301687278
2019-02-09,28.588312531489432,23.519484983032783,42.07840672040149,41.0800432762434,44.760825527359735,31.772062378821435,36.11940746531168,40.75674038661381,33.40528422384394
2019-02-10,28.746900363021606,26.338921373491214,41.73238595915582,40.63282883471678,44.043586288719716,33.58357583219756,36.10877693233969,40.98781809816793,34.31811684011181
2019-02-11,28.964197221335027,29.79950408175849,42.62348787435818,39.98856883269424,44.284310519019066,35.27067973061372,36.34012401662795,41.17834393330954,34.547778187626726
2019-02-12,28.956883004434086,33.024260167767764,42.68773529249481,39.444617984170726,45.11895911779397,36.334874657572925,36.29684215293811,41.202557823217596,33.569758588144225
2019-02-13,29.639848732525337,32.84329542231919,44.12630637625053,40.07729587431073,46.649447771692586,36.7151376393605,36.6274930421442,42.118780277956795,32.700550855819785
2019-02-14,30.46842780520345,32.13084384870893,43.76932726764155,41.2474870825875,48.67185480791883,36.1064674576393,37.980662616157026,41.02238950228486,31.958118638955444
2019-02-15,30.906611880303718,31.10106537060105,43.59740903133823,42.24239402925573,51.04476168528166,37.06250951101317,39.86780191709971,39.70309854396473,32.05914093630713
2019-02-16,31.720354194186044,32.00114093215708,43.50704473659533,42.20377227324576,53.767250800037935,37.85304950831708,41.86996211642117,38.128901571068646,31.44028080619609
2019-02-17,32.533450351789305,32.13384736779943,42.89999013470318,40.89690422205032,55.59953347175021,39.18849331409265,43.26452940433929,37.88828718486916,30.709792378170803
2019-02-18,34.08584619481538,32.214790871129516,42.14049552230186,39.19017860301452,56.879347130849446,39.668715401623366,44.45505740110525,37.982441194660204,29.468698870991858
2019-02-19,34.99431258908577,32.047297616523885,41.1229476197466,38.84160589014703,57.3915563854461,40.25925709745889,45.551922139478386,38.21899740232396,29.216863558118906
2019-02-20,35.471420236912,32.50696394896737,41.6718361592722,39.02347732201846,57.84516527319649,41.77125448571176,45.64235541727675,38.74186403575699,29.656327136114736
2019-02-21,35.45187284285888,33.145744071764845,41.43708843883293,38.459602759422715,58.651913796033995,43.58566573064237,45.43009083466626,38.30101485034074,30.93614014111857
2019-02-22,35.47830438062869,34.2471187176883,41.6022973209704,37.540765120202565,59.090278015568856,44.842267270664614,45.55954644293894,36.99847635679101,32.16357493560131
2019-02-23,35.6210343984262,35.25107908918231,40.02128409951096,36.506112715869314,59.31584799846595,45.40935484252757,46.02195962951611,35.98368243318999,31.978683079588865
2019-02-24,36.427343816294446,34.847226087926714,40.07878460186173,38.639670424669696,58.00892377863473,47.07290789558308,46.20656202290002,36.627762208169145,29.75452465872476
2019-02-25,36.03485643705196,33.53920337382479,41.10918312374096,40.36795811312056,56.919525802543966,48.48467336121639,45.03384703377936,37.939510500945254,27.303204982731827
2019-02-26,35.74138827959262,31.980214403616497,43.80699461889876,41.95426831471403,55.80530822117456,50.09590027881848,43.38327549942618,38.58245355125487,25.54914220625535
2019-02-27,34.753481783546114,31.511469920210256,46.21843448547341,40.99563273244002,55.55151788386272,50.16442005241723,42.31634553628769,37.873824353998884,25.27331106888583
2019-02-28,34.13621547042589,31.241460825167053,46.32426796455315,40.31517238412014,55.43758676661622,50.46278971006962,41.723765677998585,36.380387364533505,25.598056820081734
2019-03-01,33.789766175945914,31.43950627114651,46.41285997816728,40.13317830056294,55.2129091301861,50.27543516142392,41.682692506873764,35.858840665054494,26.3745883201222
2019-03-02,34.16240011644117,32.06662922843032,45.37321342325348,40.25616283908892,55.562508574029984,49.037422752387386,41.947342010941526,36.124915953954684,26.641715985442143
2019-03-03,35.07008740383285,34.18486792943353,44.757373816301104,41.15945402014677,56.82474381973967,48.375886849215796,41.440754554669354,35.7021273076901,25.867978791942004
2019-03-04,35.59774879783807,35.81303625953561,43.43934380150507,41.65300216161272,58.61017854443376,48.31820936985354,41.006732178808626,34.70397140904288,25.276063766881972
2019-03-05,35.164229579121326,37.04046779041398,41.60322340016727,41.649213988261494,59.11269238489831,49.03548300224936,39.080709783525045,33.24044066131401,25.409570815567605
2019-03-06,35.12990244453413,36.83767475485644,40.25495792548065,42.04394049829393,57.796975306160654,47.85806110875753,37.858769863684294,32.26582813437231,26.61206965457049
2019-03-07,35.13474521278966,36.68084028641723,38.33158443150475,42.38492812636128,54.89682336772023,46.67137407432322,36.30922497938201,31.08395724891342,27.192031216626493
2019-03-08,36.6541536766505,37.71834128957374,36.551461458222036,43.06672189450122,51.71571812486087,45.06114156150259,35.94241358875501,30.991596389686404,27.96879543185322
2019-03-09,37.91326180950063,38.040549945115735,35.406869925207474,42.594177360945544,49.440397232302125,45.49577388286776,36.50385649062345,31.756912429405023,27.552503583386294
2019-03-10,37.72792760082228,37.21442207568773,35.896379127661454,42.15428120806334,47.65157552062672,45.53352640777373,36.864851282524626,32.47353469799261,26.351817519523852
2019-03-11,36.84725870066202,35.45098644859337,37.72625334472526,42.48447210434998,47.503751558340866,46.83941942121808,37.52376863183817,33.06091773817496,25.694877895085295
