,Al-Hasakeh,Aleppo,As-Sweida,Damascus,Dar'a,Hama,Homs,Lattakia,Rural Damascus,Tartous
,FCS,FCS,FCS,FCS,FCS,FCS,FCS,FCS,FCS,FCS
2018-08-31,35.906669934034866,26.232205434854794,9.948657746781253,13.640569859120829,37.44912864903833,17.7944124076666,18.718882312707446,19.26853480269285,24.79113659521283,21.955413977210995
2018-09-01,35.736013060737,27.368623484114217,8.563288412867408,14.319968532956503,33.72232016829544,18.324474796427282,20.003973636411082,19.79406925980676,24.68191023497637,20.27485764589093
2018-09-02,35.394914880368866,28.067236311306065,8.703462897474319,14.816439673135529,30.12698038721227,18.5762995604695,20.55126417058161,20.23514714560799,24.606992865690597,19.298299063986065
2018-09-03,34.93657579053197,28.402261701719596,9.681966334858684,15.147330541143624,26.871627555973298,18.659825735271315,20.608635895061997,20.602342851076738,24.562502746945114,18.891839527248113
2018-09-04,34.41419618882786,28.447917440644037,10.811583859277212,15.32998839846651,24.164779924762986,18.68499235631078,20.423970789695236,20.906230767193207,24.54455813832957,18.92158033142877
2018-09-05,33.88097647285803,28.27842131336865,11.405100604986613,15.381760506589897,22.21495574376582,18.761738459065935,20.245150834324303,21.157385284937604,24.54927729943356,19.25362277227976
2018-09-06,33.390117040224,27.967991105182662,10.967641228784546,15.319994126999502,21.161937144397196,19.000003079014853,20.32005800879218,21.366380795290116,24.57277848984672,19.75406814555277
2018-09-07,32.994818288527284,27.590844601375345,9.773688477632495,15.162036521181042,20.87056178299628,19.509725251635594,20.89657429294186,21.54379168923096,24.61117996915867,20.289017746999527
2018-09-08,32.74828061536941,27.221199587235915,8.29006462103289,14.925234950620233,21.13693119713316,20.4008440124062,22.222581666616314,21.70019235774032,24.660599996959032,20.72457287237172
2018-09-09,32.703704418351876,26.933273848053652,6.98359192848817,14.62693667680279,21.7571469243779,21.78329839680474,24.545962109658532,21.846157191798408,24.71715683283743,20.926834817421078
2018-09-10,32.87039875761109,26.785328521979494,6.228689936890197,14.284488961214429,22.523736052206633,23.689595566371008,27.89219025588217,21.992260582385416,24.776968736383484,20.794880519553875
2018-09-11,33.082107343422976,26.77179815861129,6.030167252688542,13.915239065340868,23.214927867719616,25.842515186891852,31.397111354983608,22.149076920481555,24.83615396718682,20.35968948279481
