adm0_name,adm0_code,adm1_name,adm1_code,population
Burkina Faso,42,BOUCLE-DU-MOUHOUN,900712,1816310
Burkina Faso,42,CASCADES,900713,755896
Burkina Faso,42,CENTRE,900714,2623394
Burkina Faso,42,CENTRE-EST,900715,2623394
Burkina Faso,42,CENTRE-NORD,900716,1551284
Burkina Faso,42,CENTRE-OUEST,900717,1510412
Burkina Faso,42,CENTRE-SUD,900718,801374
Burkina Faso,42,EST,900719,1633891
Burkina Faso,42,HAUTS-BASSINS,900720,1983881
Burkina Faso,42,NORD,900721,1500082
Burkina Faso,42,PLATEAU-CENTRAL,900722,872851
Burkina Faso,42,SAHEL,900723,1282223
Burkina Faso,42,SUD-OUEST,900724,796535
Syria,238,Tartous,900231,831296
Syria,238,Rural Damascus,900230,3248273
Syria,238,Quneitra,900229,106182
Syria,238,Lattakia,900228,1189195
Syria,238,Idleb,900227,2432697
Syria,238,Homs,900226,1484772
Syria,238,Deir-ez-Zor,900224,704983
Syria,238,Dar'a,900223,1005994
Syria,238,Damascus,900222,1852561
Syria,238,As-Sweida,900221,371994
Syria,238,Ar-Raqqa,900220,686353
Syria,238,Al-Hasakeh,900218,1033316
Syria,238,Aleppo,900219,3879934
Syria,238,Hama,900225,1572451
Yemen,269,Abyan,3407,615154
Yemen,269,Aden,3409,997308
Yemen,269,Al Bayda,3410,775404
Yemen,269,Al Dhale'e,3408,779656
Yemen,269,Al Hudaydah,3411,2985122
Yemen,269,Al Jawf,3412,603816
Yemen,269,Al Maharah,3413,169327
Yemen,269,Al Mahwit,3414,774511
Yemen,269,Amanat Al Asimah,144969,3406643
Yemen,269,Amran,3415,1205960
Yemen,269,Dhamar,3416,2176229
Yemen,269,Hadramaut,900100,1510895
Yemen,269,Hajjah,3418,2510327
Yemen,269,Ibb,3419,3080130
Yemen,269,Lahj,3420,1058219
Yemen,269,Marib,3421,495634
Yemen,269,Raymah,144971,646854
Yemen,269,Sa'ada,3422,981401
Yemen,269,Sana'a,3423,1469960
Yemen,269,Shabwah,3424,665881
Yemen,269,Socotra,900101,68247
Yemen,269,Taizz,3425,3065034
Nigeria,182,Adamawa,,4946724
Nigeria,182,Borno,,5884116
Nigeria,182,Yobe,,4340967
