AdminStrata,Adamawa,Adamawa,Adamawa,Adamawa,Adamawa,Adamawa,Adamawa,Adamawa,Adamawa,Adamawa,Adamawa,Adamawa,Adamawa,Adamawa,Adamawa,Adamawa,Borno,Borno,Borno,Borno,Borno,Borno,Borno,Borno,Borno,Borno,Borno,Borno,Borno,Borno,Borno,Borno,Yobe,Yobe,Yobe,Yobe,Yobe,Yobe,Yobe,Yobe,Yobe,Yobe,Yobe,Yobe,Yobe,Yobe,Yobe,Yobe
Indicator,1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Area,Code,FCG,Fatalities,Lat,Lon,NDVI,NDVI Anomaly,Population,Price cereals and tubers,Rainfalls (mm),Ramadan,Waterways,rCSI,1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Area,Code,FCG,Fatalities,Lat,Lon,NDVI,NDVI Anomaly,Population,Price cereals and tubers,Rainfalls (mm),Ramadan,Waterways,rCSI,1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Area,Code,FCG,Fatalities,Lat,Lon,NDVI,NDVI Anomaly,Population,Price cereals and tubers,Rainfalls (mm),Ramadan,Waterways,rCSI
2018-01-01,,,3.1130065092724286,41,,,9.323227331978973,12.400240775699976,,,4946724,,,,27.743703110147877,,,,5.987848714595808,47,,,11.88898010020693,13.153346984526964,,,5884116,,,,42.576610921940656,,,,3.726688294429786,75,,,12.298680220936609,11.43706583990847,,,4340967,,,,11.177105690667396,
2018-01-02,,,3.1130065092724286,41,,,9.323227331978973,12.400240775699976,,,4946724,,,,27.743703110147877,,,,5.987848714595808,47,,,11.88898010020693,13.153346984526964,,,5884116,,,,42.576610921940656,,,,3.726688294429786,75,,,12.298680220936609,11.43706583990847,,,4340967,,,,11.177105690667396,
2018-01-03,,,3.1130065092724286,41,,,9.323227331978973,12.400240775699976,,,4946724,,,,27.743703110147877,,,,5.987848714595808,47,,,11.88898010020693,13.153346984526964,,,5884116,,,,42.576610921940656,,,,3.726688294429786,75,,,12.298680220936609,11.43706583990847,,,4340967,,,,11.177105690667396,
2018-01-04,,,3.1130065092724286,41,,,9.323227331978973,12.400240775699976,,,4946724,,,,27.743703110147877,,,,5.987848714595808,47,,,11.88898010020693,13.153346984526964,,,5884116,,,,42.576610921940656,,,,3.726688294429786,75,,,12.298680220936609,11.43706583990847,,,4340967,,,,11.177105690667396,
2018-01-05,,,3.1130065092724286,41,,,9.323227331978973,12.400240775699976,,,4946724,,,,27.743703110147877,,,,5.987848714595808,47,,,11.88898010020693,13.153346984526964,,,5884116,,,,42.576610921940656,,,,3.726688294429786,75,,,12.298680220936609,11.43706583990847,,,4340967,,,,11.177105690667396,
2018-01-06,,,3.1130065092724286,41,,,9.323227331978973,12.400240775699976,,,4946724,,,,27.743703110147877,,,,5.987848714595808,47,,,11.88898010020693,13.153346984526964,,,5884116,,,,42.576610921940656,,,,3.726688294429786,75,,,12.298680220936609,11.43706583990847,,,4340967,,,,11.177105690667396,
2018-01-07,,,3.1130065092724286,41,,,9.323227331978973,12.400240775699976,,,4946724,,,,27.743703110147877,,,,5.987848714595808,47,,,11.88898010020693,13.153346984526964,,,5884116,,,,42.576610921940656,,,,3.726688294429786,75,,,12.298680220936609,11.43706583990847,,,4340967,,,,11.177105690667396,
2018-01-08,,,3.1130065092724286,41,,,9.323227331978973,12.400240775699976,,,4946724,,,,27.743703110147877,,,,5.987848714595808,47,,,11.88898010020693,13.153346984526964,,,5884116,,,,42.576610921940656,,,,3.726688294429786,75,,,12.298680220936609,11.43706583990847,,,4340967,,,,11.177105690667396,
2018-01-09,,,3.1130065092724286,41,,,9.323227331978973,12.400240775699976,,,4946724,,,,27.743703110147877,,,,5.987848714595808,47,,,11.88898010020693,13.153346984526964,,,5884116,,,,42.576610921940656,,,,3.726688294429786,75,,,12.298680220936609,11.43706583990847,,,4340967,,,,11.177105690667396,
