AdminStrata,Adamawa,Adamawa,Adamawa,Adamawa,Adamawa,Adamawa,Adamawa,Adamawa,Adamawa,Adamawa,Adamawa,Adamawa,Adamawa,Adamawa,Borno,Borno,Borno,Borno,Borno,Borno,Borno,Borno,Borno,Borno,Borno,Borno,Borno,Borno,Yobe,Yobe,Yobe,Yobe,Yobe,Yobe,Yobe,Yobe,Yobe,Yobe,Yobe,Yobe,Yobe,Yobe
Indicator,1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Code,FCG <= 2,Fatalities,Lat,Lon,NDVI,NDVI Anomaly,Population,Price cereals and tubers,Rainfalls (mm),Ramadan,rCSI >= 19,1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Code,FCG <= 2,Fatalities,Lat,Lon,NDVI,NDVI Anomaly,Population,Price cereals and tubers,Rainfalls (mm),Ramadan,rCSI >= 19,1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Code,FCG <= 2,Fatalities,Lat,Lon,NDVI,NDVI Anomaly,Population,Price cereals and tubers,Rainfalls (mm),Ramadan,rCSI >= 19
2019-01-18,100.25967741935484,93.03713999023249,14,23.58693837903089,0.0,9.323227331978973,12.400240775699976,0.3344290387096774,96.86802911203772,4946724,0.20448173539305012,0.0,0.0,43.0087409766514,100.0,117.36723763980798,20,37.455808225068026,243.0,11.88898010020693,13.153346984526964,0.2677105851612903,102.86407138009041,5884116,0.3323169069615581,0.0,0.0,35.25952849574112,100.0,143.24929608421672,48,30.722899820315927,66.0,12.298680220936609,11.43706583990847,0.23246493451612904,99.63491321528535,4340967,0.12811885234961576,0.0,0.0,45.458461731357964
2019-01-19,100.24483870967742,93.97796888666514,14,22.75542540939255,0.0,9.323227331978973,12.400240775699976,0.3322914209677419,96.92706866645284,4946724,0.20467717735518373,0.0,0.0,43.61938479314493,100.0,117.99589239806434,20,36.45118988231689,253.0,11.88898010020693,13.153346984526964,0.2666714822580645,102.8665213364641,5884116,0.3320946566204614,0.0,0.0,34.7199987904137,100.0,143.21081265495616,48,30.273423261169853,66.0,12.298680220936609,11.43706583990847,0.23149834516129034,99.53353976770535,4340967,0.12745056357103968,0.0,0.0,45.499662801634855
2019-01-20,100.23,95.03153799863743,14,22.547817376663453,0.0,9.323227331978973,12.400240775699976,0.3302080693548387,96.98587508768087,4946724,0.20487261931731726,0.0,0.0,42.48155905650609,100.0,118.63326435662071,20,36.46195954204352,254.0,11.88898010020693,13.153346984526964,0.2656528983870968,102.86959441901222,5884116,0.3318724062793648,0.0,0.0,34.65347048674515,100.0,143.0532437397956,48,31.047473723505842,70.0,12.298680220936609,11.43706583990847,0.23054098709677426,99.43088367826105,4340967,0.1267822747924636,0.0,0.0,44.1934803460001
2019-01-21,100.21519060118037,96.06102989972922,14,23.758271002936425,0.0,9.323227331978973,12.400240775699976,0.32813497668621694,97.04491305617789,4946724,0.2050680612794508,0.0006000000000000001,0.0,42.55896231327147,100.0,119.14894585750928,20,36.892211387933656,242.0,11.88898010020693,13.153346984526964,0.2646302277126099,102.8744832472643,5884116,0.3316501559382682,0.0,0.0,34.36289918556291,100.0,142.69316647374188,48,31.81486148941021,70.0,12.298680220936609,11.43706583990847,0.2295932249266862,99.33390670248858,4340967,0.12611398601388754,0.0,0.0,45.04817237586917
2019-01-22,100.20041051321849,97.06644458994043,14,22.37427921841112,0.0,9.323227331978973,12.400240775699976,0.3260721429618769,97.10418257194401,4946724,0.20526350324158432,0.0012,0.0,41.12939934264021,100.0,119.54293690072996,20,35.6370554832621,232.0,11.88898010020693,13.153346984526964,0.2636034702346041,102.8811878212202,5884116,0.3314279055971716,0.0,0.0,36.355708666064274,100.0,142.130580856795,48,30.67475194744757,70.0,12.298680220936609,11.43706583990847,0.2286550586510264,99.24260884038786,4340967,0.1254456972353115,0.0,0.0,43.35934185977821
2019-01-23,100.18565973611437,98.04778206927116,14,23.92604856877169,0.0,9.323227331978973,12.400240775699976,0.3240195681818182,97.16368363497914,4946724,0.2054589452037179,0.0018000000000000004,0.0,40.721224204610365,100.0,119.81523748628284,20,35.881762198864514,228.0,11.88898010020693,13.153346984526964,0.26257262595307923,102.88970814088005,5884116,0.3312056552560749,0.0,0.0,35.64780243122765,100.0,141.36548688895505,48,30.86191520078497,78.0,12.298680220936609,11.43706583990847,0.22772648826979475,99.1569900919589,4340967,0.12477740845673542,0.0,0.0,43.74485193029243
2019-01-24,100.17093826986799,99.0050423377213,14,23.68244664968628,0.0,9.323227331978973,12.400240775699976,0.3219772523460411,97.22341624528327,4946724,0.20565438716585147,0.0024,0.0,42.16888511031677,100.0,119.96584761416784,20,34.80617383475475,235.0,11.88898010020693,13.153346984526964,0.2615376948680352,102.90004420624376,5884116,0.33098340491497824,0.0,0.0,35.96718916318362,100.0,140.3978845702219,48,31.58836039636141,36.0,12.298680220936609,11.43706583990847,0.2268075137829912,99.07705045720174,4340967,0.12410911967815935,0.0,0.0,43.175353445809144
2019-01-25,100.15624611447943,99.93822539529093,14,24.165867712489177,0.0,9.323227331978973,12.400240775699976,0.3199451954545455,97.28338040285652,4946724,0.20584982912798497,0.003,0.0,42.14546183221991,100.0,119.99476728438499,20,34.57397603314997,253.0,11.88898010020693,13.153346984526964,0.2604986769794721,102.91219601731142,5884116,0.3307611545738816,0.0,0.0,36.12897993331178,100.0,139.22777390059565,48,31.53679734642923,36.0,12.298680220936609,11.43706583990847,0.22589813519061586,99.00278993611632,4340967,0.12344083089958327,0.0,0.0,42.93306048335942
2019-01-26,100.1415832699486,100.84733124198004,14,23.93572307499041,0.0,9.323227331978973,12.400240775699976,0.3179233975073314,97.34357610769877,4946724,0.20604527109011853,0.0036,0.0,42.45046126308672,100.0,119.9019964969343,20,34.4745228380358,253.0,11.88898010020693,13.153346984526964,0.25945557228739,102.92616357408299,5884116,0.33053890423278504,0.0,0.0,35.770259958215924,100.0,137.85515488007624,48,32.427873214957145,36.0,12.298680220936609,11.43706583990847,0.2249983524926686,98.93420852870271,4340967,0.12277254212100724,0.0,0.0,43.183312295887156
2019-01-27,100.12694973627556,101.73235987778857,14,25.03963383589489,0.0,9.323227331978973,12.400240775699976,0.3159118585043988,97.40400335981005,4946724,0.20624071305225208,0.0042,0.0,39.6983042756,100.0,119.6875352518158,20,32.186885009225065,260.0,11.88898010020693,13.153346984526964,0.25840838079178885,102.94194687655843,5884116,0.3303166538916884,0.0,0.0,38.62709557601253,100.0,136.28002750866372,48,30.924175972238444,36.0,12.298680220936609,11.43706583990847,0.2241081656891496,98.87130623496084,4340967,0.12210425334243115,0.0,0.0,40.43894904921903
2019-01-28,100.11234551346027,102.59331130271656,14,25.87884193434769,0.0,9.323227331978973,12.400240775699976,0.3139105784457478,97.46466215919041,4946724,0.20643615501438564,0.0048,0.0,38.08170386589507,100.0,119.35138354902942,20,31.41479512921713,332.0,11.88898010020693,13.153346984526964,0.25735710249266863,102.95954592473778,5884116,0.3300944035505917,0.0,0.0,37.37788743446804,100.0,134.5023917863581,48,30.570691915512803,36.0,12.298680220936609,11.43706583990847,0.22322757478005864,98.8140830548908,4340967,0.1214359645638551,0.0,0.0,41.47426111731095
2019-01-29,100.0977706015028,103.43018551676406,14,25.080323400875567,0.0,9.323227331978973,12.400240775699976,0.3119195573313782,97.52555250583977,4946724,0.2066315969765192,0.005399999999999999,0.0,38.85754366564472,100.0,118.89354138857522,20,33.187929366156766,312.0,11.88898010020693,13.153346984526964,0.2563017373900293,102.97896071862104,5884116,0.3298721532094951,0.0,0.0,35.51791834400017,100.0,132.5222477131593,48,27.707763814608196,36.0,12.298680220936609,11.43706583990847,0.2223565797653959,98.7625389884925,4340967,0.12076767578527906,0.0,0.0,41.86905990131356
2019-01-30,100.08322500040306,104.24298251993095,14,25.381862529297308,0.0,9.323227331978973,12.400240775699976,0.30993879516129025,97.58667439975818,4946724,0.2068270389386528,0.005999999999999999,0.0,38.55117168282147,100.0,118.31400877045314,20,34.02710062222534,311.0,11.88898010020693,13.153346984526964,0.25524228548387096,103.0001912582082,5884116,0.3296499028683985,0.0,0.0,36.60557168813594,100.0,130.33959528906738,48,28.213317501317505,36.0,12.298680220936609,11.43706583990847,0.2214951806451613,98.71667403576595,4340967,0.12009938700670295,0.0,0.0,41.55237942310118
