1 Month Anomaly (%) Rainfall,3 Months Anomaly (%) Rainfall,Cereals and tubers,Exchange rate (USD/LCU),FCS,Fatality,Lat,Lon,NDVI Anomaly,Population,Rainfall (mm),Ramadan,rCSI,h,val_loss,train_loss
,11,96,,71,,,,,0,,,76,1,0.28214914,0.005228062
,11,96,,71,,,,,0,,,76,2,1.1211112,0.009716381
,11,96,,71,,,,,0,,,76,3,2.1917791,0.011808917
,11,96,,71,,,,,0,,,76,4,3.6602287,0.013327405
,11,96,,71,,,,,0,,,76,5,6.3285065,0.013359827
,11,96,,71,,,,,0,,,76,6,7.1065288,0.013234188
,11,96,,71,,,,,0,,,76,7,9.499739,0.014445585
,11,96,,71,,,,,0,,,76,8,11.706836,0.01164852
,11,96,,71,,,,,0,,,76,9,12.080924,0.013935413
,11,96,,71,,,,,0,,,76,10,13.062314,0.0115297325
,11,96,,71,,,,,0,,,76,11,14.896944,0.013594299
,11,96,,71,,,,,0,,,76,12,14.735571,0.011750126
,11,96,,71,,,,,0,,,76,13,14.92941,0.011933686
,11,96,,71,,,,,0,,,76,14,15.926839,0.011543422
,11,96,,71,,,,,0,,,76,15,18.221079,0.012486049
,11,96,,71,,,,,0,,,76,16,17.5355,0.009639553
,11,96,,71,,,,,0,,,76,17,21.417398,0.010562776
,11,96,,71,,,,,0,,,76,18,21.968346,0.010953933
,11,96,,71,,,,,0,,,76,19,26.440247,0.008451166
,11,96,,71,,,,,0,,,76,20,30.511211,0.009620283
,11,96,,71,,,,,0,,,76,21,27.985538,0.0064071845
,11,96,,71,,,,,0,,,76,22,26.870972,0.006744807
,11,96,,71,,,,,0,,,76,23,27.062544,0.0071945293
,11,96,,71,,,,,0,,,76,24,31.069513,0.006262053
,11,96,,71,,,,,0,,,76,25,29.494787,0.006525471
,11,96,,71,,,,,0,,,76,26,30.693485,0.004708407
,11,96,,71,,,,,0,,,76,27,33.667793,0.0042068884
,11,96,,71,,,,,0,,,76,28,31.977182,0.0035910134
,11,96,,71,,,,,0,,,76,29,35.86688,0.003355777
,11,96,,71,,,,,0,,,76,30,35.06764,0.002604969
36,51,91,61,46,31,0,0,26,0,76,36,41,1,0.29014274,0.008564677
36,51,91,61,46,31,0,0,26,0,76,36,41,2,1.0331507,0.0103028305
36,51,91,61,46,31,0,0,26,0,76,36,41,3,2.1582963,0.015105638
36,51,91,61,46,31,0,0,26,0,76,36,41,4,3.8489063,0.0193706
36,51,91,61,46,31,0,0,26,0,76,36,41,5,5.9213166,0.022943087
36,51,91,61,46,31,0,0,26,0,76,36,41,6,7.875996,0.01905488
36,51,91,61,46,31,0,0,26,0,76,36,41,7,10.868934,0.020073848
36,51,91,61,46,31,0,0,26,0,76,36,41,8,11.27145,0.019407202
36,51,91,61,46,31,0,0,26,0,76,36,41,9,14.270111,0.020060537
36,51,91,61,46,31,0,0,26,0,76,36,41,10,13.657344,0.015495859
36,51,91,61,46,31,0,0,26,0,76,36,41,11,14.977164,0.019747345
36,51,91,61,46,31,0,0,26,0,76,36,41,12,17.030727,0.018852407
36,51,91,61,46,31,0,0,26,0,76,36,41,13,18.773813,0.01870096
36,51,91,61,46,31,0,0,26,0,76,36,41,14,20.16627,0.02007283
36,51,91,61,46,31,0,0,26,0,76,36,41,15,22.493244,0.0147415735
36,51,91,61,46,31,0,0,26,0,76,36,41,16,22.926598,0.018587494
36,51,91,61,46,31,0,0,26,0,76,36,41,17,24.901936,0.015007551
36,51,91,61,46,31,0,0,26,0,76,36,41,18,26.406252,0.013172895
36,51,91,61,46,31,0,0,26,0,76,36,41,19,25.742964,0.01505971
36,51,91,61,46,31,0,0,26,0,76,36,41,20,27.381802,0.012357036
36,51,91,61,46,31,0,0,26,0,76,36,41,21,26.863924,0.011304502
36,51,91,61,46,31,0,0,26,0,76,36,41,22,27.507423,0.01112421
36,51,91,61,46,31,0,0,26,0,76,36,41,23,34.532417,0.014498719
