AdminStrata,Al-Hasakeh,Aleppo,Ar-Raqqa,As-Sweida,Damascus,Dar'a,Deir-ez-Zor,Hama,Homs,Lattakia,Quneitra,Rural Damascus,Tartous
Indicator,FCG,FCG,FCG,FCG,FCG,FCG,FCG,FCG,FCG,FCG,FCG,FCG,FCG
2018-10-03,38.257,29.0511,21.5618,17.5439,17.3905,22.3251,21.5618,29.4398,32.3421,27.381,,22.4946,12.7234
2018-10-04,38.9805,27.7985,21.5618,19.7802,16.4401,22.4121,21.5618,31.6285,34.8749,26.2487,,22.6591,12.1993
2018-10-05,39.6493,27.0396,22.343000000000004,19.8374,16.7071,22.9677,22.343000000000004,32.4368,36.2117,25.0395,,22.97,12.474
2018-10-06,42.5086,28.9677,23.01,17.0279,16.754,25.0423,23.01,34.3519,38.5269,24.2169,,23.3731,12.4095
2018-10-07,42.6713,27.9643,23.01,17.4699,17.3318,24.8558,23.01,36.2337,40.6635,24.6178,,23.276,14.1185
2018-10-08,42.1869,30.116999999999997,22.1822,16.7147,18.0895,25.4144,22.1822,36.1542,41.2616,24.0263,,22.4872,13.8327
2018-10-09,42.1434,30.7621,21.412,18.2635,18.7256,27.0043,21.412,36.4233,41.1654,25.1779,,22.2336,16.9654
2018-10-10,41.0476,31.8916,22.0022,19.8519,19.4654,27.2154,22.0022,36.9198,41.7964,24.1701,,23.5326,16.0988
2018-10-11,40.5991,33.0528,22.3714,23.2772,19.2028,27.6298,22.3714,34.9683,39.5884,22.5015,,23.0263,15.5999
2018-10-12,41.8174,30.768,20.3837,24.2038,18.4901,26.3889,20.3837,29.6886,33.6302,21.601,,23.5781,14.9762
2018-10-13,42.8828,30.4955,21.1443,24.8366,19.8346,23.9393,21.1443,29.4894,33.3237,20.7867,,21.5487,14.8699
2018-10-14,43.687,30.4676,20.8845,25.0825,20.1759,25.0172,20.8845,30.7846,34.9698,20.9881,,21.7782,14.9304
2018-10-15,42.9126,29.1116,26.3158,26.281999999999996,20.0072,23.6256,26.3158,30.9871,35.4421,20.5957,,21.8573,15.4464
2018-10-16,42.1135,30.4089,25.1641,26.936,20.111,24.0063,25.1641,28.3003,31.221999999999998,24.1171,,19.6902,15.6544
2018-10-17,41.3769,30.0263,25.1641,27.0959,19.6844,23.6143,25.1641,27.8431,30.7269,24.8521,,19.9121,15.5135
2018-10-18,41.4867,30.4496,23.7603,25.4428,19.2111,27.5028,23.7603,28.4879,31.5691,27.4678,,20.9498,17.7818
2018-10-19,40.0844,29.4515,24.9187,24.5791,19.7483,27.3666,24.9187,28.4879,31.5691,27.4678,,21.226,18.7838
2018-10-20,35.3119,29.4158,24.5203,22.311,20.1514,28.9108,24.5203,28.2264,31.3911,25.6045,,21.5146,20.5112
2018-10-21,33.8876,28.914,23.7603,21.6618,20.7268,28.7521,23.7603,28.2694,31.3911,25.8477,,22.1486,20.5811
2018-10-22,36.2319,29.2192,23.5174,21.7865,21.2298,29.215,23.5174,28.8224,31.3911,26.6323,,22.6146,19.9827
2018-10-23,35.6225,29.0463,24.1597,23.6392,21.372,29.215,24.1597,29.9365,31.3911,25.375,,22.3967,19.7555
2018-10-24,35.1301,29.2791,24.1597,22.1169,21.5995,27.3773,24.1597,28.9167,30.8219,25.3438,,22.033,17.9845
2018-10-25,36.0813,29.581999999999997,25.7847,20.4342,21.2275,28.0008,25.7847,28.9647,30.8219,24.7897,,22.1944,17.5668
2018-10-26,36.0813,29.581999999999997,24.0826,20.067999999999998,19.8226,27.1732,24.0826,29.2866,30.8219,26.0077,,22.8362,19.182000000000002
2018-10-27,32.0056,30.0059,25.2101,18.8929,21.238000000000003,26.75,25.2101,29.1863,30.3813,25.5157,,24.267,17.7056
2018-10-28,33.359,29.7104,16.3711,18.8929,21.1295,28.6886,16.3711,29.3489,30.3813,26.0974,,24.267,17.66
2018-10-29,33.79,30.4038,17.3522,19.9873,20.8419,29.9262,17.3522,29.7679,28.2351,25.91,,24.1885,17.2321
2018-10-30,33.79,30.4038,22.2772,22.1402,21.0673,28.2373,22.2772,29.3516,27.2421,25.91,,25.1365,17.2321
2018-10-31,33.79,30.4038,30.8483,22.2222,21.2979,28.0563,30.8483,29.441,27.0755,25.91,,24.1764,17.288
2018-11-01,34.9326,30.916999999999998,29.7357,23.8168,21.9667,28.2714,29.7357,28.549,26.2795,27.0965,,24.862,19.0888
2018-11-02,34.9366,31.6021,31.0219,26.2185,20.1566,26.7273,31.0219,29.5294,27.4519,27.7454,,24.5797,19.9005
2018-11-03,35.0893,33.7574,36.7561,25.2028,19.7012,28.2766,36.7561,31.5198,27.0471,27.9665,,25.6139,20.5968
2018-11-04,35.0801,33.8505,35.513000000000005,23.9863,19.6849,27.4263,35.513000000000005,32.0279,25.4596,27.9991,,25.9197,21.9207
2018-11-05,34.6635,33.9912,35.513000000000005,23.5823,20.0975,26.927,35.513000000000005,31.0897,24.7127,27.4869,,25.5241,20.9895
2018-11-06,33.7117,33.2685,35.1562,24.8374,20.0975,25.5519,35.1562,31.3241,25.1582,27.2872,,25.5945,21.5983
2018-11-07,33.195,34.3405,32.9498,24.0214,18.9173,25.5289,32.9498,31.3989,26.4489,26.3308,,25.5206,21.9673
2018-11-08,33.556999999999995,33.1487,34.0173,25.0432,18.8889,27.6181,34.0173,31.5782,29.7073,25.6509,,26.2035,23.3435
2018-11-09,33.9898,33.8447,35.1562,25.0821,18.8807,26.3445,35.1562,30.4825,29.2488,26.0511,,27.0297,21.7446
2018-11-10,35.6218,32.6707,34.641999999999996,25.0074,18.8864,27.4241,34.641999999999996,30.4951,27.9118,27.2245,,27.8236,21.9144
2018-11-11,35.8135,32.625,36.5854,21.9812,18.8713,27.9672,36.5854,29.7504,27.289,29.2652,,27.2504,23.6453
2018-11-12,36.2125,32.731,35.9869,22.1465,18.8452,28.7267,35.9869,29.6519,27.2669,29.3256,,28.7259,22.6308
2018-11-13,35.5012,34.4251,34.0909,22.8041,17.9827,30.5348,34.0909,29.2786,26.5719,29.5327,,30.0448,22.9834
2018-11-14,35.0022,33.8167,33.5707,21.8139,18.5723,29.425,33.5707,28.6771,25.5701,28.5542,,30.014,22.2603
2018-11-15,34.7838,34.859,29.4422,19.3573,20.6409,29.9709,29.4422,28.0478,26.0253,29.1102,,31.3966,22.7721
2018-11-16,34.7624,35.2189,30.7112,17.7442,21.1467,31.7738,30.7112,29.6534,27.7221,27.5802,,31.8229,22.4
2018-11-17,35.8831,34.9105,30.5139,17.8918,20.9753,31.3099,30.5139,30.1095,28.5519,25.7797,,33.2773,22.9993
2018-11-18,35.7143,35.4699,32.2757,17.456,21.384,29.1327,32.2757,29.5323,28.2586,24.1593,,34.2253,20.6832
2018-11-19,35.7143,35.4198,34.428000000000004,17.1975,21.0172,28.0303,34.428000000000004,29.4364,27.3223,23.895,,34.7679,20.3289
2018-11-20,36.3235,35.0396,33.8895,17.2634,19.9554,25.9378,33.8895,29.424,27.0305,24.7682,,34.5341,20.1814
2018-11-21,37.2835,35.4884,34.2105,18.2171,21.368000000000002,26.476999999999997,34.2105,29.3737,27.0305,23.785,,33.3935,19.9629
2018-11-22,35.7738,35.4602,34.5745,17.7632,21.1766,25.7262,34.5745,28.9776,27.1279,22.6522,,32.9398,20.0047
2018-11-23,36.2086,35.9065,34.9462,16.5858,21.2362,25.7262,34.9462,27.9446,27.3296,23.4493,,33.2141,21.4249
2018-11-24,36.5791,35.9978,32.8283,17.914,21.3313,26.0346,32.8283,27.8986,28.1656,23.5385,,32.7669,21.8121
2018-11-25,35.8701,36.5452,32.8283,18.0433,21.2106,24.3373,32.8283,27.7514,28.7469,24.0996,,33.2183,22.6238
2018-11-26,35.8701,36.5452,32.3383,18.0433,21.2106,24.3373,32.3383,27.7514,28.7469,24.0996,,33.0568,22.6238
2018-11-27,39.8333,36.4589,32.5325,18.7552,21.6162,24.6115,32.5325,28.2313,29.1856,24.2788,,33.3891,24.9857
2018-11-28,38.6691,37.1548,33.0285,19.1544,21.6489,25.6589,33.0285,28.9653,29.3643,23.6777,,33.5654,26.3938
2018-11-29,38.4055,36.7049,35.0877,18.1469,21.3228,24.3153,35.0877,28.37,29.5809,23.8982,,33.5834,26.9942
2018-11-30,38.4055,36.7049,31.5852,16.2589,21.1055,25.2903,31.5852,28.5951,30.781,23.8982,,32.5824,26.9942
2018-12-01,39.4737,37.1632,30.4948,16.2614,20.5972,25.9456,30.4948,31.2205,30.3751,27.6637,,32.6439,27.4433
2018-12-02,39.5647,35.4112,33.1665,17.3952,19.2098,27.8168,33.1665,33.9385,31.9771,22.7406,,33.2819,27.0224
2018-12-03,39.937,35.2668,31.1765,16.4188,19.8011,30.5057,31.1765,34.2134,33.6806,23.2686,,33.3473,28.3881
2018-12-04,40.0902,34.9715,25.7862,18.7443,20.183,28.8116,25.7862,31.7601,30.9531,22.8588,,32.7936,29.0854
2018-12-05,39.0922,34.0991,29.5597,18.6246,21.8459,29.7466,29.5597,30.8394,30.206999999999997,22.9584,,33.2522,27.3243
2018-12-06,39.0959,32.944,27.9762,18.6246,21.1654,30.7259,27.9762,30.5509,29.8256,23.9931,,34.0023,27.7976
2018-12-07,38.5182,32.7064,28.4848,19.4935,21.7036,32.0329,28.4848,29.333000000000002,28.8829,25.4623,,34.4254,27.7502
2018-12-08,40.7928,32.3251,30.1282,19.7686,22.3308,31.5747,30.1282,28.811,27.4784,25.7716,,35.6288,26.2529
2018-12-09,41.242,31.2976,30.1282,19.2508,21.7267,29.246,30.1282,27.0946,21.9922,26.4792,,35.4753,25.585
2018-12-10,42.3747,31.0174,28.799,18.3897,22.088,29.6849,28.799,26.654,21.2597,25.2651,,35.7736,23.4151
2018-12-11,40.8798,33.6106,30.2511,17.7034,21.3214,27.8099,30.2511,27.8654,21.6723,23.4878,,35.0198,23.9499
2018-12-12,42.3446,32.7351,27.9762,17.6752,21.1793,28.3385,27.9762,29.3416,22.3513,20.7469,,34.5933,21.8554
2018-12-13,40.5282,33.8714,28.4848,16.9903,21.2337,27.9884,28.4848,29.3063,24.1227,21.3605,,33.1506,22.4181
2018-12-14,40.4188,32.0172,30.3618,16.3366,21.3091,27.2991,30.3618,30.2803,25.1756,22.3906,,32.4356,22.4261
2018-12-15,40.1213,32.9432,31.3752,16.8895,20.6143,27.3131,31.3752,29.2691,25.1051,23.6806,,32.3094,23.5571
2018-12-16,41.0995,33.902,31.25,18.4829,17.6971,25.8685,31.25,29.6487,24.5393,22.2143,,31.5789,22.4496
2018-12-17,41.6775,34.8119,31.25,18.7019,18.3566,26.5993,31.25,30.1191,24.9614,23.8461,,31.1222,21.8119
2018-12-18,40.0612,36.3184,30.4288,17.1313,18.9386,28.9947,30.4288,31.159000000000002,24.5063,25.8537,,30.4181,21.3403
2018-12-19,41.2296,37.01,28.2638,17.8509,20.2242,28.1639,28.2638,30.5904,23.8983,25.5655,,30.4058,22.8354
2018-12-20,41.5776,36.9423,27.1669,19.0169,20.4838,28.9084,27.1669,30.4364,24.3191,26.5699,,30.5539,22.9492
2018-12-21,41.5776,37.0005,28.2638,20.2136,22.0554,30.4283,28.2638,30.5894,24.6936,27.052,,30.9498,22.3047
2018-12-22,42.2115,37.141,30.6905,20.649,19.6762,30.3593,30.6905,31.0594,24.3264,28.8636,,31.5752,21.8864
2018-12-23,41.4508,37.4342,37.844,20.3488,19.9253,29.7609,37.844,30.8109,23.874000000000002,29.084,,32.5341,22.6327
2018-12-24,41.1344,37.4342,37.844,19.9857,19.7775,28.9412,37.844,30.7011,23.789,28.4328,,31.2571,21.9249
2018-12-25,41.3882,37.287,37.844,18.4366,19.8758,30.5884,37.844,31.8221,23.789,26.0838,,33.0008,23.3999
2018-12-26,41.3882,37.2816,34.4478,19.8793,20.2192,29.9564,34.4478,32.5498,24.0596,26.4975,,32.2733,23.1646
2018-12-27,41.3882,37.2816,34.9794,19.7392,20.0725,29.6563,34.9794,32.5498,24.0596,26.4975,,32.7522,23.6782
2018-12-28,41.3882,37.2816,35.5277,19.8441,20.0725,29.9656,35.5277,32.5498,24.0596,26.7806,,32.6545,22.9187
2018-12-29,42.1366,37.1373,38.0658,21.2912,20.8992,28.4898,38.0658,32.4393,24.2157,26.386,,31.9785,21.9295
2018-12-30,42.1366,37.1373,36.0934,21.2912,21.6026,27.9451,36.0934,33.4894,24.9141,27.7888,,31.9818,21.596999999999998
2018-12-31,42.5037,37.1373,36.0934,21.2912,21.441,27.9451,36.0934,33.4071,24.9141,27.2492,,31.6716,21.596999999999998
2019-01-01,41.5993,36.6879,32.8638,21.6276,22.3227,28.0577,32.8638,30.9064,23.4039,22.6231,,31.7581,20.4529
2019-01-02,43.9804,36.935,31.2152,18.7081,23.3699,26.8061,31.2152,29.0029,23.6071,24.1805,,33.1619,18.7183
2019-01-03,44.0354,37.2957,32.5203,19.2517,22.2509,25.4147,32.5203,29.5203,21.6381,22.9236,,32.854,16.4552
2019-01-04,41.8569,37.0253,34.1048,16.0282,22.9645,26.781,34.1048,31.0103,31.509,22.8147,,33.4411,13.7585
2019-01-05,42.8349,37.6797,31.6056,16.4131,20.8105,25.5801,31.6056,30.5492,22.6361,24.4743,,33.1911,14.2787
2019-01-06,44.1595,39.4797,32.2165,17.355999999999998,23.5014,23.7469,32.2165,30.8148,24.018,25.3668,,32.7613,14.9184
2019-01-07,45.3132,40.9186,30.7314,16.2742,22.2151,23.3229,30.7314,30.7256,25.8291,26.5556,,32.8523,14.7126
2019-01-08,44.5236,40.9985,29.0867,19.3237,23.4681,25.2312,29.0867,29.1687,26.9989,27.3876,,34.3592,12.8035
2019-01-09,44.5695,40.6514,32.8216,21.1316,23.6609,23.5497,32.8216,30.5661,28.5491,27.58,,35.786,14.4487
2019-01-10,41.6229,39.5292,33.8428,22.941999999999997,24.3341,22.2552,33.8428,31.4142,31.2324,29.4936,,34.5352,15.847999999999999
2019-01-11,42.9819,38.0886,33.2937,22.694000000000003,25.641,22.8137,33.2937,31.5224,32.3694,29.9964,,35.1864,15.1973
2019-01-12,40.4791,38.9039,32.147,23.0352,24.7509,22.2658,32.147,31.6584,35.1914,30.4549,,34.756,14.4844
2019-01-13,38.9285,37.6712,29.1363,21.7183,26.7348,22.6567,29.1363,32.2005,32.6919,27.3954,,34.3659,17.215
2019-01-14,39.6262,38.639,28.9107,21.5912,27.02,23.5756,28.9107,32.848,32.6978,26.388,,35.038000000000004,18.5015
2019-01-15,39.0186,38.3824,28.0421,21.1044,27.268,25.2629,28.0421,32.4547,31.6957,24.9686,,33.6869,17.465
2019-01-16,39.5174,37.6952,27.627,20.6857,27.8118,28.8985,27.627,32.8325,32.336,23.9386,,34.1032,19.1558
2019-01-17,39.0972,36.8252,27.627,20.5943,27.3369,28.808000000000003,27.627,32.468,31.9921,22.5391,,34.5074,19.8821
2019-01-18,39.3143,35.953,28.3258,21.8312,28.1077,25.5282,28.3258,31.5609,31.5529,21.49,,34.522,20.6655
2019-01-19,38.7743,35.8943,26.3282,19.7698,25.858,26.5248,26.3282,32.4172,32.7367,21.8509,,33.9577,19.2866
2019-01-20,37.7824,36.0624,23.5073,19.201,25.3813,26.1674,23.5073,32.8447,33.7351,21.1853,,33.4307,19.0182
2019-01-21,37.7824,36.0624,22.8624,18.512999999999998,25.139,25.8969,22.8624,32.8447,33.7351,22.9777,,33.4307,18.6576
2019-01-22,37.1311,35.9899,20.6864,18.2155,25.0221,26.1248,20.6864,32.4534,33.8017,20.6767,,33.6004,19.3059
2019-01-23,37.4975,36.672,15.333,16.5081,23.0769,25.506,15.333,32.6659,35.6989,20.5224,,33.3046,19.7139
2019-01-24,37.6509,36.672,17.6953,17.4538,23.4721,26.7048,17.6953,33.1475,35.6235,21.1111,,34.1938,23.2153
2019-01-25,37.3947,36.8684,18.6618,17.5892,23.7243,25.5509,18.6618,32.9623,35.6235,21.866999999999997,,33.3631,21.9925
2019-01-26,37.3947,36.8689,23.8652,16.3545,22.8594,24.7912,23.8652,31.7293,34.1819,21.4844,,34.0475,22.1836
2019-01-27,37.9262,36.8689,24.7022,16.3891,22.9676,27.8356,24.7022,32.0433,33.7484,22.6923,,33.723,21.5142
2019-01-28,37.9262,36.8689,25.3545,16.3891,22.9676,28.7302,25.3545,32.0433,33.9452,22.6923,,33.7215,21.5142
2019-01-29,37.1656,37.0709,22.7761,15.1638,22.3737,28.7302,22.7761,31.4568,33.9452,22.9394,,34.0217,21.5142
2019-01-30,37.1656,37.0709,22.7761,15.1638,22.4819,28.8204,22.7761,30.5632,33.2815,21.615,,34.1227,21.8982
2019-01-31,36.7783,37.0709,22.2036,15.1638,22.5911,28.569000000000003,22.2036,30.5993,33.2815,21.9735,,34.4935,21.8982
