Split,Split 1,Split 1,Split 2,Split 2,Split 3,Split 3
Info,training points,features,training points,features,training points,features
1,2592,21,2832,21,3080,18
2,2584,23,2824,18,3072,18
3,2576,23,2816,22,3064,17
4,2568,22,2808,23,3056,18
5,2560,22,2800,22,3048,22
6,2552,22,2792,22,3040,22
7,2544,22,2784,17,3032,17
8,2536,18,2776,23,3024,17
9,2528,23,2768,22,3016,21
10,2520,22,2760,17,3008,16
11,2512,17,2752,17,3000,21
12,2504,17,2744,17,2992,16
13,2496,18,2736,17,2984,16
14,2488,23,2728,17,2976,17
15,2480,22,2720,17,2968,16
16,2472,23,2712,18,2960,17
17,2464,17,2704,18,2952,18
18,2456,18,2696,17,2944,18
19,2448,22,2688,17,2936,17
20,2440,18,2680,17,2928,17
21,2432,23,2672,23,2920,17
22,2424,18,2664,18,2912,17
23,2416,17,2656,18,2904,17
24,2408,19,2648,17,2896,18
25,2400,19,2640,18,2888,18
26,2392,19,2632,17,2880,18
27,2384,19,2624,18,2872,17
28,2376,19,2616,17,2864,19
29,2368,19,2608,17,2856,18
30,2360,19,2600,18,2848,16
