Split,,Split 1,Split 1,Split 2,Split 2,Split 3,Split 3,Split 4,Split 4
Type,,mse_model,mse_naive,mse_model,mse_naive,mse_model,mse_naive,mse_model,mse_naive
Country,Prediction horizon,,,,,,,,
Nigeria,1,9.728246713697162,5.21130601836415,4.247470853374456,0.585405469339375,0.8342532165317578,0.5627982382754712,0.9130601888051246,7.102110201594361
Nigeria,2,14.374701985070347,5.023658110830447,13.430907367535406,4.030265947416674,4.452485235821377,1.8737447854496072,3.4797062732898874,4.877015535184236
Nigeria,3,80.2343196960468,46.50129456854193,38.99329075275281,15.364841369399334,10.416898355859992,6.051915931123468,9.75760542723265,5.393873625562043
Nigeria,4,182.6878290054868,160.68016825435348,70.95418525605261,32.53944913213301,24.411657355076645,17.985500396954514,15.347503404865279,5.371798829931564
Nigeria,5,273.6946680313321,229.74711658024316,96.21151069589418,46.82817649709924,29.722610921353095,22.526566697193218,14.177437281389649,7.29393237879297
Nigeria,6,269.5079875951651,210.50385088003748,337.542365241734,196.880034243785,36.48710251913436,30.176999938091814,19.999349208015982,7.082006657192298
Nigeria,7,270.27482689098093,234.11331019105168,344.24381157510874,194.67928720868153,38.017447072919104,32.476859976600494,25.813205339025874,8.54130606629817
Nigeria,8,256.18413702244663,208.40690939163653,389.069970746794,222.0284936477165,47.062344258691446,43.1457229778735,25.023023165939744,7.490909072538158
Nigeria,9,263.8191728076071,214.94320707013057,520.1950016010601,307.0483958147422,53.06351288792834,46.88251726057147,23.67974335907016,6.5432358790704255
Nigeria,10,317.8548603247046,271.31914021085583,472.672700588115,267.07795921439026,67.27517870423739,58.02934407296462,20.97426407535957,7.146362241686611
Nigeria,11,300.50700210609847,241.34488232416354,431.6969804175201,233.28535467680362,108.88501836172911,81.99075671127848,16.30396282086153,4.614375201159082
Nigeria,12,343.3520569540298,236.02108504092044,438.532712253021,239.84205780813704,129.94382218039812,79.26299887182238,18.42525147582518,5.479213078674917
Nigeria,13,331.791162202879,206.4398566902299,419.00583094527434,229.79425723978406,163.7815132589656,84.1560056505323,18.544555467618242,6.7513699537490135
Nigeria,14,291.4859979908187,143.7011680487879,420.79472088967736,235.101446397155,214.89814847872825,103.03852440394091,19.957901764584047,7.790235931814685
Nigeria,15,312.79916100568533,139.81841044052283,348.65180131984084,187.6638519771776,241.24576814992017,110.12519610602425,22.480117338254498,10.776828828095242
Nigeria,16,286.6826827241279,120.77409862557442,341.884117323285,202.86246532559093,289.7149798186543,123.39922567497074,35.54069558665463,7.453315272354556
Nigeria,17,266.3669377370536,107.41721643486471,328.94014333748015,189.13575190489576,272.20410775815157,104.50006610129594,46.264794830191825,6.185726026615556
Nigeria,18,223.4429764246169,88.12339790109377,346.73290219765744,190.49955415062712,289.2120854620196,95.88707349266467,56.83281786127633,9.704134227943593
Nigeria,19,209.57164882103152,82.8248110001617,341.1369958861991,161.20554675656743,305.51298489819123,110.41226699691043,37.01158916874645,30.983295978942973
Nigeria,20,206.0031517237273,95.9899029349333,406.3652812242237,187.7770893392927,350.6298397038045,129.7793443069024,36.2096570054422,47.274448023867
Nigeria,21,223.04107416172403,108.44905153811702,461.4994320670682,203.69876961972477,339.0865971952208,133.2187963417345,59.81715824489397,60.88032516212014
Nigeria,22,211.6218359562613,104.74284602214512,480.4271073997999,186.73414862272668,363.4373995818726,167.4989987343482,56.4540329362201,79.74725619579614
Nigeria,23,185.29925052121868,100.55733665518692,461.2958401274274,129.00060037933252,339.0540870634146,154.12200381506494,93.07183628636959,97.79828271901438
Nigeria,24,167.13906770248818,71.24291704638027,413.53133016917513,83.66143151592502,400.6903839055297,159.6131503629368,84.26083199399967,106.95471096698446
Nigeria,25,156.32937424070374,58.35642191099987,374.1073919062998,45.8790027905319,345.3282587095277,170.79930981934874,90.04532804123072,112.52115056240291
Nigeria,26,164.72730107634885,48.561666830673225,379.45324562092924,38.542213539886525,339.0724440199389,171.44403769676333,105.35832619576918,122.02946003137065
Nigeria,27,166.59240413221536,42.329026023038004,313.6597813909833,18.567179657068703,327.0352823008298,161.42000970951972,86.43043114031455,145.57189664274247
Nigeria,28,194.5772389282712,29.882921849940146,320.7094776877113,20.743143362009473,363.39015000475996,191.3828764582215,107.91995657570585,180.20515809468552
Nigeria,29,137.6726161753685,18.216493063721202,303.3254460950487,20.532168345427575,382.8302075988948,204.43643009195853,76.16130173968546,181.68676954969843
Nigeria,30,98.08171627222994,20.363313286907886,264.8334770981622,18.788871244617916,407.55335059288353,208.9740519730667,47.570096953022066,187.22885774722124
