batch_size,n_epochs,n_filters,n_kernels,n_nodes,n_seq,n_steps,optimizer,shuffle,loss
59,1,35,4,266,6,69,rmsprop,False,0.5902039593208029
58,1,67,8,546,5,35,adam,False,0.8209942283505867
