Country,Mali,Mali,Mali,Mali,Mali,Mali
Split,Split 1,Split 1,Split 2,Split 2,Split 3,Split 3
Type,r2_model,r2_naive,r2_model,r2_naive,r2_model,r2_naive
Prediction horizon,,,,,,
1,0.9075171701257163,0.9268817732004472,0.9669513981615915,0.9888684480532014,0.9916706576835161,0.9972592161432832
2,0.851722774239771,0.8976338977588048,0.9481440012611683,0.9781596217249448,0.9941506137733276,0.9941834789223478
3,0.8363772351627271,0.8758608334946887,0.9167242478512514,0.9655610771851864,0.9942265159098279,0.9977319383626699
4,0.7679381839523814,0.7963415126079595,0.8502255254329312,0.9354435277121971,0.9898720590394859,0.9949295635770753
5,0.7762901947593388,0.8062878266217415,0.8415691865740389,0.9291879426324915,0.9914874535550089,0.986826412172221
6,0.6452308194487139,0.7166124411712002,0.8028752046768826,0.8969319067114226,0.9802091209561401,0.979060547429943
7,0.4109188289334519,0.5581877637823525,0.8123956764002275,0.9002023118024732,0.9487019777716301,0.9349237422590657
8,0.09389288561617248,0.32283156746417885,0.7646250848811904,0.8578141179986831,0.9455675661453343,0.924271439134871
9,-0.20641117923170316,0.19128281452214801,0.741388508116489,0.8517537393966483,0.9433575507190213,0.8991565598089523
10,-0.44680098689652636,0.07186475951238114,0.727062854091618,0.8576444580029337,0.9353364999408866,0.8566979554861959
11,-0.37163872488264293,0.12967540072218864,0.678376580541057,0.82829036820857,0.9489249433587013,0.8159026760056762
12,-0.42820111593371846,0.07504748299785147,0.5420304840981167,0.7617978443399971,0.9631294005149967,0.7880736804065713
13,-0.5784740899604479,-0.09508722954054716,0.42913038261776426,0.7659190422587046,0.9554157816568568,0.7394842332182021
14,-0.5129097377688037,-0.10665551415526786,0.30686677819333485,0.7777245582767232,0.9435669175804079,0.7420391147822921
15,-0.5294198379634611,-0.1505754816118674,0.20561548055549905,0.7443732332724342,0.8764644617534288,0.6204826675806523
16,-0.4430034092967021,-0.18044241710382414,0.01641449979649323,0.7385935483507343,0.7431798095852538,0.4955695580739522
17,-0.8487887095792401,-0.5901181084013167,0.13616105536927836,0.7558815425733794,0.7367437232810328,0.4402790394428776
18,-1.0009166643139178,-0.7205186300696775,0.05049649675329415,0.7324680049801648,0.6718547543108568,0.2554691000128144
19,-0.9400210721005098,-0.5836163364824674,-0.10440216585079032,0.7257130179941005,0.6187269633816097,0.036847651509460455
20,-0.8650270181477451,-0.47081355066041675,-0.1686552903020524,0.7512729542264377,0.21767991259112307,-0.19332017472386753
21,-0.8831523065280242,-0.41392420273594777,-0.13531017056702033,0.745054003976179,0.3916002035077256,-0.49332942977159844
22,-1.034605370402299,-0.39010167305754284,-0.29479531236190737,0.7487752627220899,0.3864393882079259,-0.5461353416036909
23,-1.2833200888218,-0.5027002846331803,-0.24615858588401984,0.7278710993396731,0.4499761546250365,-0.5401971797042169
24,-1.5681386711893839,-0.7014489169701927,-0.13474323463346072,0.6945526416452972,0.5126595612626337,-0.6574964792093925
25,-1.5145838201869908,-0.5970609595287699,-0.16243190825295906,0.6949772509447956,0.6109578224033734,-0.7009912263120504
26,-2.730448070071159,-1.5786053329866103,-0.13307840091223544,0.709121502977233,0.5170551862327742,-1.0113056239124552
27,-2.9601233248931793,-1.807636291606761,-0.05932001421794486,0.7594630376123654,0.4158617863873839,-2.2439442733988675
28,-2.4612170680005963,-1.4766422726822377,0.020737732224192618,0.7502295862835349,0.5468931512103141,-2.6062758363112013
29,-1.7939877407525273,-1.02324495730663,0.0442864265924664,0.7262369043865149,0.7390051399778585,-2.6861416049972715
30,-1.617928906897165,-1.0670029330691824,-0.030306049638134436,0.7211623846366086,0.8231615594957697,-3.5556598839579427
