Split,Split 1,Split 1,Split 2,Split 2,Split 3,Split 3,Split 4,Split 4,Split 5,Split 5,Split 6,Split 6,Split 7,Split 7,Split 8,Split 8,Split 9,Split 9,Split 10,Split 10
Info,training points,features,training points,features,training points,features,training points,features,training points,features,training points,features,training points,features,training points,features,training points,features,training points,features
1,10420,22,11000,24,11620,20,12220,23,12840,23,13440,20,14060,26,14680,24,15280,25,15900,24
2,10400,23,10980,19,11600,23,12200,21,12820,19,13420,21,14040,25,14660,25,15260,24,15880,19
3,10380,21,10960,23,11580,22,12180,28,12800,25,13400,26,14020,28,14640,26,15240,27,15860,24
4,10360,19,10940,26,11560,22,12160,27,12780,22,13380,24,14000,25,14620,25,15220,22,15840,22
5,10340,24,10920,23,11540,20,12140,25,12760,26,13360,19,13980,24,14600,25,15200,26,15820,27
6,10320,18,10900,23,11520,27,12120,23,12740,25,13340,25,13960,23,14580,23,15180,22,15800,22
7,10300,19,10880,26,11500,22,12100,21,12720,20,13320,22,13940,23,14560,24,15160,25,15780,19
8,10280,27,10860,26,11480,24,12080,27,12700,22,13300,24,13920,23,14540,27,15140,19,15760,23
9,10260,24,10840,22,11460,22,12060,24,12680,25,13280,22,13900,25,14520,25,15120,21,15740,26
10,10240,25,10820,22,11440,23,12040,21,12660,21,13260,21,13880,27,14500,23,15100,24,15720,27
11,10220,25,10800,20,11420,21,12020,25,12640,18,13240,22,13860,25,14480,19,15080,26,15700,24
12,10200,26,10780,20,11400,19,12000,23,12620,23,13220,22,13840,24,14460,24,15060,23,15680,24
13,10180,24,10760,24,11380,23,11980,25,12600,23,13200,26,13820,26,14440,26,15040,20,15660,23
14,10160,22,10740,25,11360,28,11960,22,12580,23,13180,25,13800,22,14420,19,15020,24,15640,21
15,10140,22,10720,24,11340,22,11940,25,12560,22,13160,24,13780,23,14400,24,15000,27,15620,23
16,10120,23,10700,20,11320,24,11920,22,12540,23,13140,19,13760,25,14380,28,14980,20,15600,24
17,10100,22,10680,24,11300,22,11900,24,12520,23,13120,26,13740,20,14360,26,14960,20,15580,20
18,10080,27,10660,24,11280,22,11880,23,12500,18,13100,23,13720,19,14340,21,14940,24,15560,23
19,10060,21,10640,23,11260,19,11860,22,12480,24,13080,21,13700,19,14320,21,14920,23,15540,22
20,10040,19,10620,22,11240,23,11840,24,12460,19,13060,23,13680,22,14300,23,14900,23,15520,19
21,10020,23,10600,26,11220,21,11820,19,12440,20,13040,26,13660,23,14280,19,14880,22,15500,22
22,10000,22,10580,21,11200,24,11800,25,12420,21,13020,28,13640,23,14260,26,14860,19,15480,26
23,9980,25,10560,20,11180,27,11780,22,12400,20,13000,25,13620,24,14240,23,14840,21,15460,19
24,9960,26,10540,20,11160,28,11760,25,12380,24,12980,22,13600,22,14220,24,14820,22,15440,23
25,9940,26,10520,26,11140,25,11740,24,12360,23,12960,26,13580,23,14200,23,14800,22,15420,26
26,9920,25,10500,25,11120,24,11720,20,12340,23,12940,25,13560,24,14180,20,14780,24,15400,22
27,9900,23,10480,22,11100,23,11700,24,12320,22,12920,27,13540,28,14160,25,14760,23,15380,25
28,9880,26,10460,24,11080,20,11680,22,12300,21,12900,25,13520,23,14140,23,14740,23,15360,20
29,9860,20,10440,23,11060,19,11660,22,12280,25,12880,22,13500,23,14120,22,14720,23,15340,24
30,9840,23,10420,25,11040,18,11640,19,12260,18,12860,25,13480,20,14100,22,14700,19,15320,23
