Split,Split 1,Split 1,Split 2,Split 2,Split 3,Split 3,Split 4,Split 4,Split 5,Split 5,Split 6,Split 6,Split 7,Split 7,Split 8,Split 8,Split 9,Split 9,Split 10,Split 10
Info,training points,features,training points,features,training points,features,training points,features,training points,features,training points,features,training points,features,training points,features,training points,features,training points,features
1,10420,19,11000,20,11620,26,12220,31,12840,27,13440,31,14060,33,14680,27,15280,32,15900,28
2,10400,19,10980,19,11600,26,12200,30,12820,33,13420,20,14040,34,14660,24,15260,25,15880,25
3,10380,19,10960,19,11580,33,12180,21,12800,30,13400,21,14020,32,14640,20,15240,25,15860,33
4,10360,18,10940,18,11560,19,12160,25,12780,25,13380,34,14000,25,14620,33,15220,26,15840,20
5,10340,19,10920,26,11540,33,12140,32,12760,23,13360,21,13980,27,14600,21,15200,20,15820,18
6,10320,18,10900,33,11520,32,12120,24,12740,23,13340,28,13960,27,14580,21,15180,21,15800,31
7,10300,26,10880,30,11500,32,12100,31,12720,30,13320,32,13940,26,14560,20,15160,21,15780,20
8,10280,18,10860,23,11480,32,12080,24,12700,20,13300,25,13920,21,14540,21,15140,20,15760,19
9,10260,27,10840,26,11460,33,12060,23,12680,31,13280,27,13900,32,14520,21,15120,27,15740,26
10,10240,18,10820,32,11440,33,12040,27,12660,31,13260,25,13880,20,14500,20,15100,26,15720,25
11,10220,25,10800,30,11420,32,12020,25,12640,26,13240,18,13860,27,14480,26,15080,21,15700,21
12,10200,26,10780,21,11400,26,12000,30,12620,23,13220,20,13840,30,14460,21,15060,20,15680,21
13,10180,25,10760,25,11380,25,11980,25,12600,31,13200,25,13820,25,14440,26,15040,20,15660,25
14,10160,18,10740,27,11360,33,11960,25,12580,23,13180,18,13800,19,14420,19,15020,19,15640,27
15,10140,25,10720,32,11340,26,11940,18,12560,30,13160,19,13780,19,14400,26,15000,19,15620,20
16,10120,26,10700,27,11320,25,11920,19,12540,30,13140,26,13760,19,14380,19,14980,19,15600,20
17,10100,18,10680,26,11300,32,11900,30,12520,30,13120,24,13740,19,14360,19,14960,20,15580,20
18,10080,26,10660,25,11280,27,11880,30,12500,25,13100,23,13720,26,14340,19,14940,19,15560,20
19,10060,26,10640,21,11260,27,11860,19,12480,23,13080,18,13700,19,14320,19,14920,19,15540,22
20,10040,30,10620,25,11240,33,11840,18,12460,25,13060,25,13680,26,14300,26,14900,19,15520,20
21,10020,24,10600,27,11220,25,11820,23,12440,23,13040,18,13660,18,14280,19,14880,20,15500,21
22,10000,26,10580,25,11200,26,11800,25,12420,23,13020,19,13640,25,14260,19,14860,19,15480,21
23,9980,20,10560,19,11180,24,11780,27,12400,23,13000,18,13620,20,14240,20,14840,19,15460,20
24,9960,27,10540,32,11160,33,11760,24,12380,23,12980,18,13600,24,14220,19,14820,20,15440,20
25,9940,19,10520,24,11140,24,11740,26,12360,23,12960,18,13580,18,14200,19,14800,20,15420,20
26,9920,26,10500,27,11120,23,11720,26,12340,19,12940,23,13560,19,14180,20,14780,20,15400,25
27,9900,26,10480,20,11100,23,11700,30,12320,23,12920,18,13540,18,14160,20,14760,19,15380,19
28,9880,26,10460,26,11080,25,11680,26,12300,23,12900,23,13520,19,14140,19,14740,19,15360,19
29,9860,19,10440,26,11060,19,11660,19,12280,18,12880,18,13500,18,14120,19,14720,19,15340,19
30,9840,26,10420,32,11040,23,11640,24,12260,27,12860,19,13480,18,14100,18,14700,26,15320,20
