split,h,1 Month Anomaly Rainfalls (%),Code,Day,FCG,Fatalities,Month,NDVI Anomaly,Population,Price cereals and tubers,Rainfalls (mm),Ramadan,Year,colsample_bytree,gamma,learning_rate,max_depth,min_child_weight,n_estimators,rCSI,reg_alpha,reg_lambda,subsample,attempt,r2_train,r2_val,shape_train,shape_val,r2_difference,loss_to_minimize
1,12,0,1,1,1,0,1,0,1,0,1,1,1,0.7000000000000001,0.96,0.176,3,2.7,87,1,0.5650000000000001,0.455,0.6000000000000001,238,0.8725156085036844,0.8445587412174863,"(8160, 26)","(2040, 26)",0.027956867286198,0.0578151245492333
1,13,0,1,1,1,0,1,0,1,0,0,1,1,0.65,0.3,0.184,3,3.2,84,1,0.55,0.975,0.9,351,0.8624200864061109,0.8343748983046668,"(8140, 25)","(2040, 25)",0.028045188101444,0.0609056057491775
1,14,0,1,1,1,0,1,0,1,0,0,1,1,0.6000000000000001,0.6950000000000001,0.135,3,6.6000000000000005,116,0,0.625,0.48,0.75,363,0.8619410859444356,0.8290197306853418,"(8120, 18)","(2040, 18)",0.0329213552590937,0.0644626228980349
1,15,0,1,1,1,0,1,0,1,0,0,1,1,0.65,0.9,0.2,3,5.1000000000000005,79,1,0.56,0.875,0.8,461,0.8458408062549346,0.8179204672247082,"(8100, 25)","(2040, 25)",0.0279203390302263,0.065791995444678
1,16,1,1,1,1,0,1,0,1,0,0,1,1,0.9,0.235,0.249,3,10.0,70,1,0.755,0.785,0.75,476,0.8377399178272704,0.8064721012036773,"(8080, 26)","(2040, 26)",0.0312678166235931,0.070565496288334
1,17,0,1,1,1,0,1,0,1,0,0,1,1,0.7000000000000001,0.71,0.116,3,9.9,117,0,0.675,0.88,0.95,403,0.8447060074966896,0.805019404944007,"(8080, 18)","(2020, 18)",0.0396866025526825,0.0743688195378709
1,18,1,1,1,1,0,1,0,1,0,0,1,1,0.8500000000000001,0.34,0.288,3,3.4000000000000004,65,1,0.14,0.665,0.7000000000000001,161,0.8147049628667471,0.792458330991783,"(8060, 26)","(2020, 26)",0.0222466318749641,0.0711611534524507
1,19,1,1,1,1,0,1,0,1,0,0,1,1,0.75,0.02,0.295,3,6.800000000000001,65,1,0.655,0.745,0.8,412,0.8055431079665151,0.7850386895147917,"(8040, 26)","(2020, 26)",0.0205044184517233,0.0726901605262518
1,20,0,1,1,1,1,1,0,1,0,0,1,1,0.65,0.135,0.223,3,1.4,75,1,0.8,0.91,0.7000000000000001,159,0.8162109022775532,0.7827582797047649,"(8020, 30)","(2020, 30)",0.0334526225727883,0.0785535651176858
1,21,0,1,1,1,1,1,0,1,0,1,1,1,1.0,0.405,0.269,3,4.2,70,0,0.52,0.175,0.6000000000000001,357,0.8096598510089522,0.7735187258305409,"(8000, 24)","(2020, 24)",0.0361411251784112,0.0824008323222022
1,22,1,1,1,1,0,1,0,1,0,0,1,1,0.6000000000000001,0.775,0.279,3,1.1,66,1,0.51,0.73,0.95,264,0.7891694075746047,0.768335730716021,"(8000, 26)","(2000, 26)",0.0208336768585837,0.0778327515286271
1,23,1,1,1,1,0,1,0,1,0,1,1,1,0.75,0.43,0.299,3,5.4,65,0,0.495,0.915,0.75,583,0.7842277426371848,0.754250846286467,"(7980, 20)","(2000, 20)",0.0299768963507177,0.085715504654347
1,24,1,1,1,1,0,1,0,1,0,1,1,1,0.7000000000000001,0.5,0.108,3,4.5,98,1,0.3,0.475,1.0,342,0.7947613827070397,0.7523511387888109,"(7960, 27)","(2000, 27)",0.0424102439182287,0.0912587559306482
1,25,1,1,1,1,0,1,0,1,0,0,1,1,0.8500000000000001,0.02,0.272,3,4.6000000000000005,65,0,0.155,0.67,0.75,489,0.7701172783240142,0.7388429791276697,"(7940, 19)","(2000, 19)",0.0312742991963445,0.0908568259402368
1,26,1,1,1,1,0,1,0,1,0,0,1,1,0.75,0.75,0.267,3,5.1000000000000005,65,1,0.87,0.215,0.8,415,0.7697614020136293,0.7472065994741774,"(7920, 26)","(2000, 26)",0.0225548025394518,0.0848599411735274
1,27,0,1,1,1,0,1,0,1,0,1,1,1,0.8,0.37,0.277,3,6.1000000000000005,63,1,0.27,0.8,0.6000000000000001,578,0.7654193421550364,0.732491696279163,"(7920, 26)","(1980, 26)",0.0329276458758733,0.0934235494666004
1,28,0,1,1,1,0,1,0,1,0,1,1,1,0.95,0.895,0.245,3,3.9,72,1,0.4,0.76,0.8500000000000001,425,0.7873927467952716,0.7364502283734091,"(7900, 26)","(1980, 26)",0.0509425184218624,0.0994419388567222
1,29,1,1,1,1,0,1,0,1,0,0,1,1,0.6000000000000001,0.1,0.288,3,3.4000000000000004,66,0,0.805,0.275,0.7000000000000001,577,0.7677917753781118,0.7193447071533838,"(7880, 19)","(1980, 19)",0.0484470682247279,0.103575415143876
1,30,1,1,1,1,0,1,0,1,0,0,1,1,0.65,0.595,0.266,3,6.300000000000001,70,1,0.375,0.675,0.95,71,0.7737149850813366,0.7222324879720359,"(7860, 26)","(1980, 26)",0.0514824971093007,0.1039232524521095
2,1,1,1,1,1,0,1,1,1,0,0,1,1,0.8500000000000001,0.6900000000000001,0.177,3,8.4,93,0,0.48,0.27,0.65,428,0.9853095096694532,0.98410723978902,"(8800, 20)","(2200, 20)",0.001202269880433,0.0052487360154672
2,2,0,1,1,1,0,1,1,1,0,0,1,1,0.9,0.2,0.122,3,7.0,111,0,0.9,0.61,0.6000000000000001,532,0.973050660229636,0.9705180957212812,"(8780, 19)","(2200, 19)",0.0025325645083548,0.0098575970869575
2,3,0,1,1,1,0,1,1,1,0,0,1,1,0.95,0.13,0.166,3,5.2,106,0,0.5650000000000001,0.105,0.95,85,0.9628401498972594,0.958505021479472,"(8760, 19)","(2200, 19)",0.0043351284177872,0.0141825449232732
2,4,0,1,1,1,0,1,0,1,0,0,1,1,1.0,0.0,0.166,3,8.9,90,0,0.795,0.08,0.7000000000000001,584,0.9494870088514936,0.9447344611030494,"(8740, 18)","(2200, 18)",0.0047525477484441,0.0184806807684628
2,5,0,1,1,1,0,1,1,1,0,0,1,1,0.9,0.5700000000000001,0.273,3,6.9,75,1,0.19,0.04,0.75,501,0.9388051070798632,0.9332065190484142,"(8720, 26)","(2200, 26)",0.0055985880314489,0.0222774794980553
2,6,0,1,1,1,1,1,1,1,1,1,1,1,1.0,0.025,0.283,3,6.6000000000000005,65,1,0.935,0.12,0.65,360,0.9234086275781374,0.9182244870885108,"(8720, 33)","(2180, 33)",0.0051841404896265,0.0266063100692973
2,7,0,1,1,1,1,1,0,1,0,0,1,1,0.9,0.145,0.274,3,3.1,67,1,0.51,0.14,0.8500000000000001,80,0.9111985774119434,0.9028716505215504,"(8700, 30)","(2180, 30)",0.008326926890393,0.0324692755996921
2,8,0,1,1,1,1,1,0,1,0,0,1,1,0.9,0.46,0.183,3,7.2,89,0,0.21,0.28,0.95,331,0.9074424192879248,0.8923744225981153,"(8680, 23)","(2180, 23)",0.0150679966898094,0.0383148718964891
2,9,0,1,1,1,0,1,1,1,0,0,1,1,1.0,0.645,0.278,3,2.0,69,1,0.68,0.32,0.95,465,0.8931449363897077,0.8809144979989818,"(8660, 26)","(2180, 26)",0.0122304383907259,0.0406178259565958
2,10,0,1,1,1,1,1,1,1,0,1,1,1,1.0,0.375,0.271,3,4.7,63,1,0.19,0.225,0.8,489,0.8728225732148008,0.8648565640869528,"(8640, 32)","(2180, 32)",0.007966009127848,0.0437294344250533
2,11,0,1,1,1,1,1,0,1,0,0,1,1,0.6000000000000001,0.785,0.264,3,4.4,67,1,0.005,0.94,1.0,276,0.8660185915893229,0.8519932903600064,"(8640, 30)","(2160, 30)",0.0140253012293165,0.0500121333837247
2,12,1,1,1,1,0,1,1,1,0,1,1,1,0.7000000000000001,0.745,0.184,3,8.1,74,0,0.215,0.135,0.8500000000000001,484,0.8596031019871028,0.8407682025595351,"(8620, 21)","(2160, 21)",0.0188348994275676,0.0553034990031665
2,13,0,1,1,1,0,1,0,1,0,0,1,1,0.95,0.645,0.272,3,7.1000000000000005,69,1,0.77,0.975,0.65,287,0.8529482440581171,0.8326932382689424,"(8600, 25)","(2160, 25)",0.0202550057891747,0.0582940308349871
2,14,0,1,1,1,0,1,1,1,0,1,1,1,0.8500000000000001,0.635,0.223,3,4.4,67,1,0.55,0.31,0.65,567,0.835321593026695,0.8223187744124892,"(8580, 27)","(2160, 27)",0.0130028186142057,0.0585054951219355
2,15,0,1,1,1,1,1,1,1,0,1,1,1,0.9,0.795,0.235,3,4.3,64,1,0.06,0.15,0.6000000000000001,584,0.8142761198009076,0.8110637608848079,"(8560, 32)","(2160, 32)",0.0032123589160997,0.0579658153009975
2,16,0,1,1,1,0,1,1,1,0,1,1,1,0.65,0.74,0.283,3,2.3000000000000003,62,1,0.295,0.19,0.9,19,0.8073852610773662,0.7965239592187727,"(8560, 27)","(2140, 27)",0.0108613018585934,0.0653873329778055
2,17,0,1,1,1,1,1,1,1,1,1,1,1,1.0,0.115,0.187,3,3.8,70,0,0.365,0.145,0.8500000000000001,587,0.8133949349360494,0.7971100288898432,"(8540, 26)","(2140, 26)",0.0162849060462062,0.0673809537515295
2,18,0,1,1,1,1,1,1,1,0,1,1,1,1.0,0.215,0.091,3,3.5,93,0,0.555,0.345,0.8,594,0.8065898743535099,0.789266033448878,"(8520, 25)","(2140, 25)",0.0173238409046319,0.0701497263271893
2,19,1,1,1,1,0,1,0,1,1,1,1,1,0.9,0.28,0.291,3,5.800000000000001,61,0,0.605,0.905,0.6000000000000001,602,0.7768099840252575,0.7770016080438527,"(8500, 21)","(2140, 21)",0.0001916240185951,0.0670911416054393
2,20,0,1,1,1,1,1,0,1,1,1,1,1,0.75,0.355,0.223,3,6.7,65,0,0.76,0.855,0.6000000000000001,259,0.7785608550589869,0.7746769982347673,"(8480, 25)","(2140, 25)",0.0038838568242195,0.0691504432592576
2,21,1,1,1,1,0,1,0,1,0,1,1,1,0.95,0.33,0.288,3,7.4,61,1,0.96,0.39,0.95,430,0.7647738675183631,0.7633871293631032,"(8480, 27)","(2120, 27)",0.0013867381552599,0.071538556453173
2,22,0,1,1,1,1,1,0,1,1,1,1,1,0.8,0.42,0.28,3,7.5,62,0,0.72,0.085,0.6000000000000001,495,0.7677541476864941,0.7657812860282591,"(8460, 25)","(2120, 25)",0.0019728616582349,0.0710547588548162
2,23,1,1,1,1,0,1,0,1,0,0,1,1,0.75,0.5700000000000001,0.282,3,5.1000000000000005,62,0,0.555,0.25,0.9,432,0.7647047249074761,0.7586665064358462,"(8440, 19)","(2120, 19)",0.0060382184716298,0.074815335457898
2,24,1,1,1,1,1,1,0,1,0,1,1,1,1.0,0.76,0.162,3,7.7,73,1,0.315,0.24,0.6000000000000001,404,0.7700980906104656,0.7611602152466792,"(8420, 32)","(2120, 32)",0.0089378753637864,0.0752270855715108
2,25,0,1,1,1,1,1,0,1,0,1,1,1,1.0,0.0,0.231,3,3.3000000000000003,65,0,0.23,0.52,0.95,274,0.7526819131335734,0.7456671127107457,"(8400, 24)","(2120, 24)",0.0070148004228276,0.0791057863559073
2,26,1,1,1,1,0,1,0,1,0,1,1,1,0.75,0.67,0.239,3,9.2,67,1,0.84,0.23,0.75,244,0.7734799421464128,0.7611721273913123,"(8400, 27)","(2100, 27)",0.0123078147551004,0.0765714876846464
2,27,1,1,1,1,0,1,0,1,0,1,1,1,0.8,0.17,0.166,3,4.6000000000000005,71,0,0.72,0.165,0.8,280,0.7432333838237644,0.7335093210811472,"(8380, 20)","(2100, 20)",0.0097240627426171,0.0838368287727027
2,28,0,1,1,1,0,1,0,1,0,1,1,1,0.7000000000000001,0.63,0.267,3,8.1,63,1,0.525,0.625,0.7000000000000001,592,0.7501799879725376,0.738468500007369,"(8360, 26)","(2100, 26)",0.0117114879651686,0.0831440451838567
2,29,0,1,1,1,0,1,0,1,0,1,1,1,0.65,0.5700000000000001,0.294,3,8.0,62,1,0.505,0.61,0.65,454,0.74401038148423,0.7303987913095962,"(8340, 26)","(2100, 26)",0.0136115901746338,0.0863249986769746
2,30,1,1,1,1,1,1,0,1,0,1,1,1,0.75,0.5,0.254,3,2.5,63,1,0.88,0.67,0.7000000000000001,602,0.736882335436475,0.7211399186371568,"(8320, 32)","(2100, 32)",0.0157424167993182,0.0899549911285802
3,1,1,1,1,1,1,1,0,1,1,1,1,1,1.0,0.385,0.084,3,9.8,121,0,0.21,0.85,0.75,542,0.9855706242003552,0.9844918741288612,"(9280, 26)","(2340, 26)",0.001078750071494,0.0050839377899392
3,2,1,1,1,1,1,1,0,1,1,1,1,1,1.0,0.265,0.091,3,2.8000000000000003,114,0,0.53,0.56,0.75,527,0.9731741554469682,0.9699035239847374,"(9280, 26)","(2320, 26)",0.0032706314622307,0.010337195389471
3,3,1,1,1,1,1,1,1,1,0,1,1,1,1.0,0.12,0.23,3,4.5,69,1,0.425,0.73,0.95,598,0.9596750586297051,0.9544631113751044,"(9260, 33)","(2320, 33)",0.0052119472546008,0.015745845489309
3,4,0,1,1,1,0,1,0,1,1,0,1,1,0.95,0.45,0.156,3,4.2,83,0,0.015,0.215,0.95,51,0.9487222985439177,0.9410058635394164,"(9240, 19)","(2320, 19)",0.007716435004501,0.0207848149399754
3,5,1,1,1,1,1,1,1,1,1,0,1,1,0.95,0.145,0.145,3,6.7,82,1,0.275,0.5750000000000001,0.8500000000000001,569,0.9359474091294032,0.9256199076099018,"(9220, 33)","(2320, 33)",0.0103275015195015,0.0264450283248301
3,6,0,1,1,1,1,1,1,1,0,1,1,1,1.0,0.975,0.165,3,2.4000000000000004,75,1,0.56,0.42,0.65,73,0.9226331604882833,0.9107060957353054,"(9200, 32)","(2320, 32)",0.0119270647529778,0.0315589971805995
3,7,0,1,1,1,1,1,1,1,0,1,1,1,0.8500000000000001,0.12,0.193,3,4.3,71,1,0.745,0.655,0.6000000000000001,243,0.909276938180539,0.8952725031147187,"(9200, 32)","(2300, 32)",0.0140044350658202,0.0370200230919124
3,8,0,1,1,1,1,1,1,1,0,1,1,1,0.95,0.15,0.122,3,7.0,84,1,0.06,0.085,0.7000000000000001,532,0.8992693346562742,0.8807129236871905,"(9180, 32)","(2300, 32)",0.0185564109690837,0.0432086872814763
3,9,1,1,1,1,1,1,1,1,0,1,1,1,0.9,0.72,0.237,3,4.1000000000000005,65,1,0.225,0.36,0.75,289,0.8836782409448787,0.8640618576821676,"(9160, 33)","(2300, 33)",0.019616383262711,0.0486279960004341
3,10,1,1,1,1,1,1,1,1,1,0,1,1,1.0,0.6,0.163,3,1.6,72,1,0.32,0.945,0.8500000000000001,359,0.8719289398548618,0.8511085941619307,"(9140, 33)","(2300, 33)",0.020820345692931,0.0529955600285931
3,11,0,1,1,1,1,1,1,1,0,1,1,1,1.0,0.625,0.111,3,4.9,85,1,1.0,0.085,0.8500000000000001,225,0.8638852482780872,0.8378053394993255,"(9120, 32)","(2300, 32)",0.0260799087787617,0.059090361661707
3,12,1,1,1,1,1,1,1,1,0,1,1,1,0.95,0.35,0.261,3,8.8,63,0,0.77,0.74,0.7000000000000001,357,0.8485162531703875,0.8220210824223694,"(9120, 26)","(2280, 26)",0.0264951707480181,0.0639917435724964
3,13,0,1,1,1,1,1,1,1,0,1,1,1,0.75,0.74,0.109,3,5.9,89,0,0.75,0.595,0.7000000000000001,430,0.8495838080404577,0.8141601479224999,"(9100, 25)","(2280, 25)",0.0354236601179578,0.0699214196704331
3,14,1,1,1,1,1,1,1,1,0,1,1,1,0.9,0.625,0.25,3,6.0,63,1,0.435,0.405,0.8,287,0.8267727987572471,0.801021526601671,"(9080, 33)","(2280, 33)",0.025751272155576,0.0699940508817291
3,15,0,1,1,1,1,1,1,1,1,1,1,1,0.7000000000000001,0.665,0.28,3,6.5,62,0,0.11,0.48,0.9,278,0.8215843777167233,0.788944840970364,"(9060, 26)","(2280, 26)",0.0326395367463593,0.0763723624074345
3,16,0,1,1,1,1,1,1,1,0,1,1,1,0.7000000000000001,1.0,0.15,3,9.6,75,0,0.04,0.04,0.9,232,0.8150901176672398,0.7850057800623731,"(9040, 25)","(2280, 25)",0.0300843376048667,0.0765320010232347
3,17,0,1,1,1,1,1,1,1,1,0,1,1,0.8,0.345,0.248,3,8.5,63,1,0.77,0.85,0.6000000000000001,411,0.798977306543527,0.7736390295343969,"(9040, 32)","(2260, 32)",0.0253382770091301,0.078043601943333
3,18,0,1,1,1,0,1,1,1,0,1,1,1,0.95,0.27,0.248,3,6.800000000000001,63,1,0.51,0.09,0.8,237,0.794434445150053,0.765020690577106,"(9020, 27)","(2260, 27)",0.029413754572947,0.082259294656047
3,19,1,1,1,1,0,1,1,1,0,0,1,1,0.8500000000000001,0.275,0.287,3,8.5,61,1,0.395,0.055,0.65,558,0.7833442427233887,0.7533033558494172,"(9000, 27)","(2260, 27)",0.0300408868739714,0.0860253479947634
3,20,1,1,1,1,1,1,1,1,0,1,1,1,0.8,0.46,0.29,3,2.1,62,1,0.615,0.355,0.9,399,0.7859627119434109,0.7517439039670151,"(8980, 33)","(2260, 33)",0.0342188079763958,0.0881643520004538
3,21,0,1,1,1,1,1,1,1,0,1,1,1,0.9,0.285,0.116,3,7.5,84,0,0.125,0.71,0.8,370,0.7904083680994427,0.7466490272991169,"(8960, 25)","(2260, 25)",0.0437593408003258,0.0935090281303952
3,22,1,1,1,1,1,1,1,1,0,1,1,1,0.8,0.725,0.145,3,5.5,75,0,0.975,0.625,1.0,589,0.7775416140372156,0.7338943468370818,"(8960, 26)","(2240, 26)",0.0436472672001337,0.0972906028289289
