AdminStrata,Damascus,Aleppo,Rural Damascus,Homs,Hama,Lattakia,Idleb,Al-Hasakeh,Deir-ez-Zor,Tartous,Ar-Raqqa,Dar'a,As-Sweida,Quneitra
Indicator,Code,Code,Code,Code,Code,Code,Code,Code,Code,Code,Code,Code,Code,Code
2018-03-10,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-03-11,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-03-12,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-03-13,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-03-14,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-03-15,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-03-16,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-03-17,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-03-18,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-03-19,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-03-20,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-03-21,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-03-22,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-03-23,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-03-24,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-03-25,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-03-26,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-03-27,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-03-28,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-03-29,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-03-30,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-03-31,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-04-01,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-04-02,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-04-03,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-04-04,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-04-05,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-04-06,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-04-07,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-04-08,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-04-09,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-04-10,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-04-11,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-04-12,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-04-13,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-04-14,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-04-15,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-04-16,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-04-17,50,51,52,53,54,55,56,57,58,59,60,61,62,63
