Split,Split 1,Split 1,Split 2,Split 2,Split 3,Split 3,Split 4,Split 4,Split 5,Split 5,Split 6,Split 6,Split 7,Split 7
Info,training points,features,training points,features,training points,features,training points,features,training points,features,training points,features,training points,features
1,5983,23,6331,22,6703,19,7063,20,7435,20,7795,24,8167,27
2,5971,21,6319,19,6691,25,7051,28,7423,20,7783,25,8155,20
3,5959,18,6307,18,6679,18,7039,25,7411,18,7771,20,8143,24
4,5947,28,6295,21,6667,18,7027,20,7399,21,7759,24,8131,19
5,5935,18,6283,23,6655,20,7015,19,7387,25,7747,23,8119,20
6,5923,21,6271,18,6643,18,7003,24,7375,23,7735,25,8107,19
7,5911,21,6259,18,6631,18,6991,18,7363,19,7723,20,8095,19
8,5899,21,6247,18,6619,18,6979,25,7351,19,7711,23,8083,19
9,5887,21,6235,18,6607,18,6967,25,7339,24,7699,20,8071,20
10,5875,25,6223,18,6595,18,6955,23,7327,19,7687,21,8059,20
11,5863,21,6211,18,6583,18,6943,25,7315,20,7675,19,8047,24
12,5851,21,6199,18,6571,18,6931,20,7303,19,7663,24,8035,20
13,5839,21,6187,19,6559,21,6919,19,7291,21,7651,24,8023,20
14,5827,21,6175,20,6547,18,6907,21,7279,25,7639,24,8011,19
15,5815,21,6163,23,6535,21,6895,19,7267,19,7627,19,7999,24
16,5803,21,6151,23,6523,18,6883,19,7255,19,7615,18,7987,20
17,5791,23,6139,22,6511,19,6871,19,7243,18,7603,19,7975,23
18,5779,21,6127,23,6499,23,6859,19,7231,18,7591,24,7963,19
19,5767,22,6115,20,6487,22,6847,18,7219,20,7579,24,7951,19
20,5755,23,6103,20,6475,19,6835,18,7207,18,7567,18,7939,19
21,5743,23,6091,20,6463,19,6823,19,7195,18,7555,18,7927,20
22,5731,23,6079,22,6451,20,6811,21,7183,21,7543,24,7915,19
23,5719,23,6067,20,6439,20,6799,21,7171,19,7531,23,7903,19
24,5707,22,6055,23,6427,20,6787,21,7159,19,7519,20,7891,19
25,5695,23,6043,20,6415,20,6775,23,7147,27,7507,21,7879,20
26,5683,23,6031,20,6403,20,6763,27,7135,18,7495,23,7867,19
27,5671,23,6019,20,6391,22,6751,18,7123,18,7483,25,7855,19
28,5659,23,6007,23,6379,19,6739,21,7111,19,7471,24,7843,21
29,5647,23,5995,23,6367,20,6727,19,7099,20,7459,25,7831,19
30,5635,23,5983,23,6355,20,6715,19,7087,19,7447,20,7819,24
