,Boucle-Du-Mouhoun,Cascades,Centre,Centre-Est,Centre-Nord,Centre-Ouest,Centre-Sud,Est,Hauts-Bassins,Nord,Plateau-Central,Sahel,Sud-Ouest
,rCSI,rCSI,rCSI,rCSI,rCSI,rCSI,rCSI,rCSI,rCSI,rCSI,rCSI,rCSI,rCSI
2019-09-10,19.822522655961453,8.45300647172543,6.9181044093738295,20.340453661936653,19.338853650910448,14.73460621376197,12.47536758656168,21.542601326117822,9.864405336813428,22.20034640952544,14.814437645594234,24.053517925286013,17.712421688756546
2019-09-11,20.124546729121352,8.298462786001847,5.9001428059081755,20.52182652717892,19.72490910969903,14.458801981113139,12.138665861892852,21.49764306305073,9.877378731248003,21.230089457885285,14.372483672551745,23.93500313364773,17.57064068256876
2019-09-12,20.014929419249167,8.26406561595084,4.9370319843214565,20.674292015334306,19.69001693032592,14.353622801512863,11.538854198324922,21.012299433419027,9.65201582710496,20.146643792533087,13.550349216853283,23.690323822142698,17.46632400297791
2019-09-13,19.728306829827375,8.194720328060244,4.3160481673693205,20.134190474767433,18.94570517023648,14.08528695826943,11.44987389636691,20.826112146510336,9.488031032333469,18.870766326616675,12.7369604693325,23.26511970401045,16.656477454084655
2019-09-14,19.219708410302072,8.396933070197187,4.050374428280726,19.14831464464905,18.42376903563733,14.064163131671577,11.932127962879035,20.69558901412847,9.48916153068211,18.17898090677001,11.852900913563325,23.014096567898083,15.92410428332942
2019-09-15,19.173182481086712,8.57557402384385,3.9038741274822844,18.156174652309634,18.478878214895932,13.94984625017377,12.626016505033917,20.700625247026263,9.390140301719287,17.665699334191473,11.424864530470762,22.741046961810003,14.185205267031828
2019-09-16,18.866149808862897,8.638373550670769,3.909335465625341,17.749042102319944,18.676379449278652,13.798229776342618,12.983450330710033,20.601439232901196,9.003064272458712,18.344048054030253,10.901324236414903,22.589617518701004,13.04392824340186
2019-09-17,18.793480338474254,8.641587031912177,4.114671384889959,17.592322609378105,18.91976213405033,13.570973739843573,13.07740166798952,20.62658220421709,9.477142900133543,19.113998126862402,10.745943930057926,22.90338993036867,11.903947659812426
2019-09-18,18.398842550868384,8.538584410924537,4.360489843919914,17.140981908064855,19.026563688053532,13.42204742577337,13.392225980815246,20.882228089528606,10.185080982103695,19.33463214764124,10.578819345555559,23.846235253853862,11.72809744588148
2019-09-19,17.997879696114286,8.245428159600564,4.47691038758465,16.530940531981113,19.069288239970742,13.59020160037887,13.899082121065746,20.914872239221197,11.137640244100089,18.94057753999686,10.287051772230052,24.650121319419657,11.612341798866206
2019-09-20,17.64855436061791,8.42426479761958,4.604304329771371,16.104430029661376,19.0103549762897,13.604182610409737,14.343664071526078,20.986444973703218,11.083523951641824,18.353635501720678,10.333235150601363,25.203885077861774,11.577014096323632
2019-09-21,17.54454100112946,8.687271416157703,4.691215732192756,16.111567259426796,18.75885089104121,13.476192863666588,14.314276606482132,21.147494119668405,10.944215191808008,18.274582560296807,10.321071282409365,25.47254234580943,11.950945098102414
2019-09-22,17.60659650415772,9.281990795145036,4.737250841315027,16.24250521049598,18.599818056339743,13.259187029617587,13.927101524252992,21.452561676183603,10.666666666666636,18.274582560296807,10.556715476876027,25.7732390129152,12.099873143055083
2019-09-23,17.661041242816534,9.359840834649564,4.969952627719248,16.430426022474677,18.479794203387215,12.918736418194557,13.647929201505034,21.41263501275705,10.590659510148653,18.347028708659852,10.606540860543108,25.99009058318394,12.27653877197173
2019-09-24,17.51261325959798,9.399196263918785,5.191253562103484,16.55920902311859,18.90693543446399,12.17077005727073,13.652927516769381,21.24792734034654,11.28391122797504,18.41650089794771,10.741353873690185,25.658601965535805,12.06067906085844
2019-09-25,17.63195716077206,9.475339224199898,5.412554496487721,16.689736293105387,19.655460096346275,11.408999192524105,13.414562320520274,20.693617742507715,12.235182751575408,18.34770065057603,10.458931547134014,25.023599787988477,11.62843504408645
2019-09-26,17.197765824787584,9.820940055404256,5.401153644467736,16.860717390394246,20.609838440812286,10.838057096909111,12.99163166592281,20.365483718994554,13.281909764889194,18.251404928438422,9.854030624396861,24.73189227933564,11.198407718277812
2019-09-27,17.051082863585133,10.176180836187863,5.401153644467736,17.104778586989852,21.061972951385254,10.96975982299549,12.598585232691834,20.317032954146423,13.559377903858612,18.109763960733414,9.476517717750891,25.00991526780299,11.631967203434696
2019-09-28,16.78226245909406,10.38774541512525,5.401153644467736,17.430664598615916,21.19272403115271,11.13070128885938,12.833515806324966,20.579471680698205,13.57882623705405,18.390489332922204,9.526842174168559,25.10284233755337,12.528220426009318
2019-09-29,17.008932303626626,10.342915347201368,5.401153644467736,17.70550334256436,21.085894857799417,11.378431927540305,13.19556283619522,20.866709722944403,13.57882623705405,18.62626403151388,9.853173006670245,25.469420926569452,13.406263004494619
2019-09-30,17.17975465860649,10.19708941516901,5.600769096311818,17.646878856747943,21.060569520468608,11.146709877962587,13.403362678891481,20.842160578090063,13.655290550730085,18.8770017528546,10.150154647602038,25.557976527118182,13.499489155410487
2019-10-01,17.710956403733316,10.15211031964275,5.989970662975659,17.320866798704422,20.688914645388163,11.045759700565421,13.211782731645334,20.99651840934745,13.8699192177613,18.94355825149233,10.300830813948078,26.04263206672846,13.558828939816953
2019-10-02,18.466958214982323,10.192919037855438,6.451031233407718,16.840413745158195,19.90366926950792,11.078085670073833,12.764891876804832,21.248979992033423,14.123160163873663,19.435089566914556,10.357117100181485,26.38081561305839,13.636687856436394
2019-10-03,19.742126322002232,10.201915117113876,6.712476351995694,16.456540888576285,19.01585621962989,11.416902648431778,12.284982765941166,21.756394412452696,14.512991017341067,20.116067089572237,10.378830447427983,26.770025293670972,13.666073965138159
2019-10-04,20.541446263684378,10.326166704298652,6.78433535576391,16.277936567015352,18.378619532123214,11.34246084054542,12.11309576765295,21.969615866931846,14.764657517453289,20.41069580359604,10.445537223514885,27.221989266508107,13.814466878824868
2019-10-05,21.115966139244346,10.364630477744482,6.78433535576391,16.253773240957127,18.15497334541634,11.134742885753488,12.06483824191944,22.131725059422518,14.977711738484365,20.280349700835355,10.382763762807013,27.647913758954502,13.8955663385334
2019-10-06,21.14613180515755,10.367591922607552,6.78433535576391,16.166194239624748,18.059220170038063,10.852255971689736,14.198350122571943,21.770743947973966,14.977711738484365,19.99391357273277,10.528857313893122,27.809521204798546,14.417462710286081
2019-10-07,21.020727679117257,10.471325091927453,6.8435090688643845,15.824587769323733,17.962031366206073,10.620253981126483,16.203586513169604,21.596486537816535,14.729563638515122,19.989941781761825,10.329399545557818,27.90837435841804,14.64064097452539
2019-10-08,21.08705759944837,10.6290812497531,7.136547694470763,15.29983631578144,17.908605897023133,10.435217397055334,18.395184541366657,21.519463786581383,14.89919334110777,19.780081244176372,10.32343074934733,27.695083446098334,14.873906006417442
2019-10-09,21.26984036529443,11.04522859468363,7.562819895683557,14.761246184059601,17.906717841495503,10.280745212567076,18.527259697118577,21.810614421510824,14.965102293776715,19.4975813040064,9.942195376921587,27.695083446098334,14.736246334572321
2019-10-10,21.658613445041087,11.432101824735275,7.898465575929721,14.095448907716749,18.167040318691665,11.188047576338002,18.19306742360819,21.590149162126192,15.329953293282463,19.41859326882577,11.077511606863823,28.41095450713671,14.923753084048633
2019-10-11,21.881406794431925,11.781669100708418,8.00024634366998,13.612796614615172,18.43244018409166,11.984448510097286,17.873440908449524,21.22461269126762,15.27702649022632,19.568992979479262,12.39319344748325,29.13019532102543,15.112068648158896
2019-10-12,21.987747298307813,11.99865146015882,7.968793535803826,13.25301204819273,18.646302635836353,12.809192217161984,17.432914326849307,20.686414564401534,15.327820437093882,19.792032092717275,13.730604060616756,30.249378031975112,15.455559075869791
2019-10-13,22.013501614323403,11.7197382128125,7.968793535803826,13.25301204819273,18.673341442235955,12.80416336653075,16.92738034175751,20.25949724387497,15.327820437093882,19.815531091936883,14.119642744164564,30.316561751440826,15.148189942524203
2019-10-14,22.325954870910522,11.399870130737634,8.001984435052803,13.484093112260915,18.717105965358872,12.8563671491006,16.36592349232145,19.904845434984736,15.479936530771072,19.876149669222716,14.405856980193576,30.08523662458921,14.928784606330579
2019-10-15,22.950861384084757,11.055764248361477,8.068366233550757,13.946255240397285,18.826436928057987,12.842960368463691,15.86312513390252,19.574622585179167,15.784168718125457,19.997386823794383,14.69149573402362,29.158830507209643,14.570960925869619
2019-10-16,23.8224451086783,11.08200327937425,8.571275476172643,14.337606794074489,18.617712745744367,12.677078862911406,15.71601377833994,19.590063186576206,16.17660298394784,20.20888120680107,14.834784637509266,28.4447090735529,14.675897786569811
2019-10-17,24.802838066041915,11.352135444948587,9.27207621767614,14.302760846698641,18.483100946495668,12.353564016719423,15.576733486690756,19.81666762113371,16.53909932924291,20.246483211358115,14.6905507161178,28.113712394042878,14.6177474569416
2019-10-18,25.470777766818415,11.646505410824217,9.93968605993066,13.903579766992246,18.33762164333085,11.710142947353303,15.573604797313864,20.091955555539794,16.749479580860783,20.223466638629326,14.735784745297352,28.600437005087624,13.911569706881489
2019-10-19,25.892040256175605,11.866160745084485,10.170768458061252,13.593535035696597,18.531999401632046,11.219196602902556,15.435995524342538,20.400660806718168,16.87165775401066,20.110192837465515,14.771846990831461,29.00509372905303,13.097276398013726
2019-10-20,25.892040256175605,11.866160745084485,10.170768458061252,13.478606741385812,18.58669833729212,10.892586989409963,15.319013978904714,20.473773265651417,16.87165775401066,20.110192837465515,15.048272042866865,29.401932882088676,12.409436669104382
2019-10-21,26.260542063338935,12.646301146228788,10.220879277851223,13.749416998529012,20.10192926360767,11.787272104862106,14.833294915899254,20.538966290312377,17.0935429802857,20.214116476442147,15.036176987360443,28.89717582723178,12.180862500383078
2019-10-22,26.627929877477825,13.34009316060987,10.326221260845124,14.082221884254047,21.631642258034997,12.874826822242946,14.497697429519327,20.267261843144112,17.271578717862326,20.101028835774372,14.905586044140719,28.037681246004038,12.35037981070842
2019-10-23,27.170012875935118,13.895581633988426,10.208453185776845,14.360314442835842,23.231288376543727,13.820285720665183,14.141472215605894,20.128686018487,17.420007070302372,19.242457191950834,14.808608348217613,27.098018575026316,12.536257893956105
2019-10-24,28.027093817055462,13.659504262810449,10.062515482400022,14.276902247062866,23.697513612123355,13.594322186644101,14.025663980901202,19.93190168583294,17.715258295675884,18.36741751627681,15.131085870375886,26.58786919157049,12.961011784206725
2019-10-25,28.19813117601542,13.556842397449815,9.82493961259984,14.010557800087382,23.81151520209025,13.293118020622655,14.007596835464051,20.065412062975334,18.188449917004302,17.5333564041532,15.46761455592418,26.638368468287624,13.096910200140817
2019-10-26,27.731270256012326,13.59248407309171,9.810473800861837,14.264321881151309,23.534492138491135,13.134009673559811,14.091387254142987,19.86530854815161,18.6912489234693,17.44477929518536,16.021222757864518,26.430399009490355,13.516005189422708
2019-10-27,26.297946490437123,13.63955119214583,9.77406679764241,14.556272088620185,22.875659031505563,13.251638643488143,14.175177672821922,19.633488727344247,18.71466763889318,17.268746579091367,16.182842293135312,26.672800842878058,13.861374480138126
2019-10-28,25.527151823239436,14.17218228889894,9.91949929488799,14.885055805635963,22.803638913745203,13.36563123396976,14.210047051240087,19.504640759286534,18.61683020045137,17.244863250754737,16.20117136389405,26.823171547547506,14.148519488367285
2019-10-29,25.35682832870158,14.636338182944916,10.08505131498727,14.809464627629685,22.616016828009293,13.453933402349003,14.447652682611569,19.534019999272843,18.171191181238218,17.173368913021424,15.936888099827877,26.785957385453017,14.67488382153841
2019-10-30,26.0211234751699,15.181145319809538,10.198202079722215,14.52288805105311,22.624408522448473,13.561267597127328,14.667934012184666,19.367956812346602,17.953541958447033,17.114493342262506,15.799538584378466,26.373185034505852,15.021706996562555
2019-10-31,26.889858806871327,14.772205215670049,10.230121466255689,13.838585651997688,22.119411577256177,13.003696777083741,15.006071962257982,19.027467028309733,17.81117883818472,17.134508763282955,15.893771347302271,26.052443812276938,15.185918003203042
2019-11-01,27.593902003572126,14.337546137427978,10.195240352562125,13.097636646682096,22.08108445162313,12.345738255623466,15.127759703545609,18.538722817245645,18.159689380685396,17.043623973119896,17.085848195489937,25.773843200865215,14.877335424125205
2019-11-02,28.143280471301406,13.927309013608467,10.4222801829644,12.41852270016828,21.932452026486516,11.707010700861057,16.181829928696093,18.137659645761897,18.500371185553387,16.940120415982445,18.218009779634965,25.369613648788718,14.538230085019864
2019-11-03,28.528713426036884,13.938188034039959,10.585118894322564,12.157537767027067,22.13328297982034,11.619195570438942,17.304887652578515,17.814653980671896,18.740343003103,16.78160919540226,19.32652719115354,24.94929009950003,14.535745439776283
2019-11-04,29.01131378225006,14.205383617416983,10.997291522901833,11.734663770273407,22.376960616692553,11.644619952783094,18.312278636103144,17.377834190917866,18.804617306201397,16.37193830958463,19.317724308274787,24.332033661759016,14.113391751558126
2019-11-05,29.002471907145743,14.389043486222027,11.289887843838954,11.433228454074218,21.873716671775423,11.633915215810148,18.474042099075763,17.54732393906626,18.851754111590093,16.06218005082042,19.271607355683013,23.421019383809945,13.65512364202751
2019-11-06,28.58384782283737,14.72708762677403,11.594938075201114,11.190413025512607,21.432870793349593,11.52438204809907,18.588287935032213,17.793893719728917,19.72631220428289,15.628038362234705,19.472390436011242,22.526099103073065,12.828065952903607
2019-11-07,27.955370726180586,14.807862733546749,11.470789192258264,11.03515574871677,21.501553636754267,11.470478927183962,19.062003350646762,18.224913175721653,21.945895726532058,15.762296048097221,20.1537371678079,22.23202470224966,12.227201808280492
2019-11-08,27.497453328802113,15.022703802629245,11.256696928226063,10.830007901457426,22.231449581276763,11.551247836351706,19.385298213639842,18.011441168566673,24.073127879534244,15.75572674827714,20.977603267885954,22.15071306306642,11.854519609054007
2019-11-09,27.433451945195703,14.798093132928715,11.030150753768822,10.611615314788944,22.81380130874473,11.79013402428483,19.39737399455607,17.858909012268963,25.385527876631034,15.873540878278563,21.869466432552674,22.159856257098724,11.82795497150741
2019-11-10,27.247686078201593,16.171716115764124,10.888055413945713,11.442498194755343,22.32140757385682,12.000853398658498,20.598724029031082,17.61085613863473,25.337619355042676,15.659450402398639,23.265722533396303,22.328349899047314,11.92867032089061
2019-11-11,27.010700343978197,17.41415287191909,10.882166050345461,12.375394648021983,22.00262831231862,12.100976932023991,21.881063954615104,17.533478366897622,25.583595659540133,15.015399101205146,24.514180438280587,22.57815518017915,12.030453962981042
2019-11-12,26.956234595523608,18.827331139540714,10.852000064727093,13.513736710639286,21.476753894405107,12.464259892674313,24.06574648952795,17.164523134594027,25.55239705381243,14.075075686459805,25.493334260518964,22.77661009610591,12.039269678610909
2019-11-13,27.249357265326946,18.61767214509341,11.123082586449001,13.864814946232137,20.861946470131944,12.617925955521079,24.632652192856813,17.0406687016428,25.929578582274868,13.504643733563634,26.265593410402307,22.33531970759674,12.057161066924545
2019-11-14,27.48496741312727,18.4935145474341,11.257959131948049,14.152712358886623,20.187176605073834,12.659910262601834,25.160164269757573,17.03517089824224,25.986127468325666,13.286985002694687,27.547500954961276,22.067630997624544,12.080701971836127
2019-11-15,27.632001480643652,18.212968049748056,11.417112299465211,14.235164162190443,19.762477311188345,12.372629512158076,25.234170990925776,17.08313335043671,26.319851264601624,13.365598385377588,28.84148894758837,21.79651807909397,12.163673974941753
2019-11-16,27.69332128114596,17.960654850473702,11.417112299465211,14.125560538116567,19.919104758550414,12.280341037034157,25.773029308869837,16.57909830137763,26.2931034482758,13.247496423462058,29.768158174318376,21.707098074684392,11.917375998442571
2019-11-17,27.787265186630822,17.62270445924365,11.417112299465211,14.125560538116565,19.96208017334772,12.259227779277373,26.206412587445126,15.951453248953817,26.293103448275804,13.247496423462058,30.11634627087869,21.44407639173784,11.772077197932893
2019-11-18,27.106820552389184,17.177225835816305,11.506579623086294,14.153882464007523,20.033119604569595,11.983806639008362,27.52897134369661,14.970884908882482,27.199468311766093,13.792691334119121,31.56402611801134,21.428334710173598,11.947927082649228
2019-11-19,26.487228504404186,16.82326417115374,11.62138139498993,14.943644071576903,19.876837385351166,11.77612703303218,28.40661843237487,14.51261092582097,28.098566193398852,14.728758406756887,32.88865281113468,21.91098330564598,12.383060348638827
2019-11-20,25.705345125301637,16.439692171797333,11.787722588869526,15.905531452748116,19.387878606545396,11.693542622875126,29.423774097738526,14.048776651471337,29.205478885498138,15.787732467153242,35.120741949302776,22.566169314494317,12.580158450625518
2019-11-21,25.52488318218147,16.403563031799326,11.86459645912804,16.598829676954143,18.42375824788859,11.9885042759929,29.886368319206593,14.022499101569187,29.865062229419152,16.19015587081714,36.76858609103444,22.840571009700273,12.316947503041442
2019-11-22,25.41426376489893,16.487291676941766,11.916135881104,16.46099151293308,17.686959539672092,12.013377526808767,30.596819313250066,13.71767310452473,30.531912555197692,16.20170711250034,38.2170718940336,22.215010667523387,11.322446558092759
2019-11-23,25.46593567873394,16.858246707831558,11.916135881104,16.170917904152194,17.282837391042936,11.927452057349853,31.31041857584425,13.427645469054672,30.990948070509706,16.090351366424947,38.90953174182866,21.294147590741808,10.454705367770925
2019-11-24,25.458304874781604,17.13003169883066,11.890996353928676,16.06708720301195,17.063358673957225,11.652255479897674,30.751047290677164,12.911751430188202,30.842888410916675,15.812393595596523,39.32678145759835,20.15598917646399,9.51401043535897
2019-11-25,25.234745025085754,17.009336833025774,12.03360663119358,15.98167884102232,16.944292270209633,11.508635349685088,30.331050500434827,12.674405838464034,31.036370521831028,15.543865877428374,39.61053132689465,19.878998646534257,9.340733773868122
2019-11-26,24.675075521285994,16.606744493036512,12.309749743289336,16.07879070062476,17.048167163513543,11.366850124218763,29.99310090764455,12.433075550267668,31.442326352550868,15.145151873326801,39.85014244278556,19.80284926195264,9.135649146570344
2019-11-27,23.86766916114456,16.211728997168745,12.521751487626132,16.278485800428204,17.53957086401992,11.094254177045357,30.524912774127795,12.360410000587555,31.92130621288597,14.683186250793275,39.965781474280156,19.84078716774268,9.135649146570346
2019-11-28,23.182719693407506,16.231142655701635,12.623065765025204,16.573900345872058,17.619382060864826,10.733838697994694,30.96257492237383,11.968360223017035,32.298535155966036,14.306455202362159,40.21812176344766,19.674163476299032,8.916692098412843
2019-11-29,22.83387987977437,16.330857359599346,12.590847207593429,16.771720088376586,17.47625196065823,10.371588314197773,30.79859793195172,11.531009338335673,32.463290379240604,14.059910439864467,40.7042334741637,19.62892209693415,8.684903580353222
2019-11-30,22.8711028385295,16.645286525043886,12.647909545095937,16.9209809141137,17.16507177033488,10.212998361551032,30.01208052663375,11.050505430660666,32.70308123249294,14.154575066627153,40.94154817580547,19.48084938132226,7.765674295579604
2019-12-01,22.65564667342164,16.643066943630306,12.501182456596064,16.571078288085133,17.064484297729233,10.092824337978163,30.19578428162237,10.801608444199596,33.31043404326342,13.923382345178439,41.33702349981507,19.475373656076865,8.710910158497837
2019-12-02,22.460344427464268,16.418875196304185,12.463824370892539,16.182779089884278,17.067686243764523,9.887501801766549,30.612804159941827,10.571455471514591,34.60741738736689,13.613385626688185,41.399741490471094,18.963229308015645,9.578040801787822
