,Adamawa Central,Adamawa North,Adamawa South,Borno Central,Borno North,Borno South,Yobe East,Yobe North,Yobe South
,rCSI,rCSI,rCSI,rCSI,rCSI,rCSI,rCSI,rCSI,rCSI
2019-05-27,31.378643660363213,31.627207733865674,17.191768052529323,44.37571067426089,34.73992206124135,45.44751747070979,39.1639900451704,32.45028751390684,39.3892704341791
2019-05-28,30.566230741729992,31.446647591246464,16.47582832326408,43.07746709077609,33.54177469865041,45.700298594652025,38.05695323799288,31.205509215100676,39.36140086013657
2019-05-29,29.738389449646007,31.123625961413648,16.5205555434967,41.23810232190916,32.01265086250726,46.35238467516492,36.52151865386843,29.509824737769502,38.972259036330456
2019-05-30,29.633939529077967,30.563544246760642,17.43477370655404,39.472634709820035,30.640048787827187,45.82767933450117,35.38269945575819,28.254802520257698,38.56197272981407
2019-05-31,30.546941601184113,31.20409591104094,17.616217962585633,37.847063949047275,29.202584642103417,46.06788378167297,35.608604249648955,26.904158468545646,37.98910575336036
2019-06-01,30.851072437169453,31.231301191495884,16.211136175086867,36.703612001652196,27.797297231298188,45.114206315907275,35.85511552482655,26.244602194591284,36.45303315392125
2019-06-02,31.000265242645042,31.207350017871136,15.044328555385112,35.55819101959178,25.65969643864911,45.196484168491885,35.14882651876432,25.61115233065264,34.6072015516501
2019-06-03,30.549887655745497,30.539237448508782,14.537223486922995,35.273967142247116,24.84212222978476,43.675113125553224,34.0732964397644,25.481396728412836,33.16659023555574
2019-06-04,29.82249321579613,30.256203956110227,14.778096678962761,34.05123196448498,23.90556423323321,42.54571854715118,33.45985273492284,24.88915089685545,31.581148533582066
2019-06-05,29.298150949877108,30.22728887494139,15.052918257737915,32.48012661979473,24.48679781572692,40.38734984731986,32.99425385446889,24.82383170269311,29.652918139041258
2019-06-06,28.441961944267756,29.693907018190675,14.994255502422398,31.619054787694015,23.984641350398267,38.28067093360817,32.19175992605013,23.920506173071036,27.868350022127572
2019-06-07,28.827599638908882,29.51366789428845,15.129678006265955,32.05076692858411,24.188166184360725,36.576198062841314,31.481668187429204,23.514828817066917,27.471445336063635
2019-06-08,29.3496969092551,29.007570580967876,14.689847108320656,32.89087219444819,23.926266117237805,35.90036183844608,31.399885695945994,22.908876548261304,27.958150515857824
2019-06-09,29.553473080006636,29.33194214531429,13.683110771777875,32.25722903285598,25.108913716677492,35.675511965426345,32.08524552984455,22.56713194859564,29.772751528535863
2019-06-10,29.502450578302927,28.229531465100592,12.672443482959656,31.91291092514345,25.87609514831043,34.99020478386183,32.52496280043503,22.333851741438735,31.145560701915315
2019-06-11,30.003800972580745,27.50309219057407,12.556204988268876,32.13642519550387,27.02697630838007,34.306751244922815,33.89816712772869,22.716720067869034,31.782693983281046
2019-06-12,31.310946010942597,26.48198124222888,12.835838226902503,33.50855084801634,27.32104913548822,34.12061991974813,34.41130540458824,23.275688305663436,31.07216820456142
2019-06-13,32.690588957783525,26.42843489391427,12.92489823818124,34.897830612972236,27.028720020553767,35.2336647126261,35.47035634941735,24.31567225513014,30.355151749073144
2019-06-14,32.642144226672976,26.780055385757993,12.851490981222055,35.851557462688625,26.183703449404636,35.55067022724584,35.3641228651627,25.180680036800634,30.55073546053383
2019-06-15,31.344265294566366,26.31773200840105,12.124163838302884,36.86044098312253,24.172039731430715,35.26565945530025,34.75465191784234,25.75378356535711,29.130210602660924
2019-06-16,29.720881782010327,25.887439337327148,11.487817877216857,37.52865737569857,21.83097158401615,33.37719387463814,33.34752985370016,24.779188119883017,27.362566508675727
2019-06-17,28.662862082602402,24.87703202975003,11.187103279479254,37.75813508245583,19.975992569278716,31.322363508093545,31.90466898756957,24.430737324821276,24.573435452176664
2019-06-18,27.40754190816564,24.735748748323804,12.036078508329679,36.85157507224725,19.415359117628416,28.26847888542964,31.236497819397673,24.061487978092714,24.149123959601067
2019-06-19,25.461709235757,24.865999804749354,12.81259614512561,35.06828614820295,20.049177823207614,25.44788013654671,30.706639063114626,24.027718911052048,24.30327151602059
2019-06-20,23.96130566196815,24.847891054740646,13.320754967745815,33.36074378772628,20.67494952821801,23.230649115051857,29.778179140320578,23.539793952182055,25.07138443377058
2019-06-21,23.53026689000303,24.239733901184565,13.592405009005198,32.205236650455596,21.20202596071077,21.552700824148534,27.968352924009093,23.93827055100161,24.53832426732154
2019-06-22,23.916917770617914,22.966392451947353,14.01480372035772,31.911958182119264,20.802599454941806,20.82561171175979,25.954736952517067,25.006164884817498,24.352268588582934
2019-06-23,23.300990384449662,20.76339508455104,13.855725536269901,31.991711260012526,19.683318786035276,18.639978153863883,25.023106630847106,26.265739768806345,24.327236165449516
2019-06-24,22.405190556278455,19.363159625284975,13.693744820695061,31.759202613655983,18.0508923714448,17.543744279540125,24.947815300881157,27.187341707357433,23.983405745172053
2019-06-25,22.12495305151076,18.404502578564305,13.341477564753463,31.698238303599254,17.075170280878783,16.203679437473767,25.503971175224063,27.380806139548003,22.583985803177853
2019-06-26,23.00789545624683,18.441704276626023,13.304076098637227,31.51732869726428,17.281322184019785,17.319382144051122,26.02708299105865,26.80028396532741,21.37248861488652
2019-06-27,24.295329951415017,18.08130154649653,13.124237240255985,32.82697743617705,18.188614146313526,18.077303772814826,27.08950832899094,26.457831215427245,20.98166335324247
2019-06-28,25.300008948953046,17.654248467514993,12.787546979734016,34.25610806624882,19.263406049410065,18.474958181848148,27.78340787971425,26.789475804317757,21.572349169261162
