split,h,1 Month Anomaly Rainfalls (%),Day,FCG,Fatalities,Month,NDVI Anomaly,Price cereals and tubers,Rainfalls (mm),Ramadan,Year,colsample_bytree,gamma,learning_rate,max_depth,min_child_weight,n_estimators,rCSI,reg_alpha,reg_lambda,subsample,attempt,r2_train,r2_val,shape_train,shape_val,r2_difference,loss_to_minimize
1,1,0,1,1,0,1,1,0,0,1,1,0.95,0.665,0.247,3,8.1,83,0,0.15,0.17,0.65,177,0.9736924919551286,0.959897792096268,"(4785, 17)","(1198, 17)",0.0137946998588607,0.0175485423146639
1,2,0,1,1,0,1,0,0,0,1,1,0.7000000000000001,0.025,0.145,3,8.6,117,0,0.17,0.755,0.6000000000000001,546,0.9499986251587824,0.9405517507012447,"(4774, 16)","(1197, 16)",0.0094468744575376,0.0216132245726416
1,3,0,1,1,1,1,0,0,0,1,1,0.9,0.5750000000000001,0.289,3,10.0,78,0,0.965,0.215,0.7000000000000001,396,0.9299850674105437,0.926337074326194,"(4763, 19)","(1196, 19)",0.0036479930843497,0.0235580749358817
1,4,0,1,1,1,1,0,0,0,1,1,0.75,0.41,0.281,3,9.6,71,0,0.62,0.085,0.6000000000000001,592,0.9047057719018308,0.904134752943916,"(4751, 19)","(1196, 19)",0.0005710189579147,0.0289879816999911
1,5,0,1,1,1,1,0,0,0,1,1,0.6000000000000001,0.79,0.276,3,9.1,81,0,0.585,0.175,0.8500000000000001,394,0.890195902690421,0.8885778998403746,"(4739, 19)","(1196, 19)",0.0016180028500464,0.0340738311879061
1,6,0,1,1,1,1,0,0,0,1,1,1.0,0.415,0.214,3,7.9,108,0,0.84,0.98,0.6000000000000001,263,0.8930331011140616,0.881929442434755,"(4737, 19)","(1186, 19)",0.0111036586793066,0.0398626307412961
1,7,0,1,1,1,1,0,0,0,1,1,0.75,1.0,0.27,3,5.300000000000001,100,0,0.275,0.385,0.8,399,0.8789883782713899,0.8692055396071565,"(4726, 19)","(1185, 19)",0.0097828386642333,0.0431514735835463
1,8,0,1,1,1,1,0,0,0,1,1,0.8500000000000001,0.03,0.269,3,6.2,87,0,0.08,0.36,0.6000000000000001,556,0.8551798483238101,0.8429828228706251,"(4715, 19)","(1184, 19)",0.012197025453185,0.0519839633200864
1,9,0,1,1,1,1,0,0,0,1,1,0.75,0.98,0.271,3,9.8,81,0,0.8300000000000001,0.77,1.0,582,0.8353078059658048,0.8238549772707097,"(4703, 19)","(1184, 19)",0.0114528286950951,0.0574246382968251
1,10,0,1,1,1,1,0,0,0,1,1,0.9,0.8150000000000001,0.115,3,5.7,139,0,0.385,0.6950000000000001,0.8500000000000001,124,0.8333189543317246,0.8060493313087298,"(4691, 19)","(1184, 19)",0.0272696230229948,0.0690930498165789
1,11,0,1,1,1,1,0,0,0,1,1,0.8,0.16,0.28,3,8.8,74,0,0.25,0.055,0.6000000000000001,474,0.7978915052255755,0.7790490802565337,"(4689, 19)","(1174, 19)",0.0188424249690417,0.0738222459106565
1,12,0,1,1,1,1,0,0,0,1,1,0.8,0.6950000000000001,0.289,3,1.0,84,0,0.62,0.335,0.8500000000000001,596,0.8098590256809644,0.7741001099132385,"(4678, 19)","(1173, 19)",0.0357589157677258,0.0820735333331187
1,13,0,1,1,1,1,0,0,0,1,1,0.6000000000000001,0.59,0.292,3,6.6000000000000005,83,0,0.09,0.54,0.9,407,0.800988565316498,0.7592606820969341,"(4667, 19)","(1172, 19)",0.0417278832195638,0.0889129486587453
1,14,0,1,1,0,1,0,0,0,1,1,0.75,0.095,0.252,3,9.6,86,0,0.58,0.115,0.7000000000000001,516,0.7684821917379033,0.7242567255101484,"(4655, 16)","(1172, 16)",0.0442254662277549,0.1004131688380574
1,15,0,1,1,1,1,0,0,0,1,1,1.0,0.495,0.272,3,9.9,93,0,0.345,0.785,0.8500000000000001,500,0.8058955330736935,0.7422767147339805,"(4643, 19)","(1172, 19)",0.063618818339713,0.102764512915691
1,16,0,1,1,1,1,0,0,0,1,1,0.9,0.895,0.271,3,2.2,85,0,0.23,0.61,0.75,490,0.7872464299723759,0.7123000370427357,"(4641, 19)","(1162, 19)",0.0749463929296402,0.1162885460590353
1,17,0,1,1,1,1,0,0,0,1,1,0.8,0.13,0.295,3,2.6,89,0,0.755,0.35,0.6000000000000001,123,0.7900669998863175,0.7139129363177732,"(4630, 19)","(1161, 19)",0.0761540635685442,0.1162877445320857
1,18,1,1,1,1,1,1,0,1,1,1,0.6000000000000001,0.76,0.253,3,5.5,75,0,0.705,0.94,0.9,541,0.7811855278262244,0.6845569754072871,"(4619, 22)","(1160, 22)",0.0966285524189373,0.1332843283453887
1,19,1,1,1,1,1,1,0,0,1,1,1.0,0.26,0.266,3,2.8000000000000003,103,0,0.175,0.495,0.6000000000000001,479,0.8530080522908755,0.7170876647142985,"(4607, 21)","(1160, 21)",0.1359203875765769,0.1392418556163412
1,20,0,1,1,1,1,1,0,0,1,1,0.9,0.305,0.187,3,9.8,100,0,0.185,0.39,0.7000000000000001,588,0.8006312715666551,0.6903990623448071,"(4595, 20)","(1160, 20)",0.110232209221848,0.1369731649852971
1,21,0,1,1,1,1,1,0,0,1,1,0.95,0.595,0.11,3,1.8,148,0,0.545,0.005,0.65,414,0.8112566929947433,0.6786207390240255,"(4593, 20)","(1150, 20)",0.1326359539707178,0.1494681598810794
1,22,1,1,1,1,1,1,0,0,1,1,1.0,0.45,0.289,3,7.7,90,0,0.305,0.04,1.0,560,0.8217698182319039,0.6931260817736555,"(4582, 21)","(1149, 21)",0.1286437364582483,0.1435196700512026
1,23,0,1,1,1,1,1,0,0,1,1,1.0,0.42,0.282,3,3.5,81,0,0.4,0.13,0.7000000000000001,597,0.7854021002098597,0.6647074486593922,"(4571, 20)","(1148, 20)",0.1206946515504674,0.1488656260223693
1,24,0,1,1,1,1,1,0,0,1,1,0.8,0.77,0.189,3,3.9,110,0,0.705,0.595,0.8500000000000001,578,0.8041435508617784,0.6578868490828889,"(4559, 20)","(1148, 20)",0.1462567017788895,0.1611366259866891
1,25,0,1,1,1,1,1,0,0,1,1,1.0,0.8250000000000001,0.265,3,2.9000000000000004,86,0,0.255,0.6,0.7000000000000001,580,0.7871429606979785,0.6620268821065509,"(4547, 20)","(1148, 20)",0.1251160785914276,0.1514383668046057
1,26,0,1,1,1,1,1,0,0,1,1,0.95,0.415,0.089,3,4.5,214,0,0.475,0.08,0.9,316,0.8299299475728902,0.6602171461913919,"(4545, 20)","(1138, 20)",0.1697128013814982,0.1698199766951817
1,27,1,1,1,1,1,0,0,0,1,1,0.75,0.285,0.217,3,5.300000000000001,74,1,0.155,0.5700000000000001,0.75,141,0.6634533089614812,0.5980728458479025,"(4534, 25)","(1137, 25)",0.0653804631135787,0.1467303314910607
1,28,1,1,1,1,1,0,0,0,1,1,0.75,0.28,0.281,3,3.1,68,1,0.525,0.93,0.95,582,0.6589310872809483,0.6006058363631488,"(4523, 25)","(1136, 25)",0.0583252509177995,0.1431483494581751
1,29,1,1,1,1,1,1,0,0,1,1,0.95,0.75,0.256,3,3.1,79,0,0.665,0.73,0.9,165,0.7417738298210801,0.6487562717683929,"(4511, 21)","(1136, 21)",0.0930175580526871,0.142580141690557
1,30,1,1,1,1,1,1,0,0,1,1,0.8,0.22,0.288,3,2.7,72,0,0.54,0.61,0.65,478,0.7198622128452529,0.6297852306070156,"(4499, 21)","(1136, 21)",0.0900769822382372,0.1470952237131902
2,1,0,1,1,0,1,0,0,1,1,1,0.8500000000000001,0.735,0.173,3,8.1,123,0,0.685,0.07,0.6000000000000001,579,0.9764982086698424,0.957274313450611,"(5062, 17)","(1269, 17)",0.0192238952192315,0.0205072640525093
2,2,0,1,1,1,1,0,0,0,1,1,0.7000000000000001,0.655,0.224,3,6.0,80,0,0.255,0.16,0.6000000000000001,308,0.9503044624101968,0.9354521234872408,"(5051, 19)","(1268, 19)",0.014852338922956,0.0253052985230101
2,3,0,1,1,0,1,0,0,0,1,1,0.9,0.05,0.128,3,9.2,116,0,0.075,0.02,0.75,227,0.9331292553716894,0.9156364321800864,"(5039, 16)","(1268, 16)",0.017492823191603,0.0323061996226153
2,4,0,1,1,0,1,0,0,0,1,1,1.0,0.54,0.27,3,9.5,70,0,0.705,0.44,0.6000000000000001,600,0.9057514921290968,0.893900849062576,"(5027, 16)","(1268, 16)",0.0118506430665207,0.0365700025078354
2,5,0,1,1,0,1,0,0,0,1,1,0.95,0.21,0.254,3,9.1,87,0,0.285,0.89,0.7000000000000001,591,0.8958217165685085,0.8689668190554223,"(5025, 16)","(1258, 16)",0.0268548975130862,0.0500519132886078
2,6,0,1,1,0,1,0,0,0,1,1,0.8500000000000001,0.805,0.216,3,8.1,83,0,0.08,0.145,0.9,419,0.8724761546745836,0.8404608401790719,"(5014, 16)","(1257, 16)",0.0320153144955117,0.0606678737444831
2,7,0,1,1,0,1,0,0,0,1,1,0.9,0.265,0.205,3,3.8,90,0,0.65,0.775,0.65,433,0.8592663546774589,0.8237319605498215,"(5003, 16)","(1256, 16)",0.0355343941276374,0.0670941694861085
2,8,0,1,1,0,1,0,0,0,1,1,1.0,0.085,0.14,3,2.2,111,0,0.255,0.335,0.7000000000000001,321,0.8485804523197191,0.7986753755671161,"(4991, 16)","(1256, 16)",0.049905076752603,0.0803594180309063
2,9,0,1,1,0,1,0,0,0,1,1,0.8,0.73,0.3,3,5.9,76,0,0.735,0.6,0.65,592,0.8229084331591621,0.7840499569866157,"(4979, 16)","(1256, 16)",0.0388584761725463,0.0803284033730338
2,10,0,1,1,0,1,0,0,0,1,1,0.95,0.925,0.246,3,3.3000000000000003,79,0,0.18,0.935,0.7000000000000001,283,0.8084483268434033,0.7545475699232541,"(4977, 16)","(1246, 16)",0.0539007569201491,0.0951960317910834
2,11,0,1,1,0,1,0,0,0,1,1,0.9,0.495,0.281,3,4.7,75,0,0.795,0.5750000000000001,0.65,480,0.7910508560623687,0.7393679783915277,"(4966, 16)","(1245, 16)",0.051682877670841,0.098862757550878
