Country,Syria,Syria,Syria,Syria,Syria,Syria,Syria,Syria,Syria,Syria,Syria,Syria,Syria,Syria
Split,Split 1,Split 1,Split 2,Split 2,Split 3,Split 3,Split 4,Split 4,Split 5,Split 5,Split 6,Split 6,Split 7,Split 7
Type,r2_model,r2_naive,r2_model,r2_naive,r2_model,r2_naive,r2_model,r2_naive,r2_model,r2_naive,r2_model,r2_naive,r2_model,r2_naive
Prediction horizon,,,,,,,,,,,,,,
1,0.7192829840530583,0.7309990353311193,0.8745670705999011,0.8835876122888584,0.9368148718357729,0.955530945632738,0.9939454011277179,0.9999459520391321,0.9591553100919487,0.9553620534694324,0.9426409533078578,0.9513919665443678,0.9542840024602464,0.9648191163433635
2,0.4133795205065447,0.39712674927332847,0.7539288759611723,0.7585131877244241,0.8512707507478383,0.8771274412838931,0.9833855624653137,0.9834867287486542,0.8787875519449234,0.8713597870772849,0.8326474038222615,0.7864867138830218,0.9390319287817243,0.9553634976426977
3,0.45975527363488855,0.4371342244217611,0.4592809520742829,0.4731580547929861,0.8050645882759226,0.8329263355339928,0.914867598823002,0.9137474959235088,0.7084945592685961,0.6780741383853831,0.7088011755338315,0.6694164851942594,0.9074323953860005,0.9329061503331201
4,0.3916267060102383,0.3579356594897557,0.4610743651555268,0.4641534292458821,0.755598879268397,0.7707640029274124,0.8896287880449603,0.8831180878892967,0.6189010116493241,0.5755135096591643,0.5445898529321125,0.4377933828270004,0.9272036473210753,0.9483176457643124
5,0.33634953777102905,0.28334262532956644,0.3712388861338948,0.37528511801886544,0.7465315315171148,0.7613962822380733,0.7445826121266982,0.7271463681035157,0.6175460900963143,0.5804197957669552,0.5157112031539995,0.33648146011323243,0.898972166669601,0.9129013943831981
6,0.31813676434886806,0.23877396533727036,0.31054474244004615,0.33724510900713045,0.7499831591673323,0.7817651786293442,0.6243250614879368,0.5610822214317204,0.540839679239798,0.5467944105759994,0.4876038272737955,0.22409513532408998,0.8975343510641649,0.9305591972924128
7,0.3497618344034492,0.2702032348731982,0.17291899309328773,0.1855308291761738,0.7565273897620309,0.8016925677938167,0.6243226698241342,0.5046639631384943,0.48379989298449333,0.5072929276546,0.5160969078416163,0.26332263450826576,0.8711884137170285,0.9302489168091026
8,0.3767358878666872,0.26735676244924134,0.0626815059558431,0.09311067038500709,0.7334846652194784,0.7945143595462121,0.6517582159738116,0.5046639631384943,0.3883410418328558,0.4290807058538214,0.42367246731643526,0.0652798016321523,0.8602823815323793,0.9315891541158168
9,0.3274658357177408,0.18355719627657752,0.15205815361726394,0.17945941888662165,0.6823046226600439,0.7419078038716831,0.5710974843344241,0.3406958182689529,0.27143738138560336,0.39056261058658037,0.37718231799609414,-0.0046903515925125205,0.7988470916281603,0.8988195677825164
