Split,Split 1,Split 1,Split 2,Split 2,Split 3,Split 3,Split 4,Split 4,Split 5,Split 5
Info,training points,features,training points,features,training points,features,training points,features,training points,features
1,4485,17,4875,18,5278,18,5668,18,6071,19
2,4472,27,4862,25,5265,18,5655,18,6058,18
3,4459,20,4849,19,5252,18,5642,24,6045,23
4,4446,27,4836,17,5239,18,5629,18,6032,26
5,4433,20,4823,18,5226,17,5616,18,6019,26
6,4420,19,4810,18,5213,18,5603,24,6006,18
7,4407,26,4797,18,5200,18,5590,18,5993,19
8,4394,19,4784,18,5187,17,5577,18,5980,26
9,4381,18,4771,19,5174,17,5564,17,5967,19
10,4368,19,4758,19,5161,20,5551,24,5954,24
11,4355,17,4745,18,5148,18,5538,18,5941,19
12,4342,17,4732,18,5135,25,5525,18,5928,24
13,4329,17,4719,17,5122,23,5512,18,5915,25
14,4316,16,4706,17,5109,17,5499,18,5902,18
15,4303,20,4693,18,5096,17,5486,19,5889,25
16,4290,16,4680,18,5083,18,5473,18,5876,18
17,4277,18,4667,19,5070,18,5460,18,5863,26
18,4264,17,4654,18,5057,17,5447,17,5850,25
19,4251,18,4641,18,5044,19,5434,18,5837,24
20,4238,21,4628,18,5031,19,5421,18,5824,19
21,4225,17,4615,18,5018,20,5408,18,5811,24
22,4212,17,4602,18,5005,26,5395,18,5798,25
23,4199,17,4589,18,4992,18,5382,17,5785,25
24,4186,18,4576,18,4979,17,5369,18,5772,26
25,4173,18,4563,18,4966,18,5356,24,5759,17
26,4160,18,4550,18,4953,18,5343,17,5746,26
27,4147,18,4537,18,4940,19,5330,24,5733,25
28,4134,16,4524,17,4927,19,5317,19,5720,26
29,4121,18,4511,17,4914,19,5304,24,5707,18
30,4108,21,4498,17,4901,19,5291,24,5694,24
