Split,,Split 1,Split 1,Split 2,Split 2,Split 3,Split 3,Split 4,Split 4,Split 5,Split 5
Type,,mse_model,mse_naive,mse_model,mse_naive,mse_model,mse_naive,mse_model,mse_naive,mse_model,mse_naive
Country,AdminStrata,,,,,,,,,,
Burkina Faso,Boucle-Du-Mouhoun,18.43827714769105,28.968366261333326,166.96868355686098,202.03387384266674,19.76200025396404,4.56357105166668,11.951613715915565,33.06183082433337,3.205415015490972,1.574603287999993
Burkina Faso,Cascades,10.447304418283856,5.900095790333337,13.09876911392222,22.71899162666667,7.528441377863617,2.1983833953333356,23.811821880711275,17.622632846999995,52.31048638709727,7.197155505666673
Burkina Faso,Centre,2.9596763352025106,1.559820225666665,3.842620646193399,4.905981509000002,3.696632587876391,5.155096058999997,13.552239127306496,21.961546643,26.318014319380946,2.461007868666664
Burkina Faso,Centre-Est,13.512388597311858,13.307782170000003,35.013063610199,6.990049169333334,33.60608668960689,26.362644169999992,41.7791054397098,48.42164948533331,5.374336343048231,7.148135211666664
Burkina Faso,Centre-Nord,2.1900622470848625,1.5475669830000078,3.2152303408981906,1.1641063776666607,8.91668313153954,8.221960660666666,14.421938255566626,18.904929055333334,5.412606585155989,4.055987272333335
Burkina Faso,Centre-Ouest,8.988010767348328,2.150216275,1.352612383617391,4.358914876666673,13.629888091101334,5.33525884633334,53.38084015800225,28.82128762600001,11.53509983985521,33.87253137133335
Burkina Faso,Centre-Sud,3.413651085659528,16.765873689333358,33.477543735373374,29.266233380666733,12.320456526285485,6.975732035666672,2.56214851207264,3.475809044999995,15.618725406849585,2.6193051566666705
Burkina Faso,Est,37.16044261416278,67.66769734333339,12.736726402227708,14.094737915666693,6.498545654257985,1.2982612630000003,4.939468255419684,5.370970439000004,2.7605889069219653,2.785308120666667
Burkina Faso,Hauts-Bassins,5.903878076844867,7.009522559333333,0.5823090905561006,1.662957412333329,6.123988393364468,7.655871656999992,8.886428474975782,20.414660590333312,4.312770340331924,9.202609703333327
Burkina Faso,Nord,0.9799677227555484,1.57534380933333,10.679148756909877,5.827519074333332,5.766442627818189,7.784404819333333,40.031601011177045,29.394262573333354,58.84117477505482,13.461696589999981
Burkina Faso,Plateau-Central,3.0010691060297052,12.672240527999909,2.136818229465813,4.146628038000011,6.664011364050897,2.784973684000002,13.083158297152476,9.717214884000025,17.572444204334204,4.212446275
Burkina Faso,Sahel,35.77403914492378,7.272993254999991,4.8400775751579435,2.180701502666668,3.275804282490001,2.258446313333339,9.750153559095821,5.589224519999997,52.599622733696556,14.132187168666658
Burkina Faso,Sud-Ouest,7.623769904336623,5.721878003666672,17.520588563587054,17.61863632666668,0.9095323583782053,1.4423475443333371,9.89951803627967,10.980695011999991,144.06534523480101,51.431737118000015
