bxcx,p,stationary,loss
False,194,False,64.03458110114559
False,168,True,35.913249099557916
True,19,False,8.498687109594616
False,90,False,9.928609386460108
False,72,False,7.317258421046237
True,204,True,57.76135559805059
True,224,True,166.10598226499556
False,52,True,3.993820449895066
False,64,False,8.566669339554187
True,184,True,63.99221936268415
True,98,True,4.745150425286902
True,184,True,63.99221936268415
False,4,True,4.812241350517744
False,99,True,5.2922881917787805
False,12,True,5.25565072079698
False,52,True,3.993820449895066
False,52,True,3.993820449895066
False,52,True,3.993820449895066
False,164,True,36.00998434346616
False,81,False,7.8544733964449875
False,133,True,25.326250579093145
False,166,True,36.29688560234825
False,65,False,7.70433287892759
False,31,True,4.366214807347626
False,73,False,7.3676050474369745
False,59,True,4.9267923418566015
False,124,False,19.27403101206496
False,110,True,3.4605202356042923
False,110,True,3.4605202356042923
True,159,True,39.36976376993247
False,140,False,43.788913771721234
True,172,True,69.72235526526731
False,158,True,31.843569771211055
False,77,True,4.930567257497179
True,180,False,87.96360309582248
False,110,True,3.4605202356042923
True,228,True,421.03837617913786
False,110,True,3.4605202356042923
False,219,True,209.9362303663132
False,114,True,3.239829775562283
False,62,True,4.28751350620382
True,122,True,3.5745330903893504
False,195,True,39.21308876933062
False,7,True,5.323337747536114
True,113,True,3.559110607641918
False,58,True,5.012714071395347
False,94,True,3.842517854520595
False,3,True,4.831202944827845
False,114,True,3.239829775562283
False,38,True,3.7540369935400655
False,68,True,5.106081360609092
False,210,True,120.45331544462472
False,181,True,34.575006490115115
False,75,True,5.3347434942632725
False,96,True,4.95511821534231
False,39,False,7.0885315523392185
False,103,True,5.507873811008204
True,111,True,3.766070867407361
False,114,True,3.239829775562283
False,22,True,4.676779550633827
True,125,True,6.177638969134761
False,71,True,4.998124507788387
True,156,True,38.31933124378545
False,104,False,14.78003591235577
False,114,True,3.239829775562283
False,57,True,4.995674653917734
False,6,True,5.011005134004615
False,114,False,11.117853107201016
False,63,True,4.295013051725412
False,114,True,3.239829775562283
False,162,True,33.134766670044286
False,167,False,51.625029210769505
False,32,True,4.361179953649289
True,36,True,4.377401874615875
False,226,False,187.75761050605857
False,109,True,3.642287287398696
False,232,True,341.42533347726265
True,155,True,39.317973642367775
False,60,True,5.461555097831862
False,193,False,66.66249444028507
False,114,True,3.239829775562283
True,143,True,52.172597734072944
False,78,True,5.087086753089802
False,137,False,32.1886263496024
True,9,True,5.236382735510227
False,42,False,7.8447110631216574
False,80,True,5.001263820330951
False,223,True,176.9265882629703
False,196,True,42.83130195633809
False,34,True,4.2350276726574725
True,84,True,5.879275947965184
False,190,True,39.114720655496484
False,202,True,69.1957404063284
True,203,True,83.32372705188644
False,229,True,144.98247348246545
False,209,False,128.23594821113304
False,25,True,4.5918247173591284
False,114,True,3.239829775562283
False,17,True,5.337045066369929
True,40,True,3.92221447574162
False,70,True,4.9929047035545535
False,55,True,4.679629745082795
False,157,True,31.09180150494746
False,117,True,3.543875662063357
False,127,True,5.680978853139114
False,175,True,36.28698420926416
False,191,True,38.45907335826875
False,114,True,3.239829775562283
False,123,True,3.920616977234302
False,216,True,180.25586059969316
False,114,True,3.239829775562283
False,76,True,5.201027133204698
False,23,True,4.667238743597253
False,83,True,6.55118498950456
False,15,False,6.459131668367845
False,108,True,3.631599651066292
False,176,True,34.95166399570362
True,93,True,3.8141718834548297
False,189,True,34.52639508476414
False,206,True,83.11251538899188
False,132,True,21.958516937446486
True,43,True,3.877164535490446
False,174,True,37.22606107325905
False,74,False,7.725496141869054
False,47,True,3.3861233538862514
False,114,True,3.239829775562283
True,188,True,58.13807139260944
False,115,True,3.3113780618925492
False,171,False,56.32543768440882
True,5,True,4.846791961121057
False,26,True,4.476841197814287
True,161,True,40.924613139516985
False,92,True,5.326960964768408
False,114,True,3.239829775562283
False,205,True,68.78988956655286
False,144,True,42.296829593738074
False,169,False,52.76253890931841
False,201,True,60.94640909492111
