bxcx,p,stationary,loss
False,205,False,203.85616031031998
False,86,False,6.953861775568639
False,50,False,6.37628498996309
False,125,False,7.608728999909011
True,53,False,6.921371305211416
False,30,False,8.791181592101603
True,46,True,15972.1779697482
False,89,False,5.942385994244866
False,56,False,6.250847641118765
False,133,False,9.950115588683637
True,203,True,9581.538669088326
False,158,True,325696.6498972722
False,234,True,1181871.9134728943
True,37,False,7.154833543135062
True,146,False,20.936584638353597
False,97,False,5.161371360097026
False,185,False,93.6471806292369
False,89,False,5.942385994244866
False,218,False,384.73461607001985
False,69,False,6.673308513527712
False,58,False,6.185021101763698
False,195,False,118.98288767948782
False,188,False,92.59099201556934
False,174,True,331032.29662125086
False,2,False,11.512124923610573
True,183,False,42.51062561368095
False,104,False,5.4407853177363
False,104,True,285585.37693309766
False,222,False,679.2823236321542
True,137,False,19.133740419816615
False,92,False,5.730431157831318
False,107,True,281871.4165636308
False,94,False,5.6250451466805265
True,36,True,16065.123908435084
False,85,False,7.158631476749824
False,119,False,6.961801013013438
False,45,False,6.1756734183145765
True,142,False,21.65058019402345
False,97,True,288043.2133864973
False,128,False,7.15145028968229
False,191,False,108.00725020439903
False,101,True,284664.4888143859
False,67,False,7.001268739251437
False,84,True,294503.38767090504
False,216,False,323.882029083222
False,94,False,5.6250451466805265
False,169,False,67.74524890840345
False,76,False,7.106538038542079
False,31,False,8.954206087237816
False,179,False,91.27395287511075
False,39,False,7.298901135491178
False,104,False,5.4407853177363
False,104,False,5.4407853177363
False,159,False,26.776382276630873
False,171,False,78.12084462179132
True,209,True,7005.087545401607
False,104,False,5.4407853177363
False,13,False,10.841703434721138
False,116,False,6.375065828010688
True,95,False,5.825606923781629
False,162,True,336199.95839593135
False,127,False,7.412728160143103
False,97,False,5.161371360097026
False,132,False,9.594951336168743
False,83,False,7.007173595968752
True,197,False,82.72006361123611
False,97,False,5.161371360097026
False,111,False,5.457292574854968
False,52,False,6.4150347599971935
False,38,False,7.3384686502048915
False,97,False,5.161371360097026
True,26,False,8.751149124563332
False,150,True,321711.80342460395
False,93,False,5.4849859070792695
True,190,False,53.66164557490422
False,97,True,288043.2133864973
False,229,False,863.816405439744
False,97,False,5.161371360097026
False,97,False,5.161371360097026
False,81,False,6.52741805343274
True,193,False,58.21775376662333
False,19,True,295603.3037626547
False,145,False,26.20444518276729
False,18,False,10.306083857658434
True,140,False,21.11805773225568
False,219,True,216769.48251813336
False,166,False,47.02587667709218
False,180,False,91.36365957926726
True,82,False,7.218760692788095
False,15,True,297483.1074271211
False,49,False,6.592050268907067
False,187,False,92.5927414330141
True,165,False,36.763827268868965
False,27,True,296414.7921691095
True,57,False,6.778678672762152
False,199,True,237187.40847535044
False,213,False,302.78660561827377
False,120,False,6.799964993905124
False,22,True,296279.30420945986
False,164,False,46.05261941465202
False,176,False,92.79558958324584
False,17,False,10.859751821164464
False,63,False,6.484729000054259
False,100,False,4.771211236126574
False,97,False,5.161371360097026
False,192,False,115.2507882533478
False,181,False,90.75297371111095
False,100,False,4.771211236126574
False,160,False,27.067181918887695
False,100,False,4.771211236126574
False,9,False,11.78417424755306
False,100,False,4.771211236126574
False,130,False,7.341431093770123
False,48,False,6.905835796471318
False,72,False,6.262363450344477
False,228,True,220633.37942190992
False,100,False,4.771211236126574
False,20,False,9.65157182184251
False,100,True,284094.19302281516
False,155,False,37.47729104178608
False,206,False,228.4417207836449
False,100,False,4.771211236126574
False,100,True,284094.19302281516
False,91,False,5.936634116265984
False,77,False,6.51138229754577
True,87,False,9.39918340863237
False,110,False,5.44219158972797
False,114,True,281902.90509905724
False,201,False,157.20986225682498
False,178,False,91.42365063007571
False,100,False,4.771211236126574
False,217,False,347.18699583789476
False,163,False,42.38629499249014
False,215,False,321.9702219251579
False,173,True,331385.4671505122
False,106,False,5.331696242538361
False,134,False,14.007316224711397
False,21,False,8.894063018213537
True,3,False,10.870989251669897
False,117,False,6.960307579537033
False,147,True,320443.895543525
False,80,False,6.606309833612754
False,196,False,113.63815683779247
False,214,False,307.9767696491429
False,175,True,330037.1078080107
False,47,False,6.796561107120823
False,156,False,31.605927495896214
False,121,False,7.104607007395206
True,28,False,8.826652008772447
False,78,True,291444.99025226163
False,66,False,6.841251227912768
False,151,False,28.473746469358385
False,154,False,42.19116541693993
False,225,False,782.1614096462123
False,44,True,288404.43900705513
False,233,False,48188406.49084961
False,88,False,6.989454890724004
False,42,False,6.663891397958646
False,100,False,4.771211236126574
False,55,False,6.289807153893918
False,73,False,6.409147598986625
False,141,False,26.903365019949785
True,70,False,7.1612742963654314
False,23,False,8.959328299536942
False,231,False,878.1800116465146
True,138,False,20.510696539588885
False,204,False,235.83557272725588
False,205,False,203.85616031031998
True,153,False,30.877570416252595
False,125,False,7.608728999909011
False,129,False,6.564013350647911
False,100,False,4.771211236126574
False,149,False,23.553889459874238
False,100,False,4.771211236126574
False,8,False,11.872667740929955
False,59,False,6.554678751193282
False,226,False,819.696170963119
False,34,False,7.175570336950003
False,144,False,27.891922842494907
False,71,False,6.575743407550903
False,32,False,6.7203674224765395
False,40,False,7.145877308275073
False,232,False,20347.222171837224
False,51,False,6.438156242665488
False,65,False,6.650017803216671
False,143,False,24.060833318742326
False,7,True,298011.1786974893
False,100,False,4.771211236126574
False,75,False,6.1981647455351
True,157,False,27.050059190917718
False,135,False,15.866563601581554
False,131,True,296712.4496898223
False,211,False,315.91706698525377
False,14,False,10.932918437732411
True,198,False,86.11281827494673
False,105,False,5.455250264302118
False,43,True,288728.57213205966
False,194,False,100.51282663310376
False,182,False,90.93811150111303
True,189,False,45.612923114088325
False,35,False,7.201194875197033
False,90,True,292513.1843292009
False,100,False,4.771211236126574
False,25,False,8.795668489717267
False,41,False,7.586073663771977
False,74,False,6.438789724970814
False,109,False,5.482745818254403
False,186,True,295994.54542408796
False,60,False,6.690429335118989
False,220,False,422.65747319628025
False,139,False,22.635335235330768
False,108,False,5.702482628777503
False,177,False,90.74589473949528
True,98,False,5.563367118963474
